Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLAST,GRAVEL SIZE CLAST.1,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
323-U1341A-1H-2-A,323,U1341,A,1,1-2,H,2,A,12,21,1.62,1.71,diatom ooze,Leg 323,foraminifer- and nannofossil-rich,foraminifer- and nannofossil-rich diatom ooze,60.0,soft,2.5Y 4/3,,,,,,,,,,,,,,,,
323-U1341A-1H-2-A,323,U1341,A,1,1-2,H,2,A,12,21,1.62,1.71,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,40.0,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1341A-1H-2-A,323,U1341,A,1,1-2,H,2,A,21,129,1.71,2.79,clayey silt [S54],"Shepard, 1954",foraminifer- and nannofossil-bearing diatom-rich,foraminifer- and nannofossil-bearing diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-1H-CC-A,323,U1341,A,1,1-CC,H,CC,A,0,23,2.8,3.03,clayey silt [S54],"Shepard, 1954",foraminifer- and nannofossil-bearing diatom-rich,foraminifer- and nannofossil-bearing diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-1-A,323,U1341,A,2,2-1,H,1,A,0,139,3.0,4.39,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-2-A,323,U1341,A,2,2-2,H,2,A,0,15,4.5,4.65,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-2-A,323,U1341,A,2,2-2,H,2,A,15,65,4.65,5.15,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-2-A,323,U1341,A,2,2-2,H,2,A,65,100,5.15,5.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-2-A,323,U1341,A,2,2-2,H,2,A,100,150,5.5,6.0,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-3-A,323,U1341,A,2,2-3,H,3,A,0,45,6.0,6.45,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1341A-2H-3-A,323,U1341,A,2,2-3,H,3,A,45,150,6.45,7.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-4-A,323,U1341,A,2,2-4,H,4,A,0,20,7.5,7.7,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-4-A,323,U1341,A,2,2-4,H,4,A,20,140,7.7,8.9,diatom silt,Leg 323,,diatom silt,20.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-4-A,323,U1341,A,2,2-4,H,4,A,20,140,7.7,8.9,diatom silt,Leg 323,,diatom silt,80.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-4-A,323,U1341,A,2,2-4,H,4,A,140,150,8.9,9.0,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-5-A,323,U1341,A,2,2-5,H,5,A,0,139,9.0,10.39,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-6-A,323,U1341,A,2,2-6,H,6,A,0,130,10.5,11.8,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-2H-6-A,323,U1341,A,2,2-6,H,6,A,130,150,11.8,12.0,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-7-A,323,U1341,A,2,2-7,H,7,A,0,49,12.0,12.49,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-2H-CC-A,323,U1341,A,2,2-CC,H,CC,A,0,14,12.49,12.63,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-1-A,323,U1341,A,3,3-1,H,1,A,0,4,12.5,12.54,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-1-A,323,U1341,A,3,3-1,H,1,A,4,30,12.54,12.8,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-1-A,323,U1341,A,3,3-1,H,1,A,30,80,12.8,13.3,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-1-A,323,U1341,A,3,3-1,H,1,A,80,130,13.3,13.8,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-1-A,323,U1341,A,3,3-1,H,1,A,130,150,13.8,14.0,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-2-A,323,U1341,A,3,3-2,H,2,A,0,38,14.0,14.38,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-2-A,323,U1341,A,3,3-2,H,2,A,38,120,14.38,15.2,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-2-A,323,U1341,A,3,3-2,H,2,A,120,139,15.2,15.39,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-3-A,323,U1341,A,3,3-3,H,3,A,0,60,15.5,16.1,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-3-A,323,U1341,A,3,3-3,H,3,A,60,110,16.1,16.6,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-3-A,323,U1341,A,3,3-3,H,3,A,110,150,16.6,17.0,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-4-A,323,U1341,A,3,3-4,H,4,A,0,24,17.0,17.24,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-4-A,323,U1341,A,3,3-4,H,4,A,24,75,17.24,17.75,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-4-A,323,U1341,A,3,3-4,H,4,A,75,139,17.75,18.39,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-5-A,323,U1341,A,3,3-5,H,5,A,0,150,18.5,20.0,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-6-A,323,U1341,A,3,3-6,H,6,A,0,57,20.0,20.57,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-6-A,323,U1341,A,3,3-6,H,6,A,57,80,20.57,20.8,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-6-A,323,U1341,A,3,3-6,H,6,A,80,137,20.8,21.37,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-6-A,323,U1341,A,3,3-6,H,6,A,137,139,21.37,21.39,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-7-A,323,U1341,A,3,3-7,H,7,A,0,40,21.5,21.9,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-3H-7-A,323,U1341,A,3,3-7,H,7,A,40,75,21.9,22.25,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-3H-CC-A,323,U1341,A,3,3-CC,H,CC,A,0,8,22.25,22.33,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-4H-1-A,323,U1341,A,4,4-1,H,1,A,0,110,22.0,23.1,diatom ooze,Leg 323,,diatom ooze diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-1-A,323,U1341,A,4,4-1,H,1,A,110,150,23.1,23.5,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-2-A,323,U1341,A,4,4-2,H,2,A,0,40,23.5,23.9,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-2-A,323,U1341,A,4,4-2,H,2,A,40,120,23.9,24.7,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-2-A,323,U1341,A,4,4-2,H,2,A,120,150,24.7,25.0,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-3-A,323,U1341,A,4,4-3,H,3,A,0,150,25.0,26.5,foraminifer diatom ooze,Leg 323,,foraminifer diatom ooze,50.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-3-A,323,U1341,A,4,4-3,H,3,A,0,150,25.0,26.5,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,50.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-4-A,323,U1341,A,4,4-4,H,4,A,0,17,26.5,26.67,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-4-A,323,U1341,A,4,4-4,H,4,A,17,70,26.67,27.2,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-4-A,323,U1341,A,4,4-4,H,4,A,70,150,27.2,28.0,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-5-A,323,U1341,A,4,4-5,H,5,A,0,80,28.0,28.8,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-5-A,323,U1341,A,4,4-5,H,5,A,80,105,28.8,29.05,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-5-A,323,U1341,A,4,4-5,H,5,A,105,149,29.05,29.49,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-5-A,323,U1341,A,4,4-5,H,5,A,149,150,29.49,29.5,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-6-A,323,U1341,A,4,4-6,H,6,A,0,135,29.5,30.85,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-6-A,323,U1341,A,4,4-6,H,6,A,135,139,30.85,30.89,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-7-A,323,U1341,A,4,4-7,H,7,A,0,28,31.0,31.28,silt [S54],"Shepard, 1954",diatom-rich,diatom-rich silt,100.0,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-4H-7-A,323,U1341,A,4,4-7,H,7,A,28,49,31.28,31.49,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-4H-CC-A,323,U1341,A,4,4-CC,H,CC,A,0,18,31.49,31.67,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-5H-1-A,323,U1341,A,5,5-1,H,1,A,0,20,31.5,31.7,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-5H-1-A,323,U1341,A,5,5-1,H,1,A,20,46,31.7,31.96,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-1-A,323,U1341,A,5,5-1,H,1,A,46,150,31.96,33.0,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-2-A,323,U1341,A,5,5-2,H,2,A,0,55,33.0,33.55,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-2-A,323,U1341,A,5,5-2,H,2,A,55,98,33.55,33.98,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-2-A,323,U1341,A,5,5-2,H,2,A,98,123,33.98,34.23,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-2-A,323,U1341,A,5,5-2,H,2,A,123,150,34.23,34.5,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-3-A,323,U1341,A,5,5-3,H,3,A,0,150,34.5,36.0,diatom clayey silt,"Shepard, 1954",,diatom clayey silt,50.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-3-A,323,U1341,A,5,5-3,H,3,A,0,150,34.5,36.0,foraminifer diatom ooze,Leg 323,,foraminifer diatom ooze,50.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-5H-4-A,323,U1341,A,5,5-4,H,4,A,0,43,36.0,36.43,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-4-A,323,U1341,A,5,5-4,H,4,A,43,80,36.43,36.8,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-4-A,323,U1341,A,5,5-4,H,4,A,80,143,36.8,37.43,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-4-A,323,U1341,A,5,5-4,H,4,A,143,150,37.43,37.5,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-5-A,323,U1341,A,5,5-5,H,5,A,0,36,37.5,37.86,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-5-A,323,U1341,A,5,5-5,H,5,A,36,146,37.86,38.96,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-5H-5-A,323,U1341,A,5,5-5,H,5,A,146,150,38.96,39.0,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-6-A,323,U1341,A,5,5-6,H,6,A,0,32,39.0,39.32,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-5H-6-A,323,U1341,A,5,5-6,H,6,A,32,139,39.32,40.39,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-5H-7-A,323,U1341,A,5,5-7,H,7,A,0,50,40.5,41.0,diatom ooze,United States Geological Survey,,diatom ooze,50.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-5H-CC-A,323,U1341,A,5,5-CC,H,CC,A,1,20,41.02,41.21,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-1-A,323,U1341,A,6,6-1,H,1,A,0,20,41.0,41.2,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-1-A,323,U1341,A,6,6-1,H,1,A,20,150,41.2,42.5,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-2-A,323,U1341,A,6,6-2,H,2,A,0,123,42.5,43.73,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-2-A,323,U1341,A,6,6-2,H,2,A,123,129,43.73,43.79,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-2-A,323,U1341,A,6,6-2,H,2,A,129,150,43.79,44.0,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,0,70,44.0,44.7,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,70,76,44.7,44.76,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,76,97,44.76,44.97,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,97,110,44.97,45.1,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,110,137,45.1,45.37,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-3-A,323,U1341,A,6,6-3,H,3,A,137,150,45.37,45.5,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,0,8,45.5,45.58,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,8,17,45.58,45.67,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,17,124,45.67,46.74,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,124,134,46.74,46.84,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,134,137,46.84,46.87,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100.0,soft,2.5/N,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,137,139,46.87,46.89,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,139,145,46.89,46.95,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100.0,soft,10YR 3/2,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,145,146,46.95,46.96,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,146,149,46.96,46.99,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100.0,soft,2.5Y 3/1,,,,,,,,,,,,,,,,
323-U1341A-6H-4-A,323,U1341,A,6,6-4,H,4,A,149,150,46.99,47.0,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,0,33,47.0,47.33,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,33,48,47.33,47.48,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,48,52,47.48,47.52,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100.0,soft,10YR 3/2,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,52,60,47.52,47.6,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,60,104,47.6,48.04,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-6H-5-A,323,U1341,A,6,6-5,H,5,A,104,150,48.04,48.5,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-6-A,323,U1341,A,6,6-6,H,6,A,0,31,48.5,48.81,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-6-A,323,U1341,A,6,6-6,H,6,A,31,120,48.81,49.7,diatom ooze,United States Geological Survey,,diatom ooze,100.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-6H-6-A,323,U1341,A,6,6-6,H,6,A,120,139,49.7,49.89,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-7-A,323,U1341,A,6,6-7,H,7,A,0,75,50.0,50.75,diatom clay,"Shepard, 1954",,diatom clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-6H-CC-A,323,U1341,A,6,6-CC,H,CC,A,0,20,50.75,50.95,foraminifer diatom ooze,Leg 323,,foraminifer diatom ooze,100.0,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1341A-7H-1-A,323,U1341,A,7,7-1,H,1,A,0,29,50.5,50.79,diatom silty clay,"Shepard, 1954",,diatom silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-7H-1-A,323,U1341,A,7,7-1,H,1,A,29,140,50.79,51.9,diatom silt,"Shepard, 1954",,diatom silt,100.0,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1341A-7H-1-A,323,U1341,A,7,7-1,H,1,A,140,150,51.9,52.0,diatom silty clay,"Shepard, 1954",,diatom silty clay,100.0,soft,5Y 4/2,,,,,,,,,,,,,,,,
