Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Lithology Suffix
329-U1367E-2H-5-A,329,U1367,E,2,2-5,H,5,A,112,150,13.62,14,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367E-2H-5-A,329,U1367,E,2,2-5,H,5,A,112,150,13.62,14,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367E-2H-6-A,329,U1367,E,2,2-6,H,6,A,0,88,14,14.88,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-CC-A,329,U1367,E,2,2-CC,H,CC,A,0,13,14.88,15.01,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-1-A,329,U1367,E,3,3-1,H,1,A,0,150,16.3,17.8,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-2-A,329,U1367,E,3,3-2,H,2,A,0,150,17.8,19.3,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-3-A,329,U1367,E,3,3-3,H,3,A,0,150,19.3,20.8,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-4-A,329,U1367,E,3,3-4,H,4,A,0,150,20.8,22.3,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-5-A,329,U1367,E,3,3-5,H,5,A,0,150,22.3,23.8,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-6-A,329,U1367,E,3,3-6,H,6,A,0,30,23.8,24.1,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-6-A,329,U1367,E,3,3-6,H,6,A,30,37,24.1,24.17,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-3H-CC-A,329,U1367,E,3,3-CC,H,CC,A,0,10,24.17,24.27,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
