Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
341-U1417C-3H-1-A,341,U1417,C,3,3-1,H,1,A,0.0,150.0,10.5,12.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,- slight colour variations,,,,,,,,,
341-U1417C-3H-2-A,341,U1417,C,3,3-2,H,2,A,0.0,135.0,12.0,13.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- slight colour variations to more brownish, greyish and greenish
- greenish intervals diatom rich?
",gradational contact,,,,,,,,
341-U1417C-3H-2-A,341,U1417,C,3,3-2,H,2,A,135.0,150.0,13.35,13.5,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- occurrence of two diatom oozes (discontinuous - more greenish),,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,0.0,38.5,13.5,13.885,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- 7-9: lense of brown silt,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,38.5,40.5,13.885,13.905,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,40.5,50.0,13.905,14.0,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,50.0,51.5,14.0,14.015,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,51.5,64.0,14.015,14.14,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- some irregular intervals with diatom ooze,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,64.0,66.0,14.14,14.16,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,"- ash layer diluted with diatoms
- slightly more brown",,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,66.0,67.5,14.16,14.175,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,67.5,69.0,14.175,14.19,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,69.0,79.0,14.19,14.29,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,79.0,110.5,14.29,14.605,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- some strata and irregular intervals with diatom ooze,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,110.5,112.0,14.605,14.62,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,112.0,126.5,14.62,14.765,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,126.5,128.0,14.765,14.78,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-3-A,341,U1417,C,3,3-3,H,3,A,128.0,150.0,14.78,15.0,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- some irregular intervals with diatom ooze,,,,,,,,,
341-U1417C-3H-4-A,341,U1417,C,3,3-4,H,4,A,0.0,46.0,15.0,15.46,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- some irregular intervals with diatom ooze,,,,,,,,,
341-U1417C-3H-4-A,341,U1417,C,3,3-4,H,4,A,46.0,48.0,15.46,15.48,,diatom ooze [Leg339],,diatom ooze ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-4-A,341,U1417,C,3,3-4,H,4,A,48.0,121.0,15.48,16.21,biosiliceous rich,mud [Leg210],,biosiliceous rich mud ,,,,5Y 4/1 (dark gray),slight [DB86],1,,,,,,,,,,,,- some irregular intervals with diatom ooze?,,,,,,,,,
341-U1417C-3H-4-A,341,U1417,C,3,3-4,H,4,A,121.0,150.0,16.21,16.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-5-A,341,U1417,C,3,3-5,H,5,A,0.0,70.0,16.5,17.2,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,,,,,,,,"large 4 cm-sized clast @ 60 cm, subrounded metasediment (in work half)",,,,,,,,,
341-U1417C-3H-5-A,341,U1417,C,3,3-5,H,5,A,70.0,150.0,17.2,18.0,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],4,,,,,,,,,,"greenish-grey silty mud layer @ 79 cm (probably diatom bearing?); from 70 cm to bottom very slightly color banded; clasts @ 73 cm, 80, 104, 131.5 cm",,,,,,,,,
341-U1417C-3H-6-A,341,U1417,C,3,3-6,H,6,A,0.0,150.0,18.0,19.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],5,,,,,,,,,,bioturbation seems to slightly increase towards the end of this section,,,,,,,,,
341-U1417C-3H-7-A,341,U1417,C,3,3-7,H,7,A,0.0,69.0,19.5,20.19,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,,,,,,,,,,
341-U1417C-3H-CC-A,341,U1417,C,3,3-CC,H,CC,A,0.0,8.0,20.19,20.27,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,PAL sample,,,,,,,,,
341-U1417C-4H-1-A,341,U1417,C,4,4-1,H,1,A,0.0,150.0,20.0,21.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,whole section slightly color banded; silty mud lense (1.5 cm) @ 147 cm,,,,,,,,,
341-U1417C-4H-2-A,341,U1417,C,4,4-2,H,2,A,0.0,28.0,21.5,21.78,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,whole section slightly color banded,,,,,,,,,
341-U1417C-4H-2-A,341,U1417,C,4,4-2,H,2,A,28.0,50.0,21.78,22.0,,diatom ooze [Leg339],with foraminifers [Leg339],diatom ooze  with foraminifers ,,,,N 4 (dark gray),,,,,,,,,,,,,,green/bright brown/grey color mix; with forams and nannos,,,,,,,,,
341-U1417C-4H-2-A,341,U1417,C,4,4-2,H,2,A,50.0,150.0,22.0,23.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,whole section slightly color banded,,,,,,,,,
341-U1417C-4H-3-A,341,U1417,C,4,4-3,H,3,A,0.0,43.0,23.0,23.43,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,whole section slightly color banded,,,,,,,,,
341-U1417C-4H-3-A,341,U1417,C,4,4-3,H,3,A,43.0,76.0,23.43,23.76,,diatom ooze [Leg339],,diatom ooze ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-4H-3-A,341,U1417,C,4,4-3,H,3,A,76.0,77.0,23.76,23.77,,sand [Leg210],with mud [Leg339],sand  with mud ,,,,N 3 (very dark gray),,,,,,,,,,,,,,fine sand,,,,,,,,,
341-U1417C-4H-3-A,341,U1417,C,4,4-3,H,3,A,77.0,150.0,23.77,24.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,whole section slightly color banded,,,,,,,,,
341-U1417C-4H-4-A,341,U1417,C,4,4-4,H,4,A,0.0,85.0,24.5,25.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,mottled; slightly color banded,,,,,,,,,
341-U1417C-4H-4-A,341,U1417,C,4,4-4,H,4,A,85.0,87.0,25.35,25.37,diatom bearing,sand [Leg210],with mud [Leg339],diatom bearing sand  with mud ,,,,5GY 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-4H-4-A,341,U1417,C,4,4-4,H,4,A,87.0,150.0,25.37,26.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,1,,,,,,,,,,,,slightly color banded,,,,,,,,,
341-U1417C-4H-5-A,341,U1417,C,4,4-5,H,5,A,0.0,40.0,26.0,26.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-4H-5-A,341,U1417,C,4,4-5,H,5,A,40.0,103.0,26.4,27.03,,diatom ooze [Leg339],with mud [Leg339],diatom ooze  with mud ,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,"mottled, color banded",,,,,,,,,
341-U1417C-4H-CC-A,341,U1417,C,4,4-CC,H,CC,A,0.0,9.0,27.03,27.12,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,mottled,,,,,,,,,
341-U1417C-4H-CC-A,341,U1417,C,4,4-CC,H,CC,A,9.0,13.0,27.12,27.16,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,,,,
341-U1417C-5H-1-A,341,U1417,C,5,5-1,H,1,A,0.0,150.0,29.5,31.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,brown silty lense @ 27 cm; greenish silty mud layer @ 142 cm,,,,,,,,,
341-U1417C-5H-2-A,341,U1417,C,5,5-2,H,2,A,0.0,150.0,31.0,32.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,scattered black mottles; greenish laminae @ 146 cm (possibly diatom bearing); slight color variations,,,,,,,,,
341-U1417C-5H-3-A,341,U1417,C,5,5-3,H,3,A,0.0,122.0,32.5,33.72,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-5H-3-A,341,U1417,C,5,5-3,H,3,A,122.0,128.0,33.72,33.78,volcaniclastic rich,mud [Leg210],,volcaniclastic rich mud ,volcaniclastic-rich,3,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,irregularly dispersed,,,,,,,,,
341-U1417C-5H-3-A,341,U1417,C,5,5-3,H,3,A,128.0,150.0,33.78,34.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-5H-4-A,341,U1417,C,5,5-4,H,4,A,0.0,130.0,34.0,35.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],4,,,,,,,,,,large clast @ 39 - 43 cm: 4 cm diameter black shale/schist; silty mud lense 18 cm,,,,,,,,,
341-U1417C-5H-4-A,341,U1417,C,5,5-4,H,4,A,130.0,138.5,35.3,35.385,,sand [Leg210],,sand ,,,normal grading,5Y 5/1 (gray),slight [DB86],1,,,,,,,,,,,,irregular/erosive upper boundary,sharp contact,,,,,,,,
341-U1417C-5H-4-A,341,U1417,C,5,5-4,H,4,A,138.5,150.0,35.385,35.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-5H-5-A,341,U1417,C,5,5-5,H,5,A,0.0,150.0,35.5,37.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,,,,,,,,color banded between 70 and 110 cm; silt lense @ 103 cm,,,,,,,,,
341-U1417C-5H-6-A,341,U1417,C,5,5-6,H,6,A,0.0,50.5,37.0,37.505,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"silty mud layers @ 20, 23, 25 cm; mottled between 12 and 45 cm",,,,,,,,,
341-U1417C-5H-6-A,341,U1417,C,5,5-6,H,6,A,50.5,52.5,37.505,37.525,,sand [Leg210],,sand ,,,,5Y 2.5/1 (black),,,,,,,,,,,,,,irregular upper boundary,gradational contact,irregular,,,,,,,
341-U1417C-5H-6-A,341,U1417,C,5,5-6,H,6,A,52.5,132.0,37.525,38.32,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,"silty mud layers @ 20, 23, 25 cm; mottled between 12 and 45 cm",,,,,,,,,
341-U1417C-5H-CC-A,341,U1417,C,5,5-CC,H,CC,A,0.0,7.0,38.32,38.39,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-5H-CC-A,341,U1417,C,5,5-CC,H,CC,A,7.0,12.0,38.39,38.44,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,
341-U1417C-6H-1-A,341,U1417,C,6,6-1,H,1,A,0.0,150.0,37.0,38.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],3,,,,,,,,,,black/green color banding - diatomaceous?,,,,,,,,,
341-U1417C-6H-1-A,341,U1417,C,6,6-1,H,1,A,15.0,34.0,37.15,37.34,,,,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-2-A,341,U1417,C,6,6-2,H,2,A,0.0,150.0,38.5,40.0,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],2,,,,,,,,,,"34-35cm:green patch;
black/green color banding - diatomaceous?",,,,,,,,,
341-U1417C-6H-2-A,341,U1417,C,6,6-2,H,2,A,55.0,102.0,39.05,39.52,,,,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-2-A,341,U1417,C,6,6-2,H,2,A,138.0,144.0,39.88,39.94,,,,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-3-A,341,U1417,C,6,6-3,H,3,A,0.0,28.0,40.0,40.28,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,black/green color banding - diatomaceous?,gradational contact,,,,,,,,
341-U1417C-6H-3-A,341,U1417,C,6,6-3,H,3,A,28.0,30.0,40.28,40.3,,sand [Leg210],,sand ,,,normal grading,5Y 5/1 (gray),none [DB86],0,absent [A79],,,,,,,,,,,amphibole rich,sharp contact,,,,,,,,
341-U1417C-6H-3-A,341,U1417,C,6,6-3,H,3,A,30.0,42.0,40.3,40.42,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-3-A,341,U1417,C,6,6-3,H,3,A,42.0,43.0,40.42,40.43,,silt [Leg210],,silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-3-A,341,U1417,C,6,6-3,H,3,A,43.0,150.0,40.43,41.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,pebble [W22_2],subangular,,,,black/green color banding - diatomaceous?,,,,,,,,,
341-U1417C-6H-4-A,341,U1417,C,6,6-4,H,4,A,0.0,150.0,41.5,43.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,clasts in wh at 54 cm (0.8 cm) and at 128 (2 cm),,,,,,,,,
341-U1417C-6H-5-A,341,U1417,C,6,6-5,H,5,A,0.0,135.0,43.0,44.35,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"black mottling, faint lamination",,,,,,,,,
341-U1417C-6H-5-A,341,U1417,C,6,6-5,H,5,A,135.0,150.0,44.35,44.5,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/2 (grayish green),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-6-A,341,U1417,C,6,6-6,H,6,A,0.0,10.0,44.5,44.6,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/2 (grayish green),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-6-A,341,U1417,C,6,6-6,H,6,A,10.0,104.0,44.6,45.54,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"black mottling, faint lamination",,,,,,,,,
341-U1417C-6H-CC-A,341,U1417,C,6,6-CC,H,CC,A,0.0,14.0,45.54,45.68,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-6H-CC-A,341,U1417,C,6,6-CC,H,CC,A,14.0,19.0,45.68,45.73,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,
341-U1417C-7H-1-A,341,U1417,C,7,7-1,H,1,A,0.0,150.0,46.5,48.0,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,occasional green color banding,,,,,,,,,
341-U1417C-7H-2-A,341,U1417,C,7,7-2,H,2,A,0.0,107.0,48.0,49.07,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],5,,,,,,,,,,"brown (2.5Y, 5/1) lense at 11-12cm",,,,,,,,,
341-U1417C-7H-2-A,341,U1417,C,7,7-2,H,2,A,107.0,128.0,49.07,49.28,,mud [Leg210],,mud ,,,,5Y 4/1 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,black mottling,gradational contact,,,,,,,,
341-U1417C-7H-2-A,341,U1417,C,7,7-2,H,2,A,128.0,131.0,49.28,49.31,,ash(tuff) [MMK88m],,ash(tuff),ash,4,normal grading,2.5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,sharp contact,,,,,,,,
341-U1417C-7H-2-A,341,U1417,C,7,7-2,H,2,A,131.0,150.0,49.31,49.5,,mud [Leg210],,mud ,,,,5Y 4/1 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,black mottling; brown (2.5Y 5/1) lenses at 132 and 140cm,,,,,,,,,
341-U1417C-7H-3-A,341,U1417,C,7,7-3,H,3,A,0.0,27.0,49.5,49.77,,mud [Leg210],,mud ,,,,5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-3-A,341,U1417,C,7,7-3,H,3,A,27.0,150.0,49.77,51.0,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,black mottling,,,,,,,,,
341-U1417C-7H-4-A,341,U1417,C,7,7-4,H,4,A,0.0,14.0,51.0,51.14,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/2 (grayish green),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-4-A,341,U1417,C,7,7-4,H,4,A,14.0,79.0,51.14,51.79,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/2 (grayish green),,,present [A79],4,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-4-A,341,U1417,C,7,7-4,H,4,A,79.0,120.0,51.79,52.2,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-4-A,341,U1417,C,7,7-4,H,4,A,120.0,123.0,52.2,52.23,,sand [Leg210],,sand ,ash,4,normal grading,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-4-A,341,U1417,C,7,7-4,H,4,A,123.0,150.0,52.23,52.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-5-A,341,U1417,C,7,7-5,H,5,A,0.0,150.0,52.5,54.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],8,pebble [W22_2],subrounded,,,pebble [W22_2],subrounded,,,,"granite pebble (4 cm) at 42 cm, argillite pebbles at 61 and 75 cm",,,,,,,,,
341-U1417C-7H-6-A,341,U1417,C,7,7-6,H,6,A,0.0,150.0,54.0,55.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],20,,,,,granule [W22_2],subrounded,,,,,,,,,,,,,
341-U1417C-7H-7-A,341,U1417,C,7,7-7,H,7,A,0.0,53.0,55.5,56.03,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-CC-A,341,U1417,C,7,7-CC,H,CC,A,0.0,8.5,56.03,56.115,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,
341-U1417C-7H-CC-A,341,U1417,C,7,7-CC,H,CC,A,8.5,15.0,56.115,56.18,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,
341-U1417C-8H-1-A,341,U1417,C,8,8-1,H,1,A,0.0,104.0,56.0,57.04,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],2,,,,,,,,,,intermittent black mottling,gradational contact,,,,,,,,
341-U1417C-8H-1-A,341,U1417,C,8,8-1,H,1,A,104.0,150.0,57.04,57.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),moderate [DB86],2,present [A79],1,,,,,,,,,,intermittent black mottling,,,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,0.0,28.0,57.5,57.78,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,black mottling,,irregular,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,28.0,31.0,57.78,57.81,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,2.5Y 5/1 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,sharp contact,,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,31.0,96.0,57.81,58.46,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,black mottling,gradational contact,,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,96.0,142.0,58.46,58.92,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),moderate [DB86],2,present [A79],2,,,,,,,,,,black mottling,gradational contact,,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,142.0,144.0,58.92,58.94,,silt [Leg210],,silt ,,,normal grading,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,silt to mud,,,,,,,,,
341-U1417C-8H-2-A,341,U1417,C,8,8-2,H,2,A,144.0,145.0,58.94,58.95,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,
