Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1410B-2H-3-A,342,U1410,B,2,2-3,H,3,A,47.0,68.0,7.27,7.48,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,5Y 6/1 (gray),,,,moderate_339 [DB91],4,,"Dark green horizon (10GY 4/1) of nannofossil foraminiferal ooze with clay at 49, 53, and 57 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-3-A,342,U1410,B,2,2-3,H,3,A,68.0,150.0,7.48,8.3,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,"Interval varies between redder (10YR 5/2) to greener (10Y 6/1) sediment. Dark green horizon (10GY 4/1) of nannofossil foraminiferal ooze with clay at 76, 89, 97, 100, 105, 128 cm.  Foraminiferal sand layers and blebs at 100, 142, and 142-150 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-4-A,342,U1410,B,2,2-4,H,4,A,0.0,24.0,8.3,8.54,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,Interval varies between redder (10YR 5/2) to greener (10Y 6/1) sediment. Rare black blebs (pyrite) throughout section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-4-A,342,U1410,B,2,2-4,H,4,A,24.0,75.0,8.54,9.05,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,5Y 6/1 (gray),,,,moderate_339 [DB91],4,,Grades from grey (N 6) to redder grey (5Y 6/1) over the length of the interval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-4-A,342,U1410,B,2,2-4,H,4,A,75.0,105.0,9.05,9.35,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Rare small pebbles.  Redder mottles are 10YR 4/2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-4-A,342,U1410,B,2,2-4,H,4,A,105.0,125.0,9.35,9.55,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-4-A,342,U1410,B,2,2-4,H,4,A,125.0,150.0,9.55,9.8,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-5-A,342,U1410,B,2,2-5,H,5,A,0.0,10.0,9.8,9.9,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-5-A,342,U1410,B,2,2-5,H,5,A,10.0,20.0,9.9,10.0,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-5-A,342,U1410,B,2,2-5,H,5,A,20.0,57.0,10.0,10.37,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,Grades from grey (N 6) to redder gray (10YR 5/2) with distinct mottling throughout. Dark green horizon (10GY 4/1) of nannofossil foraminiferal ooze with clay at 43 and 49 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-5-A,342,U1410,B,2,2-5,H,5,A,57.0,118.0,10.37,10.98,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/1 (gray),,,,moderate_339 [DB91],4,,"Dark grey with redder intervals. Dark green horizon (10GY 4/1) of nannofossil foraminiferal ooze with clay at 57, 70, 76, 98 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-5-A,342,U1410,B,2,2-5,H,5,A,118.0,131.0,10.98,11.11,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,0.0,19.0,11.11,11.3,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,19.0,30.0,11.3,11.41,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,Gradational color and lithology between over and underlying intervals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,30.0,37.0,11.41,11.48,,clay [Leg339],,clay ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,37.0,52.0,11.48,11.63,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,52.0,55.0,11.63,11.66,,clay [Leg339],,clay ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410B-2H-6-A,342,U1410,B,2,2-6,H,6,A,55.0,61.0,11.66,11.72,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-CC-A,342,U1410,B,2,2-CC,H,CC,A,0.0,7.0,11.72,11.88,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-3H-1-A,342,U1410,B,3,3-1,H,1,A,0.0,93.0,13.3,14.23,diatomaceous [Leg339],clay [Leg339],,diatomaceous  clay ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diatomaceous   clay ,clay ,,,,,,
342-U1410B-3H-1-A,342,U1410,B,3,3-1,H,1,A,93.0,111.0,14.23,14.41,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-2-A,342,U1410,B,3,3-2,H,2,A,0.0,15.0,14.41,14.56,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-2-A,342,U1410,B,3,3-2,H,2,A,15.0,44.0,14.56,14.85,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-2-A,342,U1410,B,3,3-2,H,2,A,44.0,88.0,14.85,15.29,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-2-A,342,U1410,B,3,3-2,H,2,A,88.0,150.0,15.29,15.91,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Greyer foraminiferal silt with black pyrite blebs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-3-A,342,U1410,B,3,3-3,H,3,A,0.0,112.0,15.91,17.03,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Greyer foraminiferal silt with black pyrite blebs (few in comparison to the bottom of the previous section).,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-3-A,342,U1410,B,3,3-3,H,3,A,112.0,150.0,17.03,17.41,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 6/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-4-A,342,U1410,B,3,3-4,H,4,A,0.0,150.0,17.41,18.91,muddy [Leg339],sand [Leg339],with foraminifers [Leg339],muddy  sand  with foraminifers ,2.5Y 5/2 (grayish brown),,,,moderate_339 [DB91],4,,Muddy sand with foraminifers identified by hand lens (sediment appears wet in comparison to surrounding section in core like sands identified in other sites).  Smear slides identify this interval as a clayey foraminiferal ooze with nannofossils but with an elevated silt abundance in comparsion to surrounding sections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,muddy   sand ,sand   with foraminifers ,,,,,,
342-U1410B-3H-5-A,342,U1410,B,3,3-5,H,5,A,0.0,82.0,18.91,19.73,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-5-A,342,U1410,B,3,3-5,H,5,A,82.0,90.0,19.73,19.81,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-5-A,342,U1410,B,3,3-5,H,5,A,90.0,122.0,19.81,20.13,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-5-A,342,U1410,B,3,3-5,H,5,A,122.0,140.0,20.13,20.31,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 4/1 (dark gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-5-A,342,U1410,B,3,3-5,H,5,A,140.0,150.0,20.31,20.41,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 4/2 (dark grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-6-A,342,U1410,B,3,3-6,H,6,A,0.0,11.0,20.41,20.52,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 4/2 (dark grayish brown),,,,moderate_339 [DB91],4,,Contains two 2-3 cm wide greener grey horizons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-6-A,342,U1410,B,3,3-6,H,6,A,11.0,77.0,20.52,21.18,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-3H-6-A,342,U1410,B,3,3-6,H,6,A,77.0,101.0,21.18,21.42,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils [Leg339],2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils [Leg339],,,,,,
342-U1410B-3H-7-A,342,U1410,B,3,3-7,H,7,A,0.0,59.0,21.42,22.01,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-3H-CC-A,342,U1410,B,3,3-CC,H,CC,A,0.0,8.0,22.01,22.21,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,With mottles containing higher foraminiferal abundance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-4H-1-A,342,U1410,B,4,4-1,H,1,A,0.0,16.0,22.8,22.96,,,,,5Y 5/1 (gray),,,,,,,Fall in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1410B-4H-1-A,342,U1410,B,4,4-1,H,1,A,16.0,81.0,22.96,23.61,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Banded appearance with slightly greener intervals and a browner horizon at 59-62 cm. Sulfide/pyrite rich mottles and blebs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-4H-1-A,342,U1410,B,4,4-1,H,1,A,81.0,100.0,23.61,23.8,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 5/1 (gray),,,,moderate_339 [DB91],4,,A few sulfide mottles scattered throughout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-4H-1-A,342,U1410,B,4,4-1,H,1,A,100.0,150.0,23.8,24.3,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Two toned interval with sediments from 100-129 browner than the sediments from 129-150 cm.  A notable sulfide bleb at 110 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-4H-2-A,342,U1410,B,4,4-2,H,2,A,0.0,57.0,24.3,24.87,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,Sulfide horizons and blebes from 030 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-4H-2-A,342,U1410,B,4,4-2,H,2,A,57.0,96.0,24.87,25.26,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10Y 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-4H-2-A,342,U1410,B,4,4-2,H,2,A,96.0,150.0,25.26,25.8,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10Y 5/1 (greenish gray),,,,moderate_339 [DB91],4,,Mottled with colors ranging from sulfide bleb-blackish to redder clay rich inclusion.  The downcore progression of this interval is increasing clay rich.  Many mottles contain obvious foraminifera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
