Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1461C-6H-2-A,0,150,47.9,49.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,,,,,356,U1461,C,6,H,2,A,
356-U1461C-6H-3-A,0,150,49.4,50.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,bivalve,,,,absent [B06],0,,,,,,,356,U1461,C,6,H,3,A,
356-U1461C-6H-4-A,0,144,50.9,52.34,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,Discrete layer of peloids/ooids at 38-39 cm.,,,,356,U1461,C,6,H,4,A,
356-U1461C-6H-4-A,144,150,52.34,52.4,,,,,,,,,,,,,,,,,void,,,,356,U1461,C,6,H,4,A,
356-U1461C-6H-5-A,0,90,52.4,53.3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,moderate [B06],3,gradational,horizontal,Non-skeletal grains are present in burrows and in a discrete layer of peloids/ooids at 17-18 cm.,,,,356,U1461,C,6,H,5,A,
356-U1461C-6H-5-A,90,98,53.3,53.38,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,light gray,gastropod,,,,,,,,Densely packed ooids/peloids with skeletal grains,,,,356,U1461,C,6,H,5,A,
356-U1461C-6H-CC-A,0,10,53.38,53.48,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,6,H,CC,A,
356-U1461C-7H-1-A,0,150,55.9,57.4,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,gray,scaphopod,,,,,,,,bioclastic gravel likely is fall in,,,,356,U1461,C,7,H,1,A,
356-U1461C-7H-1-A,0,150,55.9,57.4,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,C,7,H,1,A,
356-U1461C-7H-2-A,0,21,57.4,57.61,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,gray,,,,,,,,,mixed non-skeletal sediment and fossils from drilling disturbance,,,,356,U1461,C,7,H,2,A,
356-U1461C-7H-2-A,21,32,57.61,57.72,lithified [B84],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,,,,,,,,,Lithified layer with ooids/peloids and skeletal fragments,,,,356,U1461,C,7,H,2,A,
356-U1461C-7H-2-A,32,72,57.72,58.12,partially lithified,non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1461,C,7,H,2,A,
356-U1461C-7H-2-A,72,82,58.12,58.22,,,,,,,,,,,,,,,,,void,,,,356,U1461,C,7,H,2,A,
356-U1461C-7H-2-A,82,150,58.22,58.9,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1461,C,7,H,2,A,
356-U1461C-7H-3-A,0,146,58.9,60.36,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1461,C,7,H,3,A,
356-U1461C-7H-3-A,146,150,60.36,60.4,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,bivalve,,concretion [BJ80],,slight [B06],2,,,void,,,,356,U1461,C,7,H,3,A,
356-U1461C-7H-4-A,0,150,60.4,61.9,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,cream,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1461,C,7,H,4,A,
356-U1461C-7H-5-A,0,150,61.9,63.4,unlithified [Leg194],non-skeletal grain rich,packstone [E&K72; D62],3,,non-skeletal grain rich packstone,neritic,creamy gray,,,concretion [BJ80],,slight [B06],2,,,Cemented bioturbation tubes occur as intraclasts that are overgrown with encrusting organisms,,,,356,U1461,C,7,H,5,A,
356-U1461C-7H-6-A,0,57,63.4,63.97,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1461,C,7,H,6,A,
356-U1461C-7H-6-A,57,100,63.97,64.4,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,light gray,echinoderm,,,,slight [B06],2,,,,,,,356,U1461,C,7,H,6,A,
356-U1461C-7H-7-A,0,58,64.4,64.98,partially lithified,,packstone [E&K72; D62],3,,packstone,neritic,gray,,,concretion [BJ80],,absent [B06],0,,,Ooids/peloids are still present but much less common than in the interval above,,,,356,U1461,C,7,H,7,A,
356-U1461C-7H-CC-A,0,12,64.98,65.1,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,7,H,CC,A,
356-U1461C-8H-1-A,0,36,63.5,63.86,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,gray,bivalve,,,,,,,,bioclastic gravel fall in,,,,356,U1461,C,8,H,1,A,
356-U1461C-8H-1-A,36,150,63.86,65,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,1,A,
356-U1461C-8H-2-A,0,150,65,66.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,2,A,
356-U1461C-8H-3-A,0,150,66.5,68,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,3,A,
356-U1461C-8H-4-A,0,153,68,69.53,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,4,A,
356-U1461C-8H-5-A,0,150,69.53,71.03,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,5,A,
356-U1461C-8H-6-A,0,121,71.03,72.24,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,6,A,
356-U1461C-8H-7-A,0,72,72.24,72.96,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,7,A,
356-U1461C-8H-CC-A,0,19,72.96,73.15,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,8,H,CC,A,
356-U1461C-8H-CC-A,19,29,73.15,73.25,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,8,H,CC,A,
356-U1461C-9H-1-A,0,151,73,74.51,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,1,A,
356-U1461C-9H-2-A,0,150,74.51,76.01,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,2,A,
356-U1461C-9H-3-A,0,148,76.01,77.49,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,scaphopod,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,3,A,
356-U1461C-9H-4-A,0,148,77.49,78.97,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,4,A,
356-U1461C-9H-5-A,0,147,78.97,80.44,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,bivalve,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,5,A,
356-U1461C-9H-6-A,0,146,80.44,81.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,bivalve,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,6,A,
356-U1461C-9H-7-A,0,104,81.94,82.98,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,7,A,
356-U1461C-9H-CC-A,0,13,82.98,83.11,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,9,H,CC,A,
356-U1461C-9H-CC-A,13,24,83.11,83.22,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,9,H,CC,A,
356-U1461C-10H-1-A,0,28,82.5,82.78,unlithified [Leg194],,rudstone [E&K72; D62],6,,rudstone,hemipelagic,gray,,,,,,,,,intraclast and bioclast rich gravel layer likely represents fall-in,,,,356,U1461,C,10,H,1,A,
356-U1461C-10H-1-A,28,144,82.78,83.94,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,1,A,
356-U1461C-10H-2-A,0,143,83.94,85.37,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,2,A,
356-U1461C-10H-3-A,0,144,85.37,86.81,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,3,A,
356-U1461C-10H-4-A,0,144,86.81,88.25,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,4,A,
356-U1461C-10H-5-A,0,144,88.25,89.69,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,5,A,
356-U1461C-10H-6-A,0,143,89.69,91.12,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,6,A,
356-U1461C-10H-7-A,0,111,91.12,92.23,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,7,A,
356-U1461C-10H-CC-A,0,31,92.23,92.54,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"silt sized packstone, very homogeneous",,,,356,U1461,C,10,H,CC,A,
356-U1461C-10H-CC-A,31,42,92.54,92.65,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,10,H,CC,A,
356-U1461C-11H-1-A,0,141,92,93.41,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light gray,,,,,,,,,"Unlithified, light gray Homogeneous wackestone with coarse silt size grains",,,,356,U1461,C,11,H,1,A,
356-U1461C-11H-2-A,0,141,93.41,94.82,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light gray,,,,,,,,,"Unlithified, light gray wackestone. Scaphopod",,,,356,U1461,C,11,H,2,A,
356-U1461C-11H-3-A,0,132,94.82,96.14,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, light gray mudstone with very slight glauconite. One bivalve shell",,,,356,U1461,C,11,H,3,A,
356-U1461C-11H-4-A,0,143,96.14,97.57,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray mudstone. Bivalve and gastropod. Patches of glauconite",,,,356,U1461,C,11,H,4,A,
356-U1461C-11H-5-A,0,144,97.57,99.01,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,off white,,,,,,,,,"Unlithified, off white mudstone with traces of glauconite",,,,356,U1461,C,11,H,5,A,
356-U1461C-11H-6-A,0,143,99.01,100.44,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,off white,,,,,,,,,"Unlithified, off white mudstone with traces of glauconite",,,,356,U1461,C,11,H,6,A,
356-U1461C-11H-7-A,0,149,100.44,101.93,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,off white,,,,,,,,,"Unlithified, off white homogeneous mudstone. Traces of glauconite (less than in the previous Section)",,,,356,U1461,C,11,H,7,A,
