Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1467A-3H-1-A,58,150,13.58,14.5,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,pteropod,,gastropod,fragments,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F).",,,,359,U1467,A,3,H,1,A
359-U1467A-3H-2-A,0,150,14.5,16.0,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,pteropod,,gastropod,fragments,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F).",,,,359,U1467,A,3,H,2,A
359-U1467A-3H-3-A,0,62,16.0,16.62,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (benthic),fragments,,,,,,,moderate,3,,gradational,horizontal,"WACKESTONE. Thick layered, medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,3,A
359-U1467A-3H-3-A,62,150,16.62,17.5,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (benthic),fragments,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,3,A
359-U1467A-3H-4-A,0,145,17.5,18.95,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,pteropod,,gastropod,fragments,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F).",,,,359,U1467,A,3,H,4,A
359-U1467A-3H-5-A,0,62,19.0,19.62,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (planktic),,,,,,,,moderate,3,,gradational,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,5,A
359-U1467A-3H-5-A,62,150,19.62,20.5,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 4/2 (dark grayish brown),fine sand,4,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (planktic),,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,5,A
359-U1467A-3H-6-A,0,111,20.5,21.61,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (planktic),,,,,,,,slight,2,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,6,A
359-U1467A-3H-7-A,0,59,21.61,22.2,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (planktic),,,,,,,,slight,2,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,7,A
359-U1467A-3H-CC-A,0,11,22.2,22.31,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,and bivalve fragments,foraminifera (planktic),,,,,,,,slight,2,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), benthic foraminifera (C) mollusc fragments (P).",,,,359,U1467,A,3,H,CC,A
359-U1467A-4H-1-A,0,93,22.5,23.43,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),silt,2,foraminifera (planktic),,foraminifera (benthic),,,Otolith,,,,,,,,0,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few otoliths, pteropods and black grains",,,,359,U1467,A,4,H,1,A
359-U1467A-4H-1-A,93,150,23.43,24.0,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,2.5Y 6/2 (light brownish gray),clay,1,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,absent,0,,,,"MUDSTONE with planktic and benthic foraminifera and few small gastropods, bryozoans",,,,359,U1467,A,4,H,1,A
359-U1467A-4H-2-A,0,50,24.0,24.5,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,2.5Y 6/2 (light brownish gray),clay,1,foraminifera (planktic),,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,,,"MUDSTONE with abundant planktic foraminifera and common benthic foraminifera, in addition, otoliths, echinoderm fragments are present, also, from the smear slide can be identified ascidians, aragonitic needles and calcareous nannofossils. Well sorted",,,,359,U1467,A,4,H,2,A
359-U1467A-4H-2-A,50,150,24.5,25.5,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,echinoderm,Spine,,,normal grading,,,,,,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few otoliths, pteropods and echinderm spines",,,,359,U1467,A,4,H,2,A
359-U1467A-4H-3-A,0,150,25.5,27.0,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Fine-grained PACKSTONE with planktic and benthic foraminifera and few otoliths, pteropods. Well sorted Gradual color change from 2.5 Y 5/2 at the top to 2.5 Y 6/2 at the base.",,,,359,U1467,A,4,H,3,A
359-U1467A-4H-4-A,0,145,27.0,28.45,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),Uniserials and agglutinated,gastropod,small,,,,,,,,,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few fish debris, pteropods and small gastropods. Well sorted",,,,359,U1467,A,4,H,4,A
359-U1467A-4H-5-A,0,83,28.5,29.33,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,2.5Y 6/2 (light brownish gray),clay,1,foraminifera (planktic),,foraminifera (benthic),,,otoliths,,,,,,,,,,,,MUDSTONE with planktic and benthic foraminifera and few otoliths. Well sorted,,,,359,U1467,A,4,H,5,A
359-U1467A-4H-5-A,83,150,29.33,30.0,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few otoliths, pteropods and Bivalves. Well- sorted",,,,359,U1467,A,4,H,5,A
359-U1467A-4H-6-A,0,122,30.0,31.22,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few otoliths, pteropods. Well sorted",,,,359,U1467,A,4,H,6,A
359-U1467A-4H-7-A,0,67,31.22,31.89,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Fine-grained WACKESTONE with planktic and benthic foraminifera and few otoliths, pteropods. Well sorted",,,,359,U1467,A,4,H,7,A
359-U1467A-4H-CC-A,0,10,31.89,31.99,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,,,,,,Fine-grained WACKESTONE with planktic and benthic foraminifera and few shell fragments. Well sorted,,,,359,U1467,A,4,H,CC,A
