Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
369-U1513D-5R-1-A,18,31,123.98,124.11,II,,,,silicified,limestone [USGS],,silicified limestone,,,5Y 8/1 (yellowish gray),,,,,,,,,,low,2,Chondrites and planolites recognized,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,5,R,1,A
369-U1513D-5R-CC-A,0,40,124.11,124.51,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,,,,,low,2,Chondrites and planolites recognized,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,5,R,CC,A
369-U1513D-6R-1-A,0,104,133.4,134.44,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),mottled,,,,,clay [W22_1],1,nodule,carbonate,low,2,"silicified limestone nodules at 18, 28-34 cm",color boundary or contact,straight,gradational,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,6,R,1,A
369-U1513D-6R-1-A,104,116,134.44,134.56,II,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 6/N (gray),mottled,,,,,clay [W22_1],1,,,high,3,Chondrites and planolites,uncertain boundary or contact,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1513,D,6,R,1,A
369-U1513D-6R-1-A,116,121,134.56,134.61,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,thin bed [B01],clay [W22_1],1,,,low,2,,uncertain boundary or contact,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,6,R,1,A
369-U1513D-6R-1-A,121,132,134.61,134.72,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 8/N (white),mottled,,,,,clay [W22_1],1,,,low,2,disturbed by drilling,,,,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,6,R,1,A
369-U1513D-6R-2-A,0,31,134.82,135.13,II,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,GLEY 1 8/N (white),mottled,,,,,clay [W22_1],1,,,low,2,Shell fragments are present at 10-15 cm,,,,,,,,shell fragment,common,clayey calcareous chalk,calcareous chalk,,,,369,U1513,D,6,R,2,A
369-U1513D-6R-2-A,31,38,135.13,135.2,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,thin bed [B01],clay [W22_1],1,,,sparse,1,,irregular boundary or contact,,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,6,R,2,A
369-U1513D-6R-2-A,38,72,135.2,135.54,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),mottled,,,,,clay [W22_1],1,,,sparse,1,,color boundary or contact,straight,gradational,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,6,R,2,A
369-U1513D-6R-2-A,72,83,135.54,135.65,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/N (light gray),,,,,,clay [W22_1],1,nodule,carbonate,high,3,"silicified limestone nodules at 81-86 cm, Inoceramid shells at 75-76 cm.",uncertain boundary or contact,,,,,,,shell fragment,trace,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,6,R,2,A
369-U1513D-6R-CC-A,7,19,135.72,135.84,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,clay [W22_1],1,,,sparse,1,heavily brecciated,uncertain boundary or contact,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,6,R,CC,A
369-U1513D-7R-1-A,0,24,143.0,143.24,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,heavily brecciated,uncertain boundary or contact,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,7,R,1,A
369-U1513D-7R-1-A,24,64,143.24,143.64,II,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,,,"Gradational change in color uphole (light greenish gray, to gray, to greenish gray to light greenish gray between 64 to 24 cm.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1513,D,7,R,1,A
369-U1513D-7R-1-A,64,80,143.64,143.8,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,sparse,1,,sharp boundary or contact,sharp,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,7,R,1,A
369-U1513D-7R-1-A,80,108,143.8,144.08,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,7,R,1,A
369-U1513D-7R-2-A,0,10,144.12,144.22,II,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,,clay [W22_1],1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1513,D,7,R,2,A
369-U1513D-7R-2-A,10,26,144.22,144.38,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,medium bed [B01],clay [W22_1],1,,,moderate,2,Six vertical burrows with a black clay infill are present between 10 to 20 cm.,sharp boundary or contact,sharp,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,7,R,2,A
369-U1513D-7R-2-A,26,49,144.38,144.61,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,sparse,1,Horizontal burrow with a black clay infill is present at 37 cm.,sharp boundary or contact,straight,sharp,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,7,R,2,A
369-U1513D-7R-2-A,49,54,144.61,144.66,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,7,R,2,A
369-U1513D-7R-CC-A,6,14,144.72,144.8,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,none,0,,uncertain boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,7,R,CC,A
369-U1513D-7R-CC-A,14,31,144.8,144.97,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,medium bed [B01],clay [W22_1],1,,,none,0,Horizontal burrow present at 25 cm.,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,7,R,CC,A
369-U1513D-8R-1-A,0,12,152.6,152.72,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,low,2,,uncertain boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,12,27,152.72,152.87,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,medium bed [B01],clay [W22_1],1,,,low,2,Heavily brecciated,uncertain boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,27,59,152.87,153.19,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),mottled,,,,,clay [W22_1],1,,,low,2,"Gradational change in color uphole (light greenish gray, to white to light greenish gray between 59 to 27 cm.",uncertain boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,59,63,153.19,153.23,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,medium bed [B01],clay [W22_1],1,,,none,0,Heavily brecciated,irregular boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,63,89,153.23,153.49,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,interlamination,,,,clay [W22_1],1,,,moderate,2,Thin laminations of claystone between nannofossil chalk and silicified limestone at 89 cm.,irregular boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,89,102,153.49,153.62,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,medium bed [B01],clay [W22_1],1,,,low,2,Heavily brecciated,irregular boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,102,127,153.62,153.87,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,medium bed [B01],clay [W22_1],1,,,low,2,Severe biscuits.,irregular boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-1-A,127,150,153.87,154.1,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,1,A
369-U1513D-8R-2-A,0,48,154.1,154.58,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,interlamination,,,,clay [W22_1],1,,,moderate,2,"Thin laminations of claystone between nannofossil chalk and silicified limestone at 16, 28, 32 and 43 cm.",uncertain boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,2,A
369-U1513D-8R-2-A,48,54,154.58,154.64,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,,clay [W22_1],1,,,sparse,1,,sharp boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,2,A
369-U1513D-8R-2-A,54,72,154.64,154.82,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,nodule,carbonate,moderate,2,Silicified limestone nodules present at 68 and 70 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,8,R,2,A
369-U1513D-8R-CC-A,0,20,154.85,155.05,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,8,R,CC,A
369-U1513D-9R-1-A,0,9,162.2,162.29,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,9,R,1,A
369-U1513D-9R-1-A,9,41,162.29,162.61,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,high,3,Bioturbation increases from the top to the bottom. Planolites are present in this interval.,color boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,9,R,1,A
369-U1513D-9R-1-A,41,48,162.61,162.68,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,sparse,1,,uncertain boundary or contact,irregular,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,9,R,1,A
369-U1513D-9R-1-A,48,98,162.68,163.18,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,low,2,,uncertain boundary or contact,irregular,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,9,R,1,A
369-U1513D-9R-1-A,98,118,163.18,163.38,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,low,2,Heavily brecciated,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,9,R,1,A
369-U1513D-9R-2-A,0,29,163.38,163.67,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),mottled,,,,,clay [W22_1],1,,,moderate,2,Heavily brecciated,gradational boundary or contact,gradational,gradational,,,,,,,silicified limestone,limestone,,,,369,U1513,D,9,R,2,A
369-U1513D-9R-2-A,29,52,163.67,163.9,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,low,2,High bioturbation is present at 36-38 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,9,R,2,A
369-U1513D-9R-CC-A,0,11,163.9,164.01,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,9,R,CC,A
369-U1513D-10R-1-A,0,32,171.8,172.12,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,nodule,ca carbonate,moderate,2,Nodules of silicified limestone are present at 3 and 9-22 cm,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,1,A
369-U1513D-10R-1-A,32,131,172.12,173.11,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,1,A
369-U1513D-10R-1-A,131,148,173.11,173.28,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,nodule,ca carbonate,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,1,A
369-U1513D-10R-2-A,0,92,173.28,174.2,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,Medium lamination with high bioturbation is present at 79-83 cm.,,,,,,,,shell,trace,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,2,A
369-U1513D-10R-2-A,92,96,174.2,174.24,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,10,R,2,A
369-U1513D-10R-2-A,96,130,174.24,174.58,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,2,A
369-U1513D-10R-3-A,0,52,174.58,175.1,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,3,A
369-U1513D-10R-CC-A,0,24,175.1,175.34,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,10,R,CC,A
369-U1513D-11R-1-A,0,22,181.4,181.62,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,22,34,181.62,181.74,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,34,55,181.74,181.95,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,55,66,181.95,182.06,II,,,,,nannofossil chalk,,nannofossil chalk,,,10Y 4/1 (dark greenish gray),mottled,,,,,clay [W22_1],1,,,high,3,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,66,90,182.06,182.3,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,90,100,182.3,182.4,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-1-A,100,126,182.4,182.66,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,1,A
369-U1513D-11R-2-A,0,20,182.66,182.86,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-2-A,20,37,182.86,183.03,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-2-A,37,55,183.03,183.21,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-2-A,55,70,183.21,183.36,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-2-A,70,102,183.36,183.68,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-2-A,102,129,183.68,183.95,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,2,A
369-U1513D-11R-3-A,0,82,183.95,184.77,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,3,A
369-U1513D-11R-3-A,82,84,184.77,184.79,II,,,,,nannofossil chalk,,nannofossil chalk,,,10Y 4/1 (dark greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,3,A
369-U1513D-11R-3-A,84,121,184.79,185.16,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,3,A
369-U1513D-11R-4-A,0,136,185.16,186.52,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,4,A
369-U1513D-11R-4-A,136,148,186.52,186.64,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,4,A
369-U1513D-11R-5-A,0,21,186.64,186.85,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,5,A
369-U1513D-11R-5-A,21,54,186.85,187.18,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,5,A
369-U1513D-11R-5-A,54,63,187.18,187.27,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,5,A
369-U1513D-11R-CC-A,0,10,187.27,187.37,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,11,R,CC,A
369-U1513D-12R-1-A,0,10,191.0,191.1,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,12,R,1,A
369-U1513D-12R-1-A,10,13,191.1,191.13,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 8/N (white),massive [BJ84],,,,,clay [W22_1],1,nodule,carbonate,none,0,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,12,R,1,A
369-U1513D-12R-1-A,13,110,191.13,192.1,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,12,R,1,A
369-U1513D-12R-2-A,0,47,192.1,192.57,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 8/10Y (light greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,gradational boundary or contact,gradational,gradational,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,12,R,2,A
369-U1513D-12R-2-A,47,50,192.57,192.6,II,,,,,nannofossil chalk,,nannofossil chalk,,,GLEY 1 6/5GY (greenish gray),mottled,,,,,clay [W22_1],1,,,moderate,2,,gradational boundary or contact,gradational,gradational,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1513,D,12,R,2,A
