Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
371-U1510B-1H-6-A,0,12.0,7.5,7.62,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,6,A,,,
371-U1510B-1H-6-A,12,47.0,7.62,7.97,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 6/2 (light brownish gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,1,H,6,A,,,
371-U1510B-1H-6-A,47,101.0,7.97,8.51,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,6,A,,,
371-U1510B-1H-7-A,0,58.0,8.56,9.14,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,7,A,,,
371-U1510B-1H-CC-A,0,6.0,9.14,9.2,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,1,H,CC,A,,,
371-U1510B-2H-1-A,0,145.0,9.3,10.75,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,1,A,,,
371-U1510B-2H-2-A,0,50.0,10.8,11.3,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,2,A,,,
371-U1510B-2H-2-A,50,150.0,11.3,12.3,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,2,H,2,A,,,
371-U1510B-2H-3-A,0,32.0,12.3,12.62,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,2,H,3,A,,,
371-U1510B-2H-3-A,32,150.0,12.62,13.8,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,3,A,,,
371-U1510B-2H-4-A,0,150.0,13.8,15.3,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,4,A,,,
371-U1510B-2H-5-A,0,150.0,15.3,16.8,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,5,A,,,
371-U1510B-2H-6-A,0,12.0,16.8,16.92,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,2,H,6,A,,,
371-U1510B-2H-6-A,12,115.0,16.92,17.95,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,2,H,6,A,,,
371-U1510B-2H-7-A,0,51.0,18.0,18.51,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,2,H,7,A,,,
371-U1510B-2H-CC-A,0,5.0,18.51,18.56,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,2,H,CC,A,,,
371-U1510B-3H-1-A,0,45.0,18.8,19.25,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,1,A,,,
371-U1510B-3H-1-A,45,56.0,19.25,19.36,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,1,A,,,
371-U1510B-3H-1-A,56,145.0,19.36,20.25,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,1,A,,,
371-U1510B-3H-2-A,0,51.0,20.3,20.81,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,2,A,,,
371-U1510B-3H-2-A,51,91.0,20.81,21.21,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,2,A,,,
371-U1510B-3H-2-A,91,150.0,21.21,21.8,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,2,A,,,
371-U1510B-3H-3-A,0,150.0,21.8,23.3,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,3,A,,,
371-U1510B-3H-4-A,0,20.0,23.3,23.5,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,4,A,,,
371-U1510B-3H-4-A,20,75.0,23.5,24.05,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,4,A,,,
371-U1510B-3H-4-A,75,88.0,24.05,24.18,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,4,A,,,
371-U1510B-3H-4-A,88,150.0,24.18,24.8,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,4,A,,,
371-U1510B-3H-5-A,0,60.0,24.8,25.4,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,5,A,,,
371-U1510B-3H-5-A,60,100.0,25.4,25.8,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,5,A,,,
371-U1510B-3H-6-A,0,73.0,25.8,26.53,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,3,H,6,A,,,
371-U1510B-3H-6-A,73,115.0,26.53,26.95,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,6,A,,,
371-U1510B-3H-7-A,0,27.0,27.0,27.27,,,,,bioclastic,nannofossil ooze,,bioclastic nannofossil ooze,,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,bioclastic nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,7,A,,,
371-U1510B-3H-7-A,27,81.0,27.27,27.81,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,3,H,7,A,,,
371-U1510B-4H-1-A,0,145.0,28.3,29.75,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,1,A,,,
371-U1510B-4H-2-A,0,87.0,29.8,30.67,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,2,A,,,
371-U1510B-4H-2-A,87,150.0,30.67,31.3,,,,,bioclastic,nannofossil ooze,,bioclastic nannofossil ooze,pyrite,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,bioclastic nannofossil ooze,nannofossil ooze,,,,371,U1510,B,4,H,2,A,,,
371-U1510B-4H-3-A,0,150.0,31.3,32.8,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,3,A,,,
371-U1510B-4H-4-A,0,50.0,32.8,33.3,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,4,A,,,
371-U1510B-4H-4-A,50,150.0,33.3,34.3,,,,,bioclastic,nannofossil ooze,,bioclastic nannofossil ooze,pyrite,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,bioclastic nannofossil ooze,nannofossil ooze,,,,371,U1510,B,4,H,4,A,,,
371-U1510B-4H-5-A,0,145.0,34.3,35.75,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,5,A,,,
371-U1510B-4H-6-A,0,98.0,35.8,36.78,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,6,A,,,
371-U1510B-4H-CC-A,0,11.0,36.78,36.89,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,4,H,CC,A,,,
371-U1510B-5H-1-A,0,145.0,37.8,39.25,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,section completely destroyed,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,1,A,,,
371-U1510B-5H-2-A,0,150.0,39.3,40.8,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,2,A,,,
371-U1510B-5H-3-A,0,150.0,40.8,42.3,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,3,A,,,
371-U1510B-5H-4-A,0,78.0,42.3,43.08,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,color boundary or contact,,diffuse,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,4,A,,,
371-U1510B-5H-4-A,78,109.0,43.08,43.39,,,,,bioclastic,nannofossil ooze,,bioclastic nannofossil ooze,pyrite,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,bioclastic nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,4,A,,,
371-U1510B-5H-4-A,109,150.0,43.39,43.8,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,4,A,,,
371-U1510B-5H-5-A,0,25.0,43.8,44.05,,,,,bioclastic,nannofossil ooze,,bioclastic nannofossil ooze,pyrite,,2.5Y 7/1 (light gray),,,,,,silt [W22_1],2,,,slight [B06],2,,color boundary or contact,,diffuse,,,,,,,bioclastic nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,5,A,,,
371-U1510B-5H-5-A,25,145.0,44.05,45.25,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,5,A,,,
371-U1510B-5H-6-A,0,125.0,45.3,46.55,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,6,A,,,
371-U1510B-5H-CC-A,0,21.0,46.55,46.76,,,,,,nannofossil ooze,,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1510,B,5,H,CC,A,,,
371-U1510B-6H-1-A,0,145.0,47.3,48.75,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,1,A,,,
371-U1510B-6H-2-A,0,150.0,48.8,50.3,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,2,A,,,
371-U1510B-6H-3-A,0,150.0,50.3,51.8,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,3,A,,,
371-U1510B-6H-4-A,0,150.0,51.8,53.3,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,4,A,,,
371-U1510B-6H-5-A,0,150.0,53.3,54.8,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,5,A,,,
371-U1510B-6H-6-A,0,106.0,54.8,55.86,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,6,A,,,
371-U1510B-6H-7-A,0,52.0,55.9,56.42,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,7,A,,,
371-U1510B-6H-CC-A,0,11.0,56.42,56.53,,,,,,nannofossil ooze,with foraminifers [2014],nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Some faint blebs of pyrite. Patchy brown coloration.,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,6,H,CC,A,,,
371-U1510B-7H-1-A,0,145.0,56.8,58.25,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,very fine sand [W22_2],3,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,7,H,1,A,,,
371-U1510B-7H-2-A,0,150.0,58.3,59.8,,,,,foraminiferal,nannofossil ooze,,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,fine sand [W22_2],4,,,slight [B06],2,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1510,B,7,H,2,A,,,
371-U1510B-7H-3-A,0,15.0,59.8,59.95,,,,,nannofossil-rich,foraminiferal ooze,,nannofossil-rich foraminiferal ooze,,,N 8.5 (white),bed,,,,,fine sand [W22_2],4,,,slight [B06],2,,,,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1510,B,7,H,3,A,,,
371-U1510B-7H-3-A,15,143.0,59.95,61.23,,,,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Pyrite blebs,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,7,H,3,A,,,
371-U1510B-7H-3-A,143,150.0,61.23,61.3,,,,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,Pyrite blebs,,,,,,,,,,nannofossil ooze,nannofossil ooze with foraminifers,,,,371,U1510,B,7,H,3,A,,,
