Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
363-U1483B-2H-7-A,0,6,10.79,10.85,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-7-A,6,74,10.85,11.53,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-7-A,74,90,11.53,11.69,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-2H-CC-A,0,16,11.69,11.85,foraminifer-bearing [X363],nannofossil ooze [Leg339],foraminifer-bearing nannofossil ooze,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-1-A,0,30,11.5,11.8,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-1-A,30,150,11.8,13,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-2-A,0,150,13,14.5,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments; 23-26 cm: gas expansion crak,,,,,,,,,,,,
363-U1483B-3H-3-A,0,23,14.5,14.73,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-3-A,26,150,14.76,16,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-4-A,0,34,16,16.34,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-4-A,34,150,16.34,17.5,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,"pteropod fragments, glauconite patch 116-117 cm",,,,,,,,,,,,
363-U1483B-3H-5-A,0,150,17.5,19,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments; gas expansion cracks common,,,,,,,,,,,,
363-U1483B-3H-6-A,0,25,19,19.25,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-6-A,25,150,19.25,20.5,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-7-A,0,30,20.5,20.8,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-7-A,30,36,20.8,20.86,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5G 4/1 (dark greenish gray),moderate [DB86],,,,,,glauconite layer,,,,,,,,,,,,
363-U1483B-3H-7-A,36,59,20.86,21.09,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-3H-CC-A,0,21,21.09,21.3,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,pteropod fragments,,,,,,,,,,,,
363-U1483B-4H-1-A,0,146,21,22.46,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-2-A,0,146,22.46,23.92,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-3-A,0,98,23.92,24.9,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-3-A,98,100,24.9,24.92,,ash(tuff) [MMK88m],ash(tuff),,10Y 3/1 (very dark greenish gray),heavy [DB86],,,,,,tephra,,,,,,,,,,,,
363-U1483B-4H-3-A,100,146,24.92,25.38,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-4-A,0,32,25.38,25.7,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-4-A,32,147,25.7,26.85,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-5-A,0,146,26.85,28.31,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-6-A,0,42,28.31,28.73,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-6-A,42,146,28.73,29.77,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-7-A,0,40,29.77,30.17,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-7-A,40,94,30.17,30.71,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-4H-CC-A,0,18,30.71,30.89,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5GY 4/1 (dark greenish gray),heavy [DB86],,,,,,sponge spicule fragments common,,,,,,,,,,,,
363-U1483B-5H-1-A,0,29,30.5,30.79,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-1-A,29,150,30.79,32,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-2-A,0,146,32,33.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-3-A,0,145,33.46,34.91,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-4-A,0,146,34.91,36.37,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-5-A,0,145,36.37,37.82,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-6-A,0,30,37.82,38.12,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-6-A,30,75,38.12,38.57,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-5H-6-A,75,147,38.57,39.29,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,"Very organic rich, with pieces of wood",,,,,,,,,,,,
363-U1483B-5H-7-A,0,87,39.29,40.16,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,"Very organic rich, with pieces of wood",,,,,,,,,,,,
363-U1483B-5H-CC-A,0,20,40.16,40.36,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,"Very organic rich, with pieces of wood",,,,,,,,,,,,
363-U1483B-6H-1-A,0,146,40,41.46,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,An odd vertical structure from 100-140cm,,,,,,,,,,,,
363-U1483B-6H-2-A,0,142,41.46,42.88,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-3-A,0,50,42.88,43.38,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-3-A,50,146,43.38,44.34,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-4-A,0,14,44.34,44.48,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-4-A,14,147,44.48,45.81,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-5-A,0,100,45.81,46.81,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-5-A,100,145,46.81,47.26,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-6-A,0,147,47.26,48.73,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-7-A,0,103,48.73,49.76,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-6H-CC-A,0,11,49.76,49.87,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-1-A,0,132,49.5,50.82,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-1-A,132,146,50.82,50.96,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-2-A,0,147,50.96,52.43,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-3-A,0,32,52.43,52.75,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-3-A,32,147,52.75,53.9,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-4-A,0,33,53.9,54.23,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-4-A,33,146,54.23,55.36,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-5-A,0,79,55.36,56.15,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5GY 8/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-5-A,79,145,56.15,56.81,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-6-A,0,93,56.81,57.74,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,10Y 4/1 (dark greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-6-A,93,145,57.74,58.26,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-7-A,0,95,58.26,59.21,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-7H-CC-A,0,20,59.21,59.41,foraminiferal-bearing radiolarian-bearing [X363],nannofossil clay [X363],foraminiferal-bearing radiolarian-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-1-A,0,146,59,60.46,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-2-A,0,30,60.46,60.76,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-2-A,30,145,60.76,61.91,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-3-A,0,30,61.91,62.21,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-3-A,30,106,62.21,62.97,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-3-A,106,147,62.97,63.38,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-4-A,0,65,63.38,64.03,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-4-A,65,145,64.03,64.83,nannofossil-rich [X363],diatom ash [X363],nannofossil-rich diatom ash,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-5-A,0,43,64.83,65.26,nannofossil-rich [X363],diatom ash [X363],nannofossil-rich diatom ash,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-5-A,44,45,65.27,65.28,,ash(tuff) [MMK88m],ash(tuff),,,,,,,,,,,,,,,,,,,,,
363-U1483B-8H-5-A,45,55,65.28,65.38,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-5-A,55,145,65.38,66.28,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-6-A,0,55,66.28,66.83,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-6-A,55,147,66.83,67.75,diatom-bearing radiolarian-bearing [X363],nannofossil clay [X363],diatom-bearing radiolarian-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-7-A,0,77,67.75,68.52,diatom-bearing radiolarian-bearing [X363],nannofossil clay [X363],diatom-bearing radiolarian-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-7-A,77,100,68.52,68.75,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-8H-CC-A,0,26,68.75,69.01,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-1-A,0,146,68.5,69.96,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-2-A,0,40,69.96,70.36,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-2-A,40,146,70.36,71.42,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-3-A,0,146,71.42,72.88,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-4-A,0,75,72.88,73.63,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-4-A,75,146,73.63,74.34,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-5-A,0,146,74.34,75.8,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-6-A,0,80,75.8,76.6,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-6-A,80,146,76.6,77.26,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-7-A,0,93,77.26,78.19,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-9H-CC-A,0,3,78.19,78.22,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,5GY 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-10H-1-A,0,145,78,79.45,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-10H-2-A,0,146,79.45,80.91,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
363-U1483B-10H-3-A,0,145,80.91,82.36,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,
