Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1432C-1H-4-A,25,145,4.59,5.79,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,very thick bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,4,A
349-U1432C-1H-5-A,0,28,5.84,6.12,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,5,A
349-U1432C-1H-5-A,28,71,6.12,6.55,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,,thick bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,5,A
349-U1432C-1H-5-A,71,91,6.55,6.75,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,,medium bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,5,A
349-U1432C-1H-5-A,91,130,6.75,7.14,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,thick bed [B01],lamination,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,5,A
349-U1432C-1H-6-A,0,67,7.14,7.81,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,thick bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,6,A
349-U1432C-1H-CC-A,0,9,7.81,7.9,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,,,medium bed [B01],lamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,1,H,CC,A
349-U1432C-2H-1-A,0,53,7.9,8.43,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-1-A,53,86,8.43,8.76,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-1-A,86,95,8.76,8.85,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-1-A,95,105,8.85,8.95,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-1-A,105,122,8.95,9.12,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-1-A,122,150,9.12,9.4,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,1,A
349-U1432C-2H-2-A,0,9,9.4,9.49,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,9,37,9.49,9.77,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,37,51,9.77,9.91,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,51,65,9.91,10.05,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,65,79,10.05,10.19,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,79,115,10.19,10.55,,clay [Leg339],,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-2-A,115,145,10.55,10.85,,clay [Leg339],with foraminifers [Leg339],clay ,clay with foraminifers ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,gradational,horizontal,thick bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,2,A
349-U1432C-2H-3-A,0,27,10.9,11.17,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,27,30,11.17,11.2,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,30,53,11.2,11.43,,clay [Leg339],with nannofossils [Leg339],clay ,clay with nannofossils ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,53,58,11.43,11.48,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,58,63,11.48,11.53,,clay [Leg339],with nannofossils [Leg339],clay ,clay with nannofossils ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thin bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,63,66,11.53,11.56,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,66,101,11.56,11.91,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,101,105,11.91,11.95,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,105,121,11.95,12.11,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,121,124,12.11,12.14,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-3-A,124,145,12.14,12.35,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,3,A
349-U1432C-2H-4-A,0,10,12.4,12.5,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,10,19,12.5,12.59,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,19,31,12.59,12.71,,clay [Leg339],with nannofossils [Leg339],clay ,clay with nannofossils ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,31,37,12.71,12.77,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,37,55,12.77,12.95,,clay [Leg339],with nannofossils [Leg339],clay ,clay with nannofossils ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,55,60,12.95,13.0,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,60,66,13.0,13.06,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,66,71,13.06,13.11,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,thin bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-4-A,71,96,13.11,13.36,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,,,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,4,A
349-U1432C-2H-5-A,0,5,13.41,13.46,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,thick bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,5,A
349-U1432C-2H-5-A,5,12,13.46,13.53,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,5,A
349-U1432C-2H-5-A,12,27,13.53,13.68,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,5,A
349-U1432C-2H-5-A,27,31,13.68,13.72,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,100,,,,planar,horizontal,medium bed [B01],graded bedding,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,5,A
349-U1432C-2H-5-A,31,38,13.72,13.79,,clay [Leg339],,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1432,C,2,H,5,A
