Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1483C-2H-4-A,0,150,10.8,12.3,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,hollow burrow,,,,,,,,,,,,,363,U1483,C,2,H,4,A,
363-U1483C-2H-5-A,0,51,12.3,12.81,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,pteropods fragments,,,,,,,,,,,,,363,U1483,C,2,H,5,A,
363-U1483C-2H-5-A,51,150,12.81,13.8,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,5Y 4/1 (dark gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,2,H,5,A,
363-U1483C-2H-6-A,0,150,13.8,15.3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,foraminiferal-rich patches,,,,,,,,,,,,,363,U1483,C,2,H,6,A,
363-U1483C-2H-7-A,0,56,15.3,15.86,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,2,H,7,A,
363-U1483C-2H-CC-A,0,22,15.86,16.08,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,2,H,CC,A,
363-U1483C-3H-1-A,0,20,15.8,16,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,3,H,1,A,
363-U1483C-3H-1-A,20,150,16,17.3,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,1,A,
363-U1483C-3H-2-A,0,94,17.3,18.24,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,2,A,
363-U1483C-3H-2-A,94,150,18.24,18.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,2,A,
363-U1483C-3H-3-A,0,150,18.8,20.3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,3,A,
363-U1483C-3H-4-A,0,150,20.3,21.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,4,A,
363-U1483C-3H-5-A,0,150,21.8,23.3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,pteropods fragments,,,,,,,,,,,,,363,U1483,C,3,H,5,A,
363-U1483C-3H-6-A,0,6,23.3,23.36,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,3,H,6,A,
363-U1483C-3H-6-A,6,133,23.36,24.63,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,about 5% diatom but not an option,,,,,,,,,,,,,363,U1483,C,3,H,6,A,
363-U1483C-3H-7-A,0,62,24.63,25.25,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,diatom-bearing,,,,,,,,,,,,,363,U1483,C,3,H,7,A,
363-U1483C-3H-CC-A,0,23,25.25,25.48,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"diatom-bearing, pteropods fragments",,,,,,,,,,,,,363,U1483,C,3,H,CC,A,
363-U1483C-4H-1-A,0,18,25.3,25.48,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,1,A,
363-U1483C-4H-1-A,18,150,25.48,26.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,1,A,
363-U1483C-4H-2-A,0,37,26.8,27.17,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,pteropods fragments,,,,,,,,,,,,,363,U1483,C,4,H,2,A,
363-U1483C-4H-2-A,37,73,27.17,27.53,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,chondrite inchofacies,,,,,,,,,,,,,363,U1483,C,4,H,2,A,
363-U1483C-4H-2-A,73,75,27.53,27.55,,ash(tuff) [MMK88m],ash(tuff),,5Y 3/1 (very dark gray),slight [DB86],,,,,,tephra layer,,,,,,,,,,,,,363,U1483,C,4,H,2,A,
363-U1483C-4H-2-A,75,150,27.55,28.3,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,2,A,
363-U1483C-4H-3-A,0,150,28.3,29.8,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,3,A,
363-U1483C-4H-4-A,0,55,29.8,30.35,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,4,A,
363-U1483C-4H-4-A,55,150,30.35,31.3,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,4,A,
363-U1483C-4H-5-A,0,110,31.3,32.4,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,5,A,
363-U1483C-4H-5-A,110,150,32.4,32.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 5/1 (gray),heavy [DB86],,,,,,about 5% diatom but not an option,,,,,,,,,,,,,363,U1483,C,4,H,5,A,
363-U1483C-4H-6-A,0,130,32.8,34.1,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 5/1 (gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,6,A,
363-U1483C-4H-7-A,0,62,34.1,34.72,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,pteropods fragments,,,,,,,,,,,,,363,U1483,C,4,H,7,A,
363-U1483C-4H-CC-A,0,8,34.72,34.8,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,4,H,CC,A,
363-U1483C-5H-1-A,0,12,34.8,34.92,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,5,H,1,A,
363-U1483C-5H-1-A,12,110,34.92,35.9,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,1,A,
363-U1483C-5H-1-A,110,150,35.9,36.3,clay-bearing foraminiferal-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,1,A,
363-U1483C-5H-2-A,0,150,36.3,37.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,2,A,
363-U1483C-5H-3-A,0,150,37.8,39.3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,3,A,
363-U1483C-5H-4-A,0,150,39.3,40.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,4,A,
363-U1483C-5H-5-A,0,42,40.8,41.22,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,5,A,
363-U1483C-5H-5-A,42,150,41.22,42.3,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 4/1 (dark gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,5,A,
363-U1483C-5H-6-A,0,130,42.3,43.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,6,A,
363-U1483C-5H-7-A,0,62,43.6,44.22,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,7,A,
363-U1483C-5H-CC-A,0,15,44.22,44.37,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,5,H,CC,A,
363-U1483C-6H-1-A,0,29,44.3,44.59,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,6,H,1,A,
363-U1483C-6H-1-A,29,125,44.59,45.55,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"diverse biogenic components such as radiolarians, diatoms, sponge spicules, and difnoflagellates",,,,,,,,,,,,,363,U1483,C,6,H,1,A,
363-U1483C-6H-1-A,125,150,45.55,45.8,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,1,A,
363-U1483C-6H-2-A,0,150,45.8,47.3,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,2,A,
363-U1483C-6H-3-A,0,150,47.3,48.8,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,3,A,
363-U1483C-6H-4-A,0,150,48.8,50.3,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,4,A,
363-U1483C-6H-5-A,0,124,50.3,51.54,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,5,A,
363-U1483C-6H-5-A,124,150,51.54,51.8,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,5,A,
363-U1483C-6H-6-A,0,121,51.8,53.01,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,sponge patches,,,,,,,,,,,,,363,U1483,C,6,H,6,A,
363-U1483C-6H-7-A,0,64,53.01,53.65,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,7,A,
363-U1483C-6H-CC-A,0,25,53.65,53.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,6,H,CC,A,
363-U1483C-7H-1-A,0,17,53.8,53.97,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,1,A,
363-U1483C-7H-1-A,17,42,53.97,54.22,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,7,H,1,A,
363-U1483C-7H-1-A,42,150,54.22,55.3,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,also radiolarian-bearing,,,,,,,,,,,,,363,U1483,C,7,H,1,A,
363-U1483C-7H-2-A,0,35,55.3,55.65,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,2,A,
363-U1483C-7H-2-A,36,150,55.66,56.8,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,2,A,
363-U1483C-7H-3-A,0,150,56.8,58.3,clay-bearing diatom-bearing [X363],nannofossil ooze [Leg339],clay-bearing diatom-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,3,A,
363-U1483C-7H-4-A,0,62,58.3,58.92,clay-bearing radiolarian-rich [X363],nannofossil ooze [Leg339],clay-bearing radiolarian-rich nannofossil ooze,,5Y 4/1 (dark gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,4,A,
363-U1483C-7H-4-A,62,150,58.92,59.8,clay-bearing radiolarian-rich [X363],nannofossil ooze [Leg339],clay-bearing radiolarian-rich nannofossil ooze,,5Y 4/1 (dark gray),heavy [DB86],,,,,,actually clay-rich radiolarian-rich but not an option,,,,,,,,,,,,,363,U1483,C,7,H,4,A,
363-U1483C-7H-5-A,0,50,59.8,60.3,clay-bearing radiolarian-rich [X363],nannofossil ooze [Leg339],clay-bearing radiolarian-rich nannofossil ooze,,5Y 4/1 (dark gray),heavy [DB86],,,,,,foram-rich patches,,,,,,,,,,,,,363,U1483,C,7,H,5,A,
363-U1483C-7H-5-A,50,150,60.3,61.3,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,foram-rich patches,,,,,,,,,,,,,363,U1483,C,7,H,5,A,
363-U1483C-7H-6-A,0,130,61.3,62.6,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,6,A,
363-U1483C-7H-7-A,0,89,62.6,63.49,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,7,A,
363-U1483C-7H-CC-A,0,25,63.49,63.74,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,7,H,CC,A,
363-U1483C-8H-1-A,0,15,63.3,63.45,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,1,A,
363-U1483C-8H-1-A,15,26,63.45,63.56,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,8,H,1,A,
363-U1483C-8H-1-A,26,150,63.56,64.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,1,A,
363-U1483C-8H-2-A,0,20,64.8,65,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,2,A,
363-U1483C-8H-2-A,20,150,65,66.3,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,2.5Y 6/1 (gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,2,A,
363-U1483C-8H-3-A,0,84,66.3,67.14,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,5Y 5/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,3,A,
363-U1483C-8H-3-A,84,85,67.14,67.15,,ash(tuff) [MMK88m],ash(tuff),,5Y 8/1 (white),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,3,A,
363-U1483C-8H-3-A,85,108,67.15,67.38,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 5/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,3,A,
363-U1483C-8H-3-A,108,150,67.38,67.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,3,A,
363-U1483C-8H-4-A,0,54,67.8,68.34,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,4,A,
363-U1483C-8H-4-A,54,55,68.34,68.35,,ash(tuff) [MMK88m],ash(tuff),,5Y 2.5/1 (black),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,4,A,
363-U1483C-8H-4-A,55,84,68.35,68.64,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,4,A,
363-U1483C-8H-4-A,84,150,68.64,69.3,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,5Y 5/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,4,A,
363-U1483C-8H-5-A,0,150,69.3,70.8,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,5Y 5/2 (olive gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,5,A,
363-U1483C-8H-6-A,0,131,70.8,72.11,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,6,A,
363-U1483C-8H-7-A,0,53,72.11,72.64,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,7,A,
363-U1483C-8H-7-A,53,72,72.64,72.83,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,2.5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,7,A,
363-U1483C-8H-CC-A,0,23,72.83,73.06,clay-rich [X363],nannofossil and diatom ooze [X363],clay-rich nannofossil and diatom ooze,,2.5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1483,C,8,H,CC,A,
363-U1483C-9H-1-A,0,27,72.8,73.07,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),heavy [DB86],,,,,,"drilling disturbance, soupy",,,,,,,,,,,,,363,U1483,C,9,H,1,A,
