Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
351-U1438B-18H-4-A,351,U1438,B,18,18-4,H,4,A,,128,147,164.98,165.17,,,,40.0,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-4-A,351,U1438,B,18,18-4,H,4,A,,128,147,164.98,165.17,,,,60.0,,fine sand [2014],with silt [2014],fine sand,fine sand with silt,fine sand with silt,60.0,,N 4 (dark gray),unconsolidated [2014],fine sand [W22_2],4.0,medium sand [W22_2],5.0,Grades from coarse to finer grading from the bottom towards the top of the sequence. 25% opaque grains which are magnetic.,irregular,gradational,,,,normally graded,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-4-A,351,U1438,B,18,18-4,H,4,A,,147,150,165.17,165.2,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,0,21,165.2,165.41,,,,,,mud [2014],,mud,mud,mud,,,10YR 6/2 (light brownish gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,21,33,165.41,165.53,,,,,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,,,5Y 6/1 (gray),,clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,33,51,165.53,165.71,,0.0,intercalated 1,30.0,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,30.0,,5Y 6/1 (gray),,clay [W22_1],1.0,silt [W22_1],2.0,,,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,33,51,165.53,165.71,,1.0,intercalated 2,70.0,,fine sand [2014],with silt [2014],fine sand,fine sand with silt,fine sand with silt,70.0,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,planar,sharp,horizontal,,,normally graded,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,51,71,165.71,165.91,,,,,,clay [2014],with nannofossils [2014],clay,clay with nannofossils,clay with nannofossils,,,5Y 6/1 (gray),,clay [W22_1],1.0,silt [W22_1],2.0,,planar,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,71,84,165.91,166.04,,0.0,intercalated 1,20.0,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,20.0,,5Y 6/1 (gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,71,84,165.91,166.04,,1.0,intercalated 2,80.0,,mud [2014],with silt [2014],mud,mud with silt,mud with silt,80.0,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,planar,sharp,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-5-A,351,U1438,B,18,18-5,H,5,A,,84,120,166.04,166.4,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,clay [W22_1],1.0,silt [W22_1],2.0,dark greenish (5G 4/1) modeling at 96-100 cm.,,,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-18H-CC-A,351,U1438,B,18,18-CC,H,CC,A,,9,36,166.49,166.76,,,,,,mud [2014],,mud,mud,mud,,,10YR 4/2 (dark grayish brown),,clay [W22_1],1.0,silt [W22_1],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-19H-1-A,351,U1438,B,19,19-1,H,1,A,,0,41,166.7,167.11,,,,,nannofossil-bearing [2014b],mud [2014],with nannofossils [2014],nannofossil-bearing mud,nannofossil-bearing mud,mud,,,10R 6/2 (pale red),unconsolidated [2014],clay [W22_1],1.0,very fine sand [W22_2],3.0,,,sharp,horizontal,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],,poor [2014],,,,,,,
351-U1438B-19H-1-A,351,U1438,B,19,19-1,H,1,A,,41,65,167.11,167.35,,,,,,mud [2014],with nannofossils [2014],mud,mud,mud,,,5YR 5/2 (reddish gray),unconsolidated [2014],clay [W22_1],1.0,very fine sand [W22_2],3.0,,,gradational,horizontal,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],carbonate matrix [2014],,,,,,,,,
351-U1438B-19H-1-A,351,U1438,B,19,19-1,H,1,A,,65,146,167.35,168.16,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5Y 4/1 (dark gray),unconsolidated [2014],clay [W22_1],1.0,very fine sand [W22_2],3.0,Strongly mottled grey,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate matrix [2014],crystal matrix [2014],,poor [2014],,,,,,,
351-U1438B-19H-2-A,351,U1438,B,19,19-2,H,2,A,,0,63,168.16,168.79,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5Y 4/1 (dark gray),unconsolidated [2014],clay [W22_1],1.0,silt [W22_1],2.0,Strongly mottled grey,,,,,poor [2014],,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,carbonate matrix [2014],crystal matrix [2014],,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,0,10,168.9,169.0,,,,,,mud [2014],,mud,mud,mud,,,10YR 5/4 (yellowish brown),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,10,24,169.0,169.14,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5Y 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,silt [W22_1],2.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,24,32,169.14,169.22,,,,,,silt [2014],with fine sand [2014],silt,silt with fine sand,silt with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,32,46,169.22,169.36,,,,,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,,,5YR 4/1 (dark gray),unconsolidated [2014],fine sand [W22_2],4.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,46,78,169.36,169.68,,,,,,silt [2014],with fine sand [2014],silt,silt with fine sand,silt with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,78,93,169.68,169.83,,,,,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,,,10R 6/2 (pale red),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,93,95,169.83,169.85,,,,,,silt [2014],with fine sand [2014],silt,silt with fine sand,silt with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,95,106,169.85,169.96,,,,,,mud [2014],with ash pods [2014],mud,mud with ash pods,mud with ash pods,,,10R 6/2 (pale red),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,106,124,169.96,170.14,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5Y 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,inclined,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,124,126,170.14,170.16,,,,,,silt [2014],with fine sand [2014],silt,silt with fine sand,silt with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-1-A,351,U1438,B,20,20-1,F,1,A,,126,150,170.16,170.4,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-IW-SCCARB-ICP,351,U1438,B,20,20-2,F,2,IW,SCCARB-ICP,0,1,171.75,171.76,,,,,sandy [2014b],mud [2014],with fine sand [2014],sandy mud,sandy mud with fine sand,mud with fine sand,,,5GY 4/1 (dark greenish gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,0,5,170.4,170.45,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,5,8,170.45,170.48,,,,,sandy [2014b],silt [2014],with fine sand [2014],sandy silt,sandy silt with fine sand,silt with fine sand,,,5YR 3/2 (dark reddish brown),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,8,25,170.48,170.65,,,,,tuffaceous,mud [2014],with nannofossils [2014],tuffaceous mud,tuffaceous mud with nannofossils,mud with nannofossils,,,5Y 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,wavy,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,25,29,170.65,170.69,,,,,sandy [2014b],mud [2014],with fine sand [2014],sandy mud,sandy mud with fine sand,mud with fine sand,,,10YR 6/2 (light brownish gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,0.5cm pebbles,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,poor [2014],,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,29,91,170.69,171.31,,,,,tuffaceous,mud [2014],with nannofossils [2014],tuffaceous mud,tuffaceous mud with nannofossils,mud with nannofossils,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,wavy,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,91,99,171.31,171.39,,,,,,ash [2014],with crystals [2014],ash,ash with crystals,ash with crystals,,,5Y 6/2 (light olive gray),unconsolidated [2014],silt [W22_1],2.0,medium sand [W22_2],5.0,,,wavy,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,poor [2014],,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,99,127,171.39,171.67,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,wavy,horizontal,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,127,130,171.67,171.7,,,,,sandy [2014b],mud [2014],with fine sand [2014],sandy mud,sandy mud with fine sand,mud with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,poor [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-2-A,351,U1438,B,20,20-2,F,2,A,,130,135,171.7,171.75,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-3-A,351,U1438,B,20,20-3,F,3,A,,0,2,171.9,171.92,,,,,,mud [2014],with fine sand [2014],mud,mud with fine sand,mud with fine sand,,,N 2.5 (black),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,horizontal,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-3-A,351,U1438,B,20,20-3,F,3,A,,2,152,171.92,173.42,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-20F-CC-A,351,U1438,B,20,20-CC,F,CC,A,,0,22,173.42,173.64,,,,,nannofossil [2014b],mud [2014],,nannofossil mud,nannofossil mud,mud,,,5YR 4/1 (dark gray),unconsolidated [2014],silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,0,23,173.6,173.83,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 6/1 (gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,horizontal,,,,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,23,26,173.83,173.86,,,,,tuffaceous,siltstone [2014],with nannofossils [2014],tuffaceous siltstone,tuffaceous siltstone with nannofossils,siltstone with nannofossils,,,N 5 (gray),,silt [W22_1],2.0,medium sand [W22_2],5.0,,planar,sharp,horizontal,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,26,45,173.86,174.05,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,N 5 (gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,,gradational,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,45,88,174.05,174.48,,,,,tuffaceous,siltstone [2014],with nannofossils [2014],tuffaceous siltstone,tuffaceous siltstone with nannofossils,siltstone with nannofossils,,,N 5 (gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,horizontal,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,88,92,174.48,174.52,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,sharp,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-1-A,351,U1438,B,21,21-1,F,1,A,,92,150,174.52,175.1,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,,,,,,,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,0,13,175.1,175.23,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,irregular,gradational,horizontal,,,,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,13,22,175.23,175.32,,,,,tuffaceous,siltstone [2014],with nannofossils [2014],tuffaceous siltstone,tuffaceous siltstone with nannofossils,siltstone with nannofossils,,,N 5 (gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,irregular,,horizontal,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,22,63,175.32,175.73,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,very fine sand [W22_2],3.0,,,gradational,,,,,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,75,106,175.85,176.16,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5G 6/1 (greenish gray),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,106,132,176.16,176.42,,,,,tuffaceous,siltstone [2014],with nannofossils [2014],tuffaceous siltstone,tuffaceous siltstone with nannofossils,siltstone with nannofossils,,,N 4 (dark gray),,silt [W22_1],2.0,medium sand [W22_2],5.0,,,gradational,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-2-A,351,U1438,B,21,21-2,F,2,A,,132,140,176.42,176.5,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 4 (dark gray),,fine sand [W22_2],4.0,coarse sand [W22_2],6.0,,,,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-3-A,351,U1438,B,21,21-3,F,3,A,,0,116,176.5,177.66,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-21F-CC-A,351,U1438,B,21,21-CC,F,CC,A,,0,11,177.66,177.77,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 4 (dark gray),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-1-A,351,U1438,B,22,22-1,F,1,A,,0,26,177.8,178.06,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 3 (very dark gray),consolidated [2014],very fine sand [W22_2],3.0,medium sand [W22_2],5.0,,,sharp,,,,,cross-lamination,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-1-A,351,U1438,B,22,22-1,F,1,A,,26,50,178.06,178.3,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],,nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone,tuffaceous mudstone,,,N 5 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,wavy,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-1-A,351,U1438,B,22,22-1,F,1,A,,50,92,178.3,178.72,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],,nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone,tuffaceous mudstone,,,N 5 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,sharp,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-1-A,351,U1438,B,22,22-1,F,1,A,,92,115,178.72,178.95,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],,nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone,tuffaceous mudstone,,,N 6 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-1-A,351,U1438,B,22,22-1,F,1,A,,115,150,178.95,179.3,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],,nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone,tuffaceous mudstone,,,N 5 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-2-A,351,U1438,B,22,22-2,F,2,A,,0,33,179.3,179.63,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],,nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone,tuffaceous mudstone,,,N 6 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,,,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-2-A,351,U1438,B,22,22-2,F,2,A,,33,49,179.63,179.79,,,,,tuffaceous,sandstone [2014],with nannofossils [2014],tuffaceous sandstone,tuffaceous sandstone with nannofossils,sandstone with nannofossils,,,N 3 (very dark gray),consolidated [2014],fine sand [W22_2],4.0,medium sand [W22_2],5.0,,,sharp,,,,,cross-lamination,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-2-A,351,U1438,B,22,22-2,F,2,A,,49,85,179.79,180.15,,,,,nannofossil [2014b],tuffaceous mudstone [2014b],with crystals [2014],nannofossil tuffaceous mudstone,nannofossil tuffaceous mudstone with crystals,tuffaceous mudstone with crystals,,,N 6 (gray),consolidated [2014],silt [W22_1],2.0,very fine sand [W22_2],3.0,crystals are mafic minerals,,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-22F-2-A,351,U1438,B,22,22-2,F,2,A,,85,102,180.15,180.32,,,,,,ash [2014],with crystals [2014],ash,ash with crystals,ash with crystals,,,N 5 (gray),consolidated [2014],medium sand [W22_2],5.0,very coarse sand [W22_2],7.0,crystals are mafic minerals,,sharp,,,,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
