Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
351-U1438B-2H-4-A,351,U1438,B,2,2-4,H,4,A,,100,103,12.7,12.73,,,,,tuffaceous,mud [2014],with fine sand [2014],tuffaceous mud,tuffaceous mud with fine sand,mud with fine sand,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,gradational,,,,,,moderate,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-4-A,351,U1438,B,2,2-4,H,4,A,,103,140,12.73,13.1,,,,,tuffaceous,mud [2014],with fine sand [2014],tuffaceous mud,tuffaceous mud with fine sand,mud with fine sand,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,,,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-5-A,351,U1438,B,2,2-5,H,5,A,,0,18,13.2,13.38,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-5-A,351,U1438,B,2,2-5,H,5,A,,18,96,13.38,14.16,,,,,,mud [2014],,mud,mud,mud,,,5Y 5/2 (olive gray),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-5-A,351,U1438,B,2,2-5,H,5,A,,96,150,14.16,14.7,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,,,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-6-A,351,U1438,B,2,2-6,H,6,A,,0,16,14.7,14.86,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-6-A,351,U1438,B,2,2-6,H,6,A,,16,38,14.86,15.08,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-6-A,351,U1438,B,2,2-6,H,6,A,,38,40,15.08,15.1,,,,,,foraminiferal ooze [2014],with ash [2014],foraminiferal ooze,foraminiferal ooze with ash,foraminiferal ooze with ash,,,10YR 8/2 (very pale brown),,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,planar,sharp,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-6-A,351,U1438,B,2,2-6,H,6,A,,40,90,15.1,15.6,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,gradational,,,poor [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438B-2H-6-A,351,U1438,B,2,2-6,H,6,A,,90,123,15.6,15.93,,,,,,mud [2014],with ash [2014],mud,mud with ash,mud with ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2.0,silt [W22_1],2.0,,planar,gradational,,,moderate [2014],,,slight,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
