Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
339-U1390B-3H-4-A,339.0,U1390,B,3.0,3-4,H,4,A,42.0,63.0,23.52,23.73,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,sharp contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-4-A,339.0,U1390,B,3.0,3-4,H,4,A,63.0,150.0,23.73,24.6,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-5-A,339.0,U1390,B,3.0,3-5,H,5,A,0.0,34.0,24.6,24.94,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-5-A,339.0,U1390,B,3.0,3-5,H,5,A,34.0,135.0,24.94,25.95,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-5-A,339.0,U1390,B,3.0,3-5,H,5,A,135.0,150.0,25.95,26.1,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-6-A,339.0,U1390,B,3.0,3-6,H,6,A,0.0,16.0,26.1,26.26,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,,,Forams and pyrite filled burrows present.,100.0,100.0,,,,,,,,
339-U1390B-3H-6-A,339.0,U1390,B,3.0,3-6,H,6,A,16.0,91.0,26.26,27.01,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-6-A,339.0,U1390,B,3.0,3-6,H,6,A,91.0,113.0,27.01,27.23,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-6-A,339.0,U1390,B,3.0,3-6,H,6,A,113.0,121.0,27.23,27.31,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-6-A,339.0,U1390,B,3.0,3-6,H,6,A,121.0,131.0,27.31,27.41,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-7-A,339.0,U1390,B,3.0,3-7,H,7,A,0.0,6.0,27.41,27.47,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,2.5Y 4/1 (dark gray),silt ,2.0,fine sand ,4.0,,,,,,,,,,,,,100.0,,,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-7-A,339.0,U1390,B,3.0,3-7,H,7,A,6.0,69.0,27.47,28.1,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,inverse grading,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-3H-CC-A,339.0,U1390,B,3.0,3-CC,H,CC,A,0.0,25.0,28.1,28.35,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,2.5Y 4/1 (dark gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,inverse grading,,,,,slight_339 ,3.0,few ,,"Shell fragments, Forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-4H-1-A,339.0,U1390,B,4.0,4-1,H,1,A,0.0,60.0,28.1,28.7,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100.0,10Y 4/1 (dark greenish gray),clay ,1.0,fine sand ,4.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
339-U1390B-4H-1-A,339.0,U1390,B,4.0,4-1,H,1,A,60.0,69.0,28.7,28.79,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100.0,10Y 4/1 (dark greenish gray),silt ,2.0,medium sand ,5.0,,,,,,,,,,,,,100.0,gradational contact,,,,,,slight_339 ,3.0,few ,,"Shell fragments, forams and pyrite filled burrows present.",100.0,100.0,,,,,,,,
