Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lithology prefix A,MAJ Principal lithology B,MAJ Lithology suffix C,MAJ Lithology ABC,MAJ Lithology abundance (%),MAJ Lithology color,Bottom contact definition,Clasts,Bioturbation intensity rank,Macrofossil abundance name,Diagenetic structure,Deformational structures,Bioturbation intensity,General interval comment,File Data,Extra Sample ID Data
336-U1383D-3H-5-A,336,U1383,D,3,3-5,H,5,A,49,69,20.46,20.66,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-3H-6-A,336,U1383,D,3,3-6,H,6,A,0,49,21.47,21.96,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-6-A,336,U1383,D,3,3-6,H,6,A,49,80,21.96,22.27,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,Alternation of 7.5YR 6/4 & 7/4,,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,0,14,22.97,23.11,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,14,36,23.11,23.33,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,36,47.5,23.33,23.445,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,47.5,50.5,23.445,23.475,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),sharp,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,50.5,56,23.475,23.53,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,56,104,23.53,24.01,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,104,105,24.01,24.02,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),sharp,,,,,,,,,
336-U1383D-3H-7-A,336,U1383,D,3,3-7,H,7,A,105,140,24.02,24.37,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-3H-CC-A,336,U1383,D,3,3-CC,H,CC,A,0,16,24.47,24.63,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 7/3 (pink),,,,,,,,,,
336-U1383D-4H-1-A,336,U1383,D,4,4-1,H,1,A,0,4,24.1,24.14,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-4H-1-A,336,U1383,D,4,4-1,H,1,A,4,13,24.14,24.23,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-4H-1-A,336,U1383,D,4,4-1,H,1,A,13,34,24.23,24.44,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-4H-1-A,336,U1383,D,4,4-1,H,1,A,34,74,24.44,24.84,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-4H-1-A,336,U1383,D,4,4-1,H,1,A,74,88.5,24.84,24.985,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-4H-2-A,336,U1383,D,4,4-2,H,2,A,0,43,24.98,25.41,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),diffuse,,,,,,,,,
336-U1383D-4H-2-A,336,U1383,D,4,4-2,H,2,A,43,52,25.41,25.5,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),diffuse,,,,,,,,,
336-U1383D-4H-2-A,336,U1383,D,4,4-2,H,2,A,52,59,25.5,25.57,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-2-A,336,U1383,D,4,4-2,H,2,A,59,130,25.57,26.28,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-2-A,336,U1383,D,4,4-2,H,2,A,130,150,26.28,26.48,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),,,,,,,,,,
336-U1383D-4H-3-A,336,U1383,D,4,4-3,H,3,A,0,60,26.48,27.08,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),,,,,,,,,,
336-U1383D-4H-3-A,336,U1383,D,4,4-3,H,3,A,60,130,27.08,27.78,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-3-A,336,U1383,D,4,4-3,H,3,A,130,150,27.78,27.98,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,0,8.5,27.98,28.065,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,8.5,25,28.065,28.23,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,25,33,28.23,28.31,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,33,59,28.31,28.57,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,59,130,28.57,29.28,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-4-A,336,U1383,D,4,4-4,H,4,A,130,150,29.28,29.48,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-5-A,336,U1383,D,4,4-5,H,5,A,0,23,29.48,29.71,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-5-A,336,U1383,D,4,4-5,H,5,A,23,60,29.71,30.08,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-5-A,336,U1383,D,4,4-5,H,5,A,60,130,30.08,30.78,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-5-A,336,U1383,D,4,4-5,H,5,A,130,150,30.78,30.98,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-6-A,336,U1383,D,4,4-6,H,6,A,0,18,30.98,31.16,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-6-A,336,U1383,D,4,4-6,H,6,A,18,31.5,31.16,31.295,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-6-A,336,U1383,D,4,4-6,H,6,A,31.5,33.5,31.295,31.315,nannofossil rich,ooze ,,nannofossil rich ooze ,,7.5YR 7/3 (pink),,,,,,,,,,
336-U1383D-4H-6-A,336,U1383,D,4,4-6,H,6,A,33.5,60,31.315,31.58,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-6-A,336,U1383,D,4,4-6,H,6,A,60,130,31.58,32.28,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,0,30,32.48,32.78,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,30,40,32.78,32.88,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,40,42,32.88,32.9,foraminifer rich,ooze ,,foraminifer rich ooze ,,7.5YR 7/3 (pink),,,,,,,,with scattered black clasts,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,42,52,32.9,33,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/4 (light brown),,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,52,60,33,33.08,nannofossil bearing foraminifer rich,ooze ,,nannofossil bearing foraminifer rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,60,130,33.08,33.78,,Void,,Void,,,,,,,,,,,,
336-U1383D-4H-7-A,336,U1383,D,4,4-7,H,7,A,130,150,33.78,33.98,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,,,
336-U1383D-4H-CC-A,336,U1383,D,4,4-CC,H,CC,A,0,19,33.98,34.17,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 7/4 (pink),,,,,,,,"same as above (130-150 cm at 4H-7A)
",,
336-U1383D-5H-1-A,336,U1383,D,5,5-1,H,1,A,0,15,33.6,33.75,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),diffuse,,,,,,,More foraminifers than in the section 15 cm - 25 cm,,
336-U1383D-5H-1-A,336,U1383,D,5,5-1,H,1,A,15,25,33.75,33.85,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 6/6 (reddish yellow),diffuse,,,,,,,Less foraminifers than in the sections 0 cm -15 cm and 22 cm - 77.5 cm,,
336-U1383D-5H-1-A,336,U1383,D,5,5-1,H,1,A,25,77.5,33.85,34.375,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,More foraminifers than in the section 15 cm - 25 cm,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,0,40,34.4,34.8,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),diffuse,,,,,,,,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,40,53.5,34.8,34.935,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/4 (brown),diffuse,,,,,,,Less foraminifers than in the section 0 cm - 40 cm,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,53.5,55,34.935,34.95,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 7/4 (very pale brown),diffuse,,,,,,,,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,55,57,34.95,34.97,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 7/4 (very pale brown),diffuse,,,,,,,Less foraminifers than in the section 0 cm - 40 cm,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,57,59.5,34.97,34.995,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,7.5YR 5/6 (strong brown),,,,,,,,,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,59.5,129,34.995,35.69,,Void,,Void,,,,,,,,,,Samples for microbiological analysis,,
336-U1383D-5H-2-A,336,U1383,D,5,5-2,H,2,A,129,150,35.69,35.9,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,,,
336-U1383D-5H-3-A,336,U1383,D,5,5-3,H,3,A,0,89.5,35.9,36.795,foraminifer bearing nannofossil rich,ooze ,,foraminifer bearing nannofossil rich ooze ,,10YR 6/4 (light yellowish brown),,,,,,,,Rare foraminifers,,
336-U1383D-5H-3-A,336,U1383,D,5,5-3,H,3,A,89.5,129,36.795,37.19,,Void,,Void,,,,,,,,,,,,
336-U1383D-5H-3-A,336,U1383,D,5,5-3,H,3,A,129,150,37.19,37.4,foraminifer rich,ooze ,,foraminifer rich ooze ,,10YR 7/4 (very pale brown),,,,,,,,At least 95 % of foraminifers,,
