Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1461B-2H-CC-A,7,17,13.59,13.69,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,B,2,H,CC,A,,,,
356-U1461B-3H-1-A,0,150,13.9,15.4,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,creamy gray,bivalve,,,,,,,,"unlithified gray cream bioclast packstone with glauconite. bivalve, gastropod and echinoderm fragments are visible.",,,,356,U1461,B,3,H,1,A,,,,
356-U1461B-3H-1-A,0,150,13.9,15.4,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,B,3,H,1,A,,,,
356-U1461B-3H-1-A,0,150,13.9,15.4,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,3,H,1,A,,,,
356-U1461B-3H-2-A,0,150,15.4,16.9,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,creamy gray,bivalve,,,,,,,,"unlithified gray cream bioclast packstone with glauconite. bivalve, fragments are visible.",,,,356,U1461,B,3,H,2,A,,,,
356-U1461B-3H-3-A,0,80,16.9,17.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,neritic,creamy gray,,,,,,,gradational,horizontal,"unlithified gray cream bioclast packstone with glauconite. bivalve, fragments are visible. Glauconite is distributed throughout the section.",,,,356,U1461,B,3,H,3,A,,,,
356-U1461B-3H-3-A,80,150,17.7,18.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast wackestone with clay. Glauconite is distributed patch and unevenly throughout the section. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,3,A,,,,
356-U1461B-3H-4-A,0,100,18.4,19.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,bivalve,,,,,,,,unlithified gray cream bioclast wackestone with clay. Glauconite is distributed patch and unevenly throughout the section. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,4,A,,,,
356-U1461B-3H-4-A,100,150,19.4,19.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast wackestone with clay. Glauconite is distributed patch and unevenly throughout the section. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,4,A,,,,
356-U1461B-3H-5-A,0,150,19.9,21.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast wackestone with clay. Glauconite is distributed patch and unevenly throughout the section. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,5,A,,,,
356-U1461B-3H-6-A,0,65,21.4,22.05,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,gastropod,,,,,,,,unlithified gray cream bioclast wackestone with clay. Very low amount of glauconite is distributed patch and unevenly throughout the section. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,6,A,,,,
356-U1461B-3H-6-A,65,124,22.05,22.64,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast packstone with foraminifers. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,6,A,,,,
356-U1461B-3H-7-A,0,62,22.64,23.26,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast packstone with foraminifers. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,7,A,,,,
356-U1461B-3H-CC-A,0,13,23.26,23.39,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,creamy gray,,,,,,,,,unlithified gray cream bioclast packstone with foraminifers. Some pelloid and small benthic foraminifers are seen,,,,356,U1461,B,3,H,CC,A,,,,
356-U1461B-4H-1-A,0,146,23.4,24.86,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,hemipelagic,creamy gray,bivalve,,,,,,,,"unlithified gray cream skeletal packstone with foraminifers. glauconite distributed all through the section. Bivalve, gastropod and echinoderm fragments are seen.",,,,356,U1461,B,4,H,1,A,,,,
356-U1461B-4H-1-A,0,146,23.4,24.86,,,,,,,,,echinoderm,,,,,,gradational,horizontal,,,,,356,U1461,B,4,H,1,A,,,,
356-U1461B-4H-1-A,0,146,23.4,24.86,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,4,H,1,A,,,,
356-U1461B-4H-1-A,146,150,24.86,24.9,,,,,,,,,,,,,,,,,void,,,,356,U1461,B,4,H,1,A,,,,
356-U1461B-4H-2-A,0,141,24.9,26.31,unlithified [Leg194],,mudstone [E&K72; D62],1,with non-skeletal grains,mudstone with non-skeletal grains,hemipelagic,creamy gray,bivalve,,,,moderate [B06],3,,,unlithified creamy gray mudstone with non-skeletal grains (peloids) and occasional shell fragment. glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,4,H,2,A,,,,
356-U1461B-4H-2-A,141,150,26.31,26.4,unlithified [Leg194],,mudstone [E&K72; D62],1,with non-skeletal grains,mudstone with non-skeletal grains,hemipelagic,creamy gray,foraminifera (small benthic),,,,moderate [B06],3,,,unlithified creamy gray mudstone with non-skeletal grains (peloids) and occasional foraminifera (small benthic). glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,4,H,2,A,,,,
356-U1461B-4H-3-A,0,150,26.4,27.9,unlithified [Leg194],,mudstone [E&K72; D62],1,with non-skeletal grains,mudstone with non-skeletal grains,hemipelagic,,gastropod,,,,slight [B06],2,,,unlithified creamy gray mudstone. Echinoderm shell at 130-133 cm beautifully preserved (including fine spines) but in fragments. rare glauconite patch. Occasional macrofossil fragment.,,,,356,U1461,B,4,H,3,A,,,,
356-U1461B-4H-4-A,0,150,27.9,29.4,,,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,echinoderm,,,,slight [B06],2,,,,,,,356,U1461,B,4,H,4,A,,,,
356-U1461B-4H-4-A,0,150,27.9,29.4,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,B,4,H,4,A,,,,
356-U1461B-4H-4-A,0,150,27.9,29.4,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,B,4,H,4,A,,,,
356-U1461B-4H-5-A,0,150,29.4,30.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray mudstone with foraminifers. glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,4,H,5,A,,,,
356-U1461B-4H-6-A,0,130,30.9,32.2,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray mudstone with foraminifers. glauconite rare distributed patchy and unevenly all through the section.,,,,356,U1461,B,4,H,6,A,,,,
356-U1461B-4H-7-A,0,57,32.2,32.77,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray mudstone with foraminifers. glauconite distributed patchy and unevenly rare all through the section.,,,,356,U1461,B,4,H,7,A,,,,
356-U1461B-4H-CC-A,0,30,32.77,33.07,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray mudstone with foraminifers. glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,4,H,CC,A,,,,
356-U1461B-5H-1-A,0,150,32.9,34.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray skeletal wackestone with clay and foraminifers. very low percentage glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,5,H,1,A,,,,
356-U1461B-5H-2-A,0,150,34.4,35.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray skeletal wackestone with clay and foraminifers. very low percentage glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,5,H,2,A,,,,
356-U1461B-5H-3-A,0,150,35.9,37.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray skeletal wackestone with clay and foraminifers. very low percentage glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,5,H,3,A,,,,
356-U1461B-5H-4-A,0,25,37.4,37.65,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,hemipelagic,creamy gray,,,,,,,,,unlithified creamy gray skeletal wackestone with clay and foraminifers. very low percentage glauconite distributed patchy and unevenly all through the section.,,,,356,U1461,B,5,H,4,A,,,,
356-U1461B-5H-4-A,25,150,37.65,38.9,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,neritic,gray,,,,,,,,,Unlithified homogeneous gray skeletal packstone with foraminifers and glauconite.,,,,356,U1461,B,5,H,4,A,,,,
356-U1461B-5H-5-A,0,83,38.9,39.73,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,neritic,dark gray,,,,,,,,,Unlithified homogeneous dark gray skeletal packstone with foraminifers and glauconite. Percentage of glauconite has increased in this section.,,,,356,U1461,B,5,H,5,A,,,,
356-U1461B-5H-CC-A,0,11,39.73,39.84,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with foraminifers [2014],skeletal packstone with foraminifers,neritic,dark gray,,,,,,,,,Unlithified homogeneous dark gray skeletal packstone with foraminifers and glauconite. Percentage of glauconite has increased in this section.,,,,356,U1461,B,5,H,CC,A,,,,
356-U1461B-5H-CC-A,11,21,39.84,39.94,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,B,5,H,CC,A,,,,
356-U1461B-6H-1-A,0,70,42.4,43.1,unlithified [Leg194],,rudstone [E&K72; D62],6,,rudstone,neritic,greenish gray,,,,,,,,,likely fall-in,,,,356,U1461,B,6,H,1,A,,,,
356-U1461B-6H-1-A,70,150,43.1,43.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,greenish gray,foraminifera (small benthic),,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,1,A,,,,
356-U1461B-6H-2-A,0,150,43.9,45.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,greenish gray,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,2,A,,,,
356-U1461B-6H-3-A,0,150,45.4,46.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,greenish gray,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,3,A,,,,
356-U1461B-6H-4-A,0,150,46.9,48.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,grayish green,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,4,A,,,,
356-U1461B-6H-5-A,0,150,48.4,49.9,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,grayish green,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,5,A,,,,
356-U1461B-6H-6-A,0,121,49.9,51.11,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,grayish green,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,6,A,,,,
356-U1461B-6H-7-A,0,56,51.11,51.67,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,grayish green,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,7,A,,,,
356-U1461B-6H-CC-A,0,9,51.67,51.76,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,grayish green,,,,,,,,,"homogenous, grains are medium to fine-sand sized",,,,356,U1461,B,6,H,CC,A,,,,
356-U1461B-6H-CC-A,9,19,51.76,51.86,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,B,6,H,CC,A,,,,
356-U1461B-7H-1-A,0,150,51.9,53.4,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light greenish gray,gastropod,,,,,,,,"Unlithified, light greenish gray, skeletal and lithic clasts (green possibly glauconitic and creme possibly carbonates)",,,,356,U1461,B,7,H,1,A,,,,
356-U1461B-7H-1-A,0,150,51.9,53.4,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,7,H,1,A,,,,
356-U1461B-7H-1-A,0,150,51.9,53.4,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,B,7,H,1,A,,,,
356-U1461B-7H-1-A,0,150,51.9,53.4,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,,356,U1461,B,7,H,1,A,,,,
356-U1461B-7H-1-A,0,150,51.9,53.4,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,B,7,H,1,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light greenish gray,gastropod,,,,,,,,"Unlithified, light greenish gray, skeletal (very diverse including tubes) and lithic clasts (green possibly glauconitic and cream possibly carbonates)",,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,barnacle,,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-2-A,0,110,53.4,54.5,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,B,7,H,2,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light greenish gray,gastropod,,,,,,,,"Unlithified, light greenish gray, skeletal (very diverse including tubes) and lithic clasts (green possibly glauconitic and cream possibly carbonates)",,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,barnacle,,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,foraminifera (large benthic),,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-3-A,0,54,54.5,55.04,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,B,7,H,3,A,,,,
356-U1461B-7H-CC-A,0,10,55.04,55.14,,,,,,,,,,,,,,,,,to pal,,,,356,U1461,B,7,H,CC,A,,,,
356-U1461B-8F-1-A,0,150,55.1,56.6,lithified [B84],skeletal,wackestone [E&K72; D62],2,with peloids,skeletal wackestone with peloids,neritic,off white,bivalve,intraclasts,,,common [B06],4,,,"Lithified and unlithified, off white, wackestone with peloids and abundant macrofossils (bivalves, gastropods), Also contains intraclasts, glauconite filled burrows and probably manganese staining.",,,,356,U1461,B,8,F,1,A,,,,
356-U1461B-8F-1-A,0,150,55.1,56.6,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,8,F,1,A,,,,
356-U1461B-8F-1-A,0,150,55.1,56.6,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,B,8,F,1,A,,,,
356-U1461B-8F-2-A,0,150,56.6,58.1,lithified [B84],skeletal,wackestone [E&K72; D62],2,with peloids,skeletal wackestone with peloids,neritic,off white,bivalve,intraclasts,,,common [B06],4,,,"Lithified and unlithified, off white, wackestone with peloids and abundant macrofossils (bivalves, gastropods), Also contains intraclasts, glauconite filled burrows and probably manganese staining.",,,,356,U1461,B,8,F,2,A,,,,
356-U1461B-8F-2-A,0,150,56.6,58.1,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,8,F,2,A,,,,
356-U1461B-8F-2-A,0,150,56.6,58.1,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,B,8,F,2,A,,,,
356-U1461B-8F-3-A,0,144,58.1,59.54,lithified [B84],skeletal,wackestone [E&K72; D62],2,with peloids,skeletal wackestone with peloids,neritic,off white,bivalve,intraclasts,,,common [B06],4,,,"Lithified and unlithified, off white, wackestone with peloids and abundant macrofossils (bivalves, gastropods), Also contains intraclasts, glauconite filled burrows and probably manganese staining.",,,,356,U1461,B,8,F,3,A,,,,
356-U1461B-8F-3-A,0,144,58.1,59.54,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,8,F,3,A,,,,
356-U1461B-8F-3-A,0,144,58.1,59.54,,,,,,,,,trace fossil,,,,,,,,,,,,356,U1461,B,8,F,3,A,,,,
356-U1461B-8F-3-A,144,147,59.54,59.57,,,,,,,,,,,,,,,,,void,,,,356,U1461,B,8,F,3,A,,,,
356-U1461B-8F-CC-A,0,6,59.57,59.63,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,with peloids,skeletal wackestone with peloids,neritic,off white,bivalve,,,,,4,,,"Unlithified, off white, wackestone with peloids and abundant macrofossils (bivalves, gastropods), Also contains glauconite filled burrows",,,,356,U1461,B,8,F,CC,A,,,,
356-U1461B-8F-CC-A,0,6,59.57,59.63,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,8,F,CC,A,,,,
356-U1461B-8F-CC-A,6,15,59.63,59.72,,,,,,,,,,,,,,,,,sample to pal,,,,356,U1461,B,8,F,CC,A,,,,
356-U1461B-9H-1-A,0,19,59.8,59.99,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light greenish gray,bryozoa,,,,,,,,"Unlithified, light greenish gray, skeletal grainstone with abundant macrosossils and lithic clasts (carbonate, glauconite). It is caved in material",,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,0,19,59.8,59.99,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,0,19,59.8,59.99,,,,,,,,,coral (solitary),,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,0,19,59.8,59.99,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,0,19,59.8,59.99,,,,,,,,,tube,,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,19,106,59.99,60.86,partially lithified,glauconite rich,wackestone [E&K72; D62],2,with peloids,glauconite rich wackestone with peloids,neritic,cream,bivalve,,,,complete [B06],6,gradational,sub-horizontal,"Partially lithified, cream, glauconite rich wackestone with peloids and macrofossils (bivalves, gastropods) and lithic clasts (carbonate, glauconite) gravel size.",,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,19,106,59.99,60.86,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,106,130,60.86,61.1,lithified [B84],glauconite rich,wackestone [E&K72; D62],2,with peloids,glauconite rich wackestone with peloids,neritic,dark green,coralline algae,,,,,,,,"Cemented surface composed of lithfied, dark grayish green, glauconite rich wackestone and packstone with peloids. A cobble of coraline algae encrusted lays on top of this cemented surface. The contact is gradational",,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-1-A,130,150,61.1,61.3,lithified [B84],glauconite rich,packstone [E&K72; D62],3,with peloids,glauconite rich packstone with peloids,neritic,dark green,,,,,,,,,,,,,356,U1461,B,9,H,1,A,,,,
356-U1461B-9H-2-A,0,150,61.3,62.8,partially lithified,glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,neritic,dark grayish green,scaphopod,,,,common [B06],4,,,"Partially lithified and unlithified intervals of dark grayish green, glauconite rich packstone with foraminifera, scaphopods, bivalves, gastropods. Carbonate and possibly glauconite lithic fragments (gravel size) present.",,,,356,U1461,B,9,H,2,A,,,,
356-U1461B-9H-2-A,0,150,61.3,62.8,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,9,H,2,A,,,,
356-U1461B-9H-2-A,0,150,61.3,62.8,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,B,9,H,2,A,,,,
356-U1461B-9H-2-A,0,150,61.3,62.8,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,9,H,2,A,,,,
356-U1461B-9H-3-A,0,150,62.8,64.3,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,dark greenish gray,foraminifera (small benthic),,,,,,,,"Unlithfiied, dark greenish gray, glauconite rich packstone with foraminifera, gastropods and bivalves",,,,356,U1461,B,9,H,3,A,,,,
356-U1461B-9H-3-A,0,150,62.8,64.3,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,B,9,H,3,A,,,,
356-U1461B-9H-3-A,0,150,62.8,64.3,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,B,9,H,3,A,,,,
