Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1421C-4H-CC-A,0,39,28.6,28.99,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],3,,,,,,,,,,"normal mud (N 4) on top and clayey, clast-free 10Y 4/1 mud",,,,,
341-U1421C-5H-1-A,0,140,29,30.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],8,,,,,,,,,,,,,,,
341-U1421C-5H-2-A,0,137,30.4,31.77,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,,,,,,
341-U1421C-5H-3-A,0,149,31.77,33.26,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],13,,,,,,,,,,,,,,,
341-U1421C-5H-CC-A,0,18,33.26,33.44,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],2,,,,,,,,,,,,,,,
341-U1421C-6H-1-A,0,82,33.7,34.52,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,clayey mud; relatively stiff,,,,,
341-U1421C-6H-2-A,0,113,34.52,35.65,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,clayey mud; relatively stiff,,,,,
341-U1421C-6H-3-A,0,110,35.65,36.75,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,clayey mud; relatively stiff; 4x4 cm sandstone @15 cm,,,,,
341-U1421C-6H-4-A,0,111,36.75,37.86,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,clayey mud; relatively stiff; outsized clast of quartz-biotite rich gneiss @ 45 cm,,,,,
341-U1421C-6H-CC-A,0,36,37.86,38.22,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,clayey mud; relatively stiff; siltstone @ 16 cm,,,,,
