Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1431D-12H-6-A,27,31,105.97,106.01,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,erosive,horizontal,medium bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,6,A,
349-U1431D-12H-6-A,31,58,106.01,106.28,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,6,A,
349-U1431D-12H-6-A,58,64,106.28,106.34,,silt,with clay,silt ,silt with clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,6,A,
349-U1431D-12H-6-A,64,131,106.34,107.01,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,,,thick bed,color banding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,6,A,
349-U1431D-12H-7-A,0,27,107.01,107.28,,clay,with nannofossils,clay ,clay with nannofossils ,100,GLEY 1 4/10GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,7,A,
349-U1431D-12H-7-A,27,56,107.28,107.57,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,,,thick bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,12,H,7,A,
349-U1431D-13H-1-A,0,10,107.7,107.8,,clay,,clay ,clay ,100,GLEY 1 6/5GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,1,A,
349-U1431D-13H-1-A,10,14,107.8,107.84,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,1,A,
349-U1431D-13H-1-A,14,70,107.84,108.4,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,1,A,
349-U1431D-13H-1-A,70,75,108.4,108.45,,silty clay,,silty clay ,silty clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,1,A,
349-U1431D-13H-1-A,75,150,108.45,109.2,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,1,A,
349-U1431D-13H-2-A,0,116,109.2,110.36,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,2,A,
349-U1431D-13H-2-A,116,123,110.36,110.43,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,2,A,
349-U1431D-13H-2-A,123,150,110.43,110.7,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,2,A,
349-U1431D-13H-3-A,0,14,110.7,110.84,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,3,A,
349-U1431D-13H-3-A,14,21,110.84,110.91,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,P,1,,,,,,,,100,,,,gradational,horizontal,medium bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,3,A,
349-U1431D-13H-3-A,21,104,110.91,111.74,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,3,A,
349-U1431D-13H-3-A,104,107,111.74,111.77,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,3,A,
349-U1431D-13H-3-A,107,136,111.77,112.06,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,3,A,
349-U1431D-13H-4-A,0,42,112.2,112.62,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,4,A,
349-U1431D-13H-4-A,42,46,112.62,112.66,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,4,A,
349-U1431D-13H-4-A,46,99,112.66,113.19,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,4,A,
349-U1431D-13H-4-A,99,119,113.19,113.39,,clay,with nannofossils,clay ,clay with nannofossils ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,4,A,
349-U1431D-13H-4-A,119,150,113.39,113.7,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,4,A,
349-U1431D-13H-5-A,0,75,113.7,114.45,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,5,A,
349-U1431D-13H-5-A,75,80,114.45,114.5,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,5,A,
349-U1431D-13H-5-A,80,150,114.5,115.2,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,5,A,
349-U1431D-13H-6-A,0,12,115.2,115.32,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,6,A,
349-U1431D-13H-6-A,12,47,115.32,115.67,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,6,A,
349-U1431D-13H-6-A,47,58,115.67,115.78,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,P,1,,,,,,,,100,,,,gradational,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,6,A,
349-U1431D-13H-6-A,58,100,115.78,116.2,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,6,A,
349-U1431D-13H-7-A,0,4,116.2,116.24,,clay,,clay ,clay ,100,GLEY 1 4/N (dark gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,7,A,
349-U1431D-13H-7-A,4,13,116.24,116.33,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,7,A,
349-U1431D-13H-7-A,13,36,116.33,116.56,,clay,,clay ,clay ,100,5Y 5/1 (gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,7,A,
349-U1431D-13H-7-A,36,45,116.56,116.65,,clayey silt,,clayey silt ,clayey silt ,100,GLEY 1 2.5/10GY (greenish black),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,7,A,
349-U1431D-13H-7-A,45,65,116.65,116.85,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,13,H,7,A,
349-U1431D-14H-1-A,0,85,117.2,118.05,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,1,A,
349-U1431D-14H-1-A,85,90,118.05,118.1,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,P,1,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,1,A,
349-U1431D-14H-1-A,90,122,118.1,118.42,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,1,A,
349-U1431D-14H-1-A,122,124,118.42,118.44,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,1,A,
349-U1431D-14H-1-A,124,150,118.44,118.7,,clay,with nannofossils,clay ,clay with nannofossils ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,1,A,
349-U1431D-14H-2-A,0,52,118.7,119.22,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,2,A,
349-U1431D-14H-2-A,52,56,119.22,119.26,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,2,A,
349-U1431D-14H-2-A,56,150,119.26,120.2,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,2,A,
349-U1431D-14H-3-A,0,8,120.2,120.28,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,8,13,120.28,120.33,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,parallel lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,13,59,120.33,120.79,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,59,64,120.79,120.84,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,parallel lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,64,94,120.84,121.14,,clay,with nannofossils,clay ,clay with nannofossils ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,94,96,121.14,121.16,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-3-A,96,135,121.16,121.55,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,3,A,
349-U1431D-14H-4-A,0,35,121.7,122.05,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,4,A,
349-U1431D-14H-4-A,41,150,122.11,123.2,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,4,A,
349-U1431D-14H-5-A,0,13,123.2,123.33,,clay,,clay ,clay ,100,GLEY 1 6/5GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,5,A,
349-U1431D-14H-5-A,13,30,123.33,123.5,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,5,A,
349-U1431D-14H-5-A,47,150,123.67,124.7,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,5,A,
349-U1431D-14H-6-A,0,9,124.7,124.79,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,6,A,
349-U1431D-14H-6-A,9,14,124.79,124.84,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/5GY (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,6,A,
349-U1431D-14H-6-A,14,68,124.84,125.38,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,6,A,
349-U1431D-14H-CC-A,0,9,125.38,125.47,,clay,,clay ,clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,14,H,CC,A,
349-U1431D-15H-1-A,0,59,125.5,126.09,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,1,A,
349-U1431D-15H-1-A,59,62,126.09,126.12,,sandy clay,,sandy clay ,sandy clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,parallel lamination,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,1,A,
349-U1431D-15H-1-A,62,150,126.12,127,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,Moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,1,A,
349-U1431D-15H-2-A,0,24,127,127.24,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,24,27,127.24,127.27,,sandy clay,,sandy clay ,sandy clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,27,43,127.27,127.43,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,43,45,127.43,127.45,,ash(tuff),,ash(tuff) ,ash(tuff) ,100,GLEY 1 5/5G (grayish green),moderately consolidated,silt,2,clay,1,moderate,P,1,,,,,,,,100,,,,gradational,horizontal,thin bed,lamination,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,45,65,127.45,127.65,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,65,96,127.65,127.96,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/5G (greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-2-A,96,150,127.96,128.5,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 7/10Y (light grrenish grey),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,,,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,2,A,
349-U1431D-15H-3-A,0,26,128.5,128.76,nannofossil rich,clayey silt,with foraminifers,nannofossil rich clayey silt ,nannofossil rich clayey silt with foraminifers ,100,GLEY 1 7/10Y (light grrenish grey),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,graded bedding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,3,A,
349-U1431D-15H-3-A,26,33,128.76,128.83,foraminifer rich,sand,,foraminifer rich sand ,foraminifer rich sand ,100,GLEY 1 8/10Y (light greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,irregular,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,15,H,3,A,
