Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1468A-3H-1-A,0,28,12.9,13.18,,rudstone,6,rudstone,unlithified,1,2.5y 7/1 (light gray),granule,8,shell fragment,,,,,,,,,,,,,,,,,CAVE IN.,,,,359,U1468,A,3,H,1,A,
359-U1468A-3H-1-A,28,130,13.18,14.2,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 8/2 (pale yellow),coarse sand,6,foraminifera (planktic),,echinoderm,spines,shell fragment,"otoliths, pteropods",aggregate,"cemented grains, black grains",,,,,,,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted. Unlithified, partly indurated.",,,,359,U1468,A,3,H,1,A,
359-U1468A-3H-2-A,0,66,14.2,14.86,,Floatstone,5,Floatstone,partially lithified,3,5y 8/1 (white),granule,8,Halimeda,,calcareous bioclast,,foraminifera (benthic),"foraminifera (planktic), echinoderm, coral",aggregate,cemented grains,,,,,,,,sharp,horizontal,Partially lithifdied cemented clast-rich FLOATSTONE. Encrusting foraminifera and corals. Thin section at 043 cm.,,,,359,U1468,A,3,H,2,A,
359-U1468A-3H-2-A,66,103,14.86,15.23,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),otoliths,,,intraclast,stained grains,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Medium- to coarse-grained.,,,,359,U1468,A,3,H,2,A,
359-U1468A-3H-2-A,103,144,15.23,15.64,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),otoliths,,,intraclast,stained grains,,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Medium- to coarse-grained.,,,,359,U1468,A,3,H,2,A,
359-U1468A-3H-3-A,0,86,15.64,16.5,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,,,,,,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich GRAINSTONE. Very well-sorted.,,,,359,U1468,A,3,H,3,A,
359-U1468A-3H-3-A,86,137,16.5,17.01,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,,,aggregate,cemented grains,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. moderately-sorted.,,,,359,U1468,A,3,H,3,A,
359-U1468A-3H-4-A,0,35,17.05,17.4,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,shell fragment,,,,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted.,,,,359,U1468,A,3,H,4,A,
359-U1468A-3H-4-A,35,90,17.4,17.95,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 6/3 (light yellowish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),otoliths,,,intraclast,black grains,,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich WACKESTONE. Poorly-sorted.,,,,359,U1468,A,3,H,4,A,
359-U1468A-3H-4-A,90,138,17.95,18.43,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 6/2 (light brownish gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,shell fragment,,,,,,,,,,,,,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted.,,,,359,U1468,A,3,H,4,A,
359-U1468A-3H-5-A,0,138,18.49,19.87,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),otoliths,echinoderm,,,,,,,,,,,sharp,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted. Medium- to coarse-grained. Partially cemented.,,,,359,U1468,A,3,H,5,A,
359-U1468A-3H-5-A,138,147,19.87,19.96,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),otoliths,echinoderm,otoliths,,,,,,,,,,,,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted.,,,,359,U1468,A,3,H,5,A,
359-U1468A-3H-6-A,0,25,19.96,20.21,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,calcareous bioclast,,,,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE.,,,,359,U1468,A,3,H,6,A,
359-U1468A-3H-6-A,25,54,20.21,20.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 8/2 (pale yellow),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,calcareous bioclast,,intraclast,black grains,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Medium- to coarse-grained.,,,,359,U1468,A,3,H,6,A,
359-U1468A-3H-6-A,54,141,20.5,21.37,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,calcareous bioclast,,,,,,,,,,,,,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted.,,,,359,U1468,A,3,H,6,A,
359-U1468A-3H-CC-A,0,18,21.37,21.55,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,,,,,,Partially lithified planktic foraminifera-rich PACKSTONE. well-sorted.,,,,359,U1468,A,3,H,CC,A,
359-U1468A-4H-1-A,0,32,22.4,22.72,,rudstone,6,rudstone,unlithified,1,2.5y 6/2 (light brownish gray),granule,8,red algae,,fish debris,,,,,,,,,,,,,,,CAVE IN.,,,,359,U1468,A,4,H,1,A,
359-U1468A-4H-1-A,32,80,22.72,23.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),otoliths,,,,,aggregate,black grains,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich WACKESTONE. Poorly-sorted.,,,,359,U1468,A,4,H,1,A,
359-U1468A-4H-1-A,80,138,23.2,23.78,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 7/1 (light gray),medium sand,5,foraminifera (planktic),otoliths,,,,,,,,,,thinly bedded,absent,0,,,,"Partially lithified planktic foraminifera-rich PACKSTONE. Lithified layers, 1-2cm thick.",,,,359,U1468,A,4,H,1,A,
359-U1468A-4H-2-A,0,137,23.78,25.15,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths.",,,,,,thinly bedded,absent,0,,,,"Partially lithified planktic foraminifera-rich poorly washed GRAINSTONE. Well-sorted. Lithified layers (slightly more cemented with slightly finer grains), 1-2cm thick.",,,,359,U1468,A,4,H,2,A,
359-U1468A-4H-3-A,0,16,25.15,25.31,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5Y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,echinoderm,spines,,,,,,,absent,0,,gradational,horizontal,Partially planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,4,H,3,A,
359-U1468A-4H-3-A,16,37,25.31,25.52,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,echinoderm,spines,aggregate,cemented grains,normal grading,,,,absent,0,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Cemented grains.,,,,359,U1468,A,4,H,3,A,
359-U1468A-4H-3-A,37,80,25.52,25.95,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,spines,aggregate,cemented grains,normal grading,,,,absent,0,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Cemented grains. Recrystallization.,,,,359,U1468,A,4,H,3,A,
359-U1468A-4H-3-A,80,133,25.95,26.48,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths.",aggregate,cemented grains,normal grading,,,,absent,0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Cemented grains.,,,,359,U1468,A,4,H,3,A,
359-U1468A-4H-4-A,0,108,26.48,27.56,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),otoliths,,,aggregate,"cemented grains, black grains",normal grading,,,,absent,0,,gradational,horizontal,"Partially lithified planktic foraminifera-rich PACKSTONE. Well-sorted, very fine- to medium grained (fining upwards). Slightly indurated. Smear slide at 35cm.",,,,359,U1468,A,4,H,4,A,
359-U1468A-4H-4-A,108,136,27.56,27.84,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/1 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,absent,0,,,,"Partially lithified planktic foraminifera-rich GRAINSTONE. Medium-grained, approaching coarse-grained.",,,,359,U1468,A,4,H,4,A,
359-U1468A-4H-5-A,0,22,27.9,28.12,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Partially lithified planktic foraminifera-rich GRAINSTONE. Very well-sorted.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-5-A,22,41,28.12,28.31,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-5-A,41,56,28.31,28.46,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Partially lithified planktic foraminifera-rich GRAINSTONE. Well-sorted.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-5-A,56,67,28.46,28.57,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-5-A,67,89,28.57,28.79,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5Y 7/1 (light gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-5-A,89,144,28.79,29.34,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,shell fragment,,,,normal grading,,,thinly bedded,absent,0,,gradational,horizontal,Alternating Partially lithified planktic foraminifera-rich GRAINSTONE and PACKSTONE. Packstone layers ~2cm thick.,,,,359,U1468,A,4,H,5,A,
359-U1468A-4H-6-A,0,7,29.34,29.41,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,4,H,6,A,
359-U1468A-4H-6-A,7,28,29.41,29.62,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Very fine- to fine-grained.,,,,359,U1468,A,4,H,6,A,
359-U1468A-4H-6-A,28,70,29.62,30.04,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich GRAINSTONE. Well-sorted.,,,,359,U1468,A,4,H,6,A,
359-U1468A-4H-6-A,70,101,30.04,30.35,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, Halimeda",,,normal grading,,,,absent,0,,,,Partially lithified planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,4,H,6,A,
359-U1468A-4H-7-A,0,16,30.35,30.51,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Very well-sorted.,,,,359,U1468,A,4,H,7,A,
359-U1468A-4H-7-A,16,36,30.51,30.71,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,,,,thinly bedded,absent,0,,gradational,horizontal,"Partially lithified planktic foraminifera-rich PACKSTONE. Poorly sorted, organic matter.",,,,359,U1468,A,4,H,7,A,
359-U1468A-4H-7-A,36,67,30.71,31.02,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 8/2 (pale yellow),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,,,,,absent,0,,,,Unlithified planktic foraminifera-rich PACKSTONE. Very well-sorted.,,,,359,U1468,A,4,H,7,A,
359-U1468A-4H-CC-A,0,17,31.02,31.19,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),otoliths,,,,,,,,,,thinly bedded,absent,0,,,,Partially lithified planktic foraminifera-rich PACKSTONE.,,,,359,U1468,A,4,H,CC,A,
359-U1468A-5H-1-A,0,22,31.9,32.12,clast rich,floatstone,5,clast rich floatstone,unlithified,1,5y 8/1 (white),granule,8,,,,,,,aggregate,"cemented grains, black grains",normal grading,,,,,,,,,CAVE IN.,,,,359,U1468,A,5,H,1,A,
359-U1468A-5H-1-A,22,46,32.12,32.36,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1468,A,5,H,1,A,
359-U1468A-5H-1-A,46,80,32.36,32.7,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,Unlithified planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,5,H,1,A,
359-U1468A-5H-1-A,80,130,32.7,33.2,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,gradational,horizontal,"Unlithified planktic foraminifera-rich PACKSTONE. Well-sorted, very fine- to fine-grained.",,,,359,U1468,A,5,H,1,A,
359-U1468A-5H-1-A,130,138,33.2,33.28,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),otoliths,foraminifera (benthic),,,,,,normal grading,,,,absent,0,,,,Unlithified planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,5,H,1,A,
359-U1468A-5H-2-A,0,78,33.28,34.06,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,absent,0,,,,Partially lithified planktic foraminifera-rich GRAINSTONE. Very well-sorted. Partially cemented.,,,,359,U1468,A,5,H,2,A,
359-U1468A-5H-2-A,78,124,34.06,34.52,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,normal grading,,,,absent,0,,,,Unlithified planktic foraminifera-rich PACKSTONE. Very fine- to fine-sorted.,,,,359,U1468,A,5,H,2,A,
359-U1468A-5H-2-A,124,135,34.52,34.63,planktic foraminifer rich,grainstone,4,planktic foraminifer rich grainstone,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,normal grading,,,,absent,0,,,,Partially lithified planktic foraminifera-rich GRAINSTONE.,,,,359,U1468,A,5,H,2,A,
359-U1468A-5H-2-A,135,144,34.63,34.72,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,absent,0,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1468,A,5,H,2,A,
359-U1468A-5H-3-A,0,26,34.72,34.98,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Very well-sorted.,,,,359,U1468,A,5,H,3,A,
359-U1468A-5H-3-A,26,49,34.98,35.21,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),coarse sand,6,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Well-sorted.,,,,359,U1468,A,5,H,3,A,
359-U1468A-5H-3-A,49,74,35.21,35.46,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,normal grading,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,5,H,3,A,
359-U1468A-5H-3-A,74,80,35.46,35.52,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,normal grading,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,5,H,3,A,
359-U1468A-5H-3-A,80,100,35.52,35.72,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,normal grading,,,,,,,gradational,horizontal,Unlithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,5,H,3,A,
359-U1468A-5H-3-A,100,106,35.72,35.78,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,echinoderm,"spines, otoliths, shell fragmants",,,normal grading,,,,,,,gradational,horizontal,Partially lithified planktic foraminifera-rich PACKSTONE. Poorly-sorted.,,,,359,U1468,A,5,H,3,A,
