Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1457B-2H-6-A,101,121,11.53,11.73,,,nannofossil ooze,,nannofossil ooze,,burrows,light green,GLEY 1 5/5GY (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-2H-7-A,0,76,11.73,12.49,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 5/5GY (greenish gray),90,clay,1,clay,1,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,silt,2,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-1-A,0,62,12.7,13.32,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-3H-1-A,62,101,13.32,13.71,,,nannofossil ooze,,nannofossil ooze,,,grayish green,GLEY 1 6/10Y (greenish gray),80,clay,1,silt,2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 5/10GY (greenish gray),20,clay,1,silt,2,,100,erosive,scoured,horizontal,thickly bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-1-A,101,150,13.71,14.2,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/10Y (light greenish gray),60,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 6/10Y (greenish gray),40,clay,1,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-2-A,0,90,14.2,15.1,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-3H-2-A,90,150,15.1,15.7,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 5/10Y (greenish gray),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,very fine sand,3,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-3-A,0,86,15.7,16.56,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,very fine sand,3,,100,erosive,scoured,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-3-A,86,126,16.56,16.96,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),70,clay,1,silt,2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,green,GLEY 1 5/10GY (greenish gray),30,clay,1,silt,2,,100,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-3-A,126,150,16.96,17.2,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),30,very fine sand,3,very fine sand,3,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-4-A,0,52,17.2,17.72,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,very fine sand,3,,100,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-3H-4-A,52,64,17.72,17.84,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),80,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-4-A,64,87,17.84,18.07,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-4-A,87,109,18.07,18.29,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),90,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,silt,2,silt,2,,100,planar,sharp,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-4-A,109,123,18.29,18.43,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),80,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,horizontal,thinly bedded,,,,,,,,,,,,
355-U1457B-3H-4-A,123,150,18.43,18.7,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),80,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-5-A,0,30,18.7,19,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),80,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-5-A,30,91,19,19.61,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-3H-5-A,91,107,19.61,19.77,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),60,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),40,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-5-A,107,126,19.77,19.96,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-5-A,126,150,19.96,20.2,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),40,very fine sand,3,fine sand,4,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-6-A,0,16,20.2,20.36,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),80,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),20,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-6-A,16,93,20.36,21.13,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,dark gray,GLEY 1 4/5GY (dark greenish gray),10,silt,2,silt,2,,100,erosive,scoured,horizontal,thickly bedded,normally graded,,,,,,,,,,,
355-U1457B-3H-6-A,93,112,21.13,21.32,,nannofossil rich,clay,,nannofossil rich clay,,burrows,green,GLEY 1 5/10Y (greenish gray),70,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 6/10Y (greenish gray),30,clay,1,silt,2,,100,erosive,scoured,horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-3H-6-A,112,134,21.32,21.54,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),60,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 6/10Y (greenish gray),40,clay,1,silt,2,,100,,,,,,,,,,,,,,,,
355-U1457B-3H-CC-A,0,11,21.54,21.65,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-4H-1-A,0,93,22.2,23.13,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,10YR 5/2 (grayish brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-4H-1-A,0,93,22.2,23.13,,,,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-4H-1-A,93,112,23.13,23.32,,nannofossil rich,clay,,nannofossil rich clay with silt,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),30,very fine sand,3,fine sand,4,,100,erosive,sharp,horizontal,thinly bedded,,,,,,,,,,,,
355-U1457B-4H-1-A,93,112,23.13,23.32,,,,,nannofossil rich clay,,,,,,,,,,,silty,sand,,silty sand,silty sand,sand,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,
355-U1457B-4H-1-A,112,150,23.32,23.7,,,nannofossil ooze,,nannofossil ooze,,burrows,gray,10YR 5/2 (grayish brown),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,,,,thickly bedded,,,,,moderate,3,,,,,,
355-U1457B-4H-2-A,0,150,23.7,25.2,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),80,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark green,GLEY 1 4/10Y (dark greenish gray),20,very fine sand,3,fine sand,4,,100,,,,thickly bedded,,,,,slight,2,pyrite,,,,,
355-U1457B-4H-3-A,0,82,25.2,26.02,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/N (very dark gray),10,very fine sand,3,fine sand,4,,100,erosive,sharp,horizontal,thickly bedded,,,,,slight,2,pyrite,,,,,
355-U1457B-4H-3-A,82,129,26.02,26.49,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,10YR 5/2 (grayish brown),80,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/N (very dark gray),20,very fine sand,3,fine sand,4,,100,erosive,sharp,horizontal,medium bedded,,,,,slight,2,pyrite,,,,,
355-U1457B-4H-3-A,129,150,26.49,26.7,,nannofossil rich,clay,,nannofossil rich clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),20,very fine sand,3,fine sand,4,,100,,,,medium bedded,,,,,slight,2,,,,,,
355-U1457B-4H-4-A,0,84,26.7,27.54,,nannofossil rich,clay,,nannofossil rich clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,erosive,sharp,horizontal,medium bedded,,,,,,,pyrite,,,,,
355-U1457B-4H-4-A,84,140,27.54,28.1,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,gradational,gradational,sub-horizontal,thickly bedded,,,,,slight,2,pyrite,,,,,
355-U1457B-4H-4-A,140,150,28.1,28.2,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/10Y (light greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,
355-U1457B-4H-5-A,0,78,28.2,28.98,,,nannofossil ooze,,nannofossil ooze,,burrows,white,GLEY 1 8/10Y (light greenish gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,erosive,sharp,sub-horizontal,thickly bedded,,,,,,,pyrite,,,,,
355-U1457B-4H-5-A,78,95,28.98,29.15,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,10YR 5/2 (grayish brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,,,,,slight,2,,,,,,
355-U1457B-4H-5-A,95,132,29.15,29.52,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 8/10Y (light greenish gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,gradational,gradational,sub-horizontal,thickly bedded,,,,,,,,,,,,
355-U1457B-4H-5-A,132,146,29.52,29.66,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,10YR 5/2 (grayish brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,,,,,moderate,3,,,,,,
355-U1457B-4H-5-A,146,150,29.66,29.7,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,
355-U1457B-4H-6-A,0,15,29.7,29.85,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,medium bedded,,,,,,,,,,,,
355-U1457B-4H-6-A,15,86,29.85,30.56,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,gray,10YR 5/2 (grayish brown),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,bioturbated,bioturbated,sub-horizontal,medium bedded,,,,,slight,2,pyrite,,,,,
355-U1457B-4H-6-A,86,124,30.56,30.94,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 4/5GY (dark greenish gray),10,very fine sand,3,fine sand,4,,100,,,,medium bedded,,,,,,,pyrite,,,,,
355-U1457B-4H-CC-A,0,20,30.94,31.14,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,10YR 5/2 (grayish brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,
355-U1457B-5H-1-A,0,33,31.7,32.03,,nannofossil rich,clay,,nannofossil rich clay,,burrows,gray,GLEY 1 5/10Y (greenish gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,very fine sand,3,fine sand,4,,100,erosive,sharp,sub-horizontal,medium bedded,,,,,slight,2,,,,,,
355-U1457B-5H-1-A,33,80,32.03,32.5,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,gray,GLEY 1 6/10Y (greenish gray),90,clay,1,silt,2,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,very fine sand,3,fine sand,4,,100,erosive,sharp,sub-horizontal,thickly bedded,,,,,,,,,,,,
