Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
354-U1449A-1H-3-A,44,56,3.44,3.56,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-3-A,56,62,3.56,3.62,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,stiff dark greenish silty clay particles,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-3-A,62,114,3.62,4.14,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,layers of stiff dark greenish silty clay particles between 76 - 83 cm,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-3-A,114,141,4.14,4.41,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-3-A,141,151,4.41,4.51,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,bioturbated,horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,3,A,,,,
354-U1449A-1H-4-A,0,14,4.55,4.69,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,4,A,,,,
354-U1449A-1H-4-A,14,47,4.69,5.02,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,4,A,,,,
354-U1449A-1H-4-A,47,101,5.02,5.56,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,mottling [BJ80],,,,greenish layers (mottled),,,,354,U1449,A,1,H,4,A,,,,
354-U1449A-1H-5-A,0,56,5.56,6.12,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,,,,H,,mottling [BJ80],,,,greenish layers (mottled),,,,354,U1449,A,1,H,5,A,,,,
354-U1449A-1H-CC-A,0,6,6.12,6.18,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,,,very thin bed [B01],silt [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,,354,U1449,A,1,H,CC,A,,,,
354-U1449A-2H-1-A,0,28,6.2,6.48,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,2,H,1,A,,,,
354-U1449A-2H-1-A,28,49,6.48,6.69,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,,354,U1449,A,2,H,1,A,,,,
354-U1449A-2H-1-A,49,70,6.69,6.9,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,2,H,1,A,,,,
354-U1449A-2H-1-A,70,89,6.9,7.09,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,,354,U1449,A,2,H,1,A,,,,
354-U1449A-2H-1-A,89,150,7.09,7.7,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,,,,,354,U1449,A,2,H,1,A,,,,
354-U1449A-2H-2-A,0,150,7.7,9.2,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,,,,,354,U1449,A,2,H,2,A,,,,
354-U1449A-2H-3-A,0,62,9.2,9.82,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,,,,,354,U1449,A,2,H,3,A,,,,
354-U1449A-5H-1-A,0,10,17,17.1,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,10,21,17.1,17.21,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,21,52,17.21,17.52,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,52,56,17.52,17.56,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,56,104,17.56,18.04,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,104,129,18.04,18.29,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-1-A,129,148,18.29,18.48,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1449,A,5,H,1,A,,,,
354-U1449A-5H-2-A,0,123,18.5,19.73,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,,,,,354,U1449,A,5,H,2,A,,,,
354-U1449A-5H-CC-A,0,19,19.74,19.93,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,,,,,,,,,354,U1449,A,5,H,CC,A,,,,
354-U1449A-6F-1-A,0,70,20,20.7,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,drilling disturbance,,,,354,U1449,A,6,F,1,A,,,,
354-U1449A-6F-1-A,70,138,20.7,21.38,,,clay [Leg210],with pyrite,clay,clay with pyrite,clay with pyrite,,gray,gradational,,thin bed [B01],clay [Leg210],lamina [M&W53],,,color banding,,,,pyrite concretions (2mm) on dark thin beds.,,,,354,U1449,A,6,F,1,A,,,,
354-U1449A-6F-1-A,138,150,21.38,21.5,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,,,,,,,,mud clast,mud clasts,,,,,,,354,U1449,A,6,F,1,A,,,,
354-U1449A-6F-2-A,0,47,21.5,21.97,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,mud clasts in the upper part,,,,,,,354,U1449,A,6,F,2,A,,,,
354-U1449A-6F-2-A,47,72,21.97,22.22,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,dark gray,gradational,,medium bed [B01],sand [Leg210],thin bed [B01],,,,,,,,,,,354,U1449,A,6,F,2,A,,,,
354-U1449A-6F-2-A,72,145,22.22,22.95,,clayey [Leg339],sand [Leg210],,clayey sand,clayey sand,sand,,dark gray,,,,,,,,mud clast,deformed mud clasts,,,,,,,354,U1449,A,6,F,2,A,,,,
354-U1449A-6F-3-A,0,21,23,23.21,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,,354,U1449,A,6,F,3,A,,,,
354-U1449A-6F-3-A,21,54,23.21,23.54,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,,,,,,,,354,U1449,A,6,F,3,A,,,,
354-U1449A-6F-3-A,54,63,23.54,23.63,,silty [Leg339],sand [Leg210],with clay [2014],silty sand,silty sand with clay,sand with clay,,dark gray,sharp planar,horizontal,,,,,,normally graded,light colored thin sand layer in top,,,,,,,354,U1449,A,6,F,3,A,,,,
354-U1449A-6F-3-A,63,110,23.63,24.1,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,,,,,,,,354,U1449,A,6,F,3,A,,,,
354-U1449A-6F-4-A,0,7,24.1,24.17,,clayey [Leg339],silt [Leg210],with sand [2014],clayey silt,clayey silt with sand,silt with sand,,dark gray,sharp planar,horizontal,,,,,,color banding,,,,basal part shows normal grading (2cm),,,,354,U1449,A,6,F,4,A,,,,
354-U1449A-6F-4-A,7,25,24.17,24.35,,sandy [Leg339],clay [Leg210],,sandy clay,sandy clay,clay,,gray,sharp irregular,inclined,thin bed [B01],sand [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,,354,U1449,A,6,F,4,A,,,,
354-U1449A-6F-4-A,25,50,24.35,24.6,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,mud clast,mud clast (6cm long),,,,,,,354,U1449,A,6,F,4,A,,,,
354-U1449A-6F-CC-A,0,12,24.6,24.72,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,mud clast,mud clast (2cm),,,,,,,354,U1449,A,6,F,CC,A,,,,
354-U1449A-7H-1-A,0,12,24.5,24.62,,,clay [Leg210],,clay,clay,clay,,dark gray,bioturbated,,,,,,,,,,,,,,,354,U1449,A,7,H,1,A,,,,
354-U1449A-7H-1-A,12,29,24.62,24.79,,,clay [Leg210],,clay,clay,clay,,light gray,sharp planar,horizontal,,,,,,color banding,2 thin dark green color bands at the base,,,,,,,354,U1449,A,7,H,1,A,,,,
354-U1449A-7H-1-A,12,29,24.62,24.79,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,A,7,H,1,A,,,,
354-U1449A-7H-1-A,29,150,24.79,26,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,gray,,,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,black color bands that show mottling.,,,,,,,354,U1449,A,7,H,1,A,,,,
354-U1449A-7H-2-A,0,50,26,26.5,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,,sharp irregular,inclined,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,black color bands that show mottling.,,,,,,,354,U1449,A,7,H,2,A,,,,
354-U1449A-7H-2-A,50,78,26.5,26.78,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1449,A,7,H,2,A,,,,
354-U1449A-7H-2-A,78,101,26.78,27.01,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,dark gray,sharp irregular,inclined,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,black color bands that show mottling.,,,,,,,354,U1449,A,7,H,2,A,,,,
354-U1449A-7H-3-A,0,49,27.01,27.5,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,dark gray,sharp irregular,inclined,thin bed [B01],silt [Leg210],lamina [M&W53],,,color banding,black color bands that show mottling. Sand patch (3cm),,,,,,,354,U1449,A,7,H,3,A,,,,
354-U1449A-7H-3-A,49,56,27.5,27.57,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1449,A,7,H,3,A,,,,
354-U1449A-7H-3-A,56,69,27.57,27.7,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,white,bioturbated,,,,,,,burrows,black lamina of organic rich material,,,,,,,354,U1449,A,7,H,3,A,,,,
354-U1449A-7H-3-A,69,146,27.7,28.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],,,mottling [BJ80],,,,,,,,354,U1449,A,7,H,3,A,,,,
354-U1449A-7H-4-A,0,49,28.47,28.96,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,,354,U1449,A,7,H,4,A,,,,
354-U1449A-7H-CC-A,0,49,28.99,29.48,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,color banding,black color bands,,,,,,,354,U1449,A,7,H,CC,A,,,,
354-U1449A-8H-1-A,0,3,34,34.03,,,sand [Leg210],,sand,sand,sand,,gray,sharp irregular,,,,,,,,,,,,,,,354,U1449,A,8,H,1,A,,,,
354-U1449A-8H-1-A,3,41,34.03,34.41,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,gray,,,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1449,A,8,H,1,A,,,,
354-U1449A-8H-1-A,41,150,34.41,35.5,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,,354,U1449,A,8,H,1,A,,,,
354-U1449A-8H-2-A,0,150,35.5,37,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,,354,U1449,A,8,H,2,A,,,,
354-U1449A-8H-3-A,0,82,37,37.82,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,,354,U1449,A,8,H,3,A,,,,
354-U1449A-8H-4-A,0,99,37.82,38.81,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,,354,U1449,A,8,H,4,A,,,,
354-U1449A-8H-5-A,0,66,38.81,39.47,,,sand [Leg210],,sand,sand,sand,,gray,,,,,,,,,,,,,,,,354,U1449,A,8,H,5,A,,,,
354-U1449A-10X-1-A,0,22,39.5,39.72,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,mottling [BJ80],mottled,,,,,,,354,U1449,A,10,X,1,A,,,,
354-U1449A-10X-1-A,22,35,39.72,39.85,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,,354,U1449,A,10,X,1,A,,,,
354-U1449A-10X-CC-A,0,11,39.85,39.96,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,10,X,CC,A,,,,
354-U1449A-10X-CC-A,22,36,40.07,40.21,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,10,X,CC,A,,,,
354-U1449A-13F-1-A,0,5,68.4,68.45,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-1-A,5,35,68.45,68.75,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-1-A,35,41,68.75,68.81,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-1-A,41,63,68.81,69.03,,clayey [Leg339],sand [Leg210],,clayey sand,clayey sand,sand,,dark gray,sharp planar,,,,,,,,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-1-A,63,72,69.03,69.12,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,T,,normally graded,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-1-A,72,150,69.12,69.9,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,T,,mud clast,,,,,,,,354,U1449,A,13,F,1,A,,,,
354-U1449A-13F-2-A,0,54,69.9,70.44,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,mud clast,,,,,,,,354,U1449,A,13,F,2,A,,,,
354-U1449A-13F-2-A,54,137,70.44,71.27,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,13,F,2,A,,,,
354-U1449A-13F-CC-A,0,9,71.27,71.36,,clayey [Leg339],sand [Leg210],,clayey sand,clayey sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1449,A,13,F,CC,A,,,,
354-U1449A-14F-1-A,0,6,71.4,71.46,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,14,F,1,A,,,,
354-U1449A-14F-1-A,6,28,71.46,71.68,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,1,A,,,,
354-U1449A-14F-1-A,28,38,71.68,71.78,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,1,A,,,,
354-U1449A-14F-1-A,38,145,71.78,72.85,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,14,F,1,A,,,,
354-U1449A-14F-2-A,0,31,72.9,73.21,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,31,37,73.21,73.27,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,37,57,73.27,73.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,57,65,73.47,73.55,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp irregular,horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,65,74,73.55,73.64,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,74,85,73.64,73.75,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,85,107,73.75,73.97,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,gradational,horizontal,thin bed [B01],clay [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-2-A,107,126,73.97,74.16,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,14,F,2,A,,,,
354-U1449A-14F-CC-A,0,11,74.17,74.28,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,14,F,CC,A,,,,
354-U1449A-15F-1-A,0,8,74.4,74.48,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,,354,U1449,A,15,F,1,A,,,,
354-U1449A-15F-1-A,8,106,74.48,75.46,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,15,F,1,A,,,,
354-U1449A-15F-1-A,106,120,75.46,75.6,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1449,A,15,F,1,A,,,,
354-U1449A-15F-1-A,120,138,75.6,75.78,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,very thin bed [B01],clay [Leg210],very thin bed [B01],,,,,,,,,,,354,U1449,A,15,F,1,A,,,,
354-U1449A-15F-1-A,138,150,75.78,75.9,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,fine sand,,,,354,U1449,A,15,F,1,A,,,,
354-U1449A-15F-2-A,0,20,75.9,76.1,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,fine sand,,,,354,U1449,A,15,F,2,A,,,,
354-U1449A-15F-2-A,20,40,76.1,76.3,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1449,A,15,F,2,A,,,,
354-U1449A-15F-2-A,40,70,76.3,76.6,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,gradational,horizontal,,,,,,,,,,,,,,354,U1449,A,15,F,2,A,,,,
