Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data
320-U1333A-6H-1-A,320,U1333,A,6,6-1,H,1,A,0,150,47.5,49,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-1-A,320,U1333,A,6,6-1,H,1,A,0,150,47.5,49,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-2-A,320,U1333,A,6,6-2,H,2,A,0,150,49,50.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-2-A,320,U1333,A,6,6-2,H,2,A,0,150,49,50.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-3-A,320,U1333,A,6,6-3,H,3,A,0,150,50.5,52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-3-A,320,U1333,A,6,6-3,H,3,A,0,150,50.5,52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-4-A,320,U1333,A,6,6-4,H,4,A,0,150,52,53.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-4-A,320,U1333,A,6,6-4,H,4,A,0,150,52,53.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-5-A,320,U1333,A,6,6-5,H,5,A,0,150,53.5,55,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-5-A,320,U1333,A,6,6-5,H,5,A,0,150,53.5,55,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-6-A,320,U1333,A,6,6-6,H,6,A,0,150,55,56.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-6-A,320,U1333,A,6,6-6,H,6,A,0,150,55,56.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-7-A,320,U1333,A,6,6-7,H,7,A,0,57,56.5,57.07,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-7-A,320,U1333,A,6,6-7,H,7,A,0,57,56.5,57.07,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-6H-CC-A,320,U1333,A,6,6-CC,H,CC,A,0,18,57.07,57.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,40,soft,10YR 8/2,,
320-U1333A-6H-CC-A,320,U1333,A,6,6-CC,H,CC,A,0,18,57.07,57.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,60,soft,10YR 8/1,,
320-U1333A-7H-1-A,320,U1333,A,7,7-1,H,1,A,0,150,57,58.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
320-U1333A-7H-2-A,320,U1333,A,7,7-2,H,2,A,0,150,58.5,60,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil ,,Nannofossil  ooze,100,soft,10YR 8/1,Black particles (<0.5 mm) are sparsely observed throughout the core,
