Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
362-U1481A-2R-2-A,0,95,1151.19,1152.14,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,alternation of dark and lighter color clay beds. Agglutinated forams,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,2,A,
362-U1481A-2R-3-A,0,69,1152.34,1153.03,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,"Agglutinated forams. All beds are normally graded from silt/silty clay to clay. Bioturbation more intense on top. Base of silt beds at 33.5, 47.5, 69 cm. Not all beds have silt at their base; some have silty clay",planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,3,A,
362-U1481A-2R-4-A,0,94,1153.23,1154.17,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,"Agglutinated forams. All beds are normally graded from silt/silty clay to clay. Bioturbation more intense on top. Base of silt beds at 12.5, 48, 69 cm. Not all beds have silt at their base; some have silty clay",planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,4,A,
362-U1481A-2R-CC-A,0,17,1154.17,1154.34,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 3/N (very dark gray),,,,,thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,Agglutinated forams. All beds are normally graded from silt/silty clay to clay. Bioturbation more intense on top.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,,,,,,,,,,362,U1481,A,2,R,CC,A,
362-U1481A-3R-1-A,0,16,1159.4,1159.56,IIC,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],clay [W22_1],very fine sand [W22_2],,structureless,slight [DB91],3,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,1,A,
362-U1481A-3R-1-A,16,107,1159.56,1160.47,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,1,A,
362-U1481A-3R-1-A,107,115,1160.47,1160.55,IIC,,clay [S54],,clay,clay,clay,,2.5YR 2.5/1 (reddish black),,,,,,,clay [W22_1],1,non-graded,moderate [2014],,,,planar lamination,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,1,A,
362-U1481A-3R-2-A,0,107,1160.75,1161.82,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 17 - 20 and 74 - 78 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,2,A,
362-U1481A-3R-2-A,107,108,1161.82,1161.83,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,2.5YR 2.5/1 (reddish black),,,,,,,clay [W22_1],1,non-graded,moderate [2014],,,,planar lamination,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,2,A,
362-U1481A-3R-2-A,108,144,1161.83,1162.19,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 17 - 20 and 74 - 78 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,2,A,
362-U1481A-3R-3-A,0,72,1162.19,1162.91,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 10 - 11, and 68 - 72 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,3,A,
362-U1481A-3R-3-A,72,73,1162.91,1162.92,IIC,calcareous [Leg339],silty clay [S54],,calcareous silty clay,calcareous silty clay,silty clay,,GLEY 1 4/10Y (dark greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,"calcite components identified in the smear slide, but it is not reacting with HCl",,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,3,A,
362-U1481A-3R-3-A,73,123,1162.92,1163.42,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 94-96 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,3,A,
362-U1481A-3R-4-A,0,79,1163.42,1164.21,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 52-53 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,4,A,
362-U1481A-3R-5-A,0,48,1164.41,1164.89,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 0 - 4, and 42 - 48 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,5,A,
362-U1481A-3R-5-A,48,49,1164.89,1164.9,IIC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 4/10Y (dark greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,"calcite components identified in the smear slide, but it is not reacting with HCl",,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,3,R,5,A,
362-U1481A-3R-5-A,49,143,1164.9,1165.84,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,"Thicker silt bed between 92 - 93, and 126 - 127 cm, Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.",planar lamination,heavy [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,5,A,
362-U1481A-3R-6-A,0,37,1165.84,1166.21,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,6,A,
362-U1481A-3R-6-A,37,49.5,1166.21,1166.335,IIC,,silt [S54],,silt,silt,silt,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],very fine sand [W22_2],3,normal grading,poor [2014],clay [W22_1],very fine sand [W22_2],,planar lamination,slight [DB91],3,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,6,A,
362-U1481A-3R-6-A,49.5,73,1166.335,1166.57,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,,,,pyrite framboid,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,6,A,
362-U1481A-3R-6-A,73,149,1166.57,1167.33,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,2.5YR 2.5/1 (reddish black),,,,,,,clay [W22_1],1,non-graded,moderate [2014],,,"Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment. Pyrite concretions are visible at 75, 105.5, 126.5 cm",planar lamination,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,3,R,6,A,
362-U1481A-3R-7-A,0,60,1167.33,1167.93,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Some foraminifers are present and one thick silt interval between 43 and 45 cm. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,7,A,
362-U1481A-3R-7-A,60,77,1167.93,1168.1,IIC,,silt [S54],,silt,silt,silt,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],very fine sand [W22_2],3,normal grading,poor [2014],clay [W22_1],very fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,3,R,7,A,
362-U1481A-3R-7-A,77,95,1168.1,1168.28,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Some foraminifers are present and one thick silt interval between 43 and 45 cm. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,7,A,
362-U1481A-3R-CC-A,0,15,1168.28,1168.43,IIC,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],clay [W22_1],1,non-graded,moderate [2014],,,Agglutinated forams. Beds/lamination are normally graded from silt/silty clay to clay. Silt laminae are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,,,,,foraminifer,R [A85],,,,,,,,,362,U1481,A,3,R,CC,A,
362-U1481A-4R-1-A,0,32,1169.2,1169.52,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,gradational,planar gradational,horizontal,thick bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,from top to 9 cm is disturbed by coring. Pyrite clast at 15 cm.,structureless,heavy [DB91],4,Nereites,,,,pyrite framboid,,,,,,,,,,,362,U1481,A,4,R,1,A,
362-U1481A-4R-1-A,32,35,1169.52,1169.55,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,5YR 3/1 (very dark gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],lithified [B84],silt [W22_1],2,non-graded,well [2014],,,,structureless,moderate [DB91],4,Nereites,,,,,,,,,,,,,,,362,U1481,A,4,R,1,A,
362-U1481A-4R-1-A,35,56,1169.55,1169.76,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,gradational,planar gradational,horizontal,medium bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],Pyrite clast at 36 cm.,structureless,slight [DB91],3,Nereites,,,,pyrite framboid,,,,,,,,,,,362,U1481,A,4,R,1,A,
362-U1481A-4R-1-A,56,82,1169.76,1170.02,IIC,,very fine sand [F54],with silt [2014],very fine sand,very fine sand with silt,very fine sand with silt,,GLEY 1 3/N (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],lithified [B84],very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],convoluted lamina at 78 cm.,planar lamination,slight [DB91],3,Planolites,Nereites,,,,,,,,,,,,,,362,U1481,A,4,R,1,A,
362-U1481A-4R-1-A,82,120,1170.02,1170.4,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,lithified [B84],silt [W22_1],2,non-graded,well [2014],,,,structureless,heavy [DB91],4,Nereites,Planolites,,,,,,,,,,,,,,362,U1481,A,4,R,1,A,
362-U1481A-4R-2-A,0,42,1170.4,1170.82,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,horizontal,thick bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],Normally graded from silt/silty clay to clay. Silt lamina are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1481,A,4,R,2,A,
362-U1481A-4R-2-A,42,107,1170.82,1171.47,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,sharp,planar sharp,,,lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],Normally graded from silt/silty clay to clay. Silt lamina are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1481,A,4,R,2,A,
362-U1481A-4R-3-A,0,46,1171.47,1171.93,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),planar,gradational,planar gradational,horizontal,thick bed [B01],lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],Normally graded from silt/silty clay to clay.,planar lamination,slight [DB91],3,Nereites,Planolites,,,,,,,,,,,,,,362,U1481,A,4,R,3,A,
362-U1481A-4R-3-A,46,67,1171.93,1172.14,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,lithified [B84],silt [W22_1],2,normal grading,well [2014],clay [W22_1],silt [W22_1],Normally graded from silt/silty clay to clay. Silt lamina are often completely bioturbated and appear as dashed lineation's within the clay background sediment.,planar lamination,moderate [DB91],4,Nereites,Planolites,,,,,,,,,,,,,,362,U1481,A,4,R,3,A,
362-U1481A-4R-4-A,0,83,1172.33,1173.16,IIC,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],clay [W22_1],very fine sand [W22_2],Alternation layers of thin to medium beds of very fine sand and clay. Beds are normally graded from very fine sand to clay. Plant fragment is commonly observed in very fine sand layer.,planar lamination,sparse [DB91],2,Nereites,,,,,plant fragment,C [A85],,,,,,,,,362,U1481,A,4,R,4,A,
362-U1481A-4R-4-A,105,135,1173.38,1173.68,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,medium sand [W22_2],5,non-graded,poor [2014],,,Plant fragment is commonly observed in fine sand layer.,structureless,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,C [A85],,,,,,,,,362,U1481,A,4,R,4,A,
362-U1481A-4R-4-A,135,145,1173.68,1173.78,IIC,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],clay [W22_1],very fine sand [W22_2],Alternation layers of very thin to thin beds of very fine sand and clay. Beds are normally graded from very fine sand to clay. Plant fragment is commonly observed in very fine sand layer.,planar lamination,absent [DB91],1,,,,,,plant fragment,D [A85],,,,,,,,,362,U1481,A,4,R,4,A,
362-U1481A-4R-5-A,0,22,1173.78,1174,IIC,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],clay [W22_1],very fine sand [W22_2],Alternation layers of very thin to thin beds of very fine sand and clay. Beds are normally graded from very fine sand to clay. Plant fragment is commonly observed in very fine sand layer.,planar lamination,slight [DB91],3,Nereites,Planolites,,,,plant fragment,C [A85],,,,,,,,,362,U1481,A,4,R,5,A,
362-U1481A-4R-5-A,22,55,1174,1174.33,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],clay [W22_1],very fine sand [W22_2],Alternation layers of very thin to thin beds of very fine sand and clay. Beds are normally graded from very fine sand to clay. Plant fragment is commonly observed in very fine sand layer.,planar lamination,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,C [A85],,,,,,,,,362,U1481,A,4,R,5,A,
362-U1481A-4R-5-A,55,59,1174.33,1174.37,IIC,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 4/N (dark gray),,,,,,partially lithified,fine sand [W22_2],4,non-graded,poor [2014],,,,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,4,R,5,A,
362-U1481A-5R-1-A,0,11.5,1178.9,1179.015,IIC,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4,non-graded,,,,fall in from top,,,,,,,,,,,,,,,,,,,362,U1481,A,5,R,1,A,
362-U1481A-5R-1-A,11.5,14,1179.015,1179.04,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/N (very dark gray),irregular,gradational,irregular gradational,sub-horizontal,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],,,silt lamina at 12 cm.,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,5,R,1,A,
362-U1481A-5R-1-A,14,41,1179.04,1179.31,IIC,,fine sand [USGS],with silt [2014],fine sand,fine sand with silt,fine sand with silt,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,medium bed [B01],partially lithified,medium sand [W22_2],5,normal grading,poor [2014],silt [W22_1],fine sand [W22_2],,convolute bedded,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,R [A85],,,,,,,,,362,U1481,A,5,R,1,A,
362-U1481A-5R-1-A,41,50,1179.31,1179.4,IIC,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/N (very dark gray),planar,gradational,planar gradational,sub-vertical,thin bed [B01],lithified [B84],silt [W22_1],2,normal grading,moderate [2014],,,"silt lamina at 44, 47, 48.5 cm.",planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1481,A,5,R,1,A,
