Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
363-U1482C-1H-CC-A,0,17,9.21,9.38,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,1,H,CC,A,,,,,
363-U1482C-2H-1-A,0,150,9.4,10.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,1,A,,,,,
363-U1482C-2H-2-A,0,150,10.9,12.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,2,A,,,,,
363-U1482C-2H-3-A,0,64,12.4,13.04,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,3,A,,,,,
363-U1482C-2H-3-A,64,85,13.04,13.25,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,3,A,,,,,
363-U1482C-2H-3-A,85,105,13.25,13.45,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,3,A,,,,,
363-U1482C-2H-3-A,105,136,13.45,13.76,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,3,A,,,,,
363-U1482C-2H-3-A,136,150,13.76,13.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,3,A,,,,,
363-U1482C-2H-4-A,0,10,13.9,14,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,4,A,,,,,
363-U1482C-2H-4-A,10,72,14,14.62,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,4,A,,,,,
363-U1482C-2H-4-A,72,150,14.62,15.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,4,A,,,,,
363-U1482C-2H-5-A,0,22,15.4,15.62,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,5,A,,,,,
363-U1482C-2H-5-A,22,150,15.62,16.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,5,A,,,,,
363-U1482C-2H-6-A,0,10,16.9,17,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,6,A,,,,,
363-U1482C-2H-6-A,10,73,17,17.63,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,6,A,,,,,
363-U1482C-2H-6-A,73,150,17.63,18.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,6,A,,,,,
363-U1482C-2H-7-A,0,57,18.4,18.97,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,7,A,,,,,
363-U1482C-2H-7-A,57,62,18.97,19.02,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,7,A,,,,,
363-U1482C-2H-CC-A,0,18,19.02,19.2,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,2,H,CC,A,,,,,
363-U1482C-3H-1-A,0,150,18.9,20.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,1,A,,,,,
363-U1482C-3H-2-A,0,73,20.4,21.13,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,2,A,,,,,
363-U1482C-3H-2-A,73,150,21.13,21.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,2,A,,,,,
363-U1482C-3H-3-A,0,15,21.9,22.05,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,3,A,,,,,
363-U1482C-3H-3-A,15,120,22.05,23.1,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,3,A,,,,,
363-U1482C-3H-3-A,120,150,23.1,23.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,3,A,,,,,
363-U1482C-3H-4-A,0,150,23.4,24.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,4,A,,,,,
363-U1482C-3H-5-A,0,5,24.9,24.95,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,5,A,,,,,
363-U1482C-3H-5-A,5,150,24.95,26.4,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,5,A,,,,,
363-U1482C-3H-6-A,0,10,26.4,26.5,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,6,A,,,,,
363-U1482C-3H-6-A,10,150,26.5,27.9,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,6,A,,,,,
363-U1482C-3H-7-A,0,64,27.9,28.54,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,7,A,,,,,
363-U1482C-3H-CC-A,0,15,28.54,28.69,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,3,H,CC,A,,,,,
363-U1482C-4H-1-A,0,75,28.4,29.15,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,1,A,,,,,
363-U1482C-4H-1-A,75,150,29.15,29.9,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,1,A,,,,,
363-U1482C-4H-2-A,0,150,29.9,31.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,2,A,,,,,
363-U1482C-4H-3-A,0,23,31.4,31.63,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,3,A,,,,,
363-U1482C-4H-3-A,23,72,31.63,32.12,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,3,A,,,,,
363-U1482C-4H-3-A,72,150,32.12,32.9,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,3,A,,,,,
363-U1482C-4H-4-A,0,23,32.9,33.13,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,4,A,,,,,
363-U1482C-4H-4-A,23,136,33.13,34.26,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,4,A,,,,,
363-U1482C-4H-4-A,136,150,34.26,34.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,4,A,,,,,
363-U1482C-4H-5-A,0,150,34.4,35.9,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,5,A,,,,,
363-U1482C-4H-6-A,0,66,35.9,36.56,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,6,A,,,,,
363-U1482C-4H-6-A,66,150,36.56,37.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,6,A,,,,,
363-U1482C-4H-7-A,0,26,37.4,37.66,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,7,A,,,,,
363-U1482C-4H-7-A,26,64,37.66,38.04,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,7,A,,,,,
363-U1482C-4H-CC-A,0,16,38.04,38.2,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,4,H,CC,A,,,,,
363-U1482C-5H-1-A,0,115,37.9,39.05,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,1,A,,,,,
363-U1482C-5H-1-A,115,150,39.05,39.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,1,A,,,,,
363-U1482C-5H-2-A,0,25,39.4,39.65,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,2,A,,,,,
363-U1482C-5H-2-A,25,81,39.65,40.21,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,2,A,,,,,
363-U1482C-5H-2-A,81,111,40.21,40.51,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,2,A,,,,,
363-U1482C-5H-2-A,111,150,40.51,40.9,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,2,A,,,,,
363-U1482C-5H-3-A,0,67,40.9,41.57,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,3,A,,,,,
363-U1482C-5H-3-A,67,90,41.57,41.8,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,3,A,,,,,
363-U1482C-5H-3-A,90,150,41.8,42.4,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,3,A,,,,,
363-U1482C-5H-4-A,0,40,42.4,42.8,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,4,A,,,,,
363-U1482C-5H-4-A,40,97,42.8,43.37,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,4,A,,,,,
363-U1482C-5H-4-A,97,120,43.37,43.6,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,4,A,,,,,
363-U1482C-5H-4-A,120,150,43.6,43.9,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,4,A,,,,,
363-U1482C-5H-5-A,0,91,43.9,44.81,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,5,A,,,,,
363-U1482C-5H-5-A,91,150,44.81,45.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,5,A,,,,,
363-U1482C-5H-6-A,0,5,45.4,45.45,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,6,A,,,,,
363-U1482C-5H-6-A,5,135,45.45,46.75,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,foraminiferal sand at the base of this layer; fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,6,A,,,,,
363-U1482C-5H-6-A,135,141,46.75,46.81,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,erosional surface at the top of this layer; foram sand just above the erosional surface; fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,6,A,,,,,
363-U1482C-5H-7-A,0,63,46.81,47.44,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,7,A,,,,,
363-U1482C-5H-CC-A,0,20,47.44,47.64,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,5,H,CC,A,,,,,
363-U1482C-7H-1-A,0,57,49.9,50.47,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,1,A,,,,,
363-U1482C-7H-1-A,57,150,50.47,51.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,1,A,,,,,
363-U1482C-7H-2-A,0,150,51.4,52.9,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,2,A,,,,,
363-U1482C-7H-3-A,0,96,52.9,53.86,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,3,A,,,,,
363-U1482C-7H-3-A,96,150,53.86,54.4,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,3,A,,,,,
363-U1482C-7H-4-A,0,23,54.4,54.63,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,4,A,,,,,
363-U1482C-7H-4-A,23,150,54.63,55.9,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,4,A,,,,,
363-U1482C-7H-5-A,0,16,55.9,56.06,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,5,A,,,,,
363-U1482C-7H-5-A,16,87,56.06,56.77,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,"fragments of pteropods common, zoophycos",,,,,,,,,,,,,363,U1482,C,7,H,5,A,,,,,
363-U1482C-7H-5-A,87,150,56.77,57.4,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,5,A,,,,,
363-U1482C-7H-6-A,0,30,57.4,57.7,clay-bearing [X363],nannofossil ooze [Leg339],clay-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,6,A,,,,,
363-U1482C-7H-6-A,30,150,57.7,58.9,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,6,A,,,,,
363-U1482C-7H-7-A,0,15,58.9,59.05,clay-rich and foramaniferal-bearing [X363],nannofossil ooze [Leg339],clay-rich and foramaniferal-bearing nannofossil ooze,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,fragments of pteropods common,,,,,,,,,,,,,363,U1482,C,7,H,7,A,,,,,
