Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
371-U1511B-4R-3-A,0,116,41.93,43.09,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,nodule,manganese,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks. Mn nodule at 47cm",,,,,,,,,,clay,clay,,,
371-U1511B-4R-3-A,116,150,43.09,43.43,,,,,,clay [USGS],,clay,,,GLEY 1 6/5GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-4-A,0,45,43.43,43.88,,,,,,clay [USGS],,clay,,,GLEY 1 6/5GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-4-A,45,110,43.88,44.53,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-4-A,110,140,44.53,44.83,,,,,,clay [USGS],,clay,,,GLEY 1 6/5GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-5-A,6,108,44.99,46.01,,,,,,clay [USGS],,clay,,,GLEY 1 6/5GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-5-A,108,151,46.01,46.44,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-6-A,0,48,46.44,46.92,,,,,,clay [USGS],,clay,,,10YR 7/4 (very pale brown),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-6-A,48,98,46.92,47.42,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-4R-CC-A,0,7,47.42,47.49,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,"Patches and blebs of grey to orange material, mixed up by drilling disturbance. Also some sulfide specks.",,,,,,,,,,clay,clay,,,
371-U1511B-6R-1-A,0,75,58,58.75,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-1-A,75,150,58.75,59.5,,,,,,clay [USGS],,clay,,,10YR 5/2 (grayish brown),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-2-A,0,85,59.5,60.35,,,,,,clay [USGS],,clay,,,10YR 5/2 (grayish brown),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-2-A,85,150,60.35,61,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-3-A,0,150,61,62.5,,,,,,clay [USGS],,clay,,,10YR 6/1 (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-4-A,0,95,62.5,63.45,,,,,,clay [USGS],,clay,,,10YR 6/1 (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-4-A,95,140,63.45,63.9,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-5-A,0,100,64,65,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-6-A,0,16,65,65.16,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-6-A,16,25,65.16,65.25,,,,,,clay [USGS],,clay,,,10YR 4/4 (dark yellowish brown),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-6R-6-A,25,60,65.25,65.6,,,,,,clay [USGS],,clay,,,GLEY 1 6/N (gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-7R-1-A,0,150,67.6,69.1,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-7R-2-A,0,150,69.1,70.6,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,dark yellowish brown oxidized blebs and dark grey pyitic blebs throughout,,,,,,,,,,clay,clay,,,
371-U1511B-7R-3-A,0,150,70.6,72.1,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,dark yellowish brown oxidized blebs and dark grey pyitic blebs throughout,,,,,,,,,,clay,clay,,,
371-U1511B-7R-4-A,0,150,72.1,73.6,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,dark yellowish brown oxidized blebs and dark grey pyitic blebs throughout,,,,,,,,,,clay,clay,,,
371-U1511B-7R-5-A,0,150,73.6,75.1,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-7R-6-A,0,135,75.1,76.45,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay,,,
371-U1511B-7R-7-A,0,24,76.55,76.79,,,,,,clay [USGS],,clay,,,GLEY 1 6/10GY (greenish gray),,,,,,clay [W22_1],1,,,absent,0,,color boundary or contact,,,,,,,,,clay,clay,,,
371-U1511B-7R-7-A,24,65,76.79,77.2,,,,,,clay [USGS],with nannofossils,clay with nannofossils,,,10YR 5/2 (grayish brown),,,,,,clay [W22_1],1,,,absent,0,,,,,,,,,,,clay,clay with nannofossils,,,
371-U1511B-10R-1-A,0,150,201.9,203.4,,,,,,claystone [USGS],,claystone,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,moderate [B06],3,"Fall in material in the uppermost ~15cm of the section, including rubbled calcareous clay. Darker brown Planolites and Nereites burrows",,,,,,,,,,claystone,claystone,,,
371-U1511B-10R-2-A,0,69,203.4,204.09,,,,,,claystone [USGS],,claystone,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,moderate [B06],3,Darker brown Planolites and Nereites burrows,,,,,,,,,,claystone,claystone,,,
371-U1511B-10R-2-A,69,150,204.09,204.9,,,,,,claystone [USGS],with biosilica,claystone with biosilica,,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,slight [B06],2,,,,,,,,,,,claystone,claystone with biosilica,,,
371-U1511B-10R-3-A,0,150,204.9,206.4,,,,,,claystone [USGS],with biosilica,claystone with biosilica,,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,slight [B06],2,,,,,,,,,,,claystone,claystone with biosilica,,,
371-U1511B-10R-4-A,0,140,206.4,207.8,,,,,,claystone [USGS],with biosilica,claystone with biosilica,,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,slight [B06],2,,,,,,,,,,,claystone,claystone with biosilica,,,
371-U1511B-10R-5-A,0,107,207.9,208.97,,,,,,claystone [USGS],with biosilica,claystone with biosilica,,,GLEY 1 5/10GY (greenish gray),,,,,,,,,,moderate [B06],3,Darker green laminae and brown Planolites burrows,,,,,,,,,,claystone,claystone with biosilica,,,
371-U1511B-12R-1-A,0,32,221.1,221.42,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-1-A,32,150,221.42,222.6,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 6/10GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-2-A,0,9,222.6,222.69,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 6/10GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-2-A,9,150,222.69,224.1,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-3-A,0,150,224.1,225.6,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-4-A,0,75,225.6,226.35,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-4-A,75,150,226.35,227.1,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/2 (light brownish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-5-A,0,71,227.1,227.81,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/2 (light brownish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-6-A,0,135,227.81,229.16,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/2 (light brownish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-12R-7-A,0,150,229.31,230.81,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-1-A,0,150,230.7,232.2,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-13R-2-A,0,43,232.2,232.63,,,,,clayey,diatomite [USGS],,clayey diatomite,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-2-A,43,150,232.63,233.7,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-13R-3-A,0,150,233.7,235.2,,,,,clayey,diatomite [USGS],,clayey diatomite,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-4-A,0,150,235.2,236.7,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-5-A,0,150,236.7,238.2,,,,,clayey,diatomite [USGS],,clayey diatomite,,,10YR 5/3 (brown),,,,,,,,,,sparse [B06],1,"Trace of oxides (?) observed in smear slides, linked to the reddish brown color.",,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-6-A,0,101,238.2,239.21,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-13R-6-A,101,135,239.21,239.55,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-13R-7-A,0,22,239.7,239.92,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-13R-7-A,22,68,239.92,240.38,,,,,clayey,diatomite [USGS],,clayey diatomite,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-14R-1-A,0,150,240.3,241.8,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,Color banding between a light olive gray and greenish gray color at the decimeter scale.,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-14R-2-A,0,150,241.8,243.3,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,5Y 6/2 (light olive gray),,,,,,,,,,sparse [B06],1,Color banding between a light olive gray and greenish gray color at the decimeter scale.,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-14R-3-A,0,150,243.3,244.8,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-14R-4-A,0,150,244.8,246.3,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-14R-5-A,0,51,246.3,246.81,,,,,clayey,diatomite [USGS],,clayey diatomite,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,clayey diatomite,diatomite,,,
371-U1511B-14R-5-A,51,68,246.81,246.98,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,5Y 6/2 (light olive gray),,,,,,,,,,slight [B06],2,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-14R-5-A,68,150,246.98,247.8,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-14R-6-A,0,141,247.8,249.21,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-14R-7-A,0,71,249.3,250.01,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-14R-CC-A,0,9,250.01,250.1,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-1-A,0,52,249.9,250.42,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,absent,0,Fall in drilling disturbance,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-1-A,52,150,250.42,251.4,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-2-A,0,150,251.4,252.9,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-3-A,0,150,252.9,254.4,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-4-A,0,150,254.4,255.9,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-5-A,0,150,255.9,257.4,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,"thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo. At 32 cm, a cm-scale pink rhodochrosite bleb is observed.",,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-6-A,0,140,257.4,258.8,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-15R-7-A,0,61,258.9,259.51,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/3 (light yellowish brown),,,,,,,,,,slight [B06],2,thin beds (5-15 cm) of light brownish gray (2.5Y 6/2) occur at the decimeter scale. In some cases they appear as a lens or halo.,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-1-A,0,150,259.5,261,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,pink rhodochrosite blebs at ~11cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-2-A,0,150,261,262.5,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-3-A,0,150,262.5,264,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-4-A,0,105,264,265.05,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,color boundary or contact,,diffuse,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-4-A,105,150,265.05,265.5,,,,,,diatomite [USGS],with clay,diatomite with clay,,,7.5YR 5/4 (brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-5-A,0,122,265.5,266.72,,,,,,diatomite [USGS],with clay,diatomite with clay,,,7.5YR 5/4 (brown),,,,,,,,,,sparse [B06],1,several mm-scale pink rhodochrosite blebs throughout,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-6-A,0,104,266.72,267.76,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,cm-scale pink rhodochrosite bleb at ~46cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-7-A,0,71,267.86,268.57,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,cm-scale pink rhodochrosite bleb at ~63cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-16R-CC-A,0,7,268.57,268.64,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-1-A,0,150,269.1,270.6,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 7/3 (pale yellow),,,,,,,,,,sparse [B06],1,cm-scale pink rhodochrosite bleb at 34cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-2-A,0,80,270.6,271.4,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 7/3 (pale yellow),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-2-A,80,86,271.4,271.46,,,,,biosiliceous,claystone [USGS],,biosiliceous claystone,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,sparse [B06],1,,,,,,,,,,,biosiliceous claystone,claystone,,,
371-U1511B-17R-2-A,86,150,271.46,272.1,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 7/3 (pale yellow),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-3-A,0,75,272.1,272.85,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 7/3 (pale yellow),,,,,,,,,,slight [B06],2,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-3-A,75,150,272.85,273.6,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,absent,0,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-4-A,0,150,273.6,275.1,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,absent,0,pinkish white rhodochrosite bleb at 52cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-5-A,0,150,275.1,276.6,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,absent,0,pinkish white rhodochrosite bleb at 64cm,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-6-A,0,135,276.6,277.95,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,absent,0,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-17R-7-A,0,69,278.05,278.74,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,absent,0,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-18R-1-A,0,125,278.7,279.95,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-18R-2-A,0,148,279.95,281.43,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
371-U1511B-18R-3-A,0,150,281.43,282.93,,,,,,diatomite [USGS],with clay,diatomite with clay,,,2.5Y 6/4 (light yellowish brown),,,,,,,,,,sparse [B06],1,,,,,,,,,,,diatomite,diatomite with clay,,,
