Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,Maj Lith. Abundance (%),MAJ Lith. Ave. gran size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1405C-3H-1-A,342,U1405,C,3,3-1,H,1,A,65,150,16.85,17.7,silty [Leg339],clay [Leg339],,silty  clay ,5G 5/1 (greenish gray),,,,slight_339 [DB91],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-2-A,342,U1405,C,3,3-2,H,2,A,0,150,17.7,19.2,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-3-A,342,U1405,C,3,3-3,H,3,A,0,150,19.2,20.7,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-4-A,342,U1405,C,3,3-4,H,4,A,0,150,20.7,22.2,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-5-A,342,U1405,C,3,3-5,H,5,A,0,29,22.2,22.49,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-5-A,342,U1405,C,3,3-5,H,5,A,29,150,22.49,23.7,silty [Leg339],clay [Leg339],,silty  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-6-A,342,U1405,C,3,3-6,H,6,A,0,77,23.7,24.47,silty [Leg339],clay [Leg339],,silty  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-6-A,342,U1405,C,3,3-6,H,6,A,77,86,24.47,24.56,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-6-A,342,U1405,C,3,3-6,H,6,A,86,116,24.56,24.86,silty [Leg339],clay [Leg339],,silty  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-6-A,342,U1405,C,3,3-6,H,6,A,116,150,24.86,25.2,silty [Leg339],clay [Leg339],,silty  clay ,10Y 3/2 (very dark grayish green),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-7-A,342,U1405,C,3,3-7,H,7,A,0,50,25.2,25.7,silty [Leg339],clay [Leg339],,silty  clay ,10Y 3/2 (very dark grayish green),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-3H-7-A,342,U1405,C,3,3-7,H,7,A,50,61,25.7,25.81,silty [Leg339],clay [Leg339],,silty  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-4H-1-A,342,U1405,C,4,4-1,H,1,A,0,74,25.7,26.44,silty [Leg339],clay [Leg339],,silty  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-4H-1-A,342,U1405,C,4,4-1,H,1,A,74,78,26.44,26.48,silty [Leg339],clay [Leg339],,silty  clay ,5G 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1405C-4H-1-A,342,U1405,C,4,4-1,H,1,A,78,150,26.48,27.2,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-4H-2-A,342,U1405,C,4,4-2,H,2,A,0,53,27.2,27.73,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-2-A,342,U1405,C,4,4-2,H,2,A,53,150,27.73,28.7,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-3-A,342,U1405,C,4,4-3,H,3,A,0,10,28.7,28.8,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-3-A,342,U1405,C,4,4-3,H,3,A,10,110,28.8,29.8,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-4H-3-A,342,U1405,C,4,4-3,H,3,A,110,150,29.8,30.2,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-4-A,342,U1405,C,4,4-4,H,4,A,0,74,30.2,30.94,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-5-A,342,U1405,C,4,4-5,H,5,A,0,22,30.94,31.43,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-5-A,342,U1405,C,4,4-5,H,5,A,26,49,30.94,31.43,silty [Leg339],clay [Leg339],with biogenic components [Leg339],silty  clay  with biogenic components ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biogenic components ,,,,,,
342-U1405C-4H-5-A,342,U1405,C,4,4-5,H,5,A,49,150,31.43,32.44,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-4H-6-A,342,U1405,C,4,4-6,H,6,A,0,132,32.44,33.76,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-4H-7-A,342,U1405,C,4,4-7,H,7,A,0,48,33.76,34.24,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-4H-CC-A,342,U1405,C,4,4-CC,H,CC,A,0,8,34.24,34.37,silty [Leg339],clay [Leg339],with biosilica [Leg339],silty  clay  with biosilica ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with biosilica ,,,,,,
342-U1405C-5H-1-A,342,U1405,C,5,5-1,H,1,A,0,150,35.2,36.7,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-5H-2-A,342,U1405,C,5,5-2,H,2,A,0,66,36.7,37.36,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-5H-2-A,342,U1405,C,5,5-2,H,2,A,66,142,37.36,38.12,,clay [Leg339],,clay ,5G 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-5H-3-A,342,U1405,C,5,5-3,H,3,A,0,77,38.12,38.89,,clay [Leg339],,clay ,5G 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-5H-3-A,342,U1405,C,5,5-3,H,3,A,77,150,38.89,39.62,,clay [Leg339],with nannofossils [Leg339],clay  with nannofossils ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with nannofossils ,,,,,,
342-U1405C-5H-4-A,342,U1405,C,5,5-4,H,4,A,0,150,39.62,41.12,,clay [Leg339],with nannofossils [Leg339],clay  with nannofossils ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with nannofossils ,,,,,,
342-U1405C-5H-5-A,342,U1405,C,5,5-5,H,5,A,0,150,41.12,42.62,,clay [Leg339],with nannofossils [Leg339],clay  with nannofossils ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,see Core Summary for comments about noticeable green streak running through most of the length of this section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with nannofossils ,,,,,,
342-U1405C-5H-6-A,342,U1405,C,5,5-6,H,6,A,0,110,42.62,43.72,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1405C-5H-7-A,342,U1405,C,5,5-7,H,7,A,0,65,43.72,44.37,,clay [Leg339],with nannofossils [Leg339],clay  with nannofossils ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with nannofossils ,,,,,,
342-U1405C-6H-1-A,342,U1405,C,6,6-1,H,1,A,39,150,44.7,46.2,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-2-A,342,U1405,C,6,6-2,H,2,A,0,150,46.2,47.7,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-3-A,342,U1405,C,6,6-3,H,3,A,0,150,47.7,49.2,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-4-A,342,U1405,C,6,6-4,H,4,A,0,150,49.2,50.7,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-5-A,342,U1405,C,6,6-5,H,5,A,0,20,50.7,50.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-5-A,342,U1405,C,6,6-5,H,5,A,20,85,50.9,51.55,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-5-A,342,U1405,C,6,6-5,H,5,A,85,150,51.55,52.2,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-6H-6-A,342,U1405,C,6,6-6,H,6,A,0,107,52.2,53.27,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1405C-6H-6-A,342,U1405,C,6,6-6,H,6,A,107,127,53.27,53.47,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1405C-6H-7-A,342,U1405,C,6,6-7,H,7,A,0,71,53.47,54.18,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1405C-7H-1-A,342,U1405,C,7,7-1,H,1,A,0,150,54.2,55.7,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1405C-7H-2-A,342,U1405,C,7,7-2,H,2,A,0,150,55.7,57.2,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,
342-U1405C-7H-3-A,342,U1405,C,7,7-3,H,3,A,0,150,57.2,58.7,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-7H-3-A,342,U1405,C,7,7-3,H,3,A,53,77,57.73,57.97,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,,,fracture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-7H-4-A,342,U1405,C,7,7-4,H,4,A,0,150,58.7,60.2,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-7H-5-A,342,U1405,C,7,7-5,H,5,A,0,92,60.2,61.12,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-7H-5-A,342,U1405,C,7,7-5,H,5,A,92,131,61.12,61.7,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1405C-7H-5-A,342,U1405,C,7,7-5,H,5,A,136,150,61.12,61.7,,nannofossil ooze [Leg339],,nannofossil ooze ,5GY 4/1 (dark greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,
