Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
366-U1492C-5F-3-A,0,90,17.2,18.1,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,cobble,10,,poor,,,,ultramafic rock,4,pebble,10,pebble,9,subangular,serpentine,3,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,5,F,3,A,
366-U1492C-5F-CC-A,0,15,18.1,18.25,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,cobble,10,,poor,,,,ultramafic rock,2,pebble,10,pebble,9,subangular,serpentine,5,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,5,F,CC,A,
366-U1492C-6F-1-A,0,31,18.9,19.21,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,pebble,9,subangular,serpentine,5,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,6,F,1,A,
366-U1492C-6F-2-A,0,97,19.21,20.18,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,cobble,10,,poor,,,,ultramafic rock,10,pebble,10,pebble,9,subangular,serpentine,5,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,6,F,2,A,
366-U1492C-6F-2-A,97,152,20.18,20.73,IIB,,,,,,,,,,,,,,,,,,"microbiology, etc",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,6,F,2,A,
366-U1492C-6F-3-A,0,136,20.73,22.09,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,cobble,10,"clasts vary from black harzburgite to (highly altered) black, brown (weatherd) and green serpentinite",poor,,,,ultramafic rock,8,pebble,10,cobble,10,subangular,serpentine,2,medium sand,5,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,6,F,3,A,
366-U1492C-6F-4-A,0,80,22.09,22.89,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,3,pebble,10,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,6,F,4,A,
366-U1492C-6F-CC-A,0,52,22.89,23.41,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,cobble,10,,poor,,,,ultramafic rock,3,pebble,10,cobble,10,subangular,serpentine,1,medium sand,5,coarse sand,6,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,6,F,CC,A,
366-U1492C-8F-1-A,0,150,28.2,29.7,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,pebble,9,"clasts vary from black harzburgite to (highly altered) black serpentinite, minor bright green serpentine clasts (fine sand to fine granule)",poor,,,,ultramafic rock,3,pebble,10,pebble,9,sub-rounded,serpentine,2,fine sand,4,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1492,C,8,F,1,A,
366-U1492C-8F-2-A,0,75,29.7,30.45,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,pebble,10,pebble,9,subangular,serpentine,3,fine sand,4,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,8,F,2,A,
366-U1492C-8F-2-A,75,150,30.45,31.2,IIB,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,8,F,2,A,
366-U1492C-8F-3-A,0,119,31.2,32.39,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,4,pebble,10,cobble,10,subangular,"serpentine, carbonate",3,fine sand,4,granule,8,sub-rounded,,serpentine clay matrix,,,,,,,366,U1492,C,8,F,3,A,
366-U1492C-8F-CC-A,0,31,32.39,32.7,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,granule,8,cobble,10,,poor,,,,ultramafic rock,30,pebble,10,cobble,10,subangular,serpentine,3,fine sand,4,granule,8,subangular,,,,,,,,,366,U1492,C,8,F,CC,A,
366-U1492C-10X-CC-A,0,20,33.6,33.8,IIB,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 2.5/1 (bluish black),massive,unconsolidated,granule,8,pebble,9,,poor,,,,ultramafic rock,15,pebble,10,pebble,9,subangular,serpentine,5,fine sand,4,coarse sand,6,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,10,X,CC,A,
366-U1492C-11F-1-A,0,99,37.6,38.59,IIC,,,,,scoured,,serpentinite,breccia-conglomerate,,serpentinite breccia-conglomerate,5PB 2.5/1 (bluish black),massive,unconsolidated,medium sand,5,cobble,10,matrix supported serpentinite breccia,poor,,,,ultramafic rock,20,pebble,10,cobble,10,angular,serpentine,1,granule,8,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,11,F,1,A,
366-U1492C-11F-1-A,99,150,38.59,39.1,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,angular,serprntine,1,granule,8,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,11,F,1,A,
366-U1492C-11F-2-A,0,61,39.1,39.71,IIC,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,angular,serpentine,1,granule,8,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,11,F,2,A,
366-U1492C-11F-2-A,61,150,39.71,40.6,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,11,F,2,A,
366-U1492C-11F-3-A,0,88,40.6,41.48,IIC,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,serpentine,2,granule,8,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,11,F,3,A,
366-U1492C-11F-CC-A,0,24,41.48,41.72,IIC,,,,,gradational,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,8,granule,8,pebble,9,subangular,serpentine,2,granule,8,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,11,F,CC,A,
366-U1492C-12F-1-A,0,64,42.3,42.94,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,angular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,12,F,1,A,
366-U1492C-12F-1-A,64,150,42.94,43.8,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,12,F,1,A,
366-U1492C-12F-2-A,0,75,43.8,44.55,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,cobble,10,angular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,12,F,2,A,
366-U1492C-12F-CC-A,0,26,44.55,44.81,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,angular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,12,F,CC,A,
366-U1492C-13F-1-A,0,75,47,47.75,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,13,F,1,A,
366-U1492C-13F-1-A,75,150,47.75,48.5,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,13,F,1,A,
366-U1492C-13F-2-A,0,59,48.5,49.09,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,sub-rounded,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,13,F,2,A,
366-U1492C-13F-CC-A,0,35,49.09,49.44,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,sub-rounded,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,13,F,CC,A,
366-U1492C-14F-1-A,0,136,51.7,53.06,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,7,granule,8,pebble,9,subangular,serpentine,,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,14,F,1,A,
366-U1492C-14F-1-A,136,150,53.06,53.2,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,14,F,1,A,
366-U1492C-14F-2-A,0,40,53.2,53.6,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,7,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,14,F,2,A,
366-U1492C-14F-2-A,40,150,53.6,54.7,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,14,F,2,A,
366-U1492C-14F-3-A,0,80,54.7,55.5,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,7,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,14,F,3,A,
366-U1492C-14F-CC-A,0,21,55.5,55.71,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 4/1 (dark bluish gray),massive,consolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,14,F,CC,A,
366-U1492C-15F-1-A,0,21,56.4,56.61,IIC,,,,planar,sharp,horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 6/1 (bluish gray),massive,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,15,F,1,A,
366-U1492C-15F-1-A,21,34,56.61,56.74,IIC,,,,,,,,,,,,,,,,,,void,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,15,F,1,A,
366-U1492C-15F-1-A,34,113,56.74,57.53,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 6/1 (bluish gray),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,15,F,1,A,
366-U1492C-15F-CC-A,0,8,57.53,57.61,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 6/1 (bluish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,15,F,CC,A,
366-U1492C-16F-1-A,0,110,61.1,62.2,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 6/1 (bluish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,16,F,1,A,
366-U1492C-16F-1-A,110,149,62.2,62.59,IIC,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,C,16,F,1,A,
366-U1492C-16F-2-A,0,109,62.59,63.68,IIC,,,,irregular,sharp,sub-horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 5/1 (bluish gray),,consolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,pebble,9,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,16,F,2,A,
366-U1492C-16F-2-A,109,147,63.68,64.06,IIC,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 5/1 (bluish gray),,unconsolidated,clay,1,pebble,9,,poor,,,,ultramafic rock,5,granule,8,pebble,9,subangular,serpentine,1,coarse sand,6,granule,8,subangular,,serpentine clay matrix,,,,,,,366,U1492,C,16,F,2,A,
