Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,COMMENT,File Data,Unnamed: 24,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,85,120,16.82,17.17,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,120,123,17.17,17.2,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,123,130,17.2,17.27,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,130,133,17.27,17.3,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-3-A,317,U1352,D,3,3-3,H,3,A,133,150,17.3,17.47,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,0,18,17.47,17.65,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,18,19,17.65,17.66,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,19,46,17.66,17.93,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,46,47,17.93,17.94,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,47,66,17.94,18.13,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,66,68,18.13,18.15,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,68,85,18.15,18.32,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,85,87,18.32,18.34,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,87,97,18.34,18.44,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,97,120,18.44,18.67,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-4-A,317,U1352,D,3,3-4,H,4,A,120,150,18.67,18.97,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-5-A,317,U1352,D,3,3-5,H,5,A,0,28,18.97,19.25,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-5-A,317,U1352,D,3,3-5,H,5,A,28,30,19.25,19.27,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soft,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352D-3H-5-A,317,U1352,D,3,3-5,H,5,A,30,46,19.27,19.43,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-5-A,317,U1352,D,3,3-5,H,5,A,46,150,19.43,20.47,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-6-A,317,U1352,D,3,3-6,H,6,A,0,64,20.47,21.11,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-6-A,317,U1352,D,3,3-6,H,6,A,64,75,21.11,21.22,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-6-A,317,U1352,D,3,3-6,H,6,A,75,99,21.22,21.46,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-7-A,317,U1352,D,3,3-7,H,7,A,0,16,21.46,21.62,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-7-A,317,U1352,D,3,3-7,H,7,A,16,30,21.62,21.76,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-7-A,317,U1352,D,3,3-7,H,7,A,30,44,21.76,21.9,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-7-A,317,U1352,D,3,3-7,H,7,A,44,53,21.9,21.99,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-7-A,317,U1352,D,3,3-7,H,7,A,53,68,21.99,22.14,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-3H-CC-A,317,U1352,D,3,3-CC,H,CC,A,0,13,22.14,22.27,,Sandy Mud [S54-Leg183],,Sandy Mud,,soft,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-3H-CC-A,317,U1352,D,3,3-CC,H,CC,A,13,19,22.27,22.33,,Clay [S54] ,,Clay,,soft,,,,,,,,,
317-U1352D-4H-1-A,317,U1352,D,4,4-1,H,1,A,0,150,22.5,24.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",micaceous mud,,,,,
317-U1352D-4H-2-A,317,U1352,D,4,4-2,H,2,A,0,150,24.0,25.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-3-A,317,U1352,D,4,4-3,H,3,A,0,150,25.5,27.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-4-A,317,U1352,D,4,4-4,H,4,A,0,150,27.0,28.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-5-A,317,U1352,D,4,4-5,H,5,A,0,150,28.5,30.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-6-A,317,U1352,D,4,4-6,H,6,A,0,150,30.0,31.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-7-A,317,U1352,D,4,4-7,H,7,A,0,150,31.5,33.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-4H-CC-A,317,U1352,D,4,4-CC,H,CC,A,0,30,32.31,32.61,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-5H-1-A,317,U1352,D,5,5-1,H,1,A,0,150,32.0,33.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-2-A,317,U1352,D,5,5-2,H,2,A,0,150,33.5,35.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-3-A,317,U1352,D,5,5-3,H,3,A,0,150,35.0,36.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-4-A,317,U1352,D,5,5-4,H,4,A,0,150,36.5,38.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-5-A,317,U1352,D,5,5-5,H,5,A,0,150,38.0,39.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-6-A,317,U1352,D,5,5-6,H,6,A,0,150,39.5,41.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-7-A,317,U1352,D,5,5-7,H,7,A,0,59,41.0,41.59,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-5H-CC-A,317,U1352,D,5,5-CC,H,CC,A,0,39,41.59,41.98,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","homogeneous mud (silt) (sect 1, 7, and CC), and color banded mud (sect 2-6)",,,,,
317-U1352D-6H-1-A,317,U1352,D,6,6-1,H,1,A,0,150,41.5,43.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-2-A,317,U1352,D,6,6-2,H,2,A,0,150,43.0,44.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-3-A,317,U1352,D,6,6-3,H,3,A,0,150,44.5,46.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-4-A,317,U1352,D,6,6-4,H,4,A,0,150,46.0,47.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-5-A,317,U1352,D,6,6-5,H,5,A,0,150,47.5,49.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-6-A,317,U1352,D,6,6-6,H,6,A,0,140,49.0,50.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-6-A,317,U1352,D,6,6-6,H,6,A,0,150,49.0,50.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-6H-7-A,317,U1352,D,6,6-7,H,7,A,0,55,50.4,50.95,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-6H-7-A,317,U1352,D,6,6-7,H,7,A,0,57,50.4,50.97,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-CC-A,317,U1352,D,6,6-CC,H,CC,A,0,29,50.97,51.26,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud alternating with clay-rich mud and silt-rich mud,,,,,
317-U1352D-6H-CC-A,317,U1352,D,6,6-CC,H,CC,A,0,45,50.97,51.42,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-1-A,317,U1352,D,7,7-1,H,1,A,0,150,51.0,52.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-2-A,317,U1352,D,7,7-2,H,2,A,0,150,52.5,54.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-3-A,317,U1352,D,7,7-3,H,3,A,0,150,54.0,55.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-4-A,317,U1352,D,7,7-4,H,4,A,0,150,55.5,57.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-5-A,317,U1352,D,7,7-5,H,5,A,0,150,57.0,58.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-6-A,317,U1352,D,7,7-6,H,6,A,0,150,58.44,59.94,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-7-A,317,U1352,D,7,7-7,H,7,A,0,55,59.82,60.37,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-7H-CC-A,317,U1352,D,7,7-CC,H,CC,A,0,45,60.32,60.77,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-1-A,317,U1352,D,8,8-1,H,1,A,0,67,60.5,61.17,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-1-A,317,U1352,D,8,8-1,H,1,A,67,150,61.17,62.0,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-2-A,317,U1352,D,8,8-2,H,2,A,0,150,62.0,63.5,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,0,3,63.5,63.53,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,3,14,63.53,63.64,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,14,34,63.64,63.84,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,34,40,63.84,63.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,40,88,63.9,64.38,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,88,105,64.38,64.55,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,105,110,64.55,64.6,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352D-8H-3-A,317,U1352,D,8,8-3,H,3,A,110,150,64.6,65.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352D-8H-4-A,317,U1352,D,8,8-4,H,4,A,0,75,65.0,65.75,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
