Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-3R-1-A,0,4,323.6,323.64,,packstone,3,packstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,,,,,,,,,,,,,common,4,,,,Reacts with acid,,,,359,U1466,B,3,R,1,A
359-U1466B-3R-1-A,4,76,323.64,324.36,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/2 (light gray),medium sand,5,foraminifera (benthic),,Bivalve,,foraminifera (benthic),,,,,,,,common,4,,,,packstone.,,,,359,U1466,B,3,R,1,A
359-U1466B-3R-1-A,76,87,324.36,324.47,,packstone,3,packstone,lithified,5,2.5y 7/2 (light gray),medium sand,5,,,,,,,,,,,,,moderate,3,,,,,,,,359,U1466,B,3,R,1,A
359-U1466B-3R-1-A,87,129,324.47,324.89,,packstone,3,packstone,lithified,5,2.5y 7/2 (light gray),medium sand,5,,,,,,,,,,,,,complete,6,,,,,,,,359,U1466,B,3,R,1,A
359-U1466B-3R-1-A,129,134,324.89,324.94,,packstone,3,packstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,,,,,,,,,,,,,moderate,3,,,,Reacts with HCl,,,,359,U1466,B,3,R,1,A
359-U1466B-4R-1-A,0,44,333.3,333.74,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 6/3 (light yellowish brown),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,gradational,horizontal,"Medium- to coarse-grained, highly recrystallized.",,,,359,U1466,B,4,R,1,A
359-U1466B-4R-1-A,44,68,333.74,333.98,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Fine- to medium-grained, well--sorted, small round burrows, possible chondrites.",,,,359,U1466,B,4,R,1,A
359-U1466B-4R-1-A,68,102,333.98,334.32,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Fine- to medium-grained, well--sorted, small round burrows, possible chondrites.",,,,359,U1466,B,4,R,1,A
359-U1466B-5R-1-A,0,67,343.1,343.77,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 8/2 (pale yellow),medium sand,5,,No biota visible,,,,,,,,,,,complete,6,,gradational,horizontal,Gradational color change down core.,,,,359,U1466,B,5,R,1,A
359-U1466B-5R-1-A,83,85,343.93,343.95,Dolomitic,wackestone,2,Dolomitic wackestone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,,No biota visible,,,,,,,,,,,complete,6,,,,Wackestone with darker intervals and burrows present.,,,,359,U1466,B,5,R,1,A
359-U1466B-6R-1-A,0,36,352.8,353.16,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/3 (pale yellow),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,,,"Well-sorted, fine to medium-grained.",,,,359,U1466,B,6,R,1,A
359-U1466B-6R-1-A,36,40,353.16,353.2,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 2.5/1 (black),,,,,,,,,,,,chert nodule,,,complete,6,,,,"Well-sorted, fine to medium-grained.",,,,359,U1466,B,6,R,1,A
359-U1466B-6R-1-A,40,98,353.2,353.78,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/3 (light yellowish brown),medium sand,5,,,,,,,,,,,,,complete,6,,,,"Well-sorted, fine to medium-grained.",,,,359,U1466,B,6,R,1,A
359-U1466B-7R-1-A,0,65,362.5,363.15,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,complete,6,,,,"Recrystallized packstone. Well-sorted, fine to medium-grained. Moldic porosity due to shell molds.",,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,65,70,363.15,363.2,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,complete,6,,,,Recrystallized packstone. Moldic porosity due to shell molds.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,70,76,363.2,363.26,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,moderate,3,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,76,90,363.26,363.4,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,common,4,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,90,93,363.4,363.43,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,moderate,3,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,93,97,363.43,363.47,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,complete,6,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,97,114,363.47,363.64,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,moderate,3,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,114,118,363.64,363.68,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/3 (pale yellow),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,moderate,3,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-7R-1-A,118,123,363.68,363.73,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (benthic),,,,,,,,,,,,common,4,,,,Recrystallized packstone.,,,,359,U1466,B,7,R,1,A
359-U1466B-8R-1-A,0,3,372.2,372.23,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 4/1 (dark gray),medium sand,5,Calcareous bioclast,,,,,,,,,,,,moderate,3,,bioturbated,horizontal,Recrystallized grainstone.,,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,3,34,372.23,372.54,,grainstone,4,grainstone,lithified,5,2.5y 5/2 (grayish brown),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,gradational,horizontal,Well-sorted fine to medium-grained. Distinct large diagonal crossing trace fossil 1-10 mm.,,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,34,45,372.54,372.65,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,gradational,horizontal,"Distinct ichnofossils fossil, parallel flattened burrows.",,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,45,54,372.65,372.74,,grainstone,4,grainstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,gradational,horizontal,"Fine- to medium-grained, well sorted.",,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,54,80,372.74,373.0,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,gradational,horizontal,"Fine- to medium-grained, well sorted.",,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,80,94,373.0,373.14,,grainstone,4,grainstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,gradational,horizontal,"Fine- to medium-grained, well sorted.",,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,94,124,373.14,373.44,,grainstone,4,grainstone,lithified,5,2.5y 6/3 (light yellowish brown),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,gradational,horizontal,"Fine- to medium-grained, well sorted.",,,,359,U1466,B,8,R,1,A
359-U1466B-8R-1-A,124,137,373.44,373.57,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),medium sand,5,Calcareous bioclast,,,,,,,,,,,,complete,6,,gradational,horizontal,"Distinct ichnofossils fossil, Fine- to medium-grained, well sorted.",,,,359,U1466,B,8,R,1,A
359-U1466B-9R-1-A,0,33,382.0,382.33,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Well-sorted, fine- to medium-grained. Distinct elongated ichnofossils approx. 1 mm, width.",,,,359,U1466,B,9,R,1,A
359-U1466B-9R-1-A,33,54,382.33,382.54,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/3 (light yellowish brown),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Well-sorted, fine- to medium-grained. Distinct vertical and diagonal elongated ichnofossils approx. 1 mm,",,,,359,U1466,B,9,R,1,A
359-U1466B-9R-1-A,54,78,382.54,382.78,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/3 (pale yellow),medium sand,5,foraminifera (benthic),,Calcareous bioclast,,,,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized grainstone.,,,,359,U1466,B,9,R,1,A
359-U1466B-10R-1-A,0,14,391.7,391.84,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (benthic),,shell fragment,,,,,,,,,,complete,6,,,,Recrystallized packstone.,,,,359,U1466,B,10,R,1,A
359-U1466B-10R-1-A,14,78,391.84,392.48,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (benthic),,shell fragment,,,,,,,,,,complete,6,,,,"Recrystallized packstone with moldic porosity. Burrows are rounded, horizontal and vertical 1 to 3 mm diameter.",,,,359,U1466,B,10,R,1,A
359-U1466B-10R-1-A,78,98,392.48,392.68,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (benthic),,shell fragment,,,,,,,,,,complete,6,,,,"Recrystallized packstone. Burrows are rounded, horizontal up to 1 cm.",,,,359,U1466,B,10,R,1,A
359-U1466B-10R-1-A,98,125,392.68,392.95,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (benthic),,shell fragment,,,,,,,,,,complete,6,,,,Recrystallized packstone. Burrows are horizontal with a diameter up to 5 mm.,,,,359,U1466,B,10,R,1,A
359-U1466B-10R-2-A,0,15,392.95,393.1,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized grainstone. Very fine- to fine-grained. Distinct trace fossil (branching) Burrows are vertical and rounded 1 to 3 mm diameter.,,,,359,U1466,B,10,R,2,A
359-U1466B-10R-2-A,15,32,393.1,393.27,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Burrows are rounded, horizontal and sub-horizontal.",,,,359,U1466,B,10,R,2,A
359-U1466B-10R-2-A,32,46,393.27,393.41,,grainstone,4,grainstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,Flow-in,,,,359,U1466,B,10,R,2,A
359-U1466B-10R-2-A,46,59,393.41,393.54,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized grainstone. Distinct elongated ichnofossils approx. 1 mm.,,,,359,U1466,B,10,R,2,A
359-U1466B-10R-2-A,59,94,393.54,393.89,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized grainstone. Distinct elongated ichnofossils approx. 1 mm.,,,,359,U1466,B,10,R,2,A
359-U1466B-10R-2-A,94,106,393.89,394.01,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (large benthic),,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Small (<1 mm) trace fossil, possibly chondrites",,,,359,U1466,B,10,R,2,A
359-U1466B-10R-CC-A,0,16,394.01,394.17,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 8/3 (pale yellow),very fine sand,3,foraminifera (planktic),,Calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,10,R,CC,A
359-U1466B-11R-1-A,0,12,401.4,401.52,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Recrystallized grainstone. Large round burrows.,,,,359,U1466,B,11,R,1,A
359-U1466B-11R-1-A,12,34,401.52,401.74,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Recrystallized grainstone. No reaction with HCl.,,,,359,U1466,B,11,R,1,A
359-U1466B-11R-1-A,34,55,401.74,401.95,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,Chondrites,,,Recrystallized grainstone. Flattened burrows (chondrites). Porous.,,,,359,U1466,B,11,R,1,A
359-U1466B-11R-1-A,55,80,401.95,402.2,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Recrystallized grainstone. Flattened burrows. Porous.,,,,359,U1466,B,11,R,1,A
359-U1466B-11R-1-A,80,93,402.2,402.33,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Recrystallized grainstone. Flattened burrows.,,,,359,U1466,B,11,R,1,A
359-U1466B-11R-2-A,0,96,402.35,403.31,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,Recrystallized grainstone. Flattened burrows.,,,,359,U1466,B,11,R,2,A
359-U1466B-11R-CC-A,0,9,403.31,403.4,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized grainstone. Flattened burrows.,,,,359,U1466,B,11,R,CC,A
359-U1466B-11R-CC-A,9,23,403.4,403.54,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,11,R,CC,A
359-U1466B-11R-CC-A,23,65,403.54,403.96,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,11,R,CC,A
359-U1466B-12R-1-A,0,32,411.1,411.42,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-1-A,32,55,411.42,411.65,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6,,,,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted. Thin chert layers (chert film) present.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-1-A,55,60,411.65,411.7,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-1-A,60,70,411.7,411.8,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-1-A,70,104,411.8,412.14,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 8/2 (pale yellow),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-1-A,104,121,412.14,412.31,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,,,,,,,,complete,6,,bioturbated,horizontal,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,1,A
359-U1466B-12R-CC-A,0,27,412.31,412.58,Dolomitic,grainstone,4,Dolomitic grainstone,lithified,5,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,Calcareous bioclast,,,,,,,,complete,6,,,,"Recrystallized grainstone. Very fine- to fine-grained, well-sorted.",,,,359,U1466,B,12,R,CC,A
359-U1466B-13R-1-A,0,45,420.8,421.25,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8.5/1 (white),fine sand,4,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,13,R,1,A
359-U1466B-13R-1-A,45,70,421.25,421.5,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P).",,,,359,U1466,B,13,R,1,A
359-U1466B-13R-1-A,70,80,421.5,421.6,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,10YR 7/1 (light gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P).",,,,359,U1466,B,13,R,1,A
359-U1466B-13R-1-A,80,91,421.6,421.71,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,10YR 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P).",,,,359,U1466,B,13,R,1,A
359-U1466B-13R-1-A,91,123,421.71,422.03,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,10YR 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P).",,,,359,U1466,B,13,R,1,A
359-U1466B-13R-1-A,123,150,422.03,422.3,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,10YR 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P) concentrated in larger burrows.",,,,359,U1466,B,13,R,1,A
359-U1466B-13R-2-A,0,42,422.3,422.72,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,10YR 8/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,,,,,,,complete,6,,bioturbated,horizontal,Recrystallized packstone. Fine- to medium-grained.,,,,359,U1466,B,13,R,2,A
359-U1466B-13R-2-A,42,70,422.72,423.0,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 8.5/1 (white),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,Thalassinoides,bioturbated,horizontal,"Recrystallized packstone. Fine- to medium-grained. Thalassinodies (A), Chondrites and Phycosiphon (P) concentrated in larger burrows.",,,,359,U1466,B,13,R,2,A
359-U1466B-13R-2-A,70,100,423.0,423.3,Dolomitic,packstone,3,Dolomitic packstone,lithified,5,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,Calcareous bioclast,,,,intraclast,"Black grains (A), Glauconite (C).",,,,,complete,6,Phycosiphon,bioturbated,horizontal,Recrystallized packstone. Fine- to medium-grained. Phycosiphon (?) possibly Chondrites. Concentrated in burrows.,,,,359,U1466,B,13,R,2,A
