Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1370F-5H-6-A,329.0,U1370,F,5.0,5-6,H,6,A,0.0,133.0,42.7,44.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-5H-CC-A,329.0,U1370,F,5.0,5-CC,H,CC,A,0.0,16.0,44.03,44.19,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-6H-1-A,329.0,U1370,F,6.0,6-1,H,1,A,0.0,150.0,44.7,46.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-6H-2-A,329.0,U1370,F,6.0,6-2,H,2,A,0.0,140.0,46.2,47.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-6H-3-A,329.0,U1370,F,6.0,6-3,H,3,A,80.0,140.0,48.5,49.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-6H-4-A,329.0,U1370,F,6.0,6-4,H,4,A,0.0,140.0,49.2,50.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-6H-5-A,329.0,U1370,F,6.0,6-5,H,5,A,30.0,140.0,51.0,52.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-6H-6-A,329.0,U1370,F,6.0,6-6,H,6,A,0.0,146.0,52.2,53.66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-6H-CC-A,329.0,U1370,F,6.0,6-CC,H,CC,A,0.0,24.0,53.66,53.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-1-A,329.0,U1370,F,7.0,7-1,H,1,A,0.0,140.0,54.2,55.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-7H-2-A,329.0,U1370,F,7.0,7-2,H,2,A,70.0,80.0,56.4,56.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-7H-3-A,329.0,U1370,F,7.0,7-3,H,3,A,40.0,140.0,57.6,58.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1370F-7H-4-A,329.0,U1370,F,7.0,7-4,H,4,A,70.0,130.0,59.4,60.0,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-5-A,329.0,U1370,F,7.0,7-5,H,5,A,70.0,120.0,60.9,61.4,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-5-A,329.0,U1370,F,7.0,7-5,H,5,A,130.0,140.0,61.5,61.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-6-A,329.0,U1370,F,7.0,7-6,H,6,A,130.0,140.0,63.0,63.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-7-A,329.0,U1370,F,7.0,7-7,H,7,A,0.0,65.0,63.2,63.85,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-7H-CC-A,329.0,U1370,F,7.0,7-CC,H,CC,A,0.0,23.0,63.85,64.08,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-1-A,329.0,U1370,F,8.0,8-1,H,1,A,50.0,60.0,64.2,64.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-1-A,329.0,U1370,F,8.0,8-1,H,1,A,90.0,136.0,64.6,65.06,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-2-A,329.0,U1370,F,8.0,8-2,H,2,A,0.0,94.0,65.06,66.0,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-3-A,329.0,U1370,F,8.0,8-3,H,3,A,0.0,101.0,66.0,67.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-4-A,329.0,U1370,F,8.0,8-4,H,4,A,0.0,150.0,67.01,68.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-5-A,329.0,U1370,F,8.0,8-5,H,5,A,0.0,150.0,68.51,70.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-6-A,329.0,U1370,F,8.0,8-6,H,6,A,0.0,140.0,70.01,71.41,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-7-A,329.0,U1370,F,8.0,8-7,H,7,A,0.0,51.0,71.41,71.92,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
329-U1370F-8H-CC-A,329.0,U1370,F,8.0,8-CC,H,CC,A,0.0,16.0,71.92,72.08,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,
,,,,,,,,,,,,,,,,,,,,,,
