Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
363-U1484A-3H-3-A,0,97.0,17.51,18.48,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,sand layers abundant 71 to 97 cm; sulfide minerals; 70 cm to base of core lots of cracks,,,,,,,,,,,,,363,U1484,A,3,H,3,A,,,,
363-U1484A-3H-3-A,97,103.0,18.48,18.54,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,3,H,3,A,,,,
363-U1484A-3H-3-A,103,148.0,18.54,18.99,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,sand layers abundant,,,,,,,,,,,,,363,U1484,A,3,H,3,A,,,,
363-U1484A-3H-4-A,0,157.0,19.04,20.61,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sand layers: 26-30, 119-120, 146-149 cm; sulfide minerals, cracks",,,,,,,,,,,,,363,U1484,A,3,H,4,A,,,,
363-U1484A-3H-5-A,0,40.0,20.61,21.01,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sulfide minerals, cracks",,,,,,,,,,,,,363,U1484,A,3,H,5,A,,,,
363-U1484A-3H-5-A,40,49.0,21.01,21.1,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,3,H,5,A,,,,
363-U1484A-3H-5-A,49,159.0,21.1,22.2,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sand layer: 78-81, sulfide minerals, cracks",,,,,,,,,,,,,363,U1484,A,3,H,5,A,,,,
363-U1484A-3H-6-A,0,146.0,22.2,23.66,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"sand layer: 108-111 cm, sulfide minerals, cracks",,,,,,,,,,,,,363,U1484,A,3,H,6,A,,,,
363-U1484A-3H-7-A,0,61.0,23.71,24.32,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,3,H,7,A,,,,
363-U1484A-3H-CC-A,0,18.0,24.32,24.5,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,A,3,H,CC,A,,,,
363-U1484A-4H-1-A,0,105.0,24.0,25.05,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"multiple sand layers between 50-88 cm, shell fragments throughout",,,,,,,,,,,,,363,U1484,A,4,H,1,A,,,,
363-U1484A-4H-2-A,0,130.0,25.05,26.35,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,"20cm: organic debris, mixed sand and clay (lithologies not distinct); wood: 100 cm",,,,,,,,,,,,,363,U1484,A,4,H,2,A,,,,
