Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology prefix,Principal lithology,Lithology suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
376-U1528D-54R-1-A,0,31,311.3,311.61,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 4/N (dark gray),"hydrothermally altered rock. Highly siliceous, almost chert-like; disseminated pyrite common; one piece resembles a hydrothermal breccia (4-13 cm); native sulfur present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,54,R,1,A
376-U1528D-55R-1-A,0,6,316.1,316.16,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 5/N (gray),"hydrothermally altered rock. Highly siliceous, almost chert-like; disseminated pyrite common; piece resembles a hydrothermal breccia; native sulfur present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,55,R,1,A
376-U1528D-55R-1-A,6,67,316.16,316.77,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Vesicles? and vugs filled with sulfate and sulfide minerals. Native sulfur present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,55,R,1,A
376-U1528D-56R-1-A,0,30,320.9,321.2,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 4/N (dark gray),"Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Sulfate and sulfide minerals are common. Native sulfur is present. Two pieces are of lighter grey color and consist of silica, alunite?, sulfates and sulfides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,56,R,1,A
376-U1528D-57R-1-A,0,6,325.7,325.76,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/10Y (greenish gray),"Possible fall-in? Hydrothermally altered rock. Highly siliceous, almost chert-like with diss. pyrite and prob. allunite. Many small vugs filled with native sulfur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,57,R,1,A
376-U1528D-57R-1-A,6,33,325.76,326.03,,3,moderately altered,,volcanic,,volcanic,,,,,porphyritic,,GLEY 1 5/N (gray),Altered volcanic rock w/ plagioclase pseudomorphs filled by qtz? Resembles an altered and leached basalt. Individual pebbles are surrounded by light gray alteration halos.,80,,,Nature of groundmass not determinable. cryptocrystalline and altered,,,n,,plagioclase,20,2,0.5,euhedral,,"Possibly pseudomorphs rather than fresh crystals. Bimodal distribution of phenocrysts, some large ones but the majority are fine-grained thin laths. Also possibly altered. This texture is similar to the fresh dacite.",,,,,,,,,,,,,,,20,,,,nonvesicular,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,57,R,1,A
376-U1528D-58R-1-A,0,41,330.5,330.91,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Diss. sulfide is abundant. Several alteration halos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,58,R,1,A
376-U1528D-59R-1-A,0,13,335.3,335.43,,3,intensely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Occurrence of phenocryst pseudomorphs filled with secondary minerals. Diss. sulfide is abundant. Several alteration halos. Second piece is darker and probably more siliceous (fall in?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,59,R,1,A
376-U1528D-60R-1-A,0,48,340.1,340.58,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 7/N (light gray),Hydrothermally overprinted volcanic rock. Tabular blue sulfate minerals that may be pseudomorphs. Disseminated sulfide is abundant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,60,R,1,A
376-U1528D-61R-1-A,0,93,344.9,345.83,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 6/n (gray),Hydrothermally overprinted volcanic rock. Light blue sulfate minerals that may be pseudomorphs. Veins with white alteration halo. Some contain small piece of clast with irregular shape.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,61,R,1,A
376-U1528D-62R-1-A,0,40,349.7,350.1,,3,completely altered,,volcanic,,volcanic,,,,,,,GLEY 1 6/N (gray),Hydrothermally overprinted volcanic rock. Light blue sulfate minerals that may be pseudomorphs. Veins with white alteration halo. Irregular linear alteration pattern in some pieces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,62,R,1,A
376-U1528D-63R-1-A,0,57,354.5,355.07,,3,completely altered,,volcanic,,volcanic,,,,,,,gley 1 4/n (dark gray),Hydrothermally overprinted dark gray volcanic rock with alteration halo of light gray to white color.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,63,R,1,A
