Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data
352-U1439A-2H-4-A,101,150,12.31,12.8,IB,irregular,bioturbated,sub-horizontal,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,"alternating more muddy, brownish sandy and nannofossil-layers (decimeter-thick interbeds)",poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-5-A,0,150,12.8,14.3,IB,irregular,bioturbated,sub-horizontal,silty,nannofossil ooze,with medium to coarse sand,silty nannofossil ooze,silty nannofossil ooze with medium to coarse sand,nannofossil ooze with medium to coarse sand,,10YR 8/2 (very pale brown),,unconsolidated,silt,2,medium sand,5,"alternating more muddy, brownish sandy and nannofossil-layers (decimeter-thick interbeds)",poor,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-6-A,0,123,14.3,15.53,IB,,,,silty,nannofossil ooze,,silty nannofossil ooze,silty nannofossil ooze,nannofossil ooze,,2.5Y 8/1 (white),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-7-A,0,71,15.53,16.24,IB,,,,silty,nannofossil ooze,,silty nannofossil ooze,silty nannofossil ooze,nannofossil ooze,,2.5Y 8/1 (white),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-2H-CC-A,0,5,16.24,16.29,IB,,,,silty,nannofossil ooze,,silty nannofossil ooze,silty nannofossil ooze,nannofossil ooze,,2.5Y 8/1 (white),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,slight,1,,,foraminifer,R,,,,,calcareous matrix,,,,,
352-U1439A-3H-1-A,0,7,16.3,16.37,IB,irregular,gradational,sub-horizontal,,ash,,ash,ash,ash,,,,unconsolidated,fine sand,4,fine sand,4,,well,normally graded,,slight,1,,,,,,,,,,,,,,
352-U1439A-3H-1-A,7,150,16.37,17.8,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-2-A,0,150,17.8,19.3,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-3-A,0,145,19.3,20.75,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,non-graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-4-A,0,133,20.8,22.13,IB,irregular,gradational,horizontal,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
352-U1439A-3H-4-A,133,137,22.13,22.17,IB,planar,sharp,horizontal,,ash,,ash,ash,ash,,5YR 6/2 (pinkish gray),thin bed,unconsolidated,,,fine sand,4,,well,normally graded,,,,,,,,,,,,,,,,,
352-U1439A-3H-4-A,137,150,22.17,22.3,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,2.5Y 7/1 (light gray),,unconsolidated,clay,1,silt,2,alternating white and bronish white nannofossil ooze moderately bioturbated and mottled,moderate,normally graded,mottled layer,moderate,2,,,foraminifer,Tr,,,,,calcareous matrix,,,,,
