dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
,344-U1412C-6R-2-A,344,U1412,C,6,6-2,R,2,A,42,83,339.9,340.31,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,laminated,,,,,,,,,,,,,,several intact fragments,,,,,,,
,344-U1412C-6R-3-A,344,U1412,C,6,6-3,R,3,A,0,61,340.31,340.92,,destroyed [drilling disturbance],8,,,,,,,,,,,very dark greenish gray claystone rubble,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-3-A,344,U1412,C,6,6-3,R,3,A,61,73,340.92,341.04,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-3-A,344,U1412,C,6,6-3,R,3,A,73,89,341.04,341.2,,destroyed [drilling disturbance],8,,,,,,,,,,,very dark greenish gray claystone rubble,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-3-A,344,U1412,C,6,6-3,R,3,A,89,122,341.2,341.53,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,sand-sized (<1 mm) biogenic fragments very common; vein with opaques and pyrite at 101 cm ,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-3-A,344,U1412,C,6,6-3,R,3,A,122,150,341.53,341.81,,destroyed [drilling disturbance],8,,,,,,,,,,,very dark greenish gray claystone rubble,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-4-A,344,U1412,C,6,6-4,R,4,A,0,146,341.81,343.27,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,"less biogenic components below 70 cm, matrix is slight carbonaceous",,,,,,,,,,,,,,drilling disturbance varies,,,,,,,
,344-U1412C-6R-5-A,344,U1412,C,6,6-5,R,5,A,0,104,343.27,344.31,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,very little carbonate in matrix,,,,,,,,,,,,,,intensity of drilling disturbance varies,,,,,,,
,344-U1412C-6R-5-A,344,U1412,C,6,6-5,R,5,A,104,114,344.31,344.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCREATON physical properties sample,,,,,,,
,344-U1412C-6R-5-A,344,U1412,C,6,6-5,R,5,A,114,150,344.41,344.77,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,matrix calcareous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-6-A,344,U1412,C,6,6-6,R,6,A,0,14,344.77,344.91,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,"fewer biogenic components, , matrix is slightly carbonaceous",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-6-A,344,U1412,C,6,6-6,R,6,A,14,39,344.91,345.16,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,a few intact chunks of rock in highly fragmented matrix,,,,,,,
,344-U1412C-6R-6-A,344,U1412,C,6,6-6,R,6,A,39,101,345.16,345.78,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,biogenic components more abundant and larger than higher in the section; matrix is slightly carbonaceous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-CC-A,344,U1412,C,6,6-CC,R,CC,A,0,6,345.78,345.84,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-6R-CC-A,344,U1412,C,6,6-CC,R,CC,A,6,12,345.84,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1412C-7R-1-A,344,U1412,C,7,7-1,R,1,A,0,76,348.2,348.96,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,contains a 7 cm long elongated angular clast of limestone at 0-7 cm depth,limestone [USGS],cobble [W22_2],blocky,,,angular,2,,,,,slight [B06],2,,,,,,,,
,344-U1412C-7R-1-A,344,U1412,C,7,7-1,R,1,A,76,89,348.96,349.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,YAMAMOTO structualr sample,,,,,,,
,344-U1412C-7R-1-A,344,U1412,C,7,7-1,R,1,A,89,101,349.09,349.21,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,lesser biogenic components,,,,,,,,,,,,slight [B06],2,,,,,,,,
,344-U1412C-7R-1-A,344,U1412,C,7,7-1,R,1,A,101,102,349.21,349.22,,moderate to high [drilling disturbance],5,,tephra [FS84],,5GY 4/,tephra ,tephra ,silt [W22_1],2,silt [W22_1],2,light-colored hornblende and plagioclase-rich fallout tephra,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-1-A,344,U1412,C,7,7-1,R,1,A,102,115,349.22,349.35,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,lesser biogenic components,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,0,33,349.35,349.68,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,slightly calcareous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,33,48,349.68,349.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASH,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,48,75,349.83,350.1,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components ,silt [W22_1],2,silt [W22_1],2,slightly calcareous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,75,96,350.1,350.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,HE WR,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,96,112,350.31,350.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-7R-2-A,344,U1412,C,7,7-2,R,2,A,112,137,350.47,350.72,fragmented,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,silt [W22_1],2,slightly calcareous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-CC-A,344,U1412,C,7,7-CC,R,CC,A,0,14,350.72,350.86,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,silt [W22_1],2,slightly calcareous,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-7R-CC-A,344,U1412,C,7,7-CC,R,CC,A,14,20,350.86,350.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1412C-8R-1-W,344,U1412,C,8,8-1,R,1,W,0,120,357.9,359.1,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,silt [W22_1],2,calcareous matrix; possibly some disseminated light-colored pyrite-rich clay matrix in siltstone fragments,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-1-W,344,U1412,C,8,8-1,R,1,W,120,148,359.1,359.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-8R-2-W,344,U1412,C,8,8-2,R,2,W,0,108,359.38,360.46,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,silt [W22_1],2,slightly  calcareous matrix,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-2-W,344,U1412,C,8,8-2,R,2,W,108,121,360.46,360.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAFFER sample,,,,,,,
,344-U1412C-8R-2-W,344,U1412,C,8,8-2,R,2,W,121,150,360.59,360.88,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,silt [W22_1],2,slightly  calcareous matrix,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-3-W,344,U1412,C,8,8-3,R,3,W,0,26,360.88,361.14,breccia,destroyed [drilling disturbance],8,,,,,,,,,,,ruble of green clayed siltstone,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-3-W,344,U1412,C,8,8-3,R,3,W,26,136,361.14,362.24,fragmented,high [drilling disturbance],6,calcareous [Leg339],sandstone [USGS],with biogenic components [Leg339],10Y 3/1 (very dark greenish gray),calcareous   sandstone ,calcareous  sandstone  with biogenic components [Leg339],sand [W22_1],3,sand [W22_1],3,with grains of pyroxene and horneblende with some glauconite,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-3-W,344,U1412,C,8,8-3,R,3,W,136,150,362.24,362.38,fragmented,severe [drilling disturbance],7,clayey,siltstone [USGS],with biogenic components [Leg339],10GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-4-W,344,U1412,C,8,8-4,R,4,W,0,29,362.38,362.67,breccia,destroyed [drilling disturbance],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-4-W,344,U1412,C,8,8-4,R,4,W,29,116,362.67,363.54,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,"proportion of sand increasing with depth 
partial ash layer at 91cm (dominant glass with abondant feldspar, common opaques, quartz, hornblende, pyroxene and biotite)",,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-5-W,344,U1412,C,8,8-5,R,5,W,0,59,363.54,364.13,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-5-W,344,U1412,C,8,8-5,R,5,W,59,95,364.13,364.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,
,344-U1412C-8R-6-W,344,U1412,C,8,8-6,R,6,W,0,27,364.49,364.76,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],5GY 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-6-W,344,U1412,C,8,8-6,R,6,W,27,42,364.76,364.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAIT,,,,,,,
,344-U1412C-8R-6-W,344,U1412,C,8,8-6,R,6,W,42,60,364.91,365.09,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-8R-6-W,344,U1412,C,8,8-6,R,6,W,60,76,365.09,365.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,STIP,,,,,,,
,344-U1412C-8R-6-W,344,U1412,C,8,8-6,R,6,W,76,140,365.25,365.89,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,"dark colored patch of ash at 94cm (dominant glass with abondant feldspar, common opaques, quartz, hornblende, pyroxene and biotite)",,,,,,,,,,,,common [B06],4,,,,,,,,
,344-U1412C-8R-CC-W,344,U1412,C,8,8-CC,R,CC,W,0,10,365.89,365.99,fragmented,high [drilling disturbance],6,clayey,siltstone [USGS],with biogenic components [Leg339],10Y 4/1 (dark greenish gray),clayey  siltstone ,clayey siltstone  with biogenic components [Leg339],silt [W22_1],2,sand [W22_1],3,,,,,,,,,,,,,,,,,,,,,,
,344-U1412C-8R-CC-W,344,U1412,C,8,8-CC,R,CC,W,10,16,365.99,366.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,
,344-U1412C-8R-CC-W,344,U1412,C,8,8-CC,R,CC,W,16,18,366.05,366.07,breccia,destroyed [drilling disturbance],8,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,
