Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (5),Grain size max (mm),Lithification,Comment,File Data
329-U1367C-2H-7-A,329.0,U1367,C,2.0,2-7,H,7,A,0.0,50.0,16.2,16.7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-2H-CC-A,329.0,U1367,C,2.0,2-CC,H,CC,A,0.0,10.0,16.91,17.01,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-1-A,329.0,U1367,C,3.0,3-1,H,1,A,10.0,50.0,16.8,17.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-1-A,329.0,U1367,C,3.0,3-1,H,1,A,60.0,100.0,17.3,17.7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-1-A,329.0,U1367,C,3.0,3-1,H,1,A,110.0,150.0,17.8,18.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-2-A,329.0,U1367,C,3.0,3-2,H,2,A,10.0,50.0,18.3,18.7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-2-A,329.0,U1367,C,3.0,3-2,H,2,A,60.0,70.0,18.8,18.9,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-2-A,329.0,U1367,C,3.0,3-2,H,2,A,110.0,140.0,19.3,19.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-3-A,329.0,U1367,C,3.0,3-3,H,3,A,10.0,50.0,19.8,20.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-3-A,329.0,U1367,C,3.0,3-3,H,3,A,60.0,80.0,20.3,20.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-3-A,329.0,U1367,C,3.0,3-3,H,3,A,110.0,150.0,20.8,21.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,10.0,40.0,21.3,21.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,40.0,50.0,21.6,21.7,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,60.0,100.0,21.8,22.2,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,110.0,135.0,22.3,22.55,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,135.0,150.0,22.55,22.7,nannofossil,chalk [MMK88],,nannofossil chalk,,50.0,,,,
329-U1367C-3H-4-A,329.0,U1367,C,3.0,3-4,H,4,A,135.0,150.0,22.55,22.7,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50.0,,,,
329-U1367C-3H-5-A,329.0,U1367,C,3.0,3-5,H,5,A,0.0,91.0,22.7,23.61,nannofossil,chalk [MMK88],,nannofossil chalk,,50.0,,,,
329-U1367C-3H-5-A,329.0,U1367,C,3.0,3-5,H,5,A,0.0,91.0,22.7,23.61,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50.0,,,,
329-U1367C-3H-6-A,329.0,U1367,C,3.0,3-6,H,6,A,0.0,100.0,23.61,24.61,nannofossil,chalk [MMK88],,nannofossil chalk,,50.0,,,,
329-U1367C-3H-6-A,329.0,U1367,C,3.0,3-6,H,6,A,0.0,100.0,23.61,24.61,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50.0,,,,
329-U1367C-3H-7-A,329.0,U1367,C,3.0,3-7,H,7,A,0.0,33.0,24.61,24.94,nannofossil,chalk [MMK88],,nannofossil chalk,,50.0,,,,
329-U1367C-3H-7-A,329.0,U1367,C,3.0,3-7,H,7,A,0.0,33.0,24.61,24.94,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50.0,,,,
329-U1367C-3H-CC-A,329.0,U1367,C,3.0,3-CC,H,CC,A,0.0,14.0,24.94,25.08,nannofossil,chalk [MMK88],,nannofossil chalk,,50.0,,,,
329-U1367C-3H-CC-A,329.0,U1367,C,3.0,3-CC,H,CC,A,0.0,14.0,24.94,25.08,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50.0,,,,
329-U1367C-4H-1-A,329.0,U1367,C,4.0,4-1,H,1,A,0.0,37.0,26.2,26.57,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1367C-4H-CC-A,329.0,U1367,C,4.0,4-CC,H,CC,A,0.0,9.0,26.57,26.66,nannofossil,chalk [MMK88],,nannofossil chalk,"Mazullo, Meyer & Kidd, 1988",,,,,
,,,,,,,,,,,,,,,,,,,,,,
