Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
323-U1339D-2H-1-A,323,U1339,D,2,2-1,H,1,A,0,150,6.6,8.1,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-2H-2-A,323,U1339,D,2,2-2,H,2,A,0,150,8.1,9.6,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-2H-3-A,323,U1339,D,2,2-3,H,3,A,0,74,9.6,10.34,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-2H-3-A,323,U1339,D,2,2-3,H,3,A,74,150,10.34,11.1,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-2H-4-A,323,U1339,D,2,2-4,H,4,A,0,129,11.1,12.39,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-2H-4-A,323,U1339,D,2,2-4,H,4,A,129,150,12.39,12.6,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-2H-5-A,323,U1339,D,2,2-5,H,5,A,0,80,12.6,13.4,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-2H-5-A,323,U1339,D,2,2-5,H,5,A,80,101,13.4,13.61,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,10Y 3/1,,,,,fining upwards,,,,,,,,,,,,
323-U1339D-2H-5-A,323,U1339,D,2,2-5,H,5,A,101,150,13.61,14.1,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,10Y 4/1,,,,,forams scattered throughout,,,,,,,,,,,,
323-U1339D-2H-6-A,323,U1339,D,2,2-6,H,6,A,0,47,14.1,14.57,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,10Y 4/1,,,,,forams scattered throughout,,,,,,,,,,,,
323-U1339D-2H-6-A,323,U1339,D,2,2-6,H,6,A,47,51.5,14.57,14.615,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,100,soft,5Y 3/1,,,,,,,,,,,,,,,,,
323-U1339D-2H-6-A,323,U1339,D,2,2-6,H,6,A,51.5,120,14.615,15.3,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,forams scattered throughout upper 50 cm,,,,,,,,,,,,
323-U1339D-2H-7-A,323,U1339,D,2,2-7,H,7,A,0,56,15.3,15.86,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,forams scattered throughout upper 50 cm,,,,,,,,,,,,
323-U1339D-2H-CC-A,323,U1339,D,2,2-CC,H,CC,A,0,28,15.86,16.14,diatom silt,"Shepard, 1954",'',diatom silt,100,soft,5Y 4/1 ,,,,,forams scattered throughout upper 50 cm,,,,,,,,,,,,
323-U1339D-3H-1-A,323,U1339,D,3,3-1,H,1,A,0,19,16.1,16.29,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-1-A,323,U1339,D,3,3-1,H,1,A,19,29,16.29,16.39,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,95-100,soupy,5Y 2.5/2,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-1-A,323,U1339,D,3,3-1,H,1,A,29,42,16.39,16.52,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-1-A,323,U1339,D,3,3-1,H,1,A,42,58,16.52,16.68,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,95-100,soupy,5Y 2.5/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-1-A,323,U1339,D,3,3-1,H,1,A,58,150,16.68,17.6,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-2-A,323,U1339,D,3,3-2,H,2,A,0,150,17.6,19.1,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-3-A,323,U1339,D,3,3-3,H,3,A,0,150,19.1,20.6,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-4-A,323,U1339,D,3,3-4,H,4,A,0,115,20.6,21.75,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,Drilling disturbance,,,,,,,,,,,,
323-U1339D-3H-4-A,323,U1339,D,3,3-4,H,4,A,115,150,21.75,22.1,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-3H-5-A,323,U1339,D,3,3-5,H,5,A,0,60,22.1,22.7,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-3H-5-A,323,U1339,D,3,3-5,H,5,A,60,109,22.7,23.19,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-3H-5-A,323,U1339,D,3,3-5,H,5,A,109,112,23.19,23.22,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,95-100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1339D-3H-5-A,323,U1339,D,3,3-5,H,5,A,112,120,23.22,23.3,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,95-100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-3H-5-A,323,U1339,D,3,3-5,H,5,A,120,150,23.3,23.6,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-3H-6-A,323,U1339,D,3,3-6,H,6,A,0,150,23.6,25.1,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-3H-7-A,323,U1339,D,3,3-7,H,7,A,0,43,25.1,25.53,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-3H-CC-A,323,U1339,D,3,3-CC,H,CC,A,0,8,25.53,25.61,diatom ooze,United States Geological Survey,,diatom ooze,95-100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-4H-1-A,323,U1339,D,4,4-1,H,1,A,0,80,25.6,26.4,diatom fine ash,"International Union of Geological Sciences-Le Maitre, 1989",'',diatom fine ash,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-4H-1-A,323,U1339,D,4,4-1,H,1,A,80,150,26.4,27.1,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-4H-2-A,323,U1339,D,4,4-2,H,2,A,0,150,27.1,28.6,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-4H-3-A,323,U1339,D,4,4-3,H,3,A,0,150,28.6,30.1,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-4H-4-A,323,U1339,D,4,4-4,H,4,A,0,150,30.1,31.6,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-4H-5-A,323,U1339,D,4,4-5,H,5,A,0,27,31.6,31.87,diatom ooze,United States Geological Survey,,diatom ooze,50,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-4H-5-A,323,U1339,D,4,4-5,H,5,A,0,27,31.6,31.87,diatom ooze,United States Geological Survey,,diatom ooze,50,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-4H-5-A,323,U1339,D,4,4-5,H,5,A,27,100,31.87,32.6,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,abundance of Chaetoceros resting spores,,,,,,,,,,,,
323-U1339D-4H-6-A,323,U1339,D,4,4-6,H,6,A,0,55,32.6,33.15,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,abundance of Chaetoceros resting spores,,,,,,,,,,,,
323-U1339D-4H-CC-A,323,U1339,D,4,4-CC,H,CC,A,0,33,33.15,33.48,diatom ooze,United States Geological Survey,,diatom ooze,100,soft,10Y 4/1,,,,,abundance of Chaetoceros resting spores,,,,,,,,,,,,
323-U1339D-5H-1-A,323,U1339,D,5,5-1,H,1,A,0,72,33.5,34.22,diatom silt,Leg 323,,diatom silt,,,10Y 5/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-1-A,323,U1339,D,5,5-1,H,1,A,72,80,34.22,34.3,diatom silt,Leg 323,authigenic-carbonate-rich,authigenic-carbonate-rich diatom silt,,,5Y 6/2,,,,,Dolomite layer,,,,,,,,,,,,
323-U1339D-5H-1-A,323,U1339,D,5,5-1,H,1,A,80,150,34.3,35,diatom silt,Leg 323,,diatom silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-2-A,323,U1339,D,5,5-2,H,2,A,0,150,35,36.5,diatom silt,Leg 323,,diatom silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-3-A,323,U1339,D,5,5-3,H,3,A,0,150,36.5,38,diatom silt,Leg 323,,diatom silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-4-A,323,U1339,D,5,5-4,H,4,A,0,150,38,39.5,diatom silt,Leg 323,,diatom silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-5-A,323,U1339,D,5,5-5,H,5,A,0,85,39.5,40.35,diatom silt,Leg 323,,diatom silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-5-A,323,U1339,D,5,5-5,H,5,A,85,150,40.35,41,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-5H-6-A,323,U1339,D,5,5-6,H,6,A,0,10,41,41.1,diatom silty clay,Leg 323,,diatom silty clay,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-6-A,323,U1339,D,5,5-6,H,6,A,10,103,41.1,42.03,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-5H-6-A,323,U1339,D,5,5-6,H,6,A,103,150,42.03,42.5,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-5H-7-A,323,U1339,D,5,5-7,H,7,A,0,28,42.5,42.78,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-5H-7-A,323,U1339,D,5,5-7,H,7,A,28,34,42.78,42.84,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 3/1,,,,,,,,,,,,,,,,,
323-U1339D-5H-7-A,323,U1339,D,5,5-7,H,7,A,34,53,42.84,43.03,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-5H-CC-A,323,U1339,D,5,5-CC,H,CC,A,0,21,43.03,43.24,diatom silty clay,Leg 323,,diatom silty clay,,,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-6H-1-A,323,U1339,D,6,6-1,H,1,A,0,150,43,44.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-2-A,323,U1339,D,6,6-2,H,2,A,0,0.015,44.5,44.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-2-A,323,U1339,D,6,6-2,H,2,A,0,150,44.5,46,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-3-A,323,U1339,D,6,6-3,H,3,A,0,150,46,47.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-4-A,323,U1339,D,6,6-4,H,4,A,0,60,47.5,48.1,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-4-A,323,U1339,D,6,6-4,H,4,A,60,102,48.1,48.52,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-6H-4-A,323,U1339,D,6,6-4,H,4,A,102,110,48.52,48.6,dolostone [USGS-LP62],"United States Geological Survey-Leighton & Pendexter, 1962",,dolostone,,hard,5Y 5/1,,,,,,,,,,,,,,,,,
323-U1339D-6H-4-A,323,U1339,D,6,6-4,H,4,A,110,131,48.6,48.81,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,10YR 6/1,,,,,,,,,,,,,,,,,
323-U1339D-6H-4-A,323,U1339,D,6,6-4,H,4,A,131,150,48.81,49,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-6H-5-A,323,U1339,D,6,6-5,H,5,A,0,150,49,50.5,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-6H-6-A,323,U1339,D,6,6-6,H,6,A,0,25,50.5,50.75,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-6H-6-A,323,U1339,D,6,6-6,H,6,A,25,36,50.75,50.86,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,5Y 3/1,,,,,,,,,,,,,,,,,
323-U1339D-6H-6-A,323,U1339,D,6,6-6,H,6,A,36,150,50.86,52,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-7-A,323,U1339,D,6,6-7,H,7,A,0,79,52,52.79,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-6H-CC-A,323,U1339,D,6,6-CC,H,CC,A,0,28,52.79,53.07,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-1-A,323,U1339,D,7,7-1,H,1,A,0,135,52.5,53.85,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-1-A,323,U1339,D,7,7-1,H,1,A,135,150,53.85,54,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-2-A,323,U1339,D,7,7-2,H,2,A,0,150,54,55.5,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-3-A,323,U1339,D,7,7-3,H,3,A,0,50,55.5,56,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-3-A,323,U1339,D,7,7-3,H,3,A,50,150,56,57,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-4-A,323,U1339,D,7,7-4,H,4,A,0,50,57,57.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-7H-4-A,323,U1339,D,7,7-4,H,4,A,50,150,57.5,58.5,diatom ooze,Leg 323,,diatom ooze,,soft,10Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-5-A,323,U1339,D,7,7-5,H,5,A,0,10,58.5,58.6,diatom ooze,Leg 323,,diatom ooze,,soft,10Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-5-A,323,U1339,D,7,7-5,H,5,A,10,28,58.6,58.78,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1339D-7H-5-A,323,U1339,D,7,7-5,H,5,A,28,50,58.78,59,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-5-A,323,U1339,D,7,7-5,H,5,A,50,125,59,59.75,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-5-A,323,U1339,D,7,7-5,H,5,A,125,150,59.75,60,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-6-A,323,U1339,D,7,7-6,H,6,A,0,10,60,60.1,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-7H-6-A,323,U1339,D,7,7-6,H,6,A,10,150,60.1,61.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-7-A,323,U1339,D,7,7-7,H,7,A,0,79,61.5,62.29,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-7H-CC-A,323,U1339,D,7,7-CC,H,CC,A,0,28,62.29,62.57,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,0,30,62,62.3,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,30,50,62.3,62.5,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,50,58,62.5,62.58,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,5Y 6/1,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,58,100,62.58,63,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,100,130,63,63.3,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-1-A,323,U1339,D,8,8-1,H,1,A,130,147,63.3,63.47,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-2-A,323,U1339,D,8,8-2,H,2,A,0,150,63.47,64.97,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-3-A,323,U1339,D,8,8-3,H,3,A,0,140,64.97,66.37,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-3-A,323,U1339,D,8,8-3,H,3,A,140,150,66.37,66.47,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,5Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1339D-8H-4-A,323,U1339,D,8,8-4,H,4,A,0,60,66.47,67.07,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-4-A,323,U1339,D,8,8-4,H,4,A,60,80,67.07,67.27,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-4-A,323,U1339,D,8,8-4,H,4,A,80,150,67.27,67.97,diatom silt,Leg 323,,diatom silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1339D-8H-5-A,323,U1339,D,8,8-5,H,5,A,0,150,67.97,69.47,diatom silt,Leg 323,'',diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-8H-6-A,323,U1339,D,8,8-6,H,6,A,0,120,69.47,70.67,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-7-A,323,U1339,D,8,8-7,H,7,A,0,21,70.67,70.88,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-8H-CC-A,323,U1339,D,8,8-CC,H,CC,A,0,41,70.88,71.29,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-9H-1-A,323,U1339,D,9,9-1,H,1,A,0,150,71.5,73,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-2-A,323,U1339,D,9,9-2,H,2,A,0,150,73,74.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-3-A,323,U1339,D,9,9-3,H,3,A,0,35,74.5,74.85,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-9H-3-A,323,U1339,D,9,9-3,H,3,A,35,126,74.85,75.76,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-3-A,323,U1339,D,9,9-3,H,3,A,126,136,75.76,75.86,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-9H-3-A,323,U1339,D,9,9-3,H,3,A,136,150,75.86,76,diatom silt,Leg 323,,diatom silt,,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-4-A,323,U1339,D,9,9-4,H,4,A,0,150,76,77.5,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-5-A,323,U1339,D,9,9-5,H,5,A,0,68,77.5,78.18,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-5-A,323,U1339,D,9,9-5,H,5,A,68,74,78.18,78.24,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,2.5Y 6/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-5-A,323,U1339,D,9,9-5,H,5,A,74,150,78.24,79,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-6-A,323,U1339,D,9,9-6,H,6,A,0,90,79,79.9,diatom silt,Leg 323,,diatom silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1339D-9H-6-A,323,U1339,D,9,9-6,H,6,A,90,115,79.9,80.15,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1339D-9H-CC-A,323,U1339,D,9,9-CC,H,CC,A,0,30,80.15,80.45,diatom ooze,Leg 323,,diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,,
