Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1456C-1H-2-A,116,124.0,2.66,2.74,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,white,10YR 8/2 (very pale brown),,silt,2,silt,2,,,,,,,,,,,,,,,,,planar,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
355-U1456C-1H-2-A,124,150.0,2.74,3.0,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,2,A,
355-U1456C-1H-3-A,0,18.0,3.0,3.18,,clayey,nannofossil ooze,,clayey nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-3-A,18,56.0,3.18,3.56,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,green,GLEY 1 6/10Y (greenish gray),90,clay,1,clay,1,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,green,GLEY 1 6/10Y (greenish gray),10,silt,2,silt,2,,100,gradational,gradational,horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-3-A,56,110.0,3.56,4.1,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,very fine sand,3,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-3-A,110,116.0,4.1,4.16,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,white,10YR 8/2 (very pale brown),,silt,2,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-3-A,116,144.0,4.16,4.44,,,nannofossil ooze,,nannofossil ooze,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-3-A,144,150.0,4.44,4.5,,,nannofossil ooze,with silt,nannofossil ooze with silt,,,white,10YR 8/2 (very pale brown),,silt,2,silt,2,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,1,H,3,A,
355-U1456C-1H-4-A,0,150.0,4.5,6.0,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,4,A,
355-U1456C-1H-5-A,0,18.0,6.0,6.18,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10GY (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-5-A,18,40.0,6.18,6.4,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,irregular,wavy,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-5-A,40,68.0,6.4,6.68,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),50,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 6/10Y (greenish gray),50,silt,2,silt,2,,100,erosive,scoured,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-5-A,68,83.0,6.68,6.83,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 5/10Y (greenish gray),30,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-5-A,83,111.0,6.83,7.11,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 5/10Y (greenish gray),30,silt,2,silt,2,,100,erosive,scoured,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-5-A,111,119.0,7.11,7.19,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,green,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,5,A,
355-U1456C-1H-CC-A,0,14.0,7.19,7.33,,nannofossil rich,clay,,nannofossil rich clay,,,gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,1,H,CC,A,
355-U1456C-21,0,0.0,7.3,7.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,21,,,,
355-U1456C-3H,0,895.0,8.8,17.75,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,,,
355-U1456C-3H-1-A,0,105.0,8.8,9.85,,,nannofossil ooze,,nannofossil ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,moderate,3,,,,,,,355,U1456,C,3,H,1,A,
355-U1456C-3H-1-A,105,150.0,9.85,10.3,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,burrows,light green,GLEY 1 6/10Y (greenish gray),90,clay,1,very fine sand,3,,nannofossil rich,sand,with foraminifers,nannofossil rich sand,nannofossil rich sand with foraminifers,sand with foraminifers,green,GLEY 1 4/10Y (dark greenish gray),10,fine sand,4,coarse sand,6,,100,,,,,,,,,slight,2,,,,,,,355,U1456,C,3,H,1,A,
355-U1456C-3H-2-A,0,150.0,10.3,11.8,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,burrows,light green,GLEY 1 6/10Y (greenish gray),90,clay,1,fine sand,4,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,light green,GLEY 1 6/10Y (greenish gray),10,silt,2,very fine sand,3,,100,,,,,,,,,slight,2,,,,,,,355,U1456,C,3,H,2,A,
355-U1456C-3H-3-A,0,46.0,11.8,12.26,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,fine sand,4,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,3,H,3,A,
355-U1456C-3H-3-A,46,52.0,12.26,12.32,,foraminifer rich,nannofossil ooze,with silt,foraminifer rich nannofossil ooze with silt,,,gray,GLEY 1 5/10Y (greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,3,H,3,A,
355-U1456C-3H-3-A,52,135.0,12.32,13.15,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,fine sand,4,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,3,H,3,A,
355-U1456C-3H-3-A,135,140.0,13.15,13.2,,foraminifer rich,nannofossil ooze,with silt,foraminifer rich nannofossil ooze with silt,,,gray,GLEY 1 5/10Y (greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,3,H,3,A,
355-U1456C-3H-3-A,140,150.0,13.2,13.3,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,fine sand,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,3,A,
355-U1456C-3H-4-A,0,55.0,13.3,13.85,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),95,clay,1,fine sand,4,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,light gray,GLEY 1 6/10Y (greenish gray),5,silt,2,silt,2,,100,erosive,scoured,horizontal,thickly bedded,normally graded,,,,slight,2,,,,,,,355,U1456,C,3,H,4,A,
355-U1456C-3H-4-A,55,106.0,13.85,14.36,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,fine sand,4,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,3,H,4,A,
355-U1456C-3H-4-A,106,113.0,14.36,14.43,,foraminifer rich,nannofossil ooze,with silt,foraminifer rich nannofossil ooze with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,3,H,4,A,
355-U1456C-3H-4-A,113,132.0,14.43,14.62,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,fine sand,4,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,3,H,4,A,
355-U1456C-3H-4-A,132,150.0,14.62,14.8,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,4,A,
355-U1456C-3H-5-A,0,16.0,14.8,14.96,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,silt,2,,100,gradational,gradational,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,16,36.0,14.96,15.16,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,36,54.0,15.16,15.34,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),60,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),40,silt,2,very fine sand,3,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,54,88.0,15.34,15.68,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,88,104.0,15.68,15.84,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,104,126.0,15.84,16.06,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,,,,,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-5-A,126,150.0,16.06,16.3,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,,,,,,,,,,,,,,,,,355,U1456,C,3,H,5,A,
355-U1456C-3H-6-A,0,39.0,16.3,16.69,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,3,H,6,A,
355-U1456C-3H-6-A,39,123.0,16.69,17.53,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),95,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),5,silt,2,silt,2,,100,,,,,,,,,,,,,,,,,355,U1456,C,3,H,6,A,
355-U1456C-3H-CC-A,0,12.0,17.58,17.7,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,3,H,CC,A,
355-U1456C-4H,0,968.0,18.3,27.98,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,4,H,,,
355-U1456C-4H-1-A,0,20.0,18.3,18.5,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-1-A,20,36.0,18.5,18.66,,foraminifer rich,sand,with silt,foraminifer rich sand with silt,,,gray,GLEY 1 3/10Y (very dark greenish gray),60,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),40,clay,1,silt,2,,100,planar,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-1-A,36,61.0,18.66,18.91,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),20,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-1-A,61,105.0,18.91,19.35,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,silt,2,,,silt,with sand,silt,silt with sand,silt with sand,gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,fine sand,4,,100,erosive,scoured,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-1-A,105,129.0,19.35,19.59,,foraminifer rich,sand,with silt,foraminifer rich sand with silt,,,gray,GLEY 1 3/10Y (very dark greenish gray),60,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),40,clay,1,silt,2,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-1-A,129,150.0,19.59,19.8,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,4,H,1,A,
355-U1456C-4H-2-A,0,11.0,19.8,19.91,,sandy,silt,with sand,sandy silt with sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),60,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),40,clay,1,silt,2,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,2,A,
355-U1456C-4H-2-A,11,39.0,19.91,20.19,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),10,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,2,A,
355-U1456C-4H-2-A,39,69.0,20.19,20.49,,sandy,silt,with sand,sandy silt with sand,,,gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),20,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,2,A,
355-U1456C-4H-2-A,69,111.0,20.49,20.91,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),65,clay,1,silt,2,,,silt,with sand,silt,silt with sand,silt with sand,gray,GLEY 1 3/10Y (very dark greenish gray),35,fine sand,4,medium sand,5,,100,erosive,sharp,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,4,H,2,A,
355-U1456C-4H-2-A,111,150.0,20.91,21.3,,silty,sand,with silt,silty sand with silt,,parallel lamination,gray,GLEY 1 3/10Y (very dark greenish gray),70,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),30,clay,1,silt,2,,100,,,,thickly bedded,,,,,,,,,,,,,355,U1456,C,4,H,2,A,
355-U1456C-4H-3-A,0,17.0,21.3,21.47,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),95,clay,1,silt,2,,sandy,silt,with sand,sandy silt,sandy silt with sand,silt with sand,gray,GLEY 1 3/10Y (very dark greenish gray),5,silt,2,fine sand,4,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,17,36.0,21.47,21.66,,foraminifer rich,sand,with silt,foraminifer rich sand with silt,,,gray,GLEY 1 3/10Y (very dark greenish gray),60,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),40,clay,1,silt,2,,100,erosive,sharp,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,36,64.0,21.66,21.94,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),10,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,64,81.0,21.94,22.11,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 3/10Y (very dark greenish gray),60,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),40,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,81,91.0,22.11,22.21,,foraminifer rich,sand,with silt,foraminifer rich sand with silt,,parallel lamination,gray,GLEY 1 3/10Y (very dark greenish gray),95,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),5,clay,1,silt,2,,100,erosive,sharp,inclined,thinly bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,91,134.0,22.21,22.64,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),85,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),15,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-3-A,134,150.0,22.64,22.8,,foraminifer rich,sand,with silt,foraminifer rich sand with silt,,parallel lamination,gray,GLEY 1 3/10Y (very dark greenish gray),70,fine sand,4,medium sand,5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,gray,GLEY 1 4/10Y (dark greenish gray),30,clay,1,silt,2,,100,,,,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,3,A,
355-U1456C-4H-4-A,0,17.0,22.8,22.97,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,silt,2,,foraminifer rich,sand,with silt,foraminifer rich sand,foraminifer rich sand with silt,sand with silt,gray,GLEY 1 3/10Y (very dark greenish gray),40,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,4,H,4,A,
