Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
359-U1471C-1H-5-A,0,30,6,6.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-5-A,30,105,6.3,7.05,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/3 (light yellowish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-6-A,0,69,7.05,7.74,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/3 (light yellowish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-1H-CC-A,0,6,7.74,7.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/3 (light yellowish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,,,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-1-A,0,50,7.8,8.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-2-A,50,150,9.8,10.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-3-A,0,33,10.8,11.13,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-3-A,33,150,11.13,12.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-4-A,0,12,12.3,12.42,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,gradational,horizontal,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-4-A,12,150,12.42,13.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-5-A,0,150,13.8,15.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-6-A,0,67,15.3,15.97,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-2H-CC-A,0,10,15.97,16.07,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich mud lean PACKSTONE. Medium-grained. Planktic foraminifer are abundant. Bioclasts, benthic foraminifer, gastropods, pteropods, and echinoderm spines are common. Organic matter is common and often as infill in foraminifera.",,,
359-U1471C-3H-1-A,0,32,17.3,17.62,,packstone,3,packstone,,,2.5Y 5/2 (grayish brown),,,,,,,,,,,,,,,,,,,,Cave-in,,,
359-U1471C-3H-1-A,32,150,17.62,18.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-2-A,0,150,18.8,20.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-3-A,0,150,20.3,21.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common. well defined burrow at 128 cm. Gradual color change to 2.5Y 7/2",,,
359-U1471C-3H-4-A,0,74,21.8,22.54,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-4-A,74,126,22.54,23.06,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-4-A,126,150,23.06,23.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-5-A,0,75,23.3,24.05,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-5-A,75,150,24.05,24.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-6-A,0,150,24.8,26.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-7-A,0,63,26.3,26.93,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-3H-CC-A,0,13,26.93,27.06,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-1-A,0,150,26.8,28.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-2-A,0,150,28.3,29.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, Organic matter is common.",,,
359-U1471C-4H-3-A,0,150,29.8,31.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, Organic matter is common.",,,
359-U1471C-4H-4-A,0,150,31.3,32.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-5-A,0,150,32.8,34.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-6-A,0,125,34.3,35.55,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-7-A,0,69,35.55,36.24,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-4H-CC-A,0,18,36.24,36.42,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,calcareous bioclast,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-6H-1-A,0,150,45.8,47.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE.very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera, gastropods, otoliths, pteropods, and echinoderm spines are common. Organic matter is common.",,,
359-U1471C-6H-2-A,0,150,47.3,48.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-3-A,0,70,48.8,49.5,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-3-A,70,150,49.5,50.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-4-A,0,100,50.3,51.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-4-A,100,150,51.3,51.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-5-A,0,70,51.8,52.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-5-A,70,138,52.5,53.18,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-5-A,138,150,53.18,53.3,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-6-A,0,10,53.3,53.4,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-6-A,10,50,53.4,53.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-6-A,50,150,53.8,54.8,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-7-A,0,72,54.8,55.52,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-6H-CC-A,0,15,55.52,55.67,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
359-U1471C-7H-1-A,0,65,55.3,55.95,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,foraminifera (benthic),,,,,,,,complete,6,,,,"Unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera is abundant. Bioclasts, benthic foraminifera,",,,
