Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1332B-3H-4-A,320,U1332,B,3,3-4,H,4,A,0,150,16.1,17.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with zeolite,Radiolarian Clay with zeolite,80,soft,10YR 3/2,,,
320-U1332B-3H-4-A,320,U1332,B,3,3-4,H,4,A,0,150,16.1,17.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,20,soft,10YR 4/3,,,
320-U1332B-3H-5-A,320,U1332,B,3,3-5,H,5,A,0,150,17.6,19.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with zeolite,Radiolarian Clay with zeolite,80,soft,10YR 3/2,,,
320-U1332B-3H-5-A,320,U1332,B,3,3-5,H,5,A,0,150,17.6,19.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,20,soft,10YR 4/3,,,
320-U1332B-3H-6-A,320,U1332,B,3,3-6,H,6,A,0,49,19.1,19.59,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with zeolite,Radiolarian Clay with zeolite,80,soft,10YR 3/2,,,
320-U1332B-3H-6-A,320,U1332,B,3,3-6,H,6,A,0,49,19.1,19.59,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,20,soft,10YR 4/3,,,
320-U1332B-3H-CC-A,320,U1332,B,3,3-CC,H,CC,A,0,38,19.59,19.97,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with zeolite,Radiolarian Clay with zeolite,80,soft,10YR 3/2,,,
320-U1332B-3H-CC-A,320,U1332,B,3,3-CC,H,CC,A,0,38,19.59,19.97,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,20,soft,10YR 4/3,,,
320-U1332B-4H-1-A,320,U1332,B,4,4-1,H,1,A,0,150,19.6,21.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-1-A,320,U1332,B,4,4-1,H,1,A,0,150,19.6,21.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-2-A,320,U1332,B,4,4-2,H,2,A,0,150,21.1,22.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-2-A,320,U1332,B,4,4-2,H,2,A,0,150,21.1,22.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-3-A,320,U1332,B,4,4-3,H,3,A,0,150,22.6,24.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-3-A,320,U1332,B,4,4-3,H,3,A,0,150,22.6,24.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-4-A,320,U1332,B,4,4-4,H,4,A,0,150,24.1,25.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-4-A,320,U1332,B,4,4-4,H,4,A,0,150,24.1,25.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-5-A,320,U1332,B,4,4-5,H,5,A,0,150,25.6,27.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-5-A,320,U1332,B,4,4-5,H,5,A,0,150,25.6,27.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-6-A,320,U1332,B,4,4-6,H,6,A,0,150,27.1,28.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-6-A,320,U1332,B,4,4-6,H,6,A,0,150,27.1,28.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-7-A,320,U1332,B,4,4-7,H,7,A,0,78,28.6,29.38,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-7-A,320,U1332,B,4,4-7,H,7,A,0,78,28.6,29.38,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-4H-CC-A,320,U1332,B,4,4-CC,H,CC,A,0,24,29.38,29.62,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,,Clayey radiolarian ooze,70,soft,10YR 3/3,Pumice with 0.5-1.5 cm in diameter at section 2 (72 and 148-149 cm) and section 3 (126 cm).,,
320-U1332B-4H-CC-A,320,U1332,B,4,4-CC,H,CC,A,0,24,29.38,29.62,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,with clay,Radiolarian nannofossil ooze with clay,30,soft,10YR 6/3,,,
320-U1332B-5H-1-A,320,U1332,B,5,5-1,H,1,A,0,150,29.1,30.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-1-A,320,U1332,B,5,5-1,H,1,A,0,150,29.1,30.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-2-A,320,U1332,B,5,5-2,H,2,A,0,150,30.6,32.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-2-A,320,U1332,B,5,5-2,H,2,A,0,150,30.6,32.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-3-A,320,U1332,B,5,5-3,H,3,A,0,150,32.1,33.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-3-A,320,U1332,B,5,5-3,H,3,A,0,150,32.1,33.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-4-A,320,U1332,B,5,5-4,H,4,A,0,150,33.6,35.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-4-A,320,U1332,B,5,5-4,H,4,A,0,150,33.6,35.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-5-A,320,U1332,B,5,5-5,H,5,A,0,150,35.1,36.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-5-A,320,U1332,B,5,5-5,H,5,A,0,150,35.1,36.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-6-A,320,U1332,B,5,5-6,H,6,A,0,82,36.6,37.42,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-6-A,320,U1332,B,5,5-6,H,6,A,0,82,36.6,37.42,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-5H-CC-A,320,U1332,B,5,5-CC,H,CC,A,0,21,37.42,37.63,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,60,soft,10YR 5/4,,,
320-U1332B-5H-CC-A,320,U1332,B,5,5-CC,H,CC,A,0,21,37.42,37.63,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,40,soft,10YR 8/2,,,
320-U1332B-6H-1-A,320,U1332,B,6,6-1,H,1,A,0,150,38.6,40.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-1-A,320,U1332,B,6,6-1,H,1,A,0,150,38.6,40.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-2-A,320,U1332,B,6,6-2,H,2,A,0,150,40.1,41.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-2-A,320,U1332,B,6,6-2,H,2,A,0,150,40.1,41.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-3-A,320,U1332,B,6,6-3,H,3,A,0,150,41.6,43.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-3-A,320,U1332,B,6,6-3,H,3,A,0,150,41.6,43.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-4-A,320,U1332,B,6,6-4,H,4,A,0,150,43.1,44.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-4-A,320,U1332,B,6,6-4,H,4,A,0,150,43.1,44.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-5-A,320,U1332,B,6,6-5,H,5,A,0,150,44.6,46.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-5-A,320,U1332,B,6,6-5,H,5,A,0,150,44.6,46.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-6-A,320,U1332,B,6,6-6,H,6,A,0,150,46.1,47.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-6-A,320,U1332,B,6,6-6,H,6,A,0,150,46.1,47.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-7-A,320,U1332,B,6,6-7,H,7,A,0,81,47.6,48.41,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-7-A,320,U1332,B,6,6-7,H,7,A,0,81,47.6,48.41,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-6H-CC-A,320,U1332,B,6,6-CC,H,CC,A,0,11,48.41,48.52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/4,,,
320-U1332B-6H-CC-A,320,U1332,B,6,6-CC,H,CC,A,0,11,48.41,48.52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
320-U1332B-7H-1-A,320,U1332,B,7,7-1,H,1,A,0,19,48.1,48.29,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 7/3,,,
320-U1332B-7H-1-A,320,U1332,B,7,7-1,H,1,A,19,35,48.29,48.45,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,
320-U1332B-7H-1-A,320,U1332,B,7,7-1,H,1,A,35,47,48.45,48.57,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 4/3,,,
320-U1332B-7H-1-A,320,U1332,B,7,7-1,H,1,A,47,82,48.57,48.92,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 6/2,,,
320-U1332B-7H-1-A,320,U1332,B,7,7-1,H,1,A,82,150,48.92,49.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,
320-U1332B-7H-2-A,320,U1332,B,7,7-2,H,2,A,0,11,49.6,49.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 5/3,,,
320-U1332B-7H-2-A,320,U1332,B,7,7-2,H,2,A,11,150,49.71,51.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-3-A,320,U1332,B,7,7-3,H,3,A,0,150,51.1,52.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-4-A,320,U1332,B,7,7-4,H,4,A,0,150,52.6,54.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-5-A,320,U1332,B,7,7-5,H,5,A,0,150,54.1,55.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-6-A,320,U1332,B,7,7-6,H,6,A,0,150,55.6,57.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-7-A,320,U1332,B,7,7-7,H,7,A,0,74,57.1,57.84,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-7H-CC-A,320,U1332,B,7,7-CC,H,CC,A,0,21,57.84,58.05,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-8H-1-A,320,U1332,B,8,8-1,H,1,A,0,150,57.6,59.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-8H-2-A,320,U1332,B,8,8-2,H,2,A,0,48,59.1,59.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-8H-2-A,320,U1332,B,8,8-2,H,2,A,48,150,59.58,60.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-3-A,320,U1332,B,8,8-3,H,3,A,0,150,60.6,62.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-4-A,320,U1332,B,8,8-4,H,4,A,0,150,62.1,63.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-5-A,320,U1332,B,8,8-5,H,5,A,0,150,63.6,65.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-6-A,320,U1332,B,8,8-6,H,6,A,0,150,65.1,66.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-7-A,320,U1332,B,8,8-7,H,7,A,0,40,66.6,67.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and diatoms,Nannofossil ooze with radiolarians and diatoms,100,soft,10YR 7/2,Nannofossil ooze lyaer (5 cm-thick) intercalates occasionally.,,
320-U1332B-8H-7-A,320,U1332,B,8,8-7,H,7,A,40,54,67.0,67.14,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-8H-CC-A,320,U1332,B,8,8-CC,H,CC,A,0,3,67.14,67.17,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-8H-CC-A,320,U1332,B,8,8-CC,H,CC,A,3,7,67.17,67.21,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with diatoms and radiolarians,Nannofossil ooze with diatoms and radiolarians,100,soft,10YR 5/6,,,
320-U1332B-8H-CC-A,320,U1332,B,8,8-CC,H,CC,A,7,11,67.21,67.25,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,,
320-U1332B-9H-1-A,320,U1332,B,9,9-1,H,1,A,0,150,67.1,68.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1332B-9H-2-A,320,U1332,B,9,9-2,H,2,A,0,150,68.6,70.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1332B-9H-3-A,320,U1332,B,9,9-3,H,3,A,0,20,70.1,70.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1332B-9H-3-A,320,U1332,B,9,9-3,H,3,A,20,150,70.3,71.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/3,radiolarian <5%,,
320-U1332B-9H-4-A,320,U1332,B,9,9-4,H,4,A,0,100,71.6,72.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/3,radiolarian <5%,,
320-U1332B-9H-4-A,320,U1332,B,9,9-4,H,4,A,100,150,72.6,73.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,
320-U1332B-9H-5-A,320,U1332,B,9,9-5,H,5,A,0,90,73.1,74.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,
320-U1332B-9H-5-A,320,U1332,B,9,9-5,H,5,A,90,150,74.0,74.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,100,soft,10YR 5/4,,,
320-U1332B-9H-6-A,320,U1332,B,9,9-6,H,6,A,0,50,74.6,75.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,100,soft,10YR 5/4,,,
320-U1332B-9H-6-A,320,U1332,B,9,9-6,H,6,A,50,150,75.1,76.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian ooze,100,soft,10YR 4/3,,,
320-U1332B-9H-7-A,320,U1332,B,9,9-7,H,7,A,0,66,76.1,76.76,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian ooze,100,soft,10YR 4/3,,,
320-U1332B-9H-CC-A,320,U1332,B,9,9-CC,H,CC,A,0,31,76.76,77.07,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian ooze,100,soft,10YR 4/3,,,
