Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
363-U1484B-2H-2-A,138.0,146.0,10.64,10.72,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,wood fragments are concentrated 143-144 cm.,,,,,,,,,,,,,363,U1484,B,2,H,2,A,,,,
363-U1484B-2H-3-A,0.0,20.0,10.72,10.92,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,3,A,,,,
363-U1484B-2H-3-A,20.0,30.0,10.92,11.02,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,3,A,,,,
363-U1484B-2H-3-A,30.0,146.0,11.02,12.18,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,3,A,,,,
363-U1484B-2H-4-A,0.0,107.0,12.18,13.25,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,4,A,,,,
363-U1484B-2H-4-A,107.0,112.0,13.25,13.3,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,4,A,,,,
363-U1484B-2H-4-A,112.0,124.0,13.3,13.42,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,4,A,,,,
363-U1484B-2H-4-A,124.0,131.0,13.42,13.49,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,4,A,,,,
363-U1484B-2H-4-A,131.0,145.0,13.49,13.63,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,4,A,,,,
363-U1484B-2H-5-A,0.0,147.0,13.64,15.11,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,5,A,,,,
363-U1484B-2H-6-A,0.0,98.0,15.11,16.09,nannofossil-rich [X363],silty clay [S54],nannofossil-rich silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,6,A,,,,
363-U1484B-2H-6-A,98.0,107.0,16.09,16.18,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,6,A,,,,
363-U1484B-2H-6-A,107.0,146.0,16.18,16.57,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,6,A,,,,
363-U1484B-2H-7-A,0.0,94.0,16.57,17.51,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,7,A,,,,
363-U1484B-2H-CC-A,0.0,22.0,17.51,17.73,nannofossil-rich [X363],clayey silt [S54],nannofossil-rich clayey silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,2,H,CC,A,,,,
363-U1484B-3H-1-A,0.0,80.0,17.3,18.1,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,1,A,,,,
363-U1484B-3H-2-A,0.0,131.0,18.1,19.41,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,2,A,,,,
363-U1484B-3H-2-A,131.0,136.0,19.41,19.46,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,2,A,,,,
363-U1484B-3H-3-A,0.0,23.0,19.46,19.69,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,3,A,,,,
363-U1484B-3H-3-A,23.0,26.0,19.69,19.72,,sandy silt [Leg339],sandy silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,3,A,,,,
363-U1484B-3H-3-A,26.0,99.0,19.72,20.45,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,3,A,,,,
363-U1484B-3H-3-A,99.0,105.0,20.45,20.51,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,3,A,,,,
363-U1484B-3H-4-A,0.0,21.0,20.51,20.72,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,4,A,,,,
363-U1484B-3H-4-A,21.0,26.0,20.72,20.77,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,4,A,,,,
363-U1484B-3H-4-A,26.0,70.0,20.77,21.21,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,4,A,,,,
363-U1484B-3H-4-A,70.0,78.0,21.21,21.29,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,4,A,,,,
363-U1484B-3H-4-A,78.0,118.0,21.29,21.69,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,4,A,,,,
363-U1484B-3H-5-A,0.0,59.0,21.74,22.33,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,5,A,,,,
363-U1484B-3H-5-A,59.0,62.0,22.33,22.36,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,5,A,,,,
363-U1484B-3H-5-A,62.0,112.0,22.36,22.86,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,5,A,,,,
363-U1484B-3H-6-A,0.0,59.0,22.86,23.45,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,6,A,,,,
363-U1484B-3H-6-A,59.0,62.0,23.45,23.48,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,6,A,,,,
363-U1484B-3H-6-A,62.0,76.0,23.48,23.62,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,6,A,,,,
363-U1484B-3H-7-A,0.0,111.0,23.62,24.73,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,7,A,,,,
363-U1484B-3H-7-A,111.0,114.0,24.73,24.76,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,7,A,,,,
363-U1484B-3H-7-A,114.0,124.0,24.76,24.86,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,7,A,,,,
363-U1484B-3H-8-A,0.0,42.0,24.86,25.28,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,8,A,,,,
363-U1484B-3H-8-A,42.0,46.0,25.28,25.32,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,8,A,,,,
363-U1484B-3H-8-A,46.0,120.0,25.32,26.06,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,8,A,,,,
363-U1484B-3H-CC-A,0.0,20.0,26.06,26.26,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,CC,A,,,,
363-U1484B-3H-CC-A,20.0,24.0,26.26,26.3,,sandy silt [Leg339],sandy silt,,n 4 (dark gray),slight [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,CC,A,,,,
363-U1484B-3H-CC-A,24.0,74.0,26.3,26.8,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are common,,,,,,,,,,,,,363,U1484,B,3,H,CC,A,,,,
363-U1484B-4H-1-A,0.0,10.0,26.8,26.9,,sandy silt [Leg339],sandy silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,1,A,,,,
363-U1484B-4H-1-A,10.0,31.0,26.9,27.11,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,1,A,,,,
363-U1484B-4H-1-A,31.0,37.0,27.11,27.17,,sandy silt [Leg339],sandy silt,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,1,A,,,,
363-U1484B-4H-1-A,37.0,126.0,27.17,28.06,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,1,A,,,,
363-U1484B-4H-2-A,0.0,71.0,28.06,28.77,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,2,A,,,,
363-U1484B-4H-2-A,71.0,94.0,28.77,29.0,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,2,A,,,,
363-U1484B-4H-2-A,94.0,116.0,29.0,29.22,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,shell fragments and sulfide specks are present.,,,,,,,,,,,,,363,U1484,B,4,H,2,A,,,,
363-U1484B-4H-2-A,120.0,145.0,29.26,29.51,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,B,4,H,2,A,,,,
363-U1484B-4H-3-A,0.0,93.0,29.51,30.44,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,3,A,,,,
363-U1484B-4H-3-A,93.0,102.0,30.44,30.53,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,B,4,H,3,A,,,,
363-U1484B-4H-3-A,102.0,107.0,30.53,30.58,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,3,A,,,,
363-U1484B-4H-3-A,107.0,139.0,30.58,30.9,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,3,A,,,,
363-U1484B-4H-4-A,0.0,78.0,30.9,31.68,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,4,A,,,,
363-U1484B-4H-4-A,78.0,100.0,31.68,31.9,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,4,A,,,,
363-U1484B-4H-4-A,100.0,118.0,31.9,32.08,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,4,A,,,,
363-U1484B-4H-5-A,0.0,93.0,32.08,33.01,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,5,A,,,,
363-U1484B-4H-5-A,99.0,108.0,33.07,33.16,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,B,4,H,5,A,,,,
363-U1484B-4H-5-A,108.0,123.0,33.16,33.31,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,5,A,,,,
363-U1484B-4H-5-A,123.0,135.0,33.31,33.43,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,5,A,,,,
363-U1484B-4H-6-A,0.0,145.0,33.43,34.88,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,6,A,,,,
363-U1484B-4H-7-A,0.0,122.0,34.88,36.1,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,7,A,,,,
363-U1484B-4H-CC-A,0.0,31.0,36.1,36.41,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,CC,A,,,,
363-U1484B-4H-CC-A,31.0,37.0,36.41,36.47,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,CC,A,,,,
363-U1484B-4H-CC-A,37.0,48.0,36.47,36.58,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are intense.,,,,,,,,,,,,,363,U1484,B,4,H,CC,A,,,,
363-U1484B-6H-1-A,0.0,82.0,38.3,39.12,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,1,A,,,,
363-U1484B-6H-1-A,82.0,88.0,39.12,39.18,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,1,A,,,,
363-U1484B-6H-1-A,88.0,125.0,39.18,39.55,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,1,A,,,,
363-U1484B-6H-2-A,0.0,134.0,39.55,40.89,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,2,A,,,,
363-U1484B-6H-3-A,0.0,63.0,40.89,41.52,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,3,A,,,,
363-U1484B-6H-3-A,69.0,109.0,41.58,41.98,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1484,B,6,H,3,A,,,,
363-U1484B-6H-4-A,0.0,24.0,41.98,42.22,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,4,A,,,,
363-U1484B-6H-4-A,24.0,30.0,42.22,42.28,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,4,A,,,,
363-U1484B-6H-4-A,30.0,65.0,42.28,42.63,nannofossil-bearing [X363],silty clay [S54],nannofossil-bearing silty clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,4,A,,,,
363-U1484B-6H-4-A,65.0,72.0,42.63,42.7,,sandy silt [Leg339],sandy silt,,5GY 2.5/1 (greenish black),moderate [DB86],,,,,,Shell fragments and sulfide specks are present. Gas expansion cracks are present.,,,,,,,,,,,,,363,U1484,B,6,H,4,A,,,,
