Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1451A-3H-1-A,0,150,16,17.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],T,,,,,,,,,
354-U1451A-3H-2-A,0,150,17.5,19,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,
354-U1451A-3H-3-A,0,150,19,20.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,
354-U1451A-3H-4-A,0,113,20.5,21.63,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,
354-U1451A-3H-5-A,0,103,21.63,22.66,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,
354-U1451A-3H-6-A,0,84,22.66,23.5,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,T,,,,,,inflow of clay (coring disturbance),,,
354-U1451A-4H-1-A,0,53,24,24.53,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mud clast,,,,,,,
354-U1451A-4H-1-A,53,69,24.53,24.69,,,clay [Leg210],with plant fragments [2014],clay,clay with plant fragments,clay with plant fragments,,dark gray,sharp planar,sub-horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-4H-1-A,69,103,24.69,25.03,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-4H-1-A,103,110,25.03,25.1,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-4H-1-A,110,123,25.1,25.23,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,,,,T,,normally graded,,,,,,,
354-U1451A-4H-1-A,123,130,25.23,25.3,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp irregular,horizontal,,,,,,,,,,,,,
354-U1451A-4H-1-A,130,140,25.3,25.4,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,gradational,sub-horizontal,,,,,,mud clast,,,,,,,
354-U1451A-4H-1-A,140,150,25.4,25.5,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,,,,,,,,,,,,,,,
354-U1451A-4H-2-A,0,21,25.5,25.71,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-4H-2-A,21,27,25.71,25.77,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-4H-2-A,27,42,25.77,25.92,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,gradational,horizontal,,,,T,,,,,,,,,
354-U1451A-4H-2-A,42,54,25.92,26.04,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,gradational,horizontal,,,,T,,,,,,,,,
354-U1451A-4H-2-A,54,150,26.04,27,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,T,,normally graded,single interval of fining upward from fine sand to silty fine sand,,,,,,
354-U1451A-4H-3-A,0,44,27,27.44,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-4H-3-A,44,61,27.44,27.61,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,T,,normally graded,,,,,,,
354-U1451A-4H-4-A,0,115,27.66,28.81,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-5H-1-A,0,49,28.9,29.39,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-5H-1-A,51,66,29.41,29.56,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,horizontal,very thick bed [B01],silt [Leg210],lamina [M&W53],T,,color banding,,,,,,,
354-U1451A-5H-1-A,66,71,29.56,29.61,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-5H-1-A,71,83,29.61,29.73,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,,,,,,,,,,,,,,
354-U1451A-5H-1-A,83,99,29.73,29.89,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,T,,,,,,,,,
354-U1451A-5H-1-A,99,101,29.89,29.91,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-5H-1-A,101,116,29.91,30.06,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-5H-1-A,116,121,30.06,30.11,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,color banding,,,,,,,
354-U1451A-5H-1-A,121,137,30.11,30.27,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,color banding,,,,,,,
354-U1451A-5H-1-A,137,150,30.27,30.4,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-5H-2-A,0,24,30.4,30.64,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,T,,normally graded,,,,,,,
354-U1451A-5H-2-A,24,55,30.64,30.95,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,
354-U1451A-5H-2-A,55,79,30.95,31.19,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-5H-2-A,79,91,31.19,31.31,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,,,,,,,,
354-U1451A-5H-2-A,91,97,31.31,31.37,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-5H-2-A,97,150,31.37,31.9,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-5H-3-A,0,15,31.9,32.05,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-5H-3-A,15,75,32.05,32.65,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,sub-horizontal,,,,,,mud clast,,,,,,,
354-U1451A-5H-3-A,75,102,32.65,32.92,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,silty clasts and erratic layers from drilling,,,
354-U1451A-5H-3-A,102,137,32.92,33.27,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-5H-3-A,137,146,33.27,33.36,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-5H-4-A,0,33,33.4,33.73,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
354-U1451A-5H-4-A,33,73,33.73,34.13,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,mud clast,,,,,,,
354-U1451A-5H-4-A,73,123,34.13,34.63,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-6H-1-A,0,21,34.7,34.91,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-1-A,21,44,34.91,35.14,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-6H-1-A,44,67,35.14,35.37,,sandy [Leg339],silt [Leg210],with mica,sandy silt,sandy silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-6H-1-A,67,77,35.37,35.47,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-1-A,77,105,35.47,35.75,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-6H-1-A,105,150,35.75,36.2,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-6H-2-A,0,50,36.2,36.7,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-2-A,50,73,36.7,36.93,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,horizontal,,,,T,,,,,,,,,
354-U1451A-6H-2-A,73,85,36.93,37.05,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-2-A,85,99,37.05,37.19,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-6H-2-A,99,108,37.19,37.28,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,gradational,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-2-A,108,111,37.28,37.31,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-6H-2-A,111,136,37.31,37.56,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-6H-2-A,136,150,37.56,37.7,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-6H-3-A,0,66,37.7,38.36,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-6H-4-A,0,127,38.36,39.63,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-1-A,0,42,39.7,40.12,,,sand [Leg210],with mica,sand,sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-7H-1-A,42,67,40.12,40.37,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-7H-1-A,67,125,40.37,40.95,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp irregular,sub-horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-7H-1-A,125,150,40.95,41.2,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-2-A,0,24,41.2,41.44,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-7H-2-A,24,45,41.44,41.65,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,horizontal,,,,,,,,,,,,,
354-U1451A-7H-2-A,45,58,41.65,41.78,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-7H-2-A,58,150,41.78,42.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-7H-3-A,0,18,42.7,42.88,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-7H-3-A,18,26,42.88,42.96,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,
354-U1451A-7H-3-A,26,140,42.96,44.1,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-3-A,140,150,44.1,44.2,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-4-A,0,130,44.2,45.5,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-5-A,0,56,45.5,46.06,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-7H-CC-A,0,18,46.06,46.24,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-8H-1-A,0,18,46.3,46.48,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,,,,,,,,
354-U1451A-8H-1-A,18,51,46.48,46.81,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-8H-1-A,51,69,46.81,46.99,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-8H-1-A,69,80,46.99,47.1,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,,,,,,,,,,,,,
354-U1451A-8H-1-A,80,122,47.1,47.52,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,
354-U1451A-8H-2-A,0,101,47.76,48.77,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-8H-3-A,0,100,48.77,49.77,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-8H-4-A,0,77,49.77,50.54,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-8H-5-A,0,95,50.54,51.49,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-8H-6-A,0,78,51.49,52.27,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-9H-1-A,0,150,52.3,53.8,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-9H-2-A,0,146,53.8,55.26,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-9H-CC-A,0,30,55.26,55.56,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,
354-U1451A-10F-1-A,0,5,55.6,55.65,,,sand [Leg210],coarse grained,sand,sand coarse grained,sand coarse grained,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-10F-1-A,5,33,55.65,55.93,,silty [Leg339],clay [Leg210],with sand [2014],silty clay,silty clay with sand,clay with sand,,dark gray,gradational,,,,,,,fluid escape structure,Flame structure,,,,,,
354-U1451A-10F-1-A,33,79,55.93,56.39,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,
354-U1451A-10F-1-A,79,123,56.39,56.83,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-10F-1-A,123,137,56.83,56.97,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,,,,,,,,,,,,,,,,
354-U1451A-10F-2-A,0,66,56.97,57.63,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-10F-2-A,66,100,57.63,57.97,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-10F-2-A,100,121,57.97,58.18,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,normally graded,,,,,,,
354-U1451A-10F-2-A,100,121,57.97,58.18,,,,,,,,,,,,,,,,,mud clast,,,,,,,
354-U1451A-10F-3-A,0,27,58.18,58.45,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-10F-3-A,27,34,58.45,58.52,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,,,,,,,,,,,,,,
354-U1451A-10F-3-A,34,65,58.52,58.83,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-10F-3-A,65,86,58.83,59.04,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,
354-U1451A-10F-3-A,86,111,59.04,59.29,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-10F-3-A,111,121,59.29,59.39,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-10F-4-A,0,58,59.39,59.97,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,bioturbated,horizontal,,,,,,burrows,,,,,,,
354-U1451A-10F-4-A,58,95,59.97,60.34,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,gray,,,,,,,,burrows,,,,,,,
354-U1451A-10F-CC-A,0,30,60.34,60.64,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,gray,,,,,,,,burrows,,,,,,,
354-U1451A-11F-1-A,0,48,60.3,60.78,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,Fall-in broken up pieces of ooze with silty clay.,,,
