Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1428A-2H-1-A,0,150,6.4,7.9,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-2-A,0,150,7.9,9.4,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-3-A,0,150,9.4,10.9,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-4-A,0,150,10.9,12.4,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-5-A,0,150,12.4,13.9,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,0,71,13.9,14.61,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,39,41,14.29,14.31,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,39,41,14.29,14.31,,,,,,,,,,,,,,,,,,,,,,,,,pteropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,71,80,14.61,14.7,,tephra ,,tephra ,vitric,,,,N 5 (gray),heavy ,3,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,80,100,14.7,14.9,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,100,108,14.9,14.98,,tephra ,,tephra ,vitric,ash,4,normal grading,N 5 (gray),heavy ,3,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-6-A,108,150,14.98,15.4,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-7-A,0,56,15.4,15.96,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-2H-CC-A,0,29,15.96,16.25,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-3H,0,953,15.9,25.43,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-4H,0,1000,25.4,35.4,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-5H-1-A,0,150,34.9,36.4,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-5H-2-A,0,150,36.4,37.9,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-5H-3-A,0,150,37.9,39.4,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,60,,,,,,,,,,,tephra ,,tephra ,tephra ,tephra ,,40,,,,,100,,,,,
346-U1428A-5H-4-A,0,150,39.4,40.9,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,50,,,,,,,,,,,tephra ,,tephra ,tephra ,tephra ,,50,,,,,100,,,,,
346-U1428A-5H-5-A,0,150,40.9,42.4,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,50,,,,,,,,,,,tephra ,,tephra ,tephra ,tephra ,,50,,,,,100,,,,,
346-U1428A-5H-6-A,0,150,42.4,43.9,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,50,,,,,,,,,,,tephra ,,tephra ,tephra ,tephra ,,50,,,,,100,,,,,
346-U1428A-5H-7-A,0,64,43.9,44.54,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-1-A,0,150,44.4,45.9,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-2-A,0,75,45.9,46.65,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,volcaniclastic-bearing,2,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-2-A,75,76,46.65,46.66,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-2-A,76,150,46.66,47.4,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-3-A,0,150,47.4,48.9,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,volcaniclastic-bearing,2,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-4-A,0,150,48.9,50.4,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-5-A,0,150,50.4,51.9,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,95,,,,,,,,,,,tephra ,,tephra ,tephra ,tephra ,,5,,,,,100,,,,,
346-U1428A-6H-6-A,0,150,51.9,53.4,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-6-A,65,66,52.55,52.56,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-7-A,0,62,53.4,54.02,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-6H-CC-A,0,20,54.02,54.22,nannofossil rich,clay ,with foraminifers ,nannofossil rich clay  with foraminifers ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-1-A,0,64,53.9,54.54,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-1-A,4,5,53.94,53.95,,,,,,,,,,,,,,,,,,,,,,,,,bivalve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-1-A,64,79,54.54,54.69,sandy ,clay ,,sandy  clay ,,,,lamination,N 3 (very dark gray),slight ,1,,,,,,,,,,,,,,,sandy   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-1-A,79,150,54.69,55.4,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-2-A,0,150,55.4,56.9,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-3-A,0,150,56.9,58.4,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-3-A,132,133,58.22,58.23,,,,,,,,,,,,,,,,,,,,,,,,,bivalve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-4-A,0,150,58.4,59.9,nannofossil rich,clay ,with diatoms ,nannofossil rich clay  with diatoms [Leg339],,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-4-A,140,141,59.8,59.81,,,,,,,,,,,,,,,,,,,,,,,,,lamellar stromatoporoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-5-A,0,150,59.9,61.4,nannofossil rich,clay [Leg210],with diatoms [Leg339],nannofossil rich clay  with diatoms [Leg339],,,,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-6-A,0,150,61.4,62.9,nannofossil rich,clay [Leg210],with diatoms [Leg339],nannofossil rich clay  with diatoms [Leg339],,,,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-7-A,0,60,62.9,63.5,nannofossil rich,clay [Leg210],with diatoms [Leg339],nannofossil rich clay  with diatoms [Leg339],,,,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-7H-CC-A,0,39,63.5,63.89,nannofossil rich,clay [Leg210],with diatoms [Leg339],nannofossil rich clay  with diatoms [Leg339],,,,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with diatoms [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-1-A,0,150,63.4,64.9,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,,,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-2-A,0,150,64.9,66.4,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,,,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-3-A,0,150,66.4,67.9,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,,,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-3-A,43,44,66.83,66.84,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-3-A,70,71,67.1,67.11,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-4-A,0,64,67.9,68.54,,tephra [FS84],,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-4-A,64,152,68.54,69.42,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,,,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-5-A,0,150,69.42,70.92,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,volcaniclastic-bearing,2,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-5-A,54,55,69.96,69.97,,,,,,,,,,,,,,,,,,,,,,,,,bivalve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-6-A,0,150,70.92,72.42,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,volcaniclastic-bearing,2,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-6-A,5,6,70.97,70.98,,,,,,,,,,,,,,,,,,,,,,,,,bivalve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-8H-7-A,0,79,72.42,73.21,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,volcaniclastic-rich,3,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],95,,,,,,,,,,,tephra [FS84],,tephra ,tephra ,tephra ,,5,,,,,100,,,,,
346-U1428A-8H-CC-A,0,25,73.21,73.46,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,volcaniclastic-bearing,2,structureless,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-1-A,0,150,72.9,74.4,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,volcaniclastic-bearing,2,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-2-A,0,88,74.4,75.28,diatom bearing,nannofossil ooze [Leg339],with foraminifers [Leg339],diatom bearing nannofossil ooze  with foraminifers [Leg339],,,,structureless,5Y 4/1 (dark gray),heavy [DB86],3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-2-A,0,150,74.4,75.9,,,,,,,,,,,,,,,,,,,,,,,,,echinoderm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-2-A,88,150,75.28,75.9,,tephra [FS84],,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-3-A,0,82,75.9,76.72,,tephra [FS84],,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-3-A,82,150,76.72,77.4,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-3-A,86,87,76.76,76.77,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-4-A,0,150,77.4,78.9,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-5-A,0,150,78.9,80.4,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-6-A,0,147,80.4,81.87,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers [Leg339],,,,,5Y 5/1 (gray),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-9H-7-A,0,67,81.87,82.54,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
