Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,120.0,131.0,9.56,9.67,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,planar,sharp,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,"transparent and brown glass, feldspar",vitric matrix [2014],crystal matrix [2014],,,"transparent and brown glass, feldspar",,,,,
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,131.0,150.0,9.67,9.86,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,0.0,7.0,9.86,9.93,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,planar,diffuse,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,7.0,12.0,9.93,9.98,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,,,,,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,12.0,113.0,9.98,10.99,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,intercalated with thin (mm) glauconite layers,planar,sharp,horizontal,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,113.0,119.0,10.99,11.05,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,planar,sharp,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,119.0,144.0,11.05,11.3,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,irregular,bioturbated,horizontal,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,144.0,145.0,11.3,11.31,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,irregular,bioturbated,horizontal,,,,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-2H-5-A,350,U1437,B,2,2-5,H,5,A,145.0,150.0,11.31,11.36,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-6-A,350,U1437,B,2,2-6,H,6,A,0.0,19.0,11.36,11.55,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-6-A,350,U1437,B,2,2-6,H,6,A,19.0,27.0,11.55,11.63,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,planar,diffuse,horizontal,,,normally graded,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-6-A,350,U1437,B,2,2-6,H,6,A,27.0,78.0,11.63,12.14,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-6-A,350,U1437,B,2,2-6,H,6,A,78.0,80.0,12.14,12.16,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-6-A,350,U1437,B,2,2-6,H,6,A,80.0,150.0,12.16,12.86,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-7-A,350,U1437,B,2,2-7,H,7,A,0.0,102.0,12.86,13.88,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-8-A,350,U1437,B,2,2-8,H,8,A,0.0,27.0,13.88,14.15,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-8-A,350,U1437,B,2,2-8,H,8,A,27.0,28.0,14.15,14.16,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,bioturbated,vertical,,,,,strong,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-2H-8-A,350,U1437,B,2,2-8,H,8,A,28.0,59.0,14.16,14.47,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-CC-A,350,U1437,B,2,2-CC,H,CC,A,0.0,6.0,14.47,14.53,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-1-A,350,U1437,B,3,3-1,H,1,A,0.0,95.0,14.7,15.65,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-1-A,350,U1437,B,3,3-1,H,1,A,95.0,112.0,15.65,15.82,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-3H-1-A,350,U1437,B,3,3-1,H,1,A,112.0,150.0,15.82,16.2,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,0.0,54.0,16.2,16.74,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,planar,sharp to gradational,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,54.0,66.0,16.74,16.86,I,,,,evolved,ash [2014],with lapilli [2014],evolved ash,evolved ash with lapilli,ash with lapilli,,,,medium sand [W22_2],5.0,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,,,,,,,,,,,hornblende,vitric matrix [2014],crystal matrix [2014],,,hornblende,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,66.0,86.0,16.86,17.06,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,irregular,gradational,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,86.0,97.0,17.06,17.17,I,,,,mafic,ash [2014],with mud [2014],mafic ash,mafic ash with mud,ash with mud,,,,very fine sand [W22_2],3.0,,,,irregular,,,,,,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,97.0,110.0,17.17,17.3,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,irregular,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,110.0,124.0,17.3,17.44,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,very fine sand [W22_2],3.0,,,,planar,sharp,,,,,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-2-A,350,U1437,B,3,3-2,H,2,A,124.0,145.0,17.44,17.65,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-3-A,350,U1437,B,3,3-3,H,3,A,0.0,33.0,17.7,18.03,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-3-A,350,U1437,B,3,3-3,H,3,A,33.0,43.0,18.03,18.13,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,fine sand [W22_2],4.0,,,,planar,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437B-3H-3-A,350,U1437,B,3,3-3,H,3,A,43.0,50.0,18.13,18.2,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,fine sand [W22_2],4.0,,,,curviplanar,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437B-3H-3-A,350,U1437,B,3,3-3,H,3,A,50.0,57.0,18.2,18.27,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,fine sand [W22_2],4.0,,,,curviplanar,gradational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-3H-3-A,350,U1437,B,3,3-3,H,3,A,57.0,150.0,18.27,19.2,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,4.0,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-4-A,350,U1437,B,3,3-4,H,4,A,0.0,67.0,19.2,19.87,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,irregular,gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-4-A,350,U1437,B,3,3-4,H,4,A,67.0,90.0,19.87,20.1,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,very fine sand [W22_2],3.0,medium sand [W22_2],5.0,,irregular,sharp,horizontal,,,normally graded,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-3H-4-A,350,U1437,B,3,3-4,H,4,A,90.0,93.0,20.1,20.13,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,medium sand [W22_2],5.0,,,,,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"transparent+brown shards, quartz",vitric matrix [2014],crystal matrix [2014],,,"transparent+brown shards, quartz",,,,,
350-U1437B-3H-4-A,350,U1437,B,3,3-4,H,4,A,93.0,150.0,20.13,20.7,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-5-A,350,U1437,B,3,3-5,H,5,A,0.0,15.0,20.7,20.85,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-5-A,350,U1437,B,3,3-5,H,5,A,15.0,22.0,20.85,20.92,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,very fine sand [W22_2],3.0,fine sand [W22_2],4.0,,planar,sharp,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-3H-5-A,350,U1437,B,3,3-5,H,5,A,22.0,147.0,20.92,22.17,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-5-A,350,U1437,B,3,3-5,H,5,A,147.0,150.0,22.17,22.2,I,,,,tuffaceous,mud [2014],with crystals,tuffaceous mud,tuffaceous mud with crystals,mud with crystals,,,,,4.0,,4.0,,,,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxides,crystal matrix [2014],,,,oxides,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,0.0,23.0,22.2,22.43,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,23.0,31.0,22.43,22.51,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,horizontal,,,normally graded,stratified,,,,,,vitric [2014],crystal [2014],,,,,,,,shard,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,31.0,45.0,22.51,22.65,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,fine sand silt,4.0,fine sand [W22_2],4.0,,planar,sharp,horizontal,,,normally graded,stratified,,,,,,vitric [2014],crystal [2014],,,,,,,,shard,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,45.0,56.0,22.65,22.76,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,56.0,59.0,22.76,22.79,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,bioturbated,,,,normally graded,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,59.0,83.0,22.79,23.03,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,83.0,87.0,23.03,23.07,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,,horizontal,,,non-graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,shard,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,87.0,90.0,23.07,23.1,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,planar,sharp,horizontal,,well [2014],non-graded,,,,,,,crystal [2014],vitric [2014],,,,,,,,shard,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,90.0,118.0,23.1,23.38,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,118.0,128.0,23.38,23.48,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,,,silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp,,,,non-graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,shard,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437B-3H-6-A,350,U1437,B,3,3-6,H,6,A,128.0,142.0,23.48,23.62,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-7-A,350,U1437,B,3,3-7,H,7,A,0.0,54.0,23.62,24.16,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-3H-CC-A,350,U1437,B,3,3-CC,H,CC,A,0.0,24.0,24.16,24.4,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-4H-1-A,350,U1437,B,4,4-1,H,1,A,0.0,62.0,24.2,24.82,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
