Exp,Site,Hole,Core,Type,Core-Sect,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data
361,U1476,D,5,H,5-2,2,A,0,150,31,32.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-2-A,
361,U1476,D,5,H,5-3,3,A,0,150,32.5,34,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-3-A,
361,U1476,D,5,H,5-4,4,A,0,150,34,35.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-4-A,
361,U1476,D,5,H,5-5,5,A,0,150,35.5,37,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-5-A,
361,U1476,D,5,H,5-6,6,A,0,130,37,38.3,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-6-A,
361,U1476,D,5,H,5-7,7,A,0,57,38.3,38.87,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-5H-7-A,
361,U1476,D,5,H,5-CC,CC,A,0,35,38.87,39.22,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-5H-CC-A,
361,U1476,D,6,H,6-1,1,A,0,147,39,40.47,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-6H-1-A,
361,U1476,D,6,H,6-2,2,A,0,150,40.47,41.97,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-6H-2-A,
361,U1476,D,6,H,6-3,3,A,0,150,41.97,43.47,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-6H-3-A,
361,U1476,D,6,H,6-4,4,A,0,150,43.47,44.97,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-6H-4-A,
361,U1476,D,6,H,6-5,5,A,0,150,44.97,46.47,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-6H-5-A,
361,U1476,D,6,H,6-6,6,A,0,130,46.47,47.77,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-6H-6-A,
361,U1476,D,6,H,6-7,7,A,0,52,47.77,48.29,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-6H-7-A,
361,U1476,D,6,H,6-CC,CC,A,0,25,48.29,48.54,2,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-6H-CC-A,
361,U1476,D,7,H,7-1,1,A,0,150,48.5,50,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-7H-1-A,
361,U1476,D,7,H,7-2,2,A,0,150,50,51.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-7H-2-A,
361,U1476,D,7,H,7-3,3,A,0,150,51.5,53,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-7H-3-A,
361,U1476,D,7,H,7-4,4,A,0,150,53,54.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-7H-4-A,
361,U1476,D,7,H,7-5,5,A,0,150,54.5,56,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-7H-5-A,
361,U1476,D,7,H,7-6,6,A,0,119,56,57.19,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-7H-6-A,
361,U1476,D,7,H,7-7,7,A,0,77,57.19,57.96,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-7H-7-A,
361,U1476,D,7,H,7-CC,CC,A,0,25,57.96,58.21,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-7H-CC-A,
361,U1476,D,8,H,8-1,1,A,0,150,58,59.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-1-A,
361,U1476,D,8,H,8-2,2,A,0,150,59.5,61,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-2-A,
361,U1476,D,8,H,8-3,3,A,0,150,61,62.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-3-A,
361,U1476,D,8,H,8-4,4,A,0,150,62.5,64,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-4-A,
361,U1476,D,8,H,8-5,5,A,0,150,64,65.5,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-5-A,
361,U1476,D,8,H,8-6,6,A,0,150,65.5,67,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-8H-6-A,
