Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1435A-6R-1-A,14,39,45.84,46.09,,clay [Leg339],with nannofossils [Leg339],clay ,clay  with nannofossils ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
349-U1435A-6R-1-A,39,80,46.09,46.5,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 6/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,thick bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
349-U1435A-6R-1-A,80,93,46.5,46.63,,clay [Leg339],with nannofossils [Leg339],clay ,clay  with nannofossils ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,gradational,horizontal,medium bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
349-U1435A-6R-1-A,93,104,46.63,46.74,sandy [Leg339],clay [Leg339],,sandy   clay ,sandy  clay ,,GLEY 1 7/10Y (light greenish grey),moderately consolidated [B84],clay [W22_1],1.0,fine sand [W22_2],4.0,moderate [BP01],,,,,,,,,,,,,,erosive,horizontal,medium bed [B01],,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
349-U1435A-6R-1-A,104,145,46.74,47.15,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,1,A
349-U1435A-6R-2-A,0,57,47.2,47.77,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,planar,horizontal,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,2,A
349-U1435A-6R-2-A,57,60,47.77,47.8,,clay [Leg339],,clay ,clay ,,GLEY 1 8/N (white gray),moderately consolidated [B84],clay [W22_1],1.0,clay [W22_1],1.0,well [2014],,,,,,,,,,,,,,planar,horizontal,thin bed [B01],lamination,none [DB86],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,2,A
349-U1435A-6R-2-A,60,150,47.8,48.7,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,2,A
349-U1435A-6R-3-A,0,131,48.4,49.71,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,3,A
349-U1435A-6R-CC-A,0,20,49.05,49.25,nannofossil rich,clay [Leg339],,nannofossil rich  clay ,nannofossil rich clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated [B84],clay [W22_1],1.0,silt [W22_1],2.0,moderate [BP01],,,,,,,,,,,,,,,,thick bed [B01],color banding,heavy [DB86],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1435,A,6,R,CC,A
