Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1427A-2H-4-A,55,74,6.85,7.04,foraminifer rich,clayey silt ,,foraminifer rich clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,foraminifer rich  clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,4,A,
346-U1427A-2H-4-A,74,150,7.04,7.8,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,4,A,
346-U1427A-2H-5-A,0,150,7.8,9.3,,clayey silt ,with foraminifers ,clayey silt  with foraminifers ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,5,A,
346-U1427A-2H-6-A,0,117,9.3,10.47,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,6,A,
346-U1427A-2H-7-A,0,22,10.47,10.69,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,7,A,
346-U1427A-2H-7-A,22,32,10.69,10.79,,tephra ,,tephra ,vitric,,,normal grading,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,7,A,
346-U1427A-2H-7-A,32,67,10.79,11.14,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,7,A,
346-U1427A-2H-CC-A,0,20,11.14,11.34,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,CC,A,
346-U1427A-3H-1-A,0,150,11.3,12.8,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,1,A,
346-U1427A-3H-2-A,0,143,12.8,14.23,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,2,A,
346-U1427A-3H-3-A,0,150,14.23,15.73,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,3,A,
346-U1427A-3H-4-A,0,148,15.73,17.21,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,4,A,
346-U1427A-3H-5-A,0,151,17.21,18.72,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,5,A,
346-U1427A-3H-6-A,0,151,18.72,20.23,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,6,A,
346-U1427A-3H-7-A,0,89,20.23,21.12,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,7,A,
346-U1427A-3H-CC-A,0,32,21.12,21.44,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,shell fragment,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,3,H,CC,A,
346-U1427A-4H-1-A,0,51,20.8,21.31,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,1,A,
346-U1427A-4H-2-A,0,150,21.31,22.81,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,2,A,
346-U1427A-4H-3-A,0,120,22.81,24.01,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,3,A,
346-U1427A-4H-4-A,0,112,24.01,25.13,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,4,A,
346-U1427A-4H-5-A,0,137,25.13,26.5,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,5,A,
346-U1427A-4H-6-A,0,150,26.5,28,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,6,A,
346-U1427A-4H-7-A,0,141,28,29.41,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,7,A,
346-U1427A-4H-8-A,0,88,29.41,30.29,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,8,A,
346-U1427A-4H-CC-A,0,55,30.29,30.84,sandy ,silty clay ,with biogenic components ,sandy  silty clay  with biogenic components ,,,,,5Y 4/1 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   silty clay ,silty clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,4,H,CC,A,
346-U1427A-5H-1-A,0,150,30.3,31.8,nannofossil bearing,silty clay ,with volcanic ash ,nannofossil bearing silty clay  with volcanic ash ,,,,mottling ,5Y 4/1 (dark gray),slight ,1,,,,,,,,,,,,,,,nannofossil bearing  silty clay ,silty clay   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,1,A,
346-U1427A-5H-2-A,0,60,31.8,32.4,nannofossil bearing,silty clay ,with volcanic ash ,nannofossil bearing silty clay  with volcanic ash ,,,,mottling ,5Y 4/1 (dark gray),slight ,1,,,,,,,,,,,,,,,nannofossil bearing  silty clay ,silty clay   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,2,A,
346-U1427A-5H-2-A,60,143,32.4,33.23,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,2,A,
346-U1427A-5H-3-A,0,140,33.23,34.63,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,3,A,
346-U1427A-5H-4-A,0,150,34.63,36.13,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,4,A,
346-U1427A-5H-5-A,0,107,36.13,37.2,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,5,A,
346-U1427A-5H-6-A,0,150,37.2,38.7,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,6,A,
346-U1427A-5H-7-A,0,51,38.7,39.21,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,7,A,
346-U1427A-5H-7-A,51,62,39.21,39.32,,tephra ,,tephra ,pumice,,,,N 8 (white),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,7,A,
346-U1427A-5H-CC-A,0,4,39.32,39.36,,tephra ,,tephra ,pumice,,,,N 8 (white),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,CC,A,
346-U1427A-5H-CC-A,4,19,39.36,39.51,clayey ,biosiliceous calcareous ooze ,with silt ,clayey  biosiliceous calcareous ooze  with silt ,vitric,trace amount,1,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   biosiliceous calcareous ooze ,biosiliceous calcareous ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,5,H,CC,A,
346-U1427A-6H-1-A,0,35,39.8,40.15,clayey ,calcareous ooze ,with sandy silt ,clayey  calcareous ooze  with sandy silt ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   calcareous ooze ,calcareous ooze   with sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,1,A,
346-U1427A-6H-2-A,0,151,40.15,41.66,clayey ,calcareous ooze ,with sandy silt ,clayey  calcareous ooze  with sandy silt ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   calcareous ooze ,calcareous ooze   with sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,2,A,
346-U1427A-6H-3-A,0,150,41.66,43.16,clayey ,calcareous ooze ,with sandy silt ,clayey  calcareous ooze  with sandy silt ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   calcareous ooze ,calcareous ooze   with sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,3,A,
346-U1427A-6H-4-A,0,75,43.16,43.91,clayey ,calcareous ooze ,with sandy silt ,clayey  calcareous ooze  with sandy silt ,,,,,5Y 4/2 (olive gray),heavy ,3,,,,,,,,,,,,,,,clayey   calcareous ooze ,calcareous ooze   with sandy silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,4,A,
346-U1427A-6H-4-A,75,150,43.91,44.66,clayey [Leg339],sandy silt [Leg339],with biosilica [Leg339],clayey  sandy silt  with biosilica ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,clayey   sandy silt ,sandy silt   with biosilica ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,4,A,
346-U1427A-6H-5-A,0,151,44.66,46.17,clayey ,sandy silt ,with biosilica ,clayey [Leg339] sandy silt  with biosilica [Leg339],,,,,10Y 4/2 (grayish green),heavy ,3,,,,,,,,,,,,,,,clayey [Leg339]  sandy silt ,sandy silt   with biosilica [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,5,A,
346-U1427A-6H-5-A,120,137,45.86,46.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concretion,dolomite,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,5,A,
346-U1427A-6H-6-A,0,75,46.17,46.92,clayey [Leg339],sandy silt [Leg339],with biosilica [Leg339],clayey [Leg339] sandy silt  with biosilica [Leg339],,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,clayey [Leg339]  sandy silt ,sandy silt   with biosilica [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,6,A,
346-U1427A-6H-6-A,75,151,46.92,47.68,volcanic glass bearing,silty clay [MMK88],,volcanic glass bearing silty clay ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,volcanic glass bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,6,A,
346-U1427A-6H-7-A,0,136,47.68,49.04,volcanic glass bearing,silty clay [MMK88],,volcanic glass bearing silty clay ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,volcanic glass bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,7,A,
346-U1427A-6H-7-A,56,60,48.24,48.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement,dolomite,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,7,A,
346-U1427A-6H-8-A,0,56,49.04,49.6,volcanic glass bearing,silty clay [MMK88],,volcanic glass bearing silty clay ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,volcanic glass bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,8,A,
346-U1427A-6H-CC-A,0,48,49.6,50.08,volcanic glass bearing,silty clay [MMK88],,volcanic glass bearing silty clay ,,,,,10Y 4/2 (grayish green),heavy [DB86],3,,,,,,,,,,,,,,,volcanic glass bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,6,H,CC,A,
346-U1427A-7H-1-A,0,66,49.3,49.96,clayey [Leg339],silty sand [MMK88],with volcanic ash [Leg339],clayey [Leg339] silty sand  with volcanic ash [Leg339],,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,clayey [Leg339]  silty sand ,silty sand   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,1,A,
346-U1427A-7H-2-A,0,151,49.96,51.47,clayey [Leg339],silty sand [MMK88],with volcanic ash [Leg339],clayey [Leg339] silty sand  with volcanic ash [Leg339],,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,clayey [Leg339]  silty sand ,silty sand   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,2,A,
346-U1427A-7H-3-A,0,125,51.47,52.72,clayey [Leg339],silty sand [MMK88],with volcanic ash [Leg339],clayey [Leg339] silty sand  with volcanic ash [Leg339],,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,clayey [Leg339]  silty sand ,silty sand   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,3,A,
346-U1427A-7H-4-A,0,91,52.72,53.63,clayey [Leg339],silty sand [MMK88],with volcanic ash [Leg339],clayey [Leg339] silty sand  with volcanic ash [Leg339],,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,clayey [Leg339]  silty sand ,silty sand   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,4,A,
346-U1427A-7H-5-A,0,135,53.63,54.98,sandy [Leg339],clayey silt [MMK88],with volcanic ash [Leg339],sandy [Leg339] clayey silt  with volcanic ash [Leg339],,,,mottling [BJ80],5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,sandy [Leg339]  clayey silt ,clayey silt   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,5,A,
346-U1427A-7H-6-A,0,144,54.98,56.42,sandy [Leg339],clayey silt [MMK88],with volcanic ash [Leg339],sandy [Leg339] clayey silt  with volcanic ash [Leg339],,,,mottling [BJ80],5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,sandy [Leg339]  clayey silt ,clayey silt   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,6,A,
346-U1427A-7H-7-A,0,143,56.42,57.85,sandy [Leg339],clayey silt [MMK88],with volcanic ash [Leg339],sandy [Leg339] clayey silt  with volcanic ash [Leg339],,,,mottling [BJ80],5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,sandy [Leg339]  clayey silt ,clayey silt   with volcanic ash [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,7,A,
346-U1427A-7H-8-A,0,84,57.85,58.69,sandy [Leg339],clayey silt [MMK88],with nannofossils [Leg339],sandy [Leg339] clayey silt  with nannofossils [Leg339],,,,mottling [BJ80],5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,sandy [Leg339]  clayey silt ,clayey silt   with nannofossils [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,8,A,
346-U1427A-7H-CC-A,0,48,58.69,59.17,sandy [Leg339],clayey silt [MMK88],with nannofossils [Leg339],sandy [Leg339] clayey silt  with nannofossils [Leg339],,,,mottling [BJ80],5G 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,sandy [Leg339]  clayey silt ,clayey silt   with nannofossils [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,7,H,CC,A,
346-U1427A-8H-1-A,0,40,58.8,59.2,biosiliceous rich,clayey silt [MMK88],with nannofossils [Leg339],biosiliceous rich clayey silt  with nannofossils [Leg339],,,,,10Y 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,biosiliceous rich  clayey silt ,clayey silt   with nannofossils [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,8,H,1,A,
346-U1427A-8H-2-A,0,144,59.2,60.64,biosiliceous rich,clayey silt [MMK88],with nannofossils [Leg339],biosiliceous rich clayey silt  with nannofossils [Leg339],,,,,10Y 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,biosiliceous rich  clayey silt ,clayey silt   with nannofossils [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,8,H,2,A,
346-U1427A-8H-3-A,0,134,60.64,61.98,biosiliceous rich,clayey silt [MMK88],with nannofossils [Leg339],biosiliceous rich clayey silt  with nannofossils [Leg339],,,,,10Y 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,biosiliceous rich  clayey silt ,clayey silt   with nannofossils [Leg339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,8,H,3,A,
