Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1420A-19R-1-#5-A,0,8,167.42,167.5,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-19R-1-#6-A,0,6,167.5,167.56,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-19R-1-#7-A,0,9,167.56,167.65,,,,,,,,,,,present [A79],1,,,,,,,,,,dolomite,,,,,
341-U1420A-19R-1-#8-A,0,7,167.65,167.72,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,
341-U1420A-19R-1-#9-A,0,8,167.72,167.8,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-20R-1-#1-A,0,3,176.9,176.93,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,
341-U1420A-20R-1-#2-A,0,7,176.93,177,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,volcanic breccia,,,,,
341-U1420A-20R-1-#3-A,0,13,177,177.13,,mud [Leg210],,mud ,,,,N 3 (very dark gray),,,present [A79],2,,,,,pebble [W22_2],,,,,,,,,,
341-U1420A-20R-1-#3-A,13,15,177.13,177.15,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-20R-1-#4-A,0,3,177.15,177.18,,,,,,,,,,,present [A79],6,,,,,pebble [W22_2],subrounded,,,,"1 argillite pebble, 5 argillite granules",,,,,
341-U1420A-20R-1-#5-A,0,4,177.18,177.22,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,rhyolite,,,,,
341-U1420A-20R-1-#6-A,0,4,177.22,177.26,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,
341-U1420A-20R-1-#7-A,0,4,177.26,177.3,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,
341-U1420A-20R-1-#8-A,0,3,177.3,177.33,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,aplitic granite,,,,,
341-U1420A-21R-1-#1-A,0,4,186.6,186.64,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,volcanic breccia,,,,,
341-U1420A-21R-1-#2-A,0,11,186.64,186.75,sandy,clast-poor diamict [M89m],,sandy clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,
341-U1420A-21R-1-#3-A,0,7,186.75,186.82,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,
341-U1420A-21R-1-#4-A,0,9,186.82,186.91,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,
341-U1420A-21R-1-#5-A,0,3,186.91,186.94,,,,,,,,,,,present [A79],3,,,,,pebble [W22_2],subangular,,,,"1 argillite, 1 granite, 1 basalt",,,,,
341-U1420A-21R-1-#6-A,0,7,186.94,187.01,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subangular,,,,,,sandstone,,,,,
341-U1420A-21R-1-#7-A,0,14,187.01,187.15,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,
341-U1420A-21R-1-#8-A,0,6,187.15,187.21,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,
341-U1420A-21R-1-#9-A,0,5,187.21,187.26,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,siltstone,,,,,
341-U1420A-22R-1-#1-A,0,5,196.3,196.35,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,
341-U1420A-22R-1-#10-A,0,9,196.88,196.97,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,
341-U1420A-22R-1-#11-A,0,23,196.97,197.2,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,
341-U1420A-22R-1-#12-A,0,5,197.2,197.25,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,
341-U1420A-22R-1-#2-A,0,5,196.35,196.4,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,
341-U1420A-22R-1-#3-A,0,7,196.4,196.47,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,
341-U1420A-22R-1-#4-A,0,3,196.47,196.5,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,
341-U1420A-22R-1-#5-A,0,8,196.5,196.58,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-22R-1-#6-A,0,9,196.58,196.67,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-22R-1-#7-A,0,7,196.67,196.74,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-22R-1-#8-A,0,7,196.74,196.81,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-22R-1-#9-A,0,7,196.81,196.88,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-23R-1-#1-A,0,4,206,206.04,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone with fabric,,,,,
341-U1420A-23R-1-#2-A,0,5,206.04,206.09,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-23R-1-#3-A,0,3,206.09,206.12,,,,,,,,,,,present [A79],2,,,,,,,,,,metasandstone with fabric,,,,,
341-U1420A-23R-1-#4-A,0,3,206.12,206.15,sandy,mud [Leg210],,sandy mud ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1420A-23R-1-#5-A,0,11,206.15,206.26,,,,,,,,,,,present [A79],2,,,cobble [W22_2],subrounded,,,,,,"green sandstone (10cm), green sandstone with fabric (1.5cm)",,,,,
341-U1420A-23R-1-#6-A,0,8,206.26,206.34,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-23R-1-#7-A,0,7,206.34,206.41,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-23R-1-#8-A,0,8,206.41,206.49,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-24R-1-#3-A,0,4,215.89,215.93,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-24R-1-#4-A,0,4,215.93,215.97,,,,,,,,,,,present [A79],1,,,,,,,,,,green sandstone,,,,,
341-U1420A-24R-1-#5-A,0,7,215.97,216.04,,,,,,,,,,,present [A79],1,,,,,,,,,,brecciated sandstone,,,,,
341-U1420A-24R-1-#6-A,0,4,216.04,216.08,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-25R-1-#1-A,0,2,225.4,225.42,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-25R-1-#2-A,0,4,225.42,225.46,,,,,,,,,,,present [A79],4,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"3 argillite, 1 sandstone",,,,,
341-U1420A-25R-1-#3-A,0,7,225.46,225.53,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-25R-1-#4-A,0,6,225.53,225.59,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-25R-1-#5-A,0,7,225.59,225.66,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-25R-1-#6-A,0,5,225.66,225.71,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-25R-1-#7-A,0,7,225.71,225.78,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-25R-1-#8-A,0,7,225.78,225.85,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-25R-1-#9-A,0,7,225.85,225.92,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-27R-1-#1-A,0,17,244.8,244.97,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],10,,,pebble [W22_2],subrounded,,,,,,"clasts include: 6cm sandstone, ~1cm siltstones and sandstones",,,,,
341-U1420A-27R-1-#2-A,0,6,244.97,245.03,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-27R-1-#3-A,0,6,245.03,245.09,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-27R-1-#4-A,0,3,245.09,245.12,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-27R-1-#5-A,0,5,245.12,245.17,,,,,,,,,,,present [A79],1,,,,,,,,,,gabbro,,,,,
341-U1420A-27R-1-#6-A,0,4,245.17,245.21,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-27R-1-#7-A,0,6,245.21,245.27,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,
341-U1420A-27R-1-#8-A,0,10,245.27,245.37,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,
341-U1420A-27R-1-#9-A,0,3,245.37,245.4,,,,,,,,,,,present [A79],3,,,pebble [W22_2],subangular,,,,,,~1.5cm siltstones,,,,,
341-U1420A-28R-1-#1-A,0,5,254.5,254.55,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-28R-1-#10-A,0,8,255.22,255.3,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-28R-1-#11-A,0,5,255.3,255.35,,,,,,,,,,,present [A79],1,,,,,,,,,,"siltstone, bioturbated
",,,,,
341-U1420A-28R-1-#12-A,0,9,255.35,255.44,,,,,,,,,,,present [A79],1,,,,,,,,,,"siltstone, bioturbated
",,,,,
341-U1420A-28R-1-#2-A,0,4,254.55,254.59,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,
341-U1420A-28R-1-#3-A,0,11,254.59,254.7,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-28R-1-#4-A,0,7,254.7,254.77,,,,,,,,,,,present [A79],4,,,,,,,,,,"granite (4x)
",,,,,
341-U1420A-28R-1-#5-A,0,6,254.77,254.83,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,
341-U1420A-28R-1-#6-A,0,13,254.83,254.96,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-28R-1-#7-A,0,13,254.96,255.09,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-28R-1-#8-A,0,7,255.09,255.16,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-28R-1-#9-A,0,6,255.16,255.22,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,
341-U1420A-29R-1-#1-A,0,7,264.2,264.27,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,
341-U1420A-29R-1-#2-A,0,6,264.27,264.33,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,
341-U1420A-29R-1-#3-A,0,4,264.33,264.37,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,
341-U1420A-29R-1-#4-A,0,3,264.37,264.4,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-29R-1-#5-A,0,4,264.4,264.44,,,,,,,,,,,present [A79],1,,,,,,,,,,gabbro,,,,,
341-U1420A-29R-1-#6-A,0,3,264.44,264.47,,mud [Leg210],,mud ,,,,N 3 (very dark gray),none [DB86],0,present [A79],2,,,,,,,,,,,,,,,
341-U1420A-29R-1-#7-A,0,4,264.47,264.51,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,
341-U1420A-29R-1-#8-A,0,5,264.51,264.56,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-29R-1-#8-A,5,13,264.56,264.64,,mud [Leg210],,mud ,,,,N 3 (very dark gray),none [DB86],0,present [A79],3,,,,,,,,,,,,,,,
341-U1420A-29R-1-#9-A,0,4,264.64,264.68,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-30R-1-#1-A,0,34,273.9,274.24,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: granitoid, quartz, sandstone, siltstone, basalt",,,,,
341-U1420A-30R-1-#1-A,34,39,274.24,274.29,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-30R-1-#2-A,0,6,274.29,274.35,,,,,,,,,,,present [A79],4,,,,,,,,,,"2 basalt, 1 granitoid, 1 siltstone",,,,,
341-U1420A-30R-1-#3-A,0,8,274.35,274.43,,,,,,,,,,,present [A79],1,,,,,,,,,,granitoid,,,,,
341-U1420A-31R-1-#1-A,0,5,283.6,283.65,,,,,,,,,,,present [A79],1,,,,,,,,,,gneiss,,,,,
341-U1420A-31R-1-#2-A,0,8,283.65,283.73,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-31R-1-#3-A,0,6,283.73,283.79,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,
341-U1420A-31R-1-#4-A,0,6,283.79,283.85,,,,,,,,,,,present [A79],1,,,,,,,,,,felsic volcanic breccia,,,,,
341-U1420A-31R-1-#5-A,0,8,283.85,283.93,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-31R-1-#6-A,0,4,283.93,283.97,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-32R-1-#1-A,0,7,293.3,293.37,,,,,,,,,,,present [A79],1,,,,,,,,,,"basalt, altered",,,,,
341-U1420A-33R-1-#1-A,0,8,303,303.08,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-33R-1-#2-A,0,4,303.08,303.12,,,,,,,,,,,present [A79],2,,,,,,,,,,one pebble of gabbro and pebble of metasandstone,,,,,
341-U1420A-33R-1-#3-A,0,9,303.12,303.21,,,,,,,,,,,present [A79],1,,,,,,,,,,greenstone,,,,,
341-U1420A-33R-1-#4-A,0,3,303.21,303.24,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-33R-1-#5-A,0,6,303.24,303.3,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-33R-1-#6-A,0,9,303.3,303.39,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-33R-1-#7-A,0,10,303.39,303.49,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-34R-1-#1-A,0,16,312.7,312.86,,,,,,,,,,,,,,,,,,,,,,sandy mud chunks,,,,,
341-U1420A-34R-1-#2-A,0,10,312.86,312.96,,,,,,,,,,,present [A79],4,,,,,,,,,,2 pebbles of chlorite bearing metamorphic rock; 2 metasediment pebbles,,,,,
341-U1420A-34R-1-#3-A,0,10,312.96,313.06,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,
341-U1420A-34R-1-#4-A,0,4,313.06,313.1,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,
341-U1420A-34R-1-#5-A,0,4,313.1,313.14,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,
