Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
323-U1343A-2H-2-A,323,U1343,A,2,2-2,H,2,A,0,150,7,8.5,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-3-A,323,U1343,A,2,2-3,H,3,A,0,150,8.5,10,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-4-A,323,U1343,A,2,2-4,H,4,A,0,45,10,10.45,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-4-A,323,U1343,A,2,2-4,H,4,A,45,107,10.45,11.07,silt [S54],,foraminifer-rich diatom-bearing,foraminifer-rich diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-4-A,323,U1343,A,2,2-4,H,4,A,107,150,11.07,11.5,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-5-A,323,U1343,A,2,2-5,H,5,A,0,60,11.5,12.1,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-5-A,323,U1343,A,2,2-5,H,5,A,60,100,12.1,12.5,silt [S54],,foraminifer-rich diatom-bearing,foraminifer-rich diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-5-A,323,U1343,A,2,2-5,H,5,A,100,150,12.5,13,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-6-A,323,U1343,A,2,2-6,H,6,A,0,100,13,14,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-7-A,323,U1343,A,2,2-7,H,7,A,0,90,14,14.9,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-1-A,323,U1343,A,3,3-1,H,1,A,0,150,15,16.5,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-2-A,323,U1343,A,3,3-2,H,2,A,0,150,16.5,18,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-3-A,323,U1343,A,3,3-3,H,3,A,0,150,18,19.5,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-4-A,323,U1343,A,3,3-4,H,4,A,0,150,19.5,21,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-5-A,323,U1343,A,3,3-5,H,5,A,0,120,21,22.2,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-5-A,323,U1343,A,3,3-5,H,5,A,120,150,22.2,22.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-6-A,323,U1343,A,3,3-6,H,6,A,0,150,22.5,24,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-7-A,323,U1343,A,3,3-7,H,7,A,0,60,24,24.6,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-3H-CC-A,323,U1343,A,3,3-CC,H,CC,A,0,12,24.6,24.72,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-1-A,323,U1343,A,4,4-1,H,1,A,0,150,24.5,26,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-2-A,323,U1343,A,4,4-2,H,2,A,0,150,26,27.5,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-3-A,323,U1343,A,4,4-3,H,3,A,0,150,27.5,29,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-4-A,323,U1343,A,4,4-4,H,4,A,0,150,29,30.5,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-5-A,323,U1343,A,4,4-5,H,5,A,0,47,30.5,30.97,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-5-A,323,U1343,A,4,4-5,H,5,A,47,150,30.97,32,silt [S54],,diatom-rich,diatom-rich silt,100,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-4H-6-A,323,U1343,A,4,4-6,H,6,A,0,150,32,33.5,silt [S54],,diatom-rich,diatom-rich silt,100,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-4H-7-A,323,U1343,A,4,4-7,H,7,A,0,86,33.5,34.36,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-4H-CC-A,323,U1343,A,4,4-CC,H,CC,A,0,31,34.36,34.67,diatom silt,Leg 323,,diatom silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-1-A,323,U1343,A,5,5-1,H,1,A,0,40,34,34.4,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-1-A,323,U1343,A,5,5-1,H,1,A,40,150,34.4,35.5,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-2-A,323,U1343,A,5,5-2,H,2,A,0,38,35.5,35.88,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-2-A,323,U1343,A,5,5-2,H,2,A,42,150,35.92,37,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-3-A,323,U1343,A,5,5-3,H,3,A,0,150,37,38.5,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-4-A,323,U1343,A,5,5-4,H,4,A,0,138,38.5,39.88,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-5-A,323,U1343,A,5,5-5,H,5,A,0,10,39.88,39.98,nannofossil ooze,Leg 323,diatom- and silicoflagellate-bearing,diatom- and silicoflagellate-bearing nannofossil ooze,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-5-A,323,U1343,A,5,5-5,H,5,A,10,146,39.98,41.34,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-6-A,323,U1343,A,5,5-6,H,6,A,0,150,41.34,42.84,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-7-A,323,U1343,A,5,5-7,H,7,A,0,71,42.84,43.55,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-5H-CC-A,323,U1343,A,5,5-CC,H,CC,A,0,46,43.55,44.01,clayey silt [S54],"Shepard, 1954",,clayey silt,100,soft,5GY 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-1-A,323,U1343,A,6,6-1,H,1,A,0,37,43.5,43.87,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-1-A,323,U1343,A,6,6-1,H,1,A,37,46,43.87,43.96,clay [S54] ,,foraminifer and diatom-rich,foraminifer and diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-1-A,323,U1343,A,6,6-1,H,1,A,46,55,43.96,44.05,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-1-A,323,U1343,A,6,6-1,H,1,A,55,67,44.05,44.17,clay [S54] ,,foraminifer and diatom-rich,foraminifer and diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-1-A,323,U1343,A,6,6-1,H,1,A,67,121,44.17,44.71,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-2-A,323,U1343,A,6,6-2,H,2,A,0,150,44.71,46.21,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-3-A,323,U1343,A,6,6-3,H,3,A,0,150,46.21,47.71,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-4-A,323,U1343,A,6,6-4,H,4,A,0,150,47.71,49.21,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-5-A,323,U1343,A,6,6-5,H,5,A,0,147,49.21,50.68,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-6-A,323,U1343,A,6,6-6,H,6,A,0,110,50.68,51.78,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-6-A,323,U1343,A,6,6-6,H,6,A,110,150,51.78,52.18,sandy silt [S54],"Shepard, 1954",,sandy silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-7-A,323,U1343,A,6,6-7,H,7,A,0,10,52.18,52.28,sandy silt [S54],"Shepard, 1954",,sandy silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-7-A,323,U1343,A,6,6-7,H,7,A,10,142,52.28,53.6,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-6H-CC-A,323,U1343,A,6,6-CC,H,CC,A,0,31,53.6,53.91,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-1-A,323,U1343,A,7,7-1,H,1,A,0,26,53,53.26,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-1-A,323,U1343,A,7,7-1,H,1,A,26,57,53.26,53.57,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-2-A,323,U1343,A,7,7-2,H,2,A,0,150,53.57,55.07,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-3-A,323,U1343,A,7,7-3,H,3,A,0,95,55.07,56.02,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-3-A,323,U1343,A,7,7-3,H,3,A,95,145,56.02,56.52,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,patchy color variations,,,,,,,,,,,,
323-U1343A-7H-3-A,323,U1343,A,7,7-3,H,3,A,95,145,56.02,56.52,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50,soft,4/N,,,,,patchy color variations,,,,,,,,,,,,
323-U1343A-7H-4-A,323,U1343,A,7,7-4,H,4,A,0,85,56.52,57.37,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,patchy color variations,,,,,,,,,,,,
323-U1343A-7H-4-A,323,U1343,A,7,7-4,H,4,A,0,85,56.52,57.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,50,soft,4/N,,,,,patchy color variations,,,,,,,,,,,,
323-U1343A-7H-4-A,323,U1343,A,7,7-4,H,4,A,85,148,57.37,58,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-5-A,323,U1343,A,7,7-5,H,5,A,0,146,58,59.46,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-6-A,323,U1343,A,7,7-6,H,6,A,0,134,59.46,60.8,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-7-A,323,U1343,A,7,7-7,H,7,A,0,93,60.8,61.73,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-7H-CC-A,323,U1343,A,7,7-CC,H,CC,A,0,40,61.73,62.13,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-1-A,323,U1343,A,8,8-1,H,1,A,0,75,62.5,63.25,silt [S54],,diatom-rich,diatom-rich silt,,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,
323-U1343A-8H-2-A,323,U1343,A,8,8-2,H,2,A,0,146,63.26,64.72,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-3-A,323,U1343,A,8,8-3,H,3,A,0,40,64.73,65.13,silty clay [S54],"Shepard, 1954",foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-3-A,323,U1343,A,8,8-3,H,3,A,40,150,65.13,66.23,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-4-A,323,U1343,A,8,8-4,H,4,A,0,150,66.23,67.73,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-5-A,323,U1343,A,8,8-5,H,5,A,0,15,67.73,67.88,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-5-A,323,U1343,A,8,8-5,H,5,A,15,30,67.88,68.03,nannofossil diatom ooze,Leg 323,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich nannofossil diatom ooze,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-5-A,323,U1343,A,8,8-5,H,5,A,30,144,68.03,69.17,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-6-A,323,U1343,A,8,8-6,H,6,A,0,150,69.17,70.67,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-7-A,323,U1343,A,8,8-7,H,7,A,0,71,70.67,71.38,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-8H-CC-A,323,U1343,A,8,8-CC,H,CC,A,0,50,71.38,71.88,diatom silt,Leg 323,,diatom silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-1-A,323,U1343,A,9,9-1,H,1,A,0,150,72,73.5,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-2-A,323,U1343,A,9,9-2,H,2,A,0,150,73.5,75,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-3-A,323,U1343,A,9,9-3,H,3,A,0,125,75,76.25,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-3-A,323,U1343,A,9,9-3,H,3,A,125,150,76.25,76.5,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-4-A,323,U1343,A,9,9-4,H,4,A,0,90,76.5,77.4,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-4-A,323,U1343,A,9,9-4,H,4,A,90,142,77.4,77.92,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-9H-5-A,323,U1343,A,9,9-5,H,5,A,0,150,77.92,79.42,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-9H-6-A,323,U1343,A,9,9-6,H,6,A,0,140,79.42,80.82,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-9H-7-A,323,U1343,A,9,9-7,H,7,A,0,69,80.83,81.52,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-9H-CC-A,323,U1343,A,9,9-CC,H,CC,A,0,47,81.52,81.99,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-1-A,323,U1343,A,10,10-1,H,1,A,0,77,81.5,82.27,silt [S54],,diatom-rich,diatom-rich silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-2-A,323,U1343,A,10,10-2,H,2,A,0,125,82.28,83.53,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-2-A,323,U1343,A,10,10-2,H,2,A,125,150,83.53,83.78,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-10H-3-A,323,U1343,A,10,10-3,H,3,A,0,146,83.78,85.24,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-4-A,323,U1343,A,10,10-4,H,4,A,0,150,85.25,86.75,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-5-A,323,U1343,A,10,10-5,H,5,A,0,58,86.75,87.33,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-5-A,323,U1343,A,10,10-5,H,5,A,58,105,87.33,87.8,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-5-A,323,U1343,A,10,10-5,H,5,A,105,144,87.8,88.19,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-10H-6-A,323,U1343,A,10,10-6,H,6,A,0,132,88.2,89.52,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-7-A,323,U1343,A,10,10-7,H,7,A,0,91,89.52,90.43,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-10H-CC-A,323,U1343,A,10,10-CC,H,CC,A,0,56,90.43,90.99,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-11H-1-A,323,U1343,A,11,11-1,H,1,A,0,58,91,91.58,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-2-A,323,U1343,A,11,11-2,H,2,A,0,150,91.58,93.08,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-3-A,323,U1343,A,11,11-3,H,3,A,0,100,93.08,94.08,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-3-A,323,U1343,A,11,11-3,H,3,A,100,143,94.08,94.51,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-4-A,323,U1343,A,11,11-4,H,4,A,0,150,94.51,96.01,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-5-A,323,U1343,A,11,11-5,H,5,A,0,123,96.01,97.24,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-5-A,323,U1343,A,11,11-5,H,5,A,123,131,97.24,97.32,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-11H-6-A,323,U1343,A,11,11-6,H,6,A,0,76,97.32,98.08,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-11H-6-A,323,U1343,A,11,11-6,H,6,A,76,133,98.08,98.65,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-7-A,323,U1343,A,11,11-7,H,7,A,0,10,98.65,98.75,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-7-A,323,U1343,A,11,11-7,H,7,A,10,14,98.75,98.79,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,,2.5Y 5/2,,,,,"bioturbated upper and lower contacts, with mottles",,,,,,,,,,,,
323-U1343A-11H-7-A,323,U1343,A,11,11-7,H,7,A,14,138,98.79,100.03,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-11H-CC-A,323,U1343,A,11,11-CC,H,CC,A,0,56,100.03,100.59,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,,4/N,,,,,,,,,,,,,,,,,
323-U1343A-12H-1-A,323,U1343,A,12,12-1,H,1,A,0,83,100.5,101.33,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-12H-2-A,323,U1343,A,12,12-2,H,2,A,0,150,101.33,102.83,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-12H-3-A,323,U1343,A,12,12-3,H,3,A,0,150,102.83,104.33,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,,
323-U1343A-12H-4-A,323,U1343,A,12,12-4,H,4,A,0,150,104.33,105.83,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-12H-5-A,323,U1343,A,12,12-5,H,5,A,0,150,105.83,107.33,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,
