Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Principal name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Principal name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
340-U1398B-1H-5-A,10,12,6.1,6.12,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,40,0,10,0,30,0,0,0,10,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,5,A,
340-U1398B-1H-5-A,12,39,6.12,6.39,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,5,A,
340-U1398B-1H-5-A,39,40,6.39,6.4,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,5,0,60,0,0,0,5,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,5,A,
340-U1398B-1H-5-A,40,121,6.4,7.21,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,5,A,
340-U1398B-1H-6-A,0,58,7.21,7.79,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,volcaniclastic turbidite,5,100,granule [T07],0,,0,,0,,0,,0,,0,,,,angular,10,0,10,0,60,0,10,3,5,2,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,6,A,
340-U1398B-1H-CC-A,0,20,7.79,7.99,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,60,0,10,3,5,2,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,CC,A,
340-U1398B-2H-1-A,0,50,7.9,8.4,minimal [drilling disturbance],1,volcaniclastic-gravel [BGS-S81],100,very coarse sand [T07],8,,,,,100,,70,75,granule [T07],0,,25,granule [T07],0,,0,,0,,0,,,,angular,40,0,40,0,10,0,0,0,0,10,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,1,A,
340-U1398B-2H-1-A,50,70,8.4,8.6,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,10,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,50,0,20,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,1,A,
340-U1398B-2H-1-A,70,139,8.6,9.29,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,10,0,70,0,0,5,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,1,A,
340-U1398B-2H-2-A,0,37,9.29,9.66,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,1,0,,0,,100,granule [T07],0,,0,,0,,0,,,,rounded,10,0,10,0,70,0,0,0,0,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,2,A,
340-U1398B-2H-2-A,37,39,9.66,9.68,minimal [drilling disturbance],1,ash [F&S84],100,medium sand [T07],6,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,,0,0,5,0,70,0,0,10,0,15,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,2,A,
340-U1398B-2H-2-A,39,140,9.68,10.69,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,10,0,70,0,0,0,0,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,2,A,
340-U1398B-2H-3-A,0,75,10.69,11.44,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,volcaniclatic turbidite,5,15,,0,,80,,0,,0,,5,,0,,,,rounded,10,0,20,0,60,0,0,5,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,3,A,
340-U1398B-2H-3-A,75,81,11.44,11.5,moderate [drilling disturbance],4,volcaniclastic-mud [BGS-S81],100,silt-fine mud [T07],2,,,,,100,volcaniclatic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,60,0,25,10,5,0,,well [BP01],absent [alteration],0,others may be glass shards,,,,,,,,,340,U1398,B,2,H,3,A,
340-U1398B-2H-3-A,81,101,11.5,11.7,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,volcaniclatic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,30,0,60,0,0,0,10,0,,moderately well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,3,A,
340-U1398B-2H-3-A,101,118,11.7,11.87,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,hemipelagite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,2,2,96,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,3,A,
340-U1398B-2H-3-A,118,123,11.87,11.92,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],60,medium sand [T07],6,calcareous sand [Leg210],40,medium sand [T07],6,100,volcaniclatic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,40,0,0,30,10,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,3,A,
340-U1398B-2H-4-A,0,82,11.92,12.74,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,10,0,70,0,0,0,0,10,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,4,A,
340-U1398B-2H-5-A,0,129,12.74,14.03,moderate to high [drilling disturbance],5,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,volcaniclastic turbidite with a few patchy granular pumice-rich zones of 5 to 10 cm in diameter,15,100,granule [T07],0,,0,,0,,0,,0,,0,,,angular graunle pumice up to 1 cm across,angular,5,0,20,0,70,0,0,0,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,5,A,
340-U1398B-2H-6-A,0,101,14.03,15.04,moderate to high [drilling disturbance],5,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,"volcaniclastic turbidite, normally graded",3,100,granule [T07],0,,0,,0,,0,,0,,0,,,angular pumice,angular,0,0,20,0,70,0,5,0,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,6,A,
340-U1398B-2H-7-A,0,64,15.04,15.68,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,volcaniclastic turbidite,4,100,granule [T07],0,,0,,0,,0,,0,,0,,,angular pumice up to 8mm across,angular,5,0,20,0,70,0,2,0,3,0,,poor [BP01],,,,,,,,,,,,340,U1398,B,2,H,7,A,
340-U1398B-2H-CC-A,0,4.5,15.68,15.725,,,,,,,,,,,,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,U1398,B,2,H,CC,A,
340-U1398B-2H-CC-A,4.5,11,15.725,15.79,moderate [drilling disturbance],4,volcaniclastic-gravel [BGS-S81],100,pebble [W22_2],9,,,,,100,,40,100,,0,,0,,0,,0,,0,,0,,,,rounded,20,0,50,0,28,0,0,0,2,0,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,2,H,CC,A,
340-U1398B-3H-1-A,0,65,15.7,16.35,minimal [drilling disturbance],1,volcaniclastic-gravel [BGS-S81],100,granule [T07],9,,,,,100,,70,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,40,0,40,0,10,0,0,0,0,10,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,1,A,
340-U1398B-3H-1-A,65,105,16.35,16.75,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,0,0,15,0,65,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,1,A,
340-U1398B-3H-1-A,105,132,16.75,17.02,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,20,0,0,0,0,0,0,80,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,1,A,
340-U1398B-3H-1-A,132,146,17.02,17.16,minimal [drilling disturbance],1,volcaniclastic-gravel [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,60,0,0,0,0,30,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,1,A,
340-U1398B-3H-2-A,0,80,17.16,17.96,moderate to high [drilling disturbance],5,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,part of volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,75,0,0,0,20,0,,very well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,2,A,
340-U1398B-3H-2-A,80,100,17.96,18.16,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,"part of volcaniclastic turbidite, pumice grains concentrated",20,100,,0,,0,,0,,0,,0,,0,,,,rounded,5,0,5,0,85,0,0,0,5,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,2,A,
340-U1398B-3H-2-A,100,123,18.16,18.39,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,part of volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,5,0,5,0,85,0,0,0,5,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,2,A,
340-U1398B-3H-3-A,0,49,18.39,18.88,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,massive volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,60,0,0,3,7,10,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,3,A,
340-U1398B-3H-CC-A,0,29,18.88,19.17,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,massive volcaniclatic sand ,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,75,0,0,0,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,3,H,CC,A,
340-U1398B-4H-1-A,0,20,19.1,19.3,high [drilling disturbance],6,volcaniclastic-gravel [BGS-S81],100,pebble [W22_2],9,,,,,100,"could be of drilling disturbance, no matrix pumice clasts",100,100,,0,,0,,0,,0,,0,,0,,,,angular,,,,,,,,,,,,,,,no matrix,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,20,30,19.3,19.4,high [drilling disturbance],6,volcaniclastic-gravel [BGS-S81],100,pebble [W22_2],9,,,,,100,"could be of drilling disturbance, pumice clasts in muddy matrix",30,100,,0,,0,,0,,0,,0,,0,,,,angular,0,0,0,0,0,0,0,2,2,96,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,30,54,19.4,19.64,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,85,0,0,0,10,0,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,54,75,19.64,19.85,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,90,0,0,5,5,0,,moderately well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,75,86,19.85,19.96,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,hemipelagite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,5,5,90,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,86,99,19.96,20.09,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,30,0,60,5,5,0,,well [BP01],absent [alteration],0,others may be glass shards,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,99,108,20.09,20.18,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,hemipelagite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,5,10,85,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-1-A,108,144,20.18,20.54,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,top part of a thick volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,80,0,0,0,10,0,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,1,A,
340-U1398B-4H-2-A,0,8,20.54,20.62,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,25,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-2-A,8,62,20.62,21.16,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-2-A,62,70,21.16,21.24,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,40,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-2-A,70,88,21.24,21.42,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-2-A,88,112,21.42,21.66,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,30,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-2-A,112,138,21.66,21.92,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,2,A,
340-U1398B-4H-3-A,0,18,21.92,22.1,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,5,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,0,0,10,0,60,0,0,15,0,15,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,3,A,
340-U1398B-4H-3-A,18,111,22.1,23.03,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,60,0,0,15,0,15,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,3,A,
340-U1398B-4H-4-A,0,92,23.03,23.95,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],80,medium sand [T07],6,calcareous sand [Leg210],20,medium sand [T07],6,100,masive volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,35,0,5,0,35,0,0,5,10,10,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,4,A,
340-U1398B-4H-5-A,0,93,23.95,24.88,,,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,massive volcaniclastic turbidite,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,70,0,5,5,0,10,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,5,A,
340-U1398B-4H-6-A,0,130,24.88,26.18,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,,1,0,,0,,0,,0,,0,,0,,100,granule [T07],,single large mud clast,rounded,0,0,10,0,70,0,0,0,0,20,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,6,A,
340-U1398B-4H-6-A,130,150,26.18,26.38,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,20,0,0,0,0,0,0,80,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,6,A,
340-U1398B-4H-CC-A,0,5,26.38,26.43,,,,,,,,,,,,PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,U1398,B,4,H,CC,A,
340-U1398B-4H-CC-A,5,15,26.43,26.53,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,part of volcaniclastic turbidite with shell fragments,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,90,0,0,0,5,0,,moderately well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,4,H,CC,A,
340-U1398B-5H-1-A,0,25,26.5,26.75,high [drilling disturbance],6,volcaniclastic-gravel [BGS-S81],60,pebble [W22_2],9,carbonate ooze [Leg178],40,silt-fine mud [T07],2,100,mixture of pumice clasts and hemipelagic seediment resulting from drilling,60,100,pebble [W22_2],0,,0,,0,,0,,0,,0,,,,angular,0,0,5,0,5,0,0,0,10,80,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,5,H,1,A,
340-U1398B-5H-1-A,25,126,26.75,27.76,slight to moderate [drilling disturbance],3,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,volcaniclastic turbidite,5,70,granule [T07],0,,30,pebble [W22_2],0,,0,,0,,0,,,"pebbly pumice clasts are angular, whereas pebbly clasts are rounded",angular,20,0,10,0,60,0,0,5,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,5,H,1,A,
340-U1398B-5H-2-A,0,129,27.76,29.05,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,volcaniclastic turbidite,3,100,pebble [W22_2],0,,0,,0,,0,,0,,0,,,,rounded,20,0,10,0,65,0,0,0,5,0,,poor [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,5,H,2,A,
340-U1398B-5H-3-A,0,132,29.05,30.37,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,20,0,10,0,65,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,5,H,3,A,
