Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
350-U1436B-4H-3-A,350,U1436,B,1,1-4,H,4,A,20.0,22.0,4.31,4.33,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light green,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-4H-3-A,350,U1436,B,1,1-4,H,4,A,22.0,55.0,4.33,4.66,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-4-A,350,U1436,B,1,1-CC,H,CC,A,0.0,18.0,4.66,4.84,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,0.0,61.0,4.9,5.51,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,61.0,62.0,5.51,5.52,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,62.0,77.0,5.52,5.67,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-4-A,350,U1436,B,2,2-1,H,1,A,77.0,78.0,5.67,5.68,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-4H-CC-A,350,U1436,B,2,2-1,H,1,A,78.0,90.0,5.68,5.8,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-5H-1-A,350,U1436,B,2,2-1,H,1,A,90.0,95.0,5.8,5.85,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-5H-2-A,350,U1436,B,2,2-1,H,1,A,95.0,99.0,5.85,5.89,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-5H-3-A,350,U1436,B,2,2-1,H,1,A,99.0,108.0,5.89,5.98,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-5H-3-A,350,U1436,B,2,2-1,H,1,A,108.0,116.0,5.98,6.06,I,,,,mafic,ash [2014],with lapilli [2014],mafic ash,mafic ash with lapilli,ash with lapilli,,dark gray,,medium sand [W22_2],5,granule [W22_2],8,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,
350-U1436B-5H-4-A,350,U1436,B,2,2-1,H,1,A,116.0,125.0,6.06,6.15,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-5H-4-A,350,U1436,B,2,2-1,H,1,A,125.0,126.0,6.15,6.16,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-5H-5-A,350,U1436,B,2,2-1,H,1,A,126.0,150.0,6.16,6.4,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,
350-U1436B-6H-2-A,350,U1436,B,2,2-2,H,2,A,0.0,3.0,6.4,6.43,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-7H-1-A,350,U1436,B,2,2-2,H,2,A,3.0,52.0,6.43,6.92,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,
350-U1436B-7H-2-A,350,U1436,B,2,2-2,H,2,A,52.0,59.0,6.92,6.99,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-7H-5-A,350,U1436,B,2,2-2,H,2,A,59.0,96.0,6.99,7.36,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-8H-1-A,350,U1436,B,2,2-2,H,2,A,96.0,105.0,7.36,7.45,I,,,,evolved,ash [2014],with lapilli [2014],evolved ash,evolved ash with lapilli,ash with lapilli,,gray,,silt [W22_1],2,granule [W22_2],8,,,,,,,non-graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-8H-2-A,350,U1436,B,2,2-2,H,2,A,105.0,126.0,7.45,7.66,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-8H-3-A,350,U1436,B,2,2-2,H,2,A,126.0,134.0,7.66,7.74,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,dark gray,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-8H-4-A,350,U1436,B,2,2-2,H,2,A,134.0,140.0,7.74,7.8,I,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, monomictic, evolved lapilli-ash","matrix-supported, monomictic, evolved lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,reversely coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-9H-1-A,350,U1436,B,2,2-2,H,2,A,140.0,148.0,7.8,7.88,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-10H-1-A,350,U1436,B,2,2-2,H,2,A,148.0,149.0,7.88,7.89,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,
350-U1436B-10H-2-A,350,U1436,B,2,2-2,H,2,A,149.0,150.0,7.89,7.9,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-10H-2-A,350,U1436,B,2,2-3,H,3,A,0.0,9.0,7.9,7.99,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-12H,350,U1436,B,2,2-3,H,3,A,9.0,13.0,7.99,8.03,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,white,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-12H,350,U1436,B,2,2-3,H,3,A,13.0,86.0,8.03,8.76,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-12H-1-A,350,U1436,B,2,2-3,H,3,A,86.0,87.0,8.76,8.77,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-12H-1-A,350,U1436,B,2,2-3,H,3,A,87.0,99.0,8.77,8.89,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-14H-1-A,350,U1436,B,2,2-3,H,3,A,99.0,103.0,8.89,8.93,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light green,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-14H-2-A,350,U1436,B,2,2-3,H,3,A,103.0,126.0,8.93,9.16,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],rounded,,,,,,,,,,,,,,,,,,
,350,U1436,B,2,2-3,H,3,A,126.0,129.0,9.16,9.19,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-3,H,3,A,129.0,141.0,9.19,9.31,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,2,2-3,H,3,A,141.0,149.0,9.31,9.39,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-3,H,3,A,149.0,150.0,9.39,9.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-4,H,4,A,0.0,14.0,9.4,9.54,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,light gray,,fine sand [W22_2],4,granule [W22_2],8,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-4,H,4,A,14.0,31.0,9.54,9.71,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,2,2-4,H,4,A,31.0,45.0,9.71,9.85,I,,,,"matrix-supported, polymictic, mafic [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, mafic lapilli-ash","matrix-supported, polymictic, mafic lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,non-graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],sub-rounded,pumice [2014],sub-rounded,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-4,H,4,A,45.0,62.0,9.85,10.02,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,silt [W22_1],2,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-4,H,4,A,62.0,88.0,10.02,10.28,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,2,2-4,H,4,A,88.0,93.0,10.28,10.33,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-5,H,5,A,0.0,115.0,10.33,11.48,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,dark gray,,medium sand [W22_2],5,pebble [W22_2],9,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-5,H,5,A,115.0,125.0,11.48,11.58,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,2,2-5,H,5,A,125.0,131.0,11.58,11.64,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,dark gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,2,2-CC,H,CC,A,0.0,12.0,11.64,11.76,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,3,3-CC,H,CC,A,0.0,8.0,11.8,11.88,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,3,3-CC,H,CC,A,8.0,14.0,11.88,11.94,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,3,3-CC,H,CC,A,14.0,21.0,11.94,12.01,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-1,H,1,A,0.0,12.0,12.1,12.22,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-1,H,1,A,12.0,68.0,12.22,12.78,I,,,,"clast-supported, polymictic",lapilli [2014],,"clast-supported, polymictic lapilli","clast-supported, polymictic lapilli",lapilli,,dark gray,,granule [W22_2],8,pebble [W22_2],9,,,,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-1,H,1,A,68.0,77.0,12.78,12.87,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-1,H,1,A,77.0,81.0,12.87,12.91,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,4,4-1,H,1,A,81.0,127.0,12.91,13.37,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-1,H,1,A,127.0,130.0,13.37,13.4,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,gray,,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
,350,U1436,B,4,4-1,H,1,A,130.0,150.0,13.4,13.6,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,U1436,B,4,4-2,H,2,A,0.0,8.0,13.6,13.68,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,black,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
