Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1464D-2H-6-A,0,122,11.0,12.22,unlithified,,wackestone,2.0,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray wackestone with sand size grains (common black grains sand size). Common bivalves (0.5 cm long), forams.",,,,356,U1464,D,2,H,6,A,,,
356-U1464D-2H-7-A,0,68,12.22,12.9,unlithified,,wackestone,2.0,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray wackestone with sand size grains becoming mudier towards the base of the section. Black grains common. Macros sand size shell fragments",,,,356,U1464,D,2,H,7,A,,,
356-U1464D-2H-CC-A,0,21,12.9,13.11,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray mudstone.",,,,356,U1464,D,2,H,CC,A,,,
356-U1464D-2H-CC-A,21,26,13.11,13.16,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,2,H,CC,A,,,
356-U1464D-3H-1-A,0,19,13.0,13.19,unlithified,,packstone,3.0,,packstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown packstone with sand, coarse sand and granule size grains and abundant macrofossils: gastropods and bivalves up to 2 cm long, bivalve fragments, scaphopods. Material is caved in.",,,,356,U1464,D,3,H,1,A,,,
356-U1464D-3H-1-A,19,150,13.19,14.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray mudstone. Very sparse shell and bivalve fragments up to 1 cm.",,,,356,U1464,D,3,H,1,A,,,
356-U1464D-3H-2-A,0,150,14.5,16.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithfied, creamy gray homogeneous mudstone with vf sand size grains; occasional small bivalve fragments",,,,356,U1464,D,3,H,2,A,,,
356-U1464D-3H-3-A,0,150,16.0,17.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,D,3,H,3,A,,,
356-U1464D-3H-4-A,0,150,17.5,19.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogenous mudstone with vf sand size grains",,,,356,U1464,D,3,H,4,A,,,
356-U1464D-3H-5-A,0,150,19.0,20.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains. One bivalve (two valves, 1 cm)",,,,356,U1464,D,3,H,5,A,,,
356-U1464D-3H-6-A,0,102,20.5,21.52,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains (more black grains). Few bivalve fragments",,,,356,U1464,D,3,H,6,A,,,
356-U1464D-3H-7-A,0,70,21.52,22.22,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown, homogeneous wackestone with sand size grains and bivalve fragments (also sand and coarse sand size) and common benthic forams",,,,356,U1464,D,3,H,7,A,,,
356-U1464D-3H-CC-A,0,13,22.22,22.35,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown, homogeneous wackestone with sand size grains and bivalve fragments (also sand and coarse sand size) and common benthic forams",,,,356,U1464,D,3,H,CC,A,,,
356-U1464D-3H-CC-A,13,18,22.35,22.4,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,3,H,CC,A,,,
356-U1464D-4H-1-A,0,24,22.5,22.74,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unliathified, light brown, wackestone with sand, coarse sand and gravel size grains. Macros abundant bivalve and gastropods up to 2 cm long, scaphopods also up to 1 cm long. A 1 cm long mineralized shell fragment",,,,356,U1464,D,4,H,1,A,,,
356-U1464D-4H-1-A,24,150,22.74,24.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown wackestone with sand size grains. Sand size black grains are common also common sand size, unidentifiable shell fragments fragments and benthic foraminifers",,,,356,U1464,D,4,H,1,A,,,
356-U1464D-4H-2-A,0,150,24.0,25.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown, homogeneous wackestone with sand size grains. Common black grains and shell fragments sand size (not identified) and benthic foraminfers",,,,356,U1464,D,4,H,2,A,,,
356-U1464D-4H-3-A,0,150,25.5,27.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown homogeneous wackestone with sand size grains. Common black grains and benthic forams",,,,356,U1464,D,4,H,3,A,,,
356-U1464D-4H-4-A,0,150,27.0,28.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray mudstone with vf sand size grains.",,,,356,U1464,D,4,H,4,A,,,
356-U1464D-4H-5-A,0,150,28.5,30.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogenous mudstone with vf sand size grains",,,,356,U1464,D,4,H,5,A,,,
356-U1464D-4H-6-A,0,140,30.0,31.4,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous mudstone",,,,356,U1464,D,4,H,6,A,,,
356-U1464D-4H-7-A,0,63,31.4,32.03,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogenous mudstone with vf sand grains",,,,356,U1464,D,4,H,7,A,,,
356-U1464D-4H-CC-A,0,13,32.03,32.16,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogeneous mudstone with vf sand size grains",,,,356,U1464,D,4,H,CC,A,,,
356-U1464D-4H-CC-A,13,18,32.16,32.21,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,4,H,CC,A,,,
356-U1464D-5H-1-A,0,15,32.0,32.15,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray mudstone with sand and granule size grains. Sparse fragments of bivalves, gastropods and scaphopods with the largest up to 3 cm long. Possibly cemented burrow, Cibicidoides forams",,,,356,U1464,D,5,H,1,A,,,
356-U1464D-5H-1-A,15,150,32.15,33.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone",,,,356,U1464,D,5,H,1,A,,,
356-U1464D-5H-2-A,0,150,33.5,35.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,D,5,H,2,A,,,
356-U1464D-5H-3-A,0,150,35.0,36.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogenous mudstone with fine sand size grains",,,,356,U1464,D,5,H,3,A,,,
356-U1464D-5H-4-A,0,150,36.5,38.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogenous mudstone with vf sand size grains and sand size grains in the lower 15 cm",,,,356,U1464,D,5,H,4,A,,,
356-U1464D-5H-5-A,0,150,38.0,39.5,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray, homogenous mudstone with vf sand size grains. One gastropod fragment",,,,356,U1464,D,5,H,5,A,,,
356-U1464D-5H-6-A,0,150,39.5,41.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with vf sand size grains",,,,356,U1464,D,5,H,6,A,,,
356-U1464D-5H-7-A,0,65,41.0,41.65,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with fine sand size grains. A clam, a scaphpod",,,,356,U1464,D,5,H,7,A,,,
356-U1464D-5H-CC-A,0,15,41.65,41.8,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with fine sand size grains",,,,356,U1464,D,5,H,CC,A,,,
356-U1464D-5H-CC-A,15,20,41.8,41.85,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,5,H,CC,A,,,
356-U1464D-6H-1-A,0,150,41.5,43.0,unlithified,,mudstone,1.0,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone with sand size grains",,,,356,U1464,D,6,H,1,A,,,
356-U1464D-6H-2-A,0,150,43.0,44.5,unlithified,,wackestone,2.0,with glauconite,wackestone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone with glauconite and sand size grains. Mainly below 50 cm. Abundant green/black sand size grains. Common benthic foraminfers and sand size shell fragments",,,,356,U1464,D,6,H,2,A,,,
356-U1464D-6H-3-A,0,150,44.5,46.0,unlithified,,packstone,3.0,with glauconite,packstone with glauconite,hemipelagic,dark greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, dark greenish gray packstone with sand and coarse sand size grains that are mainly glauconite. Abundant sand size benthic foraminfers. Grains size coarsens towards the base of the Section. Sparse bivalve fragments sand size",,,,356,U1464,D,6,H,3,A,,,
356-U1464D-6H-4-A,0,150,46.0,47.5,unlithified,,packstone,3.0,with glauconite,packstone with glauconite,hemipelagic,dark greenish gray,,,,,,,sharp,sub-vertical,"Unlithified, dark greenish gray packstone with glauconite and sand size grains. Galuconite content decreases very abruptly 103-115 cm. The contact is sub-vertical. Abundant benthic foraminifers (sand size). In the lower part of the Section a crustacean fragment",,,,356,U1464,D,6,H,4,A,,,
356-U1464D-6H-5-A,0,150,47.5,49.0,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, light greenish gray homoteneous packstone with sand size grains, common glauconite and benthic foraminfers",,,,356,U1464,D,6,H,5,A,,,
356-U1464D-6H-6-A,0,150,49.0,50.5,unlithified,,wackestone,2.0,with glauconite,wackestone with glauconite,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, light greenish gray homogeneous packstone with sand to coarse sand size grains. Common benthic foraminifers (sand size). Abundant glauconite grains (sand size)",,,,356,U1464,D,6,H,6,A,,,
356-U1464D-6H-7-A,0,66,50.5,51.16,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithfied, light greenish gray, packstone with sand size grains. Glauconite abundant. Also common benthic foraminifers.",,,,356,U1464,D,6,H,7,A,,,
356-U1464D-6H-CC-A,0,12,51.16,51.28,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithfied, light greenish gray packstone with sand size grains, common glauconite and benthic foraminfers",,,,356,U1464,D,6,H,CC,A,,,
356-U1464D-6H-CC-A,12,17,51.28,51.33,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,6,H,CC,A,,,
356-U1464D-7H-1-A,0,147,51.0,52.47,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous, light greenish gray packstone with fine to medium sand size grains. It contains small benthic foraminifers, and macrofossil fragments (bivalve shell, decapods claw, bryozoas). Fine sand sized dark color grains commonly occur throughout the section, possibly glauconite.",,,,356,U1464,D,7,H,1,A,,,
356-U1464D-7H-1-A,0,147,51.0,52.47,,,,,,,,,bivalve,,,,,,,,,,,,356,U1464,D,7,H,1,A,,,
356-U1464D-7H-1-A,0,147,51.0,52.47,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1464,D,7,H,1,A,,,
356-U1464D-7H-2-A,0,150,52.5,54.0,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, homogeneous, light greenish gray packstone with fine to medium sand size grains. It contains small benthic foraminifers, and unidentified skeletal fragments. Fine sand sized dark color grains commonly occur throughout the section, possibly glauconite.",,,,356,U1464,D,7,H,2,A,,,
356-U1464D-7H-2-A,0,150,52.5,54.0,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1464,D,7,H,2,A,,,
356-U1464D-7H-3-A,0,150,54.0,55.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone with medium sand sized grains.",,,,356,U1464,D,7,H,3,A,,,
356-U1464D-7H-4-A,0,80,55.5,56.3,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone with medium sand sized grains.",,,,356,U1464,D,7,H,4,A,,,
356-U1464D-7H-4-A,80,82,56.3,56.32,unlithified,,packstone,3.0,,packstone,hemipelagic,gray,,,,,,,,,"Unlithified, gray packstone containing medium to coarse sand sized grains",,,,356,U1464,D,7,H,4,A,,,
356-U1464D-7H-4-A,82,150,56.32,57.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone with medium sand sized grains.",,,,356,U1464,D,7,H,4,A,,,
356-U1464D-7H-5-A,0,87,57.0,57.87,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone with medium sand sized grains.",,,,356,U1464,D,7,H,5,A,,,
356-U1464D-7H-5-A,87,150,57.87,58.5,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray packstone with medium sand sized grains.",,,,356,U1464,D,7,H,5,A,,,
356-U1464D-7H-6-A,0,108,58.5,59.58,unlithified,,packstone,3.0,,packstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray packstone with medium sand sized grains.",,,,356,U1464,D,7,H,6,A,,,
356-U1464D-7H-6-A,108,150,59.58,60.0,unlithified,,packstone,3.0,with non-skeletal grains,packstone with non-skeletal grains,hemipelagic,gray,,,,,,,,,"Unlithified, gray packstone containing up to coarse sand sized grains. Most of the grains seem to be peloids.",,,,356,U1464,D,7,H,6,A,,,
356-U1464D-7H-7-A,0,26,60.0,60.26,unlithified,,packstone,3.0,with non-skeletal grains,packstone with non-skeletal grains,hemipelagic,gray,,,,,,,,,"Unlithified, gray packstone containing up to coarse sand sized grains. Most of the grains seem to be peloids.",,,,356,U1464,D,7,H,7,A,,,
356-U1464D-7H-7-A,26,68,60.26,60.68,unlithified,,packstone,3.0,with non-skeletal grains,packstone with non-skeletal grains,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, greenish gray packstone containing up to coarse sand sized grains. The abundance of peloids decreases compared to the overlying interval.",,,,356,U1464,D,7,H,7,A,,,
356-U1464D-7H-CC-A,0,15,60.68,60.83,unlithified,,packstone,3.0,with non-skeletal grains,packstone with non-skeletal grains,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, greenish gray packstone containing up to coarse sand sized grains. The abundance of peloids is low but still clearly recognizable..",,,,356,U1464,D,7,H,CC,A,,,
356-U1464D-8H-1-A,0,150,60.5,62.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone containing medium sand sized grains. Degree of lithification is variable but dominantly unlithified.",,,,356,U1464,D,8,H,1,A,,,
356-U1464D-8H-2-A,0,150,62.0,63.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone containing medium sand sized grains.",,,,356,U1464,D,8,H,2,A,,,
356-U1464D-8H-3-A,0,150,63.5,65.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, greenish gray wackestone containing medium sand sized grains. Bioclasts are mainly small benthic foraminifera",,,,356,U1464,D,8,H,3,A,,,
356-U1464D-8H-4-A,0,110,65.0,66.1,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone containing medium sand sized grains.",,,,356,U1464,D,8,H,4,A,,,
356-U1464D-8H-4-A,110,150,66.1,66.5,unlithified,,wackestone,2.0,with non-skeletal grains,wackestone with non-skeletal grains,hemipelagic,gray,,,,,,,,,"Unlithified, gray wackestone containing up to coarse sand sized grains including non-skeletal grains.",,,,356,U1464,D,8,H,4,A,,,
356-U1464D-8H-5-A,0,5,66.5,66.55,unlithified,,wackestone,2.0,with non-skeletal grains,wackestone with non-skeletal grains,hemipelagic,gray,,,,,,,,,"Unlithified, gray wackestone containing up to coarse sand sized grains including non-skeletal grains. Small black grains are also common.",,,,356,U1464,D,8,H,5,A,,,
356-U1464D-8H-5-A,5,150,66.55,68.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common.",,,,356,U1464,D,8,H,5,A,,,
356-U1464D-8H-6-A,0,150,68.0,69.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common. Scarce peloids.",,,,356,U1464,D,8,H,6,A,,,
356-U1464D-8H-7-A,0,66,69.5,70.16,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common. Scarce peloids.",,,,356,U1464,D,8,H,7,A,,,
356-U1464D-8H-CC-A,0,36,70.16,70.52,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common. Scarce peloids.",,,,356,U1464,D,8,H,CC,A,,,
356-U1464D-8H-CC-A,36,42,70.52,70.58,,,,,,,,,,,,,,,,,PAL,,,,356,U1464,D,8,H,CC,A,,,
356-U1464D-9H-1-A,0,150,70.0,71.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common.",,,,356,U1464,D,9,H,1,A,,,
356-U1464D-9H-2-A,0,150,71.5,73.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common.",,,,356,U1464,D,9,H,2,A,,,
356-U1464D-9H-3-A,0,150,73.0,74.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Small black grains are also common.",,,,356,U1464,D,9,H,3,A,,,
356-U1464D-9H-4-A,0,150,74.5,76.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,9,H,4,A,,,
356-U1464D-9H-5-A,0,150,76.0,77.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,9,H,5,A,,,
356-U1464D-9H-6-A,0,150,77.5,79.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,9,H,6,A,,,
356-U1464D-9H-7-A,0,69,79.0,79.69,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,9,H,7,A,,,
356-U1464D-9H-CC-A,0,13,79.69,79.82,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,9,H,CC,A,,,
356-U1464D-10H-1-A,0,150,79.5,81.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains.",,,,356,U1464,D,10,H,1,A,,,
356-U1464D-10H-2-A,0,150,81.0,82.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains.",,,,356,U1464,D,10,H,2,A,,,
356-U1464D-10H-3-A,0,75,82.5,83.25,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains.",,,,356,U1464,D,10,H,3,A,,,
356-U1464D-10H-3-A,75,150,83.25,84.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,common,4.0,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains. Bioturbation is also common and the bioturbation traces are filled by darker gray mudstone.",,,,356,U1464,D,10,H,3,A,,,
356-U1464D-10H-4-A,0,15,84.0,84.15,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,moderate,3.0,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains. Bioturbation is also common and the bioturbation traces are filled by darker gray mudstone.",,,,356,U1464,D,10,H,4,A,,,
356-U1464D-10H-4-A,15,150,84.15,85.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,echinoderm,,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Common black grains. Partly pyritized echinoderm shell fragment at 55 cm and spicule (octocoral?) at 73 cm.",,,,356,U1464,D,10,H,4,A,,,
356-U1464D-10H-5-A,0,150,85.5,87.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,,,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains. Between 100-135 small benthic forams become abundant.",,,,356,U1464,D,10,H,5,A,,,
356-U1464D-10H-6-A,0,150,87.0,88.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,common,4.0,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Few black grains. Small benthic forams become much more abundant compared to the interval above. Two concretaion occur between 64 and 68 cm. The amount of micrite increases towards the base of the section.",,,,356,U1464,D,10,H,6,A,,,
356-U1464D-10H-7-A,0,61,88.5,89.11,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,common,4.0,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Few black grains. Small benthic forams are common. The amount of micrite is much higher in this interval compared to the interval above.",,,,356,U1464,D,10,H,7,A,,,
356-U1464D-10H-CC-A,0,23,89.11,89.34,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,echinoderm,,,,,,,,"Unlithified, light grayish green wackestone. Few small benthic forams and small black grains.",,,,356,U1464,D,10,H,CC,A,,,
356-U1464D-10H-CC-A,23,29,89.34,89.4,,,,,,,,,,,,,,,,,PAL,,,,356,U1464,D,10,H,CC,A,,,
356-U1464D-11H-1-A,0,150,89.0,90.5,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light grayish green,,,,,slight,2.0,,,"Unlithified, light greenish gray wackestone containing medium sand sized grains. Some black grains.",,,,356,U1464,D,11,H,1,A,,,
