Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max [mm],Lithification,Comment,File Data,Unnamed: 23
329-U1365A-22H-1-A,329,U1365,A,22,22-1,H,1,A,0,66,62.3,62.96,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-22H-2-A,329,U1365,A,22,22-2,H,2,A,0,74,62.96,63.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-23H-1-A,329,U1365,A,23,23-1,H,1,A,0,74,63.3,64.04,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",100.0,,,,,
329-U1365A-23H-1-A,329,U1365,A,23,23-1,H,1,A,74,150,64.04,64.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-23H-2-A,329,U1365,A,23,23-2,H,2,A,0,150,64.8,66.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-23H-3-A,329,U1365,A,23,23-3,H,3,A,0,64,66.3,66.94,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-23H-CC-A,329,U1365,A,23,23-CC,H,CC,A,0,27,66.94,67.21,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-24H-1-A,329,U1365,A,24,24-1,H,1,A,0,30,67.2,67.5,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",100.0,,,,,
329-U1365A-24H-1-A,329,U1365,A,24,24-1,H,1,A,30,152,67.5,68.72,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-24H-2-A,329,U1365,A,24,24-2,H,2,A,0,150,68.72,70.22,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-24H-3-A,329,U1365,A,24,24-3,H,3,A,0,150,70.22,71.72,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-24H-4-A,329,U1365,A,24,24-4,H,4,A,0,45,71.72,72.17,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-24H-CC-A,329,U1365,A,24,24-CC,H,CC,A,0,26,72.17,72.43,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-25H-1-A,329,U1365,A,25,25-1,H,1,A,0,110,72.4,73.5,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",100.0,,,,,
329-U1365A-25H-1-A,329,U1365,A,25,25-1,H,1,A,110,150,73.5,73.9,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-25H-2-A,329,U1365,A,25,25-2,H,2,A,0,137,73.9,75.27,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",100.0,,,,,
329-U1365A-26H-CC-A,329,U1365,A,26,26-CC,H,CC,A,0,25,75.3,75.55,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",100.0,,,,,
