Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data
374-U1524A-3H-1-A,117,140,14.67,14.9,,,,,,GLEY 1 6/10GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-1-A,140,150,14.9,15,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-2-A,0,9,15,15.09,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-3H-2-A,0,150,15,16.5,diatom rich,mud,,diatom rich mud,lamination,,moderate [DB86],2,,,,,,mud clast,,,Lonestones at 142,,,
374-U1524A-3H-2-A,0,150,15,16.5,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-3H-2-A,9,30,15.09,15.3,,,,,,GLEY 1 6/10GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-3H-2-A,30,150,15.3,16.5,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-3-A,0,10,16.5,16.6,,,,,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-3H-3-A,0,150,16.5,18,diatom rich,mud,,diatom rich mud,lamination,,,,,,,,,mud clast,,,,,,
374-U1524A-3H-3-A,0,150,16.5,18,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-3H-3-A,10,150,16.6,18,,,,,,GLEY 1 6/5GY (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-3H-4-A,0,150,18,19.5,diatom rich,mud,,diatom rich mud,lamination,,,,,,,,,mud clast,,,"Lonestones at 46, 50, 51",,,
374-U1524A-3H-4-A,0,150,18,19.5,,,,,mottling [BJ80],GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-3H-5-A,0,150,19.5,21,diatom rich,mud,,diatom rich mud,lamination,,,,,,,,,,,,,,,
374-U1524A-3H-5-A,0,150,19.5,21,,,,,mottling [BJ80],GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-3H-6-A,0,145,21,22.45,diatom bearing,mud,,diatom bearing mud,lamination,,,,,,,,,,,,,,,
374-U1524A-3H-6-A,0,145,21,22.45,,,,,mottling [BJ80],GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-3H-7-A,0,44,22.5,22.94,,,,,,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-7-A,0,71,22.5,23.21,diatom bearing,mud,,diatom bearing mud,lamination,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-3H-7-A,0,71,22.5,23.21,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-3H-7-A,44,71,22.94,23.21,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-CC-A,0,15,23.21,23.36,diatom bearing,mud,,diatom bearing mud,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-4H-1-A,0,62,23,23.62,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-4H-1-A,0,150,23,24.5,diatom bearing,mud,,diatom bearing mud,,,moderate [DB86],2,,,,,,lonestone,,,"lonestones at 42, 67, 82",,,
374-U1524A-4H-1-A,62,131,23.62,24.31,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-4H-1-A,62,131,23.62,24.31,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-4H-1-A,131,150,24.31,24.5,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-4H-1-A,131,150,24.31,24.5,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-4H-2-A,0,17,24.5,24.67,,,,,,GLEY 1 5/5GY (greenish gray),,2,,,,,,,,,,,,
374-U1524A-4H-2-A,0,150,24.5,26,diatom bearing,mud,,diatom bearing mud,,,moderate [DB86],2,,,,,,lonestone,,,"lonestones at 7, 56, 74, 123",,,
374-U1524A-4H-2-A,17,34,24.67,24.84,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-4H-2-A,34,51,24.84,25.01,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-4H-2-A,51,67,25.01,25.17,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-4H-2-A,67,74,25.17,25.24,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-4H-2-A,74,103,25.24,25.53,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,inclined boundary or contact,,,,,
374-U1524A-4H-2-A,103,150,25.53,26,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,inclined boundary or contact,,,,,
374-U1524A-4H-3-A,0,145,26,27.45,diatom bearing,mud,,diatom bearing mud,,,,,,,,,,,,,,,,
374-U1524A-4H-3-A,0,145,26,27.45,,,,,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-4H-4-A,0,101,27.5,28.51,diatom bearing,mud,,diatom bearing mud,,,,,,,,,,,,,,,,
374-U1524A-4H-4-A,0,101,27.5,28.51,,,,,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-4H-5-A,0,74,28.51,29.25,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-4H-CC-A,0,16,29.25,29.41,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-1-A,0,150,32.5,34,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-2-A,0,150,34,35.5,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-5H-3-A,0,150,35.5,37,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/10Y (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-5H-4-A,0,45,37,37.45,,,,,,GLEY 1 5/10Y (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-5H-4-A,0,150,37,38.5,diatom bearing,mud,,diatom bearing mud,lamination,,,,,,,,,,,,,,,
374-U1524A-5H-4-A,45,97,37.45,37.97,,,,,,GLEY 1 6/5G (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-4-A,97,150,37.97,38.5,,,,,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-5-A,0,12,38.5,38.62,diatom bearing,mud,,diatom bearing mud,lamination,,,,,,,,,lonestone,,,"Lonestones at 58-60, 79-82",,,
374-U1524A-5H-5-A,0,20,38.5,38.7,,,,,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-5-A,12,118,38.62,39.68,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,,,,,,,,,,,,,,,
374-U1524A-5H-5-A,20,145,38.7,39.95,,,,,,GLEY 1 6/5G (pale green),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-5H-5-A,118,145,39.68,39.95,diatom bearing,mud,,diatom bearing mud,lamination,,,,,,,,,,,,,,,
374-U1524A-5H-6-A,0,40,40,40.4,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-5H-6-A,0,150,40,41.5,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 6/5G (pale green),,,,,,,,,,,,,,
374-U1524A-5H-6-A,40,150,40.4,41.5,,,,,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-5H-7-A,0,75,41.5,42.25,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 6/5G (pale green),slight [DB86],1,,,,,,,,,,,,
374-U1524A-5H-CC-A,0,23,42.25,42.48,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 6/5G (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-6H-1-A,0,151,42,43.51,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (grayish green),slight [DB86],1,,,,,,,,,,,,
374-U1524A-6H-2-A,0,48,43.51,43.99,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-6H-2-A,48,68,43.99,44.19,,ash(tuff) [MMK88m],,ash(tuff),lamination,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,
374-U1524A-6H-2-A,68,148,44.19,44.99,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-6H-3-A,0,107,44.99,46.06,,,,,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-6H-3-A,0,147,44.99,46.46,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),,,,,,,,,,,,,,
374-U1524A-6H-3-A,107,147,46.06,46.46,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-6H-4-A,0,70,46.46,47.16,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-6H-4-A,0,151,46.46,47.97,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),,,,,,,,,,,,,,
374-U1524A-6H-4-A,70,151,47.16,47.97,,,,,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-6H-5-A,0,121,47.97,49.18,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-6H-6-A,0,145,49.18,50.63,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (grayish green),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-6H-7-A,0,100,50.68,51.68,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (grayish green),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-6H-CC-A,0,30,51.68,51.98,diatom bearing,mud,,diatom bearing mud,lamination,GLEY 1 5/5G (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-7H-1-A,0,96,51.5,52.46,diatom bearing,mud,,diatom bearing mud,lens or pod [BJ84],5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,"Sand lenses/pods at 19, 79, 81, 97, and 129 cm.",,,
374-U1524A-7H-1-A,96,116,52.46,52.66,diatom bearing,mud,,diatom bearing mud,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,lonestone,gradational boundary or contact,bioturbated,Lonestones at 96 and 102 cm.,,,
374-U1524A-7H-1-A,116,146,52.66,52.96,diatom bearing,mud,,diatom bearing mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-7H-2-A,0,76,52.96,53.72,diatom bearing,mud,,diatom bearing mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-7H-2-A,0,147,52.96,54.43,,,,,lens or pod [BJ84],,,,,,,,,,,,,,,
374-U1524A-7H-2-A,76,147,53.72,54.43,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,lamination,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,"Lonestones at 76, 81, 84, and 100 cm. Laminae at 56 cm. Sand pods/lense at 25, 26 and 69 cm.",,,
374-U1524A-7H-3-A,0,62,54.43,55.05,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,bioturbated,,,,
374-U1524A-7H-3-A,0,147,54.43,55.9,,,,,lens or pod [BJ84],,,,,,,,,,,,"Sand pods/lense at 97, 114, 115, and 118 cm.",,,
374-U1524A-7H-3-A,62,147,55.05,55.9,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,"Sand laminae at 55, 72, 89 cm.",,,
374-U1524A-7H-4-A,0,136,55.9,57.26,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-7H-4-A,0,147,55.9,57.37,,,,,lamination,,,,,,,,,,,,"Sand laminae at 6, 19, 30, 48, 50, 53, 72, and 86 cm.",,,
374-U1524A-7H-4-A,136,147,57.26,57.37,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,,,Lonestone at 136 cm.,,,
374-U1524A-7H-5-A,0,36,57.37,57.73,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,mottling [BJ80],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-7H-5-A,0,146,57.37,58.83,,,,,lens or pod [BJ84],,,,,,,,,,,,"Sand laminae/bleb at 22, 28, 56, 77, 127, and 128 cm.",,,
374-U1524A-7H-5-A,36,112,57.73,58.49,diatom rich,mud,,diatom rich mud,mottling [BJ80],GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,pyrite,,lonestone,gradational boundary or contact,bioturbated,"Mottling (pyrite) at 5-7, 98 cm. Lonestone at 28, 99, 129 cm.",,,
374-U1524A-7H-5-A,112,136,58.49,58.73,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-7H-5-A,136,146,58.73,58.83,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,bioturbated,,,,
374-U1524A-7H-6-A,0,93,58.83,59.76,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-7H-6-A,0,145,58.83,60.28,,,,,lamination,,,,,,,,,,,,"Sand laminae at 89, 137, and 140-143 cm.",,,
374-U1524A-7H-6-A,40,40,59.23,59.23,,,,,burrows,,,,,,,,,,,,,,,
374-U1524A-7H-6-A,93,119,59.76,60.02,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,bioturbated,,,,
374-U1524A-7H-6-A,119,145,60.02,60.28,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-7H-7-A,0,83,60.33,61.16,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,pyrite,,,,,"Sand laminae/bleb at 27-28, 63, 66, 75-76 cm cm. pyrite staining at 63 cm.",,,
374-U1524A-7H-CC-A,0,12,61.16,61.28,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-8H-1-A,0,39,61,61.39,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-8H-1-A,39,81,61.39,61.81,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,Contact at 81-93 cm.,,,
374-U1524A-8H-1-A,49,70,61.49,61.7,,,,,lens or pod [BJ84],,,,,,,,,,,,Sand laminae/bleb at 49-70 cm.,,,
374-U1524A-8H-1-A,81,150,61.81,62.5,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-8H-2-A,0,150,62.5,64,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-8H-3-A,0,41,64,64.41,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-8H-3-A,0,145,64,65.45,,,,,,,,,,,,,,,,,Slightly sandier at 41-125 cm.,,,
374-U1524A-8H-3-A,41,122,64.41,65.22,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,gradational boundary or contact,,,,,
374-U1524A-8H-3-A,122,145,65.22,65.45,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-8H-4-A,0,90,65.5,66.4,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-8H-4-A,90,117,66.4,66.67,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-8H-CC-A,0,6,66.67,66.73,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-8H-CC-A,6,27,66.73,66.94,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-9H-1-A,0,98,70.5,71.48,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,"Sand laminae at 26-64, 85, 89, 116-120, and 127 cm.",,,
374-U1524A-9H-1-A,98,112,71.48,71.62,diatom rich,mud,,diatom rich mud,,GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-9H-1-A,112,150,71.62,72,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-9H-2-A,0,21,72,72.21,diatom rich,mud,,diatom rich mud,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,"Sand laminae at 6-7, 13-14, 29, 52-61 cm.",,,
374-U1524A-9H-2-A,21,37,72.21,72.37,diatom rich,mud,,diatom rich mud,mottling [BJ80],GLEY 1 6/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-9H-2-A,37,150,72.37,73.5,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
