Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
324-U1347A-4R-1-A,324,U1347,A,4,4-1,R,1,A,4,10.2,90.14,90.202,"Calcareous, glauconite bearing",radiolarite [MMK88],"Mazullo, Meyer ",'',"Calcareous, glauconite bearing radiolarite",100,,,well indurated,"Glauconitic radiolarite. Micritic matrix (silicified). Copious sand-sized, sub-rounded  glauconitic grains, which are seen replacing radiolarians throughout. Gray chert (N/5) streaks and patches in places. ",light greenish gray,10Y 7/1,,,,,,
324-U1347A-4R-1-A,324,U1347,A,4,4-1,R,1,A,10.2,80,90.202,90.9,silicified ,limestone [MMK88],"Mazullo, Meyer ",with glauconite and volcanic grains,silicified  limestone with glauconite and volcanic grains,100,,,well indurated,"Heavily silicified, calcareous sandstone/calcareous radiolarite with glauconite. Grains are a mixture of sub-rounded glauconite with limonitic alteration halos, and dark, volcanic, minerals which are sub angular to sub-rounded. Small (<0.1mm) reddish clasts which may be volcanic scoria are also present in some areas. ",dark greenish gray,5GY 4/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,0,4,99.8,99.84,calcareous,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with glauconite (?) and volcanic grains,calcareous Claystone with glauconite (?) and volcanic grains,100,fine silt [U14W22],,slightly indurated,,greenish black,10GY 2.5/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,0,5,99.8,99.85,calcareous,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with glauconite and volcanic grains,calcareous Claystone with glauconite and volcanic grains,100,fine silt [U14W22],,slightly indurated,,greenish black,10GY 2.5/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,5,10,99.85,99.9,calcareous,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",with glauconite (?) and volcanic grains,calcareous Claystone with glauconite (?) and volcanic grains,100,clay [U14W22],,slightly indurated,,greenish black,10GY 2.5/1,fine ash [S81],,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,10,20,99.9,100,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,very dark greenish gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,11,20,99.91,100,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,very dark greenish gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,20,27,100,100.07,"Calcite cemented, volcaniclastic",Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Silty Sandstone",100,fine sand [U14W22],,slightly indurated,,dark gray,N 4,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,20,27.5,100,100.075,"Calcite cemented, volcaniclastic",Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Silty Sandstone",100,fine sand [U14W22],,slightly indurated,,dark gray,N 4,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,27.5,41,100.075,100.21,"Calcite cemented, volcaniclastic",Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Sandstone",100,coarse sand [U14W22],,slightly indurated,angular volcanic glass included.,very dark gray,N 4,fine ash [S81],basalt and glass,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,27.51,41.02,100.075,100.21,"Calcite cemented, volcaniclastic",Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Sandstone",100,coarse sand [U14W22],,slightly indurated,angular volcanic glass included.,very dark gray,N 4,fine ash [S81],basalt and glass,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,41,59,100.21,100.39,"Calcite cemented, volcaniclastic",Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Sandy Siltstone",100,coarse silt [U14W22],,slightly indurated,angular volcanic glass included.,dark gray,10Y 3/1,fine ash [S81],basalt and glass,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,41,60,100.21,100.4,"Calcite cemented, volcaniclastic",Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,"Calcite cemented, volcaniclastic Sandy Siltstone",100,coarse silt [U14W22],,slightly indurated,angular volcanic glass included.,dark gray,10Y 3/1,fine ash [S81],basalt and glass,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,59.99,80.82,100.4,100.608,"Calcite cemented, volcaniclastic",Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,"Calcite cemented, volcaniclastic Sandy Siltstone with radiolarians",100,coarse silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,60,80.1,100.4,100.601,"Calcite cemented, volcaniclastic",Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians,"Calcite cemented, volcaniclastic Sandy Siltstone with radiolarians",100,coarse silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,81.04,103.74,100.61,100.837,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,50,clay [U14W22],,slightly indurated,,greenish black,10GY 2.5/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,81.04,103.74,100.61,100.837,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,50,coarse silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,81.1,103.7,100.611,100.837,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,50,silt [U14W22],,slightly indurated,"(actually clay-sized particles but can't put that in because of the database generated ""grain size"" VCD display)",greenish black,10GY 2.5/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,81.1,103.7,100.611,100.837,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,50,silt [U14W22],,slightly indurated,"(actually coarse silt sized particles but can't put that in because of the database generated ""grain size"" VCD display)",dark gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,103.7,122.1,100.837,101.021,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,104.6,122.13,100.846,101.021,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,121.1,126,101.011,101.06,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Sandstone,100,medium sand [U14W22],,slightly indurated,fine sandstone with silt,dark gray,N 4,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,121.94,125.62,101.019,101.056,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Silty Sandstone,100,medium sand [U14W22],,slightly indurated,fine sandstone with silt,dark gray,N 4,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,126,131.6,101.06,101.116,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,126.39,131.43,101.064,101.114,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Sandy Siltstone,100,silt [U14W22],,slightly indurated,,dark gray,10Y 3/1,,,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,131.6,137.1,101.116,101.171,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,100,clay [U14W22],,slightly indurated,faintly laminated pale greenish claystone,greenish gray,10GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-5R-1-A,324,U1347,A,5,5-1,R,1,A,131.68,137.06,101.117,101.171,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,100,clay [U14W22],,slightly indurated,faintly laminated pale greenish claystone,greenish gray,10GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,0,7.7,109.3,109.377,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,fine sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,0.97,6.98,109.31,109.37,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,fine sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,7.7,13,109.377,109.43,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,7.72,12.68,109.377,109.427,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,13,23,109.43,109.53,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,100,clay [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,13.12,22.21,109.431,109.522,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,100,clay [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,23,29.9,109.53,109.599,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,23.01,29.54,109.53,109.595,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,29.85,43.14,109.599,109.731,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,85,clay [U14W22],,moderately indurated,"laminated claystone is truncated at the top by a medium sandstone deposit, oblique to laminations in the claystone",dark gray,N 4,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,29.85,43.14,109.599,109.731,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Silty Sandstone With radiolarians,15,medium sand [U14W22],,moderately indurated,"laminated claystone is truncated at the top by a medium sandstone deposit, oblique to laminations in the claystone",dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,29.9,43.1,109.599,109.731,,Claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,Claystone,85,clay [U14W22],,moderately indurated,"laminated claystone is truncated at the top by a medium sandstone deposit, oblique to laminations in the claystone",dark gray,N 4,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,29.9,43.1,109.599,109.731,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Silty Sandstone With radiolarians,15,,,moderately indurated,"laminated claystone is truncated at the top by a medium sandstone deposit, oblique to laminations in the claystone",dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,43.1,50.3,109.731,109.803,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,43.7,49.57,109.737,109.796,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,50.3,60.6,109.803,109.906,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,50.31,60.2,109.803,109.902,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Sandy Siltstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,60.6,68.3,109.906,109.983,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,60.64,68.2,109.906,109.982,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,medium sand [U14W22],,moderately indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,68.3,72.8,109.983,110.028,,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,Clay,40,,,moderately indurated,Rip-up structures where sand and clay are mixed. actually dominantly clay-sized grains but cannot input because of the database VCD generation,dark gray,N 4,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,68.3,72.8,109.983,110.028,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Silty Sandstone With radiolarians,60,medium sand [U14W22],,moderately indurated,Rip-up structures where sand and clay are mixed,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,68.34,72.8,109.983,110.028,,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,Clay,40,clay [U14W22],,moderately indurated,Rip-up structures where sand and clay are mixed,dark gray,N 4,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,68.34,72.8,109.983,110.028,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Silty Sandstone With radiolarians,60,medium sand [U14W22],,moderately indurated,Rip-up structures where sand and clay are mixed,dark greenish gray,10Y 4/1,,,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,72.77,76.68,110.028,110.067,volcaniclastic,Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,volcaniclastic Sandstone,100,coarse sand [U14W22],,indurated,"black, coarse volcanic sandstone (black volcanic glass included). lots of  volcanic grains with some carbonate cement",very dark gray,N 3,lapillus [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,72.8,77,110.028,110.07,volcaniclastic,Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,volcaniclastic Sandstone,100,coarse sand [U14W22],,indurated,"black, coarse volcanic sandstone (black volcanic glass included). lots of  volcanic grains with some carbonate cement",very dark gray,N 3,lapillus [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,77,79.5,110.07,110.095,volcaniclastic,Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,volcaniclastic Sandstone,100,very coarse sand [U14W22],,indurated,"ooid and peloid bed. Volcanic grains (black volcanic glass included) and radiolarians, coated grains. Low carbonate. ",very dark gray,N 3,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,77.01,78.95,110.07,110.09,volcaniclastic,Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",,volcaniclastic Sandstone,100,very coarse sand [U14W22],,indurated,"ooid and peloid bed. Volcanic grains (black volcanic glass included) and radiolarians, coated grains. Low carbonate. ",very dark gray,N 3,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,79.48,85.68,110.095,110.157,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,coarse silt [U14W22],,slightly indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-1-A,324,U1347,A,6,6-1,R,1,A,79.5,85.68,110.095,110.157,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",with radiolarians and volcaniclastics,Silty Sandstone with radiolarians and volcaniclastics,100,coarse silt [U14W22],,slightly indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,0,48.8,110.16,110.648,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Sandy Siltstone With radiolarians,100,coarse silt [U14W22],,moderately indurated,Long unbroken piece at the start of section 2,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,0.49,48.68,110.165,110.647,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Sandy Siltstone With radiolarians,100,coarse silt [U14W22],,moderately indurated,Long unbroken piece at the start of section 2,dark greenish gray,10Y 4/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,48.8,93.5,110.648,111.095,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Sandy Siltstone With radiolarians,100,coarse silt [U14W22],,moderately indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,48.81,66.43,110.648,110.824,,Silty Sandstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Silty Sandstone With radiolarians,100,medium sand [U14W22],,moderately indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,48.81,92.75,110.648,111.088,,Sandy Siltstone [MMK88],"Mazullo, Meyer & Kidd, 1988",With radiolarians,Sandy Siltstone With radiolarians,100,coarse silt [U14W22],,moderately indurated,,greenish gray,5GY 5/1,fine ash [S81],basalt,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,93.5,116,111.095,111.32,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,slightly indurated,,dark gray,N 4,,,,,,
324-U1347A-6R-2-A,324,U1347,A,6,6-2,R,2,A,93.51,115.81,111.095,111.318,,claystone [MMK88],"Mazullo, Meyer & Kidd, 1988",,claystone,100,clay [U14W22],,slightly indurated,,dark gray,N 4,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,0,4,118.9,118.94,,chert [MMK88],"Mazullo, Meyer ",,chert,100,,,well indurated,Small isolated piece of brown chert at the top of core 7. could be cave-in from above. has small amount of chalk occluded to it. ,light greenish gray,10GY 7/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,1.36,4,118.914,118.94,,,,,,,,,,,,10GY 7/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,4,19.19,118.94,119.092,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,4,19.2,118.94,119.092,,Clay [MMK88],"Mazullo, Meyer ",,Clay,100,,,moderately indurated,laminated greenish claystone,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,19.19,25.48,119.092,119.155,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,19.2,25.6,119.092,119.156,radiolarian bearing,Silty Sandstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Silty Sandstone,100,,,moderately indurated,medium silty sandstone with coarser white grains throughout.,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,25.6,96,119.156,119.86,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,medium sand in a clayey matrix,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-1-A,324,U1347,A,7,7-1,R,1,A,25.86,96,119.159,119.86,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-2-A,324,U1347,A,7,7-2,R,2,A,0,0.18,119.86,119.862,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,medium sand in a clayey matrix,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-2-A,324,U1347,A,7,7-2,R,2,A,0,0.9,119.86,119.869,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,medium sand in a clayey matrix,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-2-A,324,U1347,A,7,7-2,R,2,A,0.9,115,119.869,121.01,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,sandy siltstone with finer and coarser areas. three fining upward sequences.,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-2-A,324,U1347,A,7,7-2,R,2,A,0.93,115,119.869,121.01,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,sandy siltstone with finer and coarser areas. three fining upward sequences.,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,0,0.014099999666214,121.01,121.01,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,0,0.03,121.01,121.01,,,,,,,,,,,,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,0,4.5,121.01,121.055,radiolarian bearing,Sandy Siltstone [MMK88],"Mazullo, Meyer ",,radiolarian bearing Sandy Siltstone,100,,,moderately indurated,,greenish gray,10Y 5/1,,,,,,
324-U1347A-7R-3-A,324,U1347,A,7,7-3,R,3,A,0.25,4.52,121.013,121.055,,,,,,,,,,,,10Y 5/1,,,,,,
