Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1519D-2H-6-A,0,124,11.92,13.16,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),planar,,planar,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray to grayish green mud, alternating with thin to very thin silt beds. Base of silty layer at 6, 60 cm.",,,,375,U1519,D,2,H,6,A
375-U1519D-2H-7-A,0,52,13.47,13.99,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray to grayish green mud, alternating with thin to very thin silt beds. Base of silty layer at 4, 32 cm.",,,,375,U1519,D,2,H,7,A
375-U1519D-2H-CC-A,0,21,13.99,14.2,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,2,H,CC,A
375-U1519D-3H-1-A,0,125,13.8,15.05,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray to grayish green mud, alternating with very few, thin to very thin dark gray silt beds. Base of silt layer at 125 cm.",,,,375,U1519,D,3,H,1,A
375-U1519D-3H-2-A,0,121,15.33,16.54,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,3,H,2,A
375-U1519D-3H-3-A,0,121,16.84,18.05,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud. Discontinuous pods of dark grey silt.,,,,375,U1519,D,3,H,3,A
375-U1519D-3H-4-A,0,121,18.38,19.59,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,2.5Y 4/1 (dark gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray to grayish green mud, alternating with very few, thin to very thin dark gray silt beds. Base of silty layer at 41 cm.",,,,375,U1519,D,3,H,4,A
375-U1519D-3H-5-A,0,119,19.93,21.12,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,2.5Y 4/1 (dark gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray to grayish green mud, alternating with very few, thin to very thin silt beds. Base of silty layer at 14 cm.",,,,375,U1519,D,3,H,5,A
375-U1519D-3H-6-A,0,103,21.45,22.48,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,3,H,6,A
375-U1519D-3H-CC-A,0,26,22.77,23.03,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,3,H,CC,A
