Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
371-U1508C-11R-5-A,0,142,470.59,472.01,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,2.5Y 6/2 (light brownish gray),massive [BJ84],parallel lamination,,,,silt [W22_1],2,,,heavy [DB91],4,Siliceous intervals at 75 cm and 93 cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,11,R,5,A,,,,
371-U1508C-11R-CC-A,0,19,472.01,472.2,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,2.5Y 6/2 (light brownish gray),massive [BJ84],parallel lamination,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,11,R,CC,A,,,,
371-U1508C-12R-1-A,0,132,474.6,475.92,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 6/2 (light brownish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and skolithos",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,12,R,1,A,,,,
371-U1508C-12R-2-A,0,151,475.92,477.43,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 6/2 (light brownish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"pyritic blebs at 19, 109 and 113cm",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,12,R,2,A,,,,
371-U1508C-12R-3-A,0,82,477.43,478.25,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 7/5GY (light greenish grey),massive [BJ84],,,,,silt [W22_1],2,,,moderate [B06],3,burrow filled by pyritic grains at 10cm. Pyritic grains present in fracture at 14cm,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,12,R,3,A,,,,
371-U1508C-12R-4-A,0,89,478.45,479.34,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 7/5GY (light greenish grey),massive [BJ84],,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,12,R,4,A,,,,
371-U1508C-12R-CC-A,0,18,479.34,479.52,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 7/5GY (light greenish grey),massive [BJ84],,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,12,R,CC,A,,,,
371-U1508C-13R-1-A,0,45,484.2,484.65,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,,GLEY 1 7/5GY (light greenish grey),massive [BJ84],,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,13,R,1,A,,,,
371-U1508C-13R-1-A,45,48,484.65,484.68,,,,,cherty,limestone [USGS],,cherty limestone,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,moderate [B06],3,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,13,R,1,A,,,,
371-U1508C-13R-1-A,48,82,484.68,485.02,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,,GLEY 1 7/5GY (light greenish grey),massive [BJ84],,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,13,R,1,A,,,,
