Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
366-U1492A-2H-1-A,0.0,113.0,5.4,6.53,IIB,,,,,,,clayey,pebbly mud,with gravel,clayey pebbly mud with gravel,7.5YR 7/3 (pink),massive,unconsolidated,coarse sand,6.0,pebble,9.0,,poor,,,,lithic,5.0,granule,8.0,pebble,9.0,sub-rounded,serpentine,3.0,very coarse sand,7.0,granule,8.0,subangular,,brown clay,,,,,,,366,U1492,A,2,H,1,A,,,
366-U1492A-2H-1-A,113.0,152.0,6.53,6.92,IIB,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,2,H,1,A,,,
366-U1492A-2H-2-A,0.0,60.0,6.92,7.52,IIB,,,,,,,clayey,pebbly mud,with gravel,clayey pebbly mud with gravel,7.5YR 7/4 (pink),massive,unconsolidated,coarse sand,6.0,pebble,9.0,,poor,,,,lithic,5.0,very coarse sand,7.0,pebble,9.0,subangular,,,,,,,,,brown clay,,,,,,,366,U1492,A,2,H,2,A,,,
366-U1492A-2H-2-A,60.0,110.0,7.52,8.02,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,3.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,2,A,,,
366-U1492A-2H-2-A,110.0,124.0,8.02,8.16,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,2,H,2,A,,,
366-U1492A-2H-3-A,0.0,43.0,8.16,8.59,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,5.0,very coarse sand,7.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,3,A,,,
366-U1492A-2H-4-A,0.0,82.0,8.59,9.41,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,4,A,,,
366-U1492A-2H-5-A,0.0,98.0,9.41,10.39,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,5,A,,,
366-U1492A-2H-6-A,0.0,152.0,10.39,11.91,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,6,A,,,
366-U1492A-2H-7-A,0.0,96.0,11.91,12.87,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,7,A,,,
366-U1492A-2H-7-A,96.0,151.0,12.87,13.42,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,2,H,7,A,,,
366-U1492A-2H-8-A,0.0,87.0,13.42,14.29,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,8,A,,,
366-U1492A-2H-9-A,0.0,72.0,14.29,15.01,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,9,A,,,
366-U1492A-2H-CC-A,0.0,38.0,15.01,15.39,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,subangular,,serpentine clay matrix,,,,,,,366,U1492,A,2,H,CC,A,,,
366-U1492A-3F-1-A,0.0,150.0,14.9,16.4,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,cobble,10.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,very coarse sand,7.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,3,F,1,A,,,
366-U1492A-3F-2-A,0.0,96.0,16.4,17.36,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,15.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,3,F,2,A,,,
366-U1492A-3F-2-A,96.0,150.0,17.36,17.9,,,,,,,,,,,,,,,,,,,microbilogy,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,3,F,2,A,,,
366-U1492A-3F-3-A,0.0,110.0,17.9,19.0,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,3,F,3,A,,,
366-U1492A-3F-CC-A,0.0,26.0,19.0,19.26,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,3,F,CC,A,,,
366-U1492A-4F-1-A,0.0,99.0,19.3,20.29,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5B 5/1 (bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,Fall-in?,poor,,,,ultramafic rock,15.0,granule,8.0,pebble,9.0,angular,serpentine,1.0,coarse sand,6.0,very coarse sand,7.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,4,F,1,A,,,
366-U1492A-4F-1-A,99.0,154.0,20.29,20.84,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,4,F,1,A,,,
366-U1492A-4F-2-A,0.0,126.0,20.84,22.1,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,,3.0,coarse sand,6.0,granule,8.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,4,F,2,A,,,
366-U1492A-4F-CC-A,0.0,24.0,22.1,22.34,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,,serpentine clay matrix,,,,,,,366,U1492,A,4,F,CC,A,,,
366-U1492A-5F-1-A,0.0,90.0,22.6,23.5,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,Fall-in?,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,5.0,very coarse sand,7.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,5,F,1,A,,,
366-U1492A-5F-1-A,90.0,150.0,23.5,24.1,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,1.0,coarse sand,6.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,5,F,1,A,,,
366-U1492A-5F-2-A,0.0,96.0,24.1,25.06,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,1.0,coarse sand,6.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,5,F,2,A,,,
366-U1492A-5F-2-A,96.0,151.0,25.06,25.61,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,5,F,2,A,,,
366-U1492A-5F-3-A,0.0,121.0,25.61,26.82,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,8.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,very coarse sand,7.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,5,F,3,A,,,
366-U1492A-5F-CC-A,0.0,24.0,26.82,27.06,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,clay,1.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,5.0,very coarse sand,7.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,5,F,CC,A,,,
366-U1492A-6F-1-A,0.0,79.0,27.3,28.09,IIB,,,,,gradational,sub-horizontal,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 4/1 (dark bluish gray),massive,consolidated,very fine sand,3.0,pebble,9.0,poorly sorted matrix supported serpentinite breccia,poor,,,,ultramafic rock,7.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,granule,8.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,6,F,1,A,,,
366-U1492A-6F-CC-A,0.0,23.0,28.09,28.32,IIB,,,,,gradational,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 4/1 (dark bluish gray),massive,consolidated,fine sand,4.0,pebble,9.0,poorly sorted matrix supported serpentinite breccia,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serperntine,3.0,granule,8.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,6,F,CC,A,,,
366-U1492A-7F-1-A,0.0,42.0,28.3,28.72,IIB,,,,irregular,gradational,,"clast-supported, polymict",breccia,with mud,"clast-supported, polymict breccia with mud",5BG 3/1 (very dark greenish gray),massive,unconsolidated,pebble,9.0,pebble,9.0,"drilling disturbed, matrix washed out",poor,,,,ultramafic rock,70.0,granule,8.0,pebble,9.0,angular,serpentine,20.0,granule,8.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,,,,,,,,366,U1492,A,7,F,1,A,,,
366-U1492A-7F-2-A,0.0,71.0,28.72,29.43,IIB,,,,irregular,gradational,,,breccia,with mud,breccia with mud,5PB 5/1 (bluish gray),massive,unconsolidated,pebble,9.0,pebble,9.0,"matrix supported polymict breccia, graded",poor,normally graded,,,ultramafic rock,30.0,pebble,10.0,pebble,9.0,angular,lithic,5.0,pebble,10.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine and highly weathered serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,7,F,2,A,,,
366-U1492A-7F-2-A,71.0,144.0,29.43,30.16,IIB,,,,,gradational,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 4/1 (dark bluish gray),massive,consolidated,fine sand,4.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,angular,serpentine,2.0,granule,8.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,7,F,2,A,,,
366-U1492A-7F-3-A,0.0,80.0,30.16,30.96,IIB,,,,,gradational,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 4/1 (dark bluish gray),massive,consolidated,medium sand,5.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,8.0,granule,8.0,pebble,9.0,angular,serpentine,2.0,granule,8.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,7,F,3,A,,,
366-U1492A-7F-3-A,80.0,150.0,30.96,31.66,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,7,F,3,A,,,
366-U1492A-7F-4-A,0.0,72.0,31.66,32.38,IIB,,,,,gradational,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 4/1 (dark bluish gray),massive,consolidated,medium sand,5.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,7.0,granule,8.0,pebble,9.0,angular,serpentine,2.0,granule,8.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,7,F,4,A,,,
366-U1492A-7F-CC-A,0.0,53.0,32.38,32.91,IIB,,,,,gradational,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 4/1 (dark bluish gray),massive,consolidated,medium sand,5.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,8.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,granule,8.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,7,F,CC,A,,,
366-U1492A-8F-1-A,0.0,60.0,33.0,33.6,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5PB 5/1 (bluish gray),massive,unconsolidated,medium sand,5.0,pebble,9.0,,poor,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,very coarse sand,7.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,8,F,1,A,,,
366-U1492A-9F-1-A,0.0,150.0,33.6,35.1,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,consolidated,clay,1.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,9,F,1,A,,,
366-U1492A-9F-2-A,0.0,79.5,35.1,35.895,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,consolidated,clay,1.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,9,F,2,A,,,
366-U1492A-9F-2-A,79.5,150.0,35.895,36.6,IIB,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,9,F,2,A,,,
366-U1492A-9F-3-A,0.0,121.0,36.6,37.81,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,consolidated,clay,1.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,granule,8.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,9,F,3,A,,,
366-U1492A-9F-4-A,0.0,54.0,37.81,38.35,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,consolidated,clay,1.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,3.0,granule,8.0,pebble,9.0,angular,serpentine,3.0,coarse sand,6.0,pebble,9.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,9,F,4,A,,,
366-U1492A-9F-CC-A,0.0,22.0,38.35,38.57,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,5PB 5/1 (bluish gray),massive,consolidated,clay,1.0,pebble,9.0,"matrix supported monomict, poorly sorted breccia",poor,,,,ultramafic rock,12.0,granule,8.0,pebble,9.0,angular,serpentine,1.0,coarse sand,6.0,very coarse sand,7.0,angular,Black harzburgite dominant; green serpentine subdominant.,serpentine clay matrix,,,,,,,366,U1492,A,9,F,CC,A,,,
