Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina patagonica	Pseudohastigerina wilcoxensis	Globanomalina australiformis	Acarinina primitiva	Acarinina cuneicamerata	Globigerinatheka senni	Chiloguembelina sp.	Acarinina camerata	Acarinina pseudotopilensis	Acarinina matthewsae	Globorotaloides turgida	Globigerinoides higginsi	Subbotina linaperta	Acarinina bullbrooki	Subbotina frontosa	Acarinina collactea	Subbotina eocaena	Pseudohastigerina micra	Subbotina inaequispira	Subbotina angiporoides	Globigerinatheka index	Chiloguembelina cubensis	Subbotina hagni	Globorotaloides suteri	Paragloborotalia nana	Catapsydrax echinatus	Tenuitellinata insolita	Subbotina cf. eocaena	Pseudohastigerina barbadoensis	Morozovella sp.	Globigerina officinalis	Chiloguembelina spp.	Acarinina echinata	Acarinina aculeata	Subbotina brevis	Praetenuitella praegemma	Praetenuitella insolita	Catapsydrax dissimilis	Tenuitella munda	Tenuitella gemma	Tenuitella angustiumbilicata	Globigerinita juvenilis	Globigerina labiacrassata	Globigerina euapertura	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda/juvenilis transition	Subbotina labiacrassata	Tenuitellinata juvenilis/uvula transition	Subbotina euapertura	Tenuitellinata uvula	Globigerinita praestainforthi	Globigerinita boweni	Globigerina praebulloides	Catapsydrax unicavus	Globigerina woodi	Globigerina bulloides	Neogloboquadrina pachyderma	Comment

  SR	Early Oligocene  	                 	AP16              	              	120	 749	B	  1	H	 3	  40.00	      3.4000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	R                     	                      	                        	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	R               	                	R                           	R                      	                         	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	R                        	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP16              	              	120	 749	B	  1	H	 4	  40.00	      4.9000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	R                           	R                      	                         	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	R                        	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Oligocene   	                 	T. angustiumbilicata	              	120	 749	B	  1	H	 4	  50.00	      5.0000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	1                     	                	                	                            	                       	                         	                      	13                      	                                	                                     	123                    	                                         	45                  	                    	2                            	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Oligocene   	                 	T. angustiumbilicata	              	120	 749	B	  1	H	 4	  50.00	      5.0000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	7                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	5                     	37              	2               	                            	                       	                         	                      	81                      	2                               	18                                   	22                     	11                                       	                    	2                   	                             	8                   	                         	                    	                 	                     	                           	Other taxa = 2; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	AP16              	              	120	 749	B	  1	H	 4	 135.00	      5.8500	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	R                       	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	                	                	R                           	R                      	                         	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	R                        	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP15              	              	120	 749	B	  2	H	 1	  40.00	      6.2000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	R                     	                      	                        	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	R               	                	R                           	R                      	R                        	F                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	F                        	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 749	B	  2	H	 2	  40.00	      7.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	C                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	R               	F               	                            	R                      	C                        	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	R                        	R                   	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	T. angustiumbilicata	              	120	 749	B	  2	H	 2	  50.00	      7.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	31                    	2                    	                     	                       	6                    	                              	               	                       	                    	3                 	                  	20              	                        	                       	16                    	2               	                	                            	                       	                         	                      	15                      	1                               	1                                    	83                     	1                                        	7                   	1                   	1                            	1                   	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	T. angustiumbilicata	              	120	 749	B	  2	H	 2	  50.00	      7.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	14                    	                     	                     	                       	4                    	                              	               	                       	56                  	                  	                  	11              	                        	                       	9                     	44              	5               	                            	                       	                         	                      	68                      	4                               	13                                   	18                     	8                                        	                    	2                   	                             	                    	                         	                    	                 	                     	                           	Other taxa = 1; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 749	B	  2	H	 3	  40.00	      9.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	C                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	F               	R               	                            	R                      	C                        	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 749	B	  2	H	 4	  40.00	     10.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	C                       	               	R                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	R               	R               	                            	R                      	A                        	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	 4	  50.00	     10.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	4                     	4                    	                     	                       	34                   	                              	               	                       	                    	2                 	                  	69              	                        	                       	15                    	3               	                	                            	                       	                         	                      	27                      	6                               	                                     	13                     	2                                        	5                   	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	 4	  50.00	     10.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	2                     	                     	                     	                       	15                   	                              	               	                       	75                  	3                 	                  	15              	                        	                       	                      	27              	3               	                            	                       	                         	                      	35                      	8                               	19                                   	10                     	5                                        	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	AP14(Berggren92)  	              	120	 749	B	  2	H	 5	  40.00	     12.2000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	C                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	F               	F               	R                           	R                      	A                        	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP13              	              	120	 749	B	  2	H	 6	  40.00	     13.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	R                     	                      	C                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	F               	F               	R                           	R                      	A                        	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	 6	  50.00	     13.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	15                    	3                    	                     	                       	14                   	                              	               	2                      	                    	                  	                  	38              	                        	                       	19                    	73              	                	                            	                       	                         	                      	18                      	3                               	11                                   	15                     	2                                        	2                   	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 1; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	 6	  50.00	     13.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	11                    	                     	                     	                       	12                   	                              	               	3                      	50                  	?                 	                  	30              	                        	                       	3                     	43              	5               	                            	                       	                         	                      	37                      	26                              	                                     	4                      	2                                        	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	CC	   0.00	     15.0300	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	29                    	18                   	                     	                       	45                   	                              	               	5                      	                    	5                 	                  	19              	                        	                       	                      	5               	                	                            	                       	                         	                      	2                       	7                               	                                     	23                     	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	T. gemma          	              	120	 749	B	  2	H	CC	   0.00	     15.0300	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	2                     	                     	                     	                       	5                    	                              	               	                       	43                  	                  	                  	34              	                        	                       	12                    	56              	7               	                            	                       	                         	                      	14                      	13                              	5                                    	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Early Oligocene  	                 	AP13              	              	120	 749	B	  2	H	CC	  18.00	     15.2100	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	R                     	                      	C                       	               	F                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	R                     	F               	F               	R                           	R                      	A                        	R                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	T. gemma          	              	120	 749	B	  3	H	 1	   0.00	     15.3000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	1                      	                      	55                    	19                    	                        	               	34                    	2                    	                     	                       	                     	                              	               	                       	10                  	15                	                  	31              	                        	                       	3                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	   0.00	     15.3000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	9                      	                      	17                    	                      	                        	               	17                    	                     	                     	                       	3                    	                              	               	                       	145                 	                  	3                 	                	6                       	13                     	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  20.00	     15.5000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	45                    	43                    	                        	               	15                    	                     	                     	                       	1                    	                              	               	                       	7                   	9                 	                  	54              	                        	2                      	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  20.00	     15.5000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	4                      	                      	5                     	                      	                        	               	15                    	3                    	                     	                       	                     	                              	               	                       	157                 	3                 	4                 	                	2                       	25                     	1                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  36.00	     15.6600	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	1                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	35                    	66                    	                        	               	9                     	                     	                     	                       	                     	                              	               	2                      	4                   	12                	                  	60              	                        	                       	5                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  36.00	     15.6600	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	3                      	                      	                      	                      	                        	               	15                    	5                    	                     	                       	4                    	2                             	               	                       	130                 	2                 	11                	                	5                       	19                     	2                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 2; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	AP12              	              	120	 749	B	  3	H	 1	  40.00	     15.7000	Berggren 	Planktonic Foraminifers                      	A              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	R                  	                    	                  	R                  	                 	R                      	                      	R                     	A                     	F                       	               	F                     	                     	F                    	R                      	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  60.00	     15.9000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	21                    	45                    	                        	               	5                     	                     	                     	                       	                     	                              	               	                       	                    	4                 	                  	77              	                        	                       	14                    	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  60.00	     15.9000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	5                      	                      	17                    	                      	                        	               	17                    	6                    	                     	                       	4                    	2                             	               	7                      	100                 	                  	7                 	                	3                       	35                     	9                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  80.00	     16.1000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	17                    	15                    	                        	               	11                    	5                    	                     	                       	3                    	                              	               	2                      	                    	1                 	3                 	93              	                        	                       	19                    	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	  80.00	     16.1000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	11                     	                      	6                     	                      	                        	               	15                    	3                    	                     	                       	                     	8                             	2              	5                      	115                 	2                 	5                 	                	cf                      	23                     	15                    	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 100.00	     16.3000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	42                    	59                    	                        	               	7                     	                     	                     	                       	                     	                              	               	1                      	                    	13                	                  	25              	                        	                       	3                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	Other taxa = 3; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 100.00	     16.3000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	2                  	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	10                     	                      	9                     	                      	                        	               	20                    	4                    	                     	                       	?                    	                              	               	5                      	115                 	1                 	3                 	11              	cf                      	25                     	8                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 118.00	     16.4800	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	28                    	67                    	                        	               	31                    	                     	                     	                       	                     	                              	               	2                      	                    	3                 	                  	43              	                        	4                      	24                    	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 118.00	     16.4800	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	7                      	                      	                      	                      	                        	               	20                    	5                    	                     	                       	                     	                              	3              	4                      	118                 	2                 	1                 	                	3                       	28                     	6                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 140.00	     16.7000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	17                    	27                    	                        	               	12                    	                     	                     	                       	                     	                              	3              	5                      	                    	35                	                  	27              	2                       	5                      	8                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 1	 140.00	     16.7000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	2                      	                      	3                     	                      	                        	               	23                    	10                   	                     	                       	4                    	                              	3              	                       	120                 	19                	                  	                	2                       	27                     	5                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Eocene      	                 	P. insolita       	              	120	 749	B	  3	H	 2	   0.00	     16.8000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	6                     	3                     	                        	               	33                    	2                    	                     	                       	                     	                              	               	                       	                    	52                	                  	29              	                        	2                      	4                     	                	                	                            	                       	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	                         	                    	                 	                     	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

