Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira praeoestrupii,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis turris,Pyxidicula zabelinae,Nitzschia rolandii,Neodenticula kamtschatica,Coscinodiscus marginatus,Actinoptychus senarius,Paralia sulcata,Koizumia tatsunokuchiensis,Thalassiosira nidulus,Nitzschia fossilis,Chaetoceros spp. (resting spores),Thalassiosira antiqua,Delphineis surirella,Thalassiosira lineata,Aulacoseira spp.,Actinocyclus curvatulus,Cocconeis costata,Asteromphalus flabellatus,Proboscia barboi,Thalassiothrix longissima,Thalassiosira jouseae,Rhizosolenia hebetata f. hiemalis,Actinocyclus octonarius,Odontella aurita,Nitzschia reinholdii,Grammatophora spp.,Delphineis simonsenii,Coscinodiscus radiatus,Actinocyclus ochotensis,Thalassiosira oestrupii,Thalassiosira nordenskioeldii,Fragilariopsis doliolus,Hemidiscus cuneiformis,Thalassiosira latimarginata,Thalassiosira gravida,Actinocyclus oculatus,Azpeitia nodulifera,Thalassiosira convexa,Neodenticula koizumii,Stephanopyxis horridus,Neodenticula seminae,Azpeitia tabularis,Nitzschia marina,Rhizosolenia bergonii,Nitzschia interruptestriata,Proboscia curvirostris,Bacterosira fragilis,Cyclotella striata,Porosira glacialis,Actinocyclus ingens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  5,H,CC,  24.00,     46.3300,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,C                          ,R                   ,                    ,                  ,                         ,F                       ,                      ,F              ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,F                ,                         ,                ,F                        ,                     ,R                                ,R                      ,                ,                    ,                  ,                     ,F                     ,                       ,                       ,                             ,                       ,                      ,R                          ,C                    ,                     ,R                  ,                     ,                     ,                      ,C                   ,                  ,R               ,                     ,                           ,                      ,R                   ,F                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  6,H,CC,  39.00,     55.7300,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,                        ,                      ,R              ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,R                ,                         ,                ,                         ,R                    ,C                                ,R                      ,F               ,                    ,                  ,                     ,R                     ,                       ,C                      ,                             ,R                      ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,R               ,                     ,                           ,                      ,                    ,R                 ,                  ,                   ,"reworking=few (N. kamtschatica, N. koizumii, A. oculatus)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A,  7,H, 4,  65.00,     60.3500,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,R                          ,R                   ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,F                                ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,F                      ,                             ,                       ,                      ,R                          ,F                    ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,R               ,                     ,                           ,F                     ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A,  7,H,CC,  25.00,     65.3000,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,F                          ,F                   ,                    ,                  ,                         ,                        ,R                     ,R              ,                          ,                     ,                  ,F                                ,                     ,                    ,C                    ,                ,                       ,R                ,                         ,R               ,                         ,C                    ,C                                ,R                      ,F               ,                    ,                  ,                     ,T                     ,                       ,C                      ,                             ,R                      ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,F                   ,                  ,R               ,                     ,                           ,F                     ,                    ,R                 ,                  ,                   ,LO of P. curvirostris (0.3 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A,  8,H,CC,   5.00,     74.4500,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,                           ,F                   ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,R               ,R                      ,R                ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,R                 ,                     ,                      ,                       ,                       ,                             ,                       ,                      ,                           ,F                    ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,F               ,                     ,                           ,T                     ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A,  9,H,CC,  48.00,     84.5300,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,                        ,F                          ,                    ,                    ,                  ,                         ,C                       ,T                     ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,C                    ,                                 ,                       ,                ,R                   ,                  ,                     ,                      ,                       ,R                      ,                             ,R                      ,                      ,                           ,                     ,                     ,                   ,                     ,                     ,                      ,                    ,                  ,R               ,                     ,                           ,R                     ,R                   ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A, 10,H,CC,  33.00,     94.0900,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,                           ,                    ,                    ,                  ,                         ,F                       ,R                     ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,R                      ,R                ,                         ,                ,R                        ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,                       ,                             ,F                      ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,F               ,R                    ,                           ,R                     ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 11            ,NPD 11        ,186,1150,A, 11,H,CC,  24.00,    102.6600,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,C                      ,                 ,R                        ,                ,                         ,C                    ,                                 ,                       ,                ,F                   ,                  ,                     ,                      ,                       ,R                      ,                             ,R                      ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,                ,                     ,F                          ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 12,H, 1, 140.00,    104.1000,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,R                 ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,F                      ,                             ,                       ,                      ,R                          ,                     ,F                    ,                   ,                     ,                     ,                      ,F                   ,                  ,R               ,                     ,                           ,F                     ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 12,H, 3,  69.00,    106.0200,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,R                          ,                    ,                    ,                  ,                         ,R                       ,T                     ,               ,                          ,                     ,R                 ,C                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,F                      ,R                      ,                             ,                       ,                      ,                           ,F                    ,C                    ,                   ,                     ,                     ,                      ,F                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 12,H, 5,  68.00,    109.0100,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,C                          ,                    ,                    ,                  ,                         ,R                       ,                      ,               ,                          ,                     ,R                 ,C                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,F                     ,                       ,                       ,                             ,                       ,                      ,C                          ,                     ,F                    ,                   ,                     ,                     ,                      ,C                   ,                  ,                ,                     ,                           ,R                     ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 12,H,CC,  38.00,    112.1500,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,C                          ,F                   ,                    ,                  ,                         ,                        ,                      ,F              ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,C                    ,                   ,                     ,                     ,                      ,A                   ,                  ,                ,                     ,                           ,                      ,R                   ,                  ,                  ,                   ,"LCO of A. oculatus (1.01-1.46 Ma), reworking=trace(C.insignis)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 13,X, 1, 140.00,    113.6000,Ikeda    ,Diatoms                                      ,F              ,G                 ,                           ,                        ,R                          ,                    ,                    ,                  ,                         ,F                       ,                      ,               ,                          ,                     ,                  ,F                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,                ,                         ,T                    ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,                       ,                             ,                       ,                      ,R                          ,                     ,                     ,                   ,                     ,                     ,                      ,R                   ,                  ,                ,                     ,                           ,T                     ,T                   ,                  ,                  ,                   ,volcanic glass
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 13,X, 3, 140.00,    116.6000,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,C                          ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,C                                ,R                    ,                    ,                     ,                ,                       ,                 ,T                        ,                ,R                        ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,R                      ,                             ,                       ,                      ,                           ,                     ,R                    ,                   ,                     ,R                    ,                      ,C                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace(N. koizumii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 13,X,CC,   9.00,    117.3700,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,                           ,                    ,                    ,                  ,                         ,F                       ,                      ,               ,                          ,                     ,                  ,F                                ,                     ,R                   ,F                    ,                ,                       ,R                ,T                        ,R               ,                         ,F                    ,                                 ,                       ,R               ,R                   ,                  ,                     ,                      ,                       ,F                      ,                             ,R                      ,                      ,                           ,                     ,R                    ,                   ,                     ,F                    ,                      ,C                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,reworking=trace(N.koizumii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 14,X, 3,  70.00,    120.1000,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,                        ,                      ,T              ,                          ,                     ,R                 ,C                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,R               ,T                        ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,F                    ,                   ,                     ,                     ,                      ,C                   ,                  ,                ,                     ,                           ,T                     ,R                   ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 10            ,NPD 10        ,186,1150,A, 14,X, 5,  71.00,    123.1100,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,F                          ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,F                 ,C                                ,R                    ,                    ,                     ,                ,                       ,                 ,                         ,R               ,                         ,C                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,T                      ,                             ,                       ,R                     ,                           ,                     ,F                    ,                   ,                     ,F                    ,                      ,C                   ,                  ,                ,                     ,T                          ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 14,X,CC,  18.00,    124.7100,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,                        ,F                          ,                    ,                    ,                  ,                         ,                        ,                      ,R              ,                          ,                     ,                  ,R                                ,                     ,                    ,                     ,                ,                       ,R                ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,F                     ,                       ,F                      ,                             ,                       ,R                     ,                           ,                     ,F                    ,                   ,                     ,C                    ,                      ,F                   ,                  ,R               ,R                    ,                           ,                      ,                    ,                  ,                  ,                   ,LO of N. koizumii (2.0 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 15,X,CC,  20.00,    130.2000,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,                           ,                    ,                    ,                  ,                         ,F                       ,R                     ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,T               ,R                      ,R                ,                         ,                ,                         ,                     ,R                                ,                       ,                ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,C                          ,                     ,                     ,                   ,                     ,C                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 16,X,CC,  18.00,    139.5800,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,C                          ,                    ,                    ,                  ,                         ,F                       ,                      ,R              ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,C                      ,                 ,                         ,F               ,                         ,R                    ,                                 ,                       ,                ,                    ,                  ,                     ,F                     ,                       ,                       ,                             ,                       ,                      ,                           ,                     ,C                    ,R                  ,                     ,A                    ,R                     ,F                   ,                  ,R               ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 17,X,CC,  17.00,    154.5300,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,                           ,F                   ,                    ,                  ,                         ,C                       ,                      ,R              ,                          ,                     ,                  ,A                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,F               ,                         ,                     ,                                 ,                       ,                ,R                   ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,                      ,                           ,                     ,R                    ,                   ,                     ,A                    ,F                     ,C                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 18,X,CC,  41.00,    162.1100,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,F                          ,                    ,                    ,                  ,                         ,                        ,                      ,R              ,                          ,                     ,T                 ,C                                ,                     ,R                   ,R                    ,                ,                       ,R                ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,R                   ,                  ,                     ,                      ,                       ,                       ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,C                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 20,X,CC,   0.00,    174.0000,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,C                          ,F                   ,C                   ,                  ,                         ,                        ,                      ,               ,                          ,                     ,R                 ,C                                ,                     ,                    ,                     ,                ,                       ,                 ,                         ,R               ,                         ,                     ,                                 ,F                      ,                ,                    ,                  ,                     ,F                     ,                       ,                       ,                             ,                       ,                      ,R                          ,                     ,R                    ,                   ,                     ,A                    ,                      ,                    ,R                 ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 9             ,NPD 9         ,186,1150,A, 21,X,CC,   9.00,    192.0100,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,F                       ,F                          ,                    ,                    ,                  ,                         ,C                       ,                      ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,R                      ,                 ,                         ,F               ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,                       ,                             ,                       ,R                     ,                           ,                     ,                     ,                   ,                     ,C                    ,C                     ,F                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 22,X, 3, 140.00,    197.7000,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,R                       ,F                          ,R                   ,                    ,                  ,F                        ,R                       ,                      ,               ,                          ,                     ,                  ,                                 ,                     ,                    ,                     ,                ,                       ,                 ,                         ,F               ,R                        ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,R                      ,                       ,                             ,                       ,                      ,                           ,                     ,                     ,                   ,                     ,C                    ,                      ,R                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 22,X,CC,  24.00,    202.9400,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,F                       ,F                          ,                    ,F                   ,                  ,C                        ,F                       ,                      ,R              ,                          ,                     ,                  ,R                                ,                     ,                    ,R                    ,                ,                       ,                 ,                         ,                ,                         ,F                    ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,F                      ,                             ,                       ,R                     ,R                          ,                     ,                     ,                   ,R                    ,C                    ,C                     ,F                   ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,LCO of N. kamtschatica (2.61-2.68 Ma); reworking=trace(D. cf. simonsenii)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NPD 8             ,NPD 8         ,186,1150,A, 23,X,CC,  20.00,    212.8400,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,F                          ,                    ,                    ,                  ,A                        ,F                       ,                      ,               ,                          ,                     ,                  ,R                                ,F                    ,                    ,R                    ,                ,                       ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,R                     ,                       ,C                      ,                             ,                       ,F                     ,                           ,                     ,                     ,                   ,                     ,C                    ,                      ,                    ,                  ,                ,                     ,                           ,                      ,                    ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
