Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,  50.00,      0.5000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,C                  ,-                            ,-                     ,C                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                            ,P                           ,-                        ,-                    ,-               ,"PT; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,  90.00,      0.9000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,C                  ,-                            ,-                     ,F                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,F                           ,R                        ,-                    ,-               ,"from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1, 143.00,      1.4300,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,C                         ,-                   ,-                           ,F                  ,F                            ,-                     ,C                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,F                           ,-                        ,-                    ,-               ,"PT; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 3,  63.00,      3.6300,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,F                           ,C                         ,-                   ,-                           ,F                  ,-                            ,-                     ,F                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,F                           ,-                        ,-                    ,-               ,"BN; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H,CC,   6.00,      5.1500,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,C                         ,-                   ,-                           ,C                  ,F                            ,-                     ,F                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,R                                  ,F                            ,-                           ,-                        ,-                    ,-               ,"RN; ES; SP; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  2,H,CC,  18.00,     15.3600,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,P                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                            ,R                           ,-                        ,-                    ,-               ,"IS; BN; SF; ES. ESh; PT; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  3,H,CC,   6.00,     24.7000,Showers  ,Planktonic Foraminifers                      ,C              ,P                 ,F                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                            ,-                           ,-                        ,-                    ,-               ,"ES; ESh; OS; FS; PT; SF; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  4,H,CC,  22.00,     34.0200,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,C                         ,-                   ,R                           ,F                  ,F                            ,-                     ,F                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,"IS; OS; ES; BN; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  5,H,CC,  77.00,     42.3700,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,F                           ,C                         ,-                   ,R                           ,F                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,R                            ,-                           ,-                        ,-                    ,-               ,"ES; ESh; PT; BN; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  6,H,CC,  20.00,     53.6300,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,R                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,"ES; ESh; OS; PT; BN; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  7,H,CC,  65.00,     59.0000,Showers  ,Planktonic Foraminifers                      ,A              ,M                 ,F                           ,C                         ,-                   ,R                           ,-                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,ES; ESh; PT; OS; FS; BN; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  8,X,CC,   5.00,     66.1300,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,F                           ,C                         ,-                   ,-                           ,R                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,ES; ESh; BN; PT; S; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A,  9,X,CC,   0.00,     74.7000,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,R                           ,C                         ,-                   ,-                           ,-                  ,R                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                            ,-                           ,-                        ,-                    ,-               ,W;M; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A, 10,X,CC,   6.00,     82.8600,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,F                           ,C                         ,-                   ,R                           ,R                  ,F                            ,-                     ,R                    ,R                   ,-                     ,-                     ,-                              ,-                              ,R                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,SF; IS; SP; BN; S; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A, 13,X,CC,   0.00,    115.2400,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,R                           ,R                         ,-                   ,-                           ,-                  ,R                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,R                            ,-                           ,-                        ,-                    ,-               ,SP; BN; IS; OS; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,Y             ,155, 941,A, 14,X,CC,   0.00,    123.9300,Showers  ,Planktonic Foraminifers                      ,A              ,M                 ,C                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,S; BN; IS; SF; S; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 941,A, 15,X,CC,  13.00,    139.3100,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,C                            ,-                           ,-                        ,-                    ,-               ,Zone assignment uncertain; M; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 941,A, 16,X,CC,  52.00,    147.6700,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,F                                  ,C                            ,R                           ,-                        ,-                    ,-               ,Zone assignment uncertain; M;RN; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 941,A, 17,X,CC,   0.00,    156.3200,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,R                                     ,C                                ,C                                  ,F                            ,-                           ,-                        ,-                    ,-               ,M; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 941,A, 18,X,CC,   1.00,    167.5300,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,F                              ,R                                     ,C                                ,C                                  ,A                            ,R                           ,-                        ,-                    ,-               ,Zone assignment uncertain; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 941,A, 19,X,CC,  13.00,    175.7000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,A                                ,R                                  ,C                            ,-                           ,-                        ,-                    ,-               ,Zone assignment uncertain; M; from Leg 155IR; p. 523 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
