Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra hampdenensis	Isthmolithus recurvus	Discoaster nodifer	Dictyococcites bisectus	Cyclicargolithus floridanus	Clausicoccus fenestratus	Chiasmolithus oamaruensis	Chiasmolithus altus	Blackites spinosus	Zygrhablithus bijugatus	Reticulofenestra orangensis	Pontosphaera pulchripora	Discoaster deflandrei	Dictyococcites scrippsae	Coccolithus formosus	Coccolithus eopelagicus	Reticulofenestra lockerii	Sphenolithus predistentus	Sphenolithus moriformis	Helicosphaera seminulum	Helicosphaera recta	Coccolithus pelagicus	Coronocyclus nitescens	Helicosphaera compacta	Discoaster trinidadensis	Pontosphaera multipora	Lanternithus minutus	Braarudosphaera bigelowii	Discoaster tanii	Discoaster adamanteus	Clausicoccus subdistichus	Discoaster variabilis	Dictyococcites danicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Discoaster pentaradiatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Geminilithella rotula	Discoaster surculus	Discoaster brouweri	Discoaster asymmetricus	Ceratolithus acutus	Amaurolithus primus	Scyphosphaera spp.	Reticulofenestra gelida	Pseudoemiliania lacunosa	Pontosphaera japonica	Helicosphaera carteri	Discoaster tamalis	Discoaster neorectus	Discoaster hamatus	Helicosphaera sellii	Gephyrocapsa aperta	Dictyococcites productus	Rhabdosphaera clavigera	Reticulofenestra asanoi	Pontosphaera millepuncta	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Ceratolithus cristatus	Comment

  IR	                 	Late Miocene     	                  	NN10          	182	1128	C	  5	H	CC	  21.00	     46.5200	Shafik   	Nannofossils                                 	C              	P                 	                         	                       	                             	                     	                  	                       	                           	                        	                         	                   	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	A                    	                      	R                         	C                               	A                        	A                      	A                     	R                       	F                     	F                     	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	                  	NP21          	182	1128	C	  8	H	CC	   0.00	     73.9500	Ladner   	Nannofossils                                 	A              	M                 	                         	                       	                             	                     	                  	C                      	C                          	                        	                         	                   	                  	                       	                           	                        	F                    	                        	C                   	                       	                         	                         	                       	                       	                   	F                    	                      	                      	                        	                      	                    	                         	                	F                    	                         	R                    	R                     	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	                  	NP21          	182	1128	C	  9	H	CC	  30.00	     84.4200	Ladner   	Nannofossils                                 	A              	M                 	                         	                       	                             	                     	                  	C                      	C                          	                        	                         	F                  	                  	                       	                           	                        	R                    	                        	C                   	                       	                         	                         	C                      	                       	                   	C                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	Abundant silicieous material

  IR	                 	Early Oligocene  	NP21              	NP23          	182	1128	C	 10	H	CC	  18.00	     93.7200	Ladner   	Nannofossils                                 	C              	P                 	                         	R                      	                             	                     	                  	F                      	F                          	                        	                         	R                  	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	R                      	                       	                   	F                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	Abundant sponge spicules, radiolarian and diatom fragments

  IR	                 	Oligocene        	                  	              	182	1128	C	 11	H	CC	  41.00	    103.2800	Ladner   	Nannofossils                                 	R              	P                 	                         	                       	                             	                     	                  	R                      	                           	                        	                         	                   	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	R               	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	Exceptionally abundant silicieous material, all nannos etched and/or overgrown.

  IR	                 	Early Oligocene  	                  	NP21          	182	1128	C	 12	H	CC	  38.00	    112.8700	Ladner   	Nannofossils                                 	A              	M                 	                         	                       	                             	                     	                  	C                      	C                          	                        	R                        	R                  	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	F                    	                      	                      	                        	                      	                    	                         	                	                     	R                        	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	                  	NP21          	182	1128	C	 13	H	CC	  33.00	    122.3900	Ladner   	Nannofossils                                 	A              	M                 	                         	C                      	                             	                     	                  	C                      	C                          	                        	                         	R                  	                  	                       	                           	                        	R                    	                        	F                   	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	R               	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	                  	NP21          	182	1128	C	 14	H	CC	   0.00	    130.8700	Ladner   	Nannofossils                                 	A              	M                 	R                        	                       	                             	                     	                  	C                      	A                          	                        	                         	F                  	                  	                       	                           	                        	F                    	                        	F                   	                       	                         	R                        	F                      	                       	                   	                     	R                     	                      	                        	                      	                    	                         	F               	R                    	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	                  	NP22          	182	1128	C	 15	H	CC	  13.00	    138.3000	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	                             	                     	C                 	C                      	C                          	F                       	                         	C                  	F                 	C                      	R                          	                        	F                    	F                       	                    	                       	C                        	                         	F                      	                       	R                  	                     	                      	                      	                        	R                     	R                   	F                        	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	H. recta is aff.

  IR	                 	                 	                  	              	182	1128	C	 16	X	CC	  42.00	    148.1000	Shafik   	Nannofossils                                 	C              	P                 	C                        	C                      	                             	                     	                  	A                      	                           	                        	                         	C                  	                  	                       	R                          	                        	                     	F                       	                    	                       	                         	                         	F                      	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	              	182	1128	C	 17	X	CC	  34.00	    153.8000	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	                             	R                    	F                 	C                      	A                          	                        	                         	C                  	F                 	                       	                           	                        	F                    	                        	                    	R                      	C                        	                         	                       	                       	                   	                     	                      	                      	F                       	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	              	182	1128	C	 18	X	CC	  41.00	    157.1200	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	                             	R                    	F                 	C                      	A                          	                        	                         	C                  	F                 	                       	                           	                        	                     	F                       	                    	                       	                         	R                        	                       	                       	                   	                     	                      	R                     	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	NP22          	182	1128	C	 19	X	CC	  35.00	    175.1500	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	F                            	                     	                  	A                      	A                          	R                       	                         	C                  	F                 	                       	R                          	                        	                     	                        	                    	C                      	F                        	                         	                       	                       	                   	C                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	NP21              	NP22          	182	1128	C	 20	X	CC	  35.00	    184.7700	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	                             	                     	R                 	A                      	C                          	F                       	                         	A                  	F                 	                       	R                          	                        	                     	F                       	                    	C                      	                         	R                        	                       	                       	                   	                     	R                     	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	NP21          	182	1128	C	 21	X	CC	  37.00	    193.4000	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	C                            	F                    	                  	A                      	                           	C                       	                         	A                  	                  	                       	R                          	                        	                     	C                       	                    	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	Zonal assignment is tentative.

  IR	                 	                 	                  	              	182	1128	C	 22	X	CC	  29.00	    201.7600	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	C                            	F                    	C                 	C                      	C                          	C                       	                         	C                  	C                 	                       	                           	                        	                     	F                       	                    	C                      	                         	F                        	C                      	R                      	R                  	C                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	H. recta is questionable

  IR	                 	                 	                  	              	182	1128	C	 23	X	CC	  27.00	    211.4300	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	F                            	C                    	C                 	C                      	                           	C                       	                         	A                  	F                 	                       	                           	                        	                     	F                       	                    	F                      	F                        	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	              	182	1128	C	 24	X	CC	  38.00	    221.1300	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	                             	C                    	R                 	A                      	C                          	C                       	                         	C                  	C                 	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	                 	                  	              	182	1128	C	 25	X	CC	  29.00	    230.1900	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	C                            	C                    	C                 	C                      	                           	F                       	R                        	C                  	F                 	F                      	F                          	R                       	R                    	C                       	F                   	R                      	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Oligocene  	NP21              	NP21          	182	1128	C	 26	X	CC	  35.00	    240.3600	Shafik   	Nannofossils                                 	C              	M                 	C                        	C                      	C                            	C                    	C                 	C                      	C                          	F                       	R                        	C                  	F                 	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	                     	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	                         	                       	                      	                        	                      	                      	                     	                   	                   	                       	                   	                   	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       

