Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Coccolithus pelagicus,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Discoaster variabilis,Discoaster pentaradiatus,Discoaster calcaris,Discoaster brouweri,Discoaster bollii,Discoaster pseudovariabilis,Catinaster coalitus,Umbilicosphaera sibogae,Thoracosphaera spp.,Syracosphaera pulchra,Syracosphaera lamina,Sphenolithus grandis,Rhabdosphaera clavigera,Reticulofenestra minutula,Holodiscolithus macroporus,Discolithina japonica,Discoaster pansus,Discoaster deflandrei,Dictyococcites productellus,Calcidiscus tropicus,Calcidiscus leptoporus,Discolithina multipora,Discoaster hamatus,Triquetrorhabdulus rugosus,Discolithina discopora,Scapholithus fossilis,Discosphaera tubifera,Discoaster asymmetricus,Cyclolithella annula,Sphenolithus abies,Discoaster neohamatus,Catinaster calyculus,Holodiscolithus solidus,Discoaster challengeri,Oolithotus antillarum,Discoaster moorei,Sphenolithus compactus,Discoaster prepentaradiatus,Hayaster perplexus,Helicosphaera minuta,Discoaster surculus,Discoaster blackstockae,Reticulofenestra minuta,Discoaster quadramus,Discoaster quinqueramus,Discoaster berggrenii,Helicosphaera sellii,Syracosphaera nodosa,Cricosphaera quadrilaminata,Ceratolithus armatus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Scyphosphaera pulcherrima,Amaurolithus amplificus,Amaurolithus primus,Gephyrocapsa spp. (small),Pseudoemiliania lacunosa,Ceratolithus cristatus,Discolithina syracusana,Discoaster tamalis,Gephyrocapsa margerelii,Scyphosphaera sp.,Ceratolithus rugosus,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Helicosphaera wallichii,Ceratolithus telesmus,Gephyrocapsa oceanica (>6 microns),Umbellosphaera irregularis,Helicosphaera inversa,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  2,H, 1,  25.00,      9.2500,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,VR                   ,                        ,                   ,                   ,                 ,                           ,                   ,F                      ,VR                 ,VR                   ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,F                          ,                    ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,VR                  ,                  ,                     ,                    ,                       ,                      ,F                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,                        ,R                     ,                       ,                  ,VR                     ,                 ,                    ,F                         ,                         ,                       ,                     ,                                  ,R                         ,                     ,F                ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  2,H, 2,  90.00,     11.4000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,VR                      ,                   ,                   ,                 ,                           ,                   ,R                      ,                   ,R                    ,VR                  ,                    ,VR                     ,                         ,                          ,                     ,                 ,                     ,F                          ,                    ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,VR                  ,VR                ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,R                   ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,R                        ,                        ,R                     ,                       ,                  ,VR                     ,                 ,                    ,C                         ,                         ,                       ,                     ,                                  ,VR                        ,                     ,F                ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  2,H, 4,  80.00,     14.3000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,VR                      ,                   ,                   ,                 ,                           ,                   ,F                      ,R                  ,F                    ,VR                  ,                    ,F                      ,                         ,                          ,                     ,                 ,                     ,F                          ,                    ,F                     ,                      ,                  ,                          ,                      ,F                    ,R                    ,                       ,VR                  ,R                 ,                     ,                    ,                       ,                      ,F                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,VR                      ,                      ,                       ,                  ,R                      ,                 ,                    ,C                         ,VR                       ,                       ,                     ,                                  ,VR                        ,VR                   ,VR               ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  2,H, 5,  26.00,     15.2600,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,VR                              ,                     ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,R                          ,                    ,VR                    ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,VR                     ,                 ,                    ,F                         ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  2,H,CC,  19.00,     18.9000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,VR                   ,                                ,R                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,R                      ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,R                          ,                    ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,VR                       ,                        ,C                     ,                       ,                  ,                       ,                 ,                    ,F                         ,                         ,                       ,VR                   ,                                  ,                          ,                     ,R                ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H, 1,  24.00,     18.7400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,                     ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,                           ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,VR                        ,                         ,                       ,VR                   ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H, 3,  24.00,     21.7400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,VR                      ,                   ,                   ,                 ,                           ,                   ,F                      ,R                  ,F                    ,                    ,                    ,                       ,                         ,                          ,VR                   ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,F                    ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,                        ,VR                    ,                       ,                  ,                       ,                 ,                    ,A                         ,                         ,VR                     ,                     ,                                  ,R                         ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H, 4,  24.00,     23.2400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,R                      ,VR                 ,VR                   ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,F                          ,                    ,F                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,R                   ,F                 ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,                        ,VR                    ,                       ,                  ,R                      ,                 ,                    ,F                         ,                         ,                       ,                     ,                                  ,VR                        ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H, 5,  97.00,     25.4700,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,VR                   ,                                ,F                    ,                     ,F                       ,                   ,R                  ,                 ,                           ,                   ,F                      ,F                  ,F                    ,                    ,                    ,VR                     ,                         ,                          ,R                    ,                 ,                     ,C                          ,VR                  ,F                     ,                      ,                  ,                          ,                      ,R                    ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,R                  ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,R                       ,VR                    ,                       ,                  ,R                      ,                 ,                    ,C                         ,                         ,                       ,                     ,                                  ,VR                        ,VR                   ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H, 7,  24.00,     27.7400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,F                      ,VR                 ,VR                   ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,C                         ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,124, 767,B,  3,H,CC,  21.00,     28.3900,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,C                      ,R                  ,R                    ,                    ,                    ,R                      ,                         ,                          ,VR                   ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,R                    ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,                        ,R                     ,                       ,                  ,R                      ,                 ,                    ,A                         ,                         ,VR                     ,                     ,F                                 ,VR                        ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  4,H, 1,  25.00,     28.2500,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,F                      ,R                  ,R                    ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,R                       ,VR                    ,                       ,                  ,R                      ,                 ,                    ,A                         ,                         ,                       ,                     ,VR                                ,VR                        ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  4,H, 3,  27.00,     31.2700,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,VR                      ,                   ,                   ,                 ,                           ,                   ,F                      ,VR                 ,R                    ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,VR                   ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,F                       ,                      ,                       ,                  ,R                      ,                 ,                    ,C                         ,                         ,                       ,VR                   ,VR                                ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  4,H, 5,  77.00,     34.7700,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,VR                              ,F                    ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,F                      ,R                  ,F                    ,R                   ,                    ,R                      ,                         ,                          ,                     ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,F                    ,VR                   ,                       ,R                   ,R                 ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,VR                 ,                       ,                       ,                    ,                       ,                     ,                    ,VR                  ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,A                        ,F                       ,R                     ,                       ,                  ,F                      ,                 ,                    ,A                         ,                         ,VR                     ,                     ,R                                 ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  4,H,CC,   8.00,     37.2400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,VR                   ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,                           ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,VR                        ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  5,H, 1,  74.00,     38.2400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,F                      ,R                  ,F                    ,                    ,                    ,VR                     ,                         ,                          ,                     ,                 ,                     ,C                          ,                    ,C                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,VR                  ,                  ,                     ,                    ,                       ,                      ,VR                   ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,VR                     ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,F                       ,                      ,                       ,                  ,R                      ,                 ,                    ,A                         ,                         ,VR                     ,VR                   ,                                  ,VR                        ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19b             ,              ,124, 767,B,  5,H, 3,  14.00,     40.6400,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,F                    ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,F                      ,VR                 ,F                    ,R                   ,                    ,                       ,                         ,                          ,VR                   ,                 ,                     ,C                          ,                    ,F                     ,                      ,                  ,                          ,                      ,F                    ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,F                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,VR                     ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,C                        ,F                       ,                      ,                       ,                  ,F                      ,                 ,                    ,A                         ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
