Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia plesiotumida,Pulleniatina spp. (sinistral),Globorotalia margaritae,Globigerinoides obliquus,Pulleniatina spp. (dextral),Globorotalia menardii (dex.),Globorotalia cf. Gr. margaritae,Globorotalia tumida,Neogloboquadrina acostaensis (dextral),Sphaeroidinella dehiscens,Globorotalia ronda,Globorotalia flexuosa,Globorotalia tosaensis,Globorotalia cf. Gr. flexuosa,Globorotalia menardii (sin.),Globorotalia cf. Gr. truncatulinoides,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Comment
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B, 10,H, 2,  44.00,     82.9400,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,                                     ,R                            ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B, 13,X, 1, 140.00,    111.0000,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,R                       ,                           ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,R                                    ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N21               ,              ,124, 767,B, 18,X, 3,   7.00,    161.0700,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,R                           ,                               ,R                  ,                                      ,R                        ,R                 ,                     ,                      ,R                            ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N21               ,              ,124, 767,B, 20,X, 3,  52.00,    180.8200,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,                            ,                               ,R                  ,                                      ,R                        ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N21               ,              ,124, 767,B, 21,X, 5,  65.00,    190.4500,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,R                           ,                               ,                   ,                                      ,R                        ,R                 ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N21               ,              ,124, 767,B, 22,X, 4, 115.00,    199.1500,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,R                           ,                               ,R                  ,                                      ,                         ,                  ,                     ,R                     ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 26,X, 2,  76.00,    234.8600,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,R                           ,                               ,                   ,                                      ,R                        ,R                 ,R                    ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 26,X, 4,   7.00,    237.1700,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,R                           ,                               ,                   ,R                                     ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 26,X, 4,  57.00,    237.6700,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,R                           ,                               ,R                  ,                                      ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 26,X, 6,  90.00,    241.0000,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,R                           ,                               ,R                  ,                                      ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 27,X, 4, 121.00,    247.9100,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,R                        ,                             ,                       ,R                       ,R                          ,R                           ,R                              ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,N19-N20       ,124, 767,B, 29,X, 3, 113.00,    265.5300,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,R                        ,R                            ,R                      ,R                       ,                           ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,N17               ,              ,124, 767,B, 36,X,CC,  27.00,    336.4300,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,R                        ,                             ,                       ,                        ,                           ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,                            ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
