Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Globorotalia plesiotumida,Globorotalia limbata,Globoquadrina venezuelana,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides obliquus,Globigerinoides extremus,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia menardii,Globorotalia exilis,Globigerinita glutinata,Pulleniatina obliquiloculata,Dentoglobigerina globosa,Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia tosaensis,Orbulina universa,Neogloboquadrina humerosa,Candeina nitida,Globorotalia bermudezi,Globigerinoides tenellus,Globigerinoides quadrilobatus,Globorotalia ungulata,Globorotalia theyeri,Globorotalia scitula,Sphaeroidinella dehiscens,Globigerina falconensis,Pulleniatina finalis,Globigerinoides conglobatus,Globigerinoides immaturus,Globorotalia crassula,Neogloboquadrina pachyderma,Globigerinella aequilateralis,Zeaglobigerina decoraperta,Dentoglobigerina altispira,Globigerina bulloides,Zeaglobigerina rubescens,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  6,X,CC,  28.00,     48.6300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,R                         ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,P                           ,                        ,                          ,                   ,                      ,R                ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,R                          ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  7,X,CC,  47.00,     59.6800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,R                          ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,R                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  8,X,CC,  33.00,     69.4800,Ibaraki  ,Planktonic Foraminifers                      ,T              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,                     ,                        ,                        ,                            ,                        ,                     ,                   ,                       ,                            ,                        ,                          ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,P                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  9,X,CC,  14.00,     80.6900,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,P                         ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 10,X,CC,  17.00,     86.1800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,R                         ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,R                           ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,R                          ,                         ,R                    ,                           ,                             ,P                         ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 11,X,CC,  51.00,     94.8200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,R                           ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,R                            ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 12,X,CC,  30.00,    109.7100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,R                         ,R                    ,                        ,                        ,                            ,                        ,                     ,                   ,                       ,R                           ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,R                          ,                         ,                     ,R                          ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 13,X,CC,  38.00,    117.1400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,R                       ,                            ,R                       ,R                    ,                   ,R                      ,                            ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 14,X,CC,  15.00,    126.3400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,R                      ,                            ,                        ,                          ,                   ,                      ,                 ,                         ,R              ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 15,X,CC,  45.00,    130.3100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,                        ,                            ,                        ,                     ,                   ,                       ,                            ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,P                    ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 16,X,CC,  60.00,    144.5200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,R                         ,R                    ,                        ,R                       ,                            ,                        ,R                    ,                   ,                       ,                            ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,R                        ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 17,X,CC,  14.00,    151.8100,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,                     ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,                            ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,R                        ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 18,X,CC,  30.00,    161.5200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,                        ,F                    ,                   ,                       ,R                           ,                        ,R                         ,R                  ,R                     ,                 ,                         ,               ,                      ,                        ,                             ,R                    ,                    ,                    ,                         ,                       ,R                   ,R                          ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 19,H,CC,  26.00,    176.9000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,                            ,                        ,R                         ,                   ,                      ,                 ,R                        ,               ,                      ,                        ,                             ,                     ,R                   ,                    ,R                        ,R                      ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 20,X,CC,  19.00,    181.8900,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,R                            ,R                    ,R                   ,R                   ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 21,X,CC,  13.00,    195.1300,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,R                      ,R                           ,                        ,R                         ,R                  ,                      ,                 ,R                        ,               ,R                     ,R                       ,R                            ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 22,X,CC,  38.00,    205.4500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,R                       ,R                       ,                            ,                        ,F                    ,                   ,R                      ,R                           ,                        ,R                         ,R                  ,                      ,R                ,R                        ,R              ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 23,X,CC,  27.00,    214.4700,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,R                      ,                            ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A, 24,X,CC,  30.00,    224.5300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,                        ,                            ,                        ,R                    ,                   ,                       ,P                           ,                        ,                          ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,170,1043,A, 25,X,CC,  33.00,    234.3300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,R                         ,R                  ,R                     ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,170,1043,A, 26,X,CC,  38.00,    241.9100,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                              ,                         ,                    ,                         ,R                       ,                          ,R                    ,R                       ,R                       ,R                           ,R                       ,R                    ,R                  ,                       ,R                           ,R                       ,                          ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,N21               ,N19           ,170,1043,A, 27,X,CC,  35.00,    253.5500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,                     ,R                       ,                        ,R                           ,R                       ,R                    ,R                  ,R                      ,                            ,                        ,                          ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,N18               ,N17           ,170,1043,A, 28,X,CC,  33.00,    263.1300,Ibaraki  ,Planktonic Foraminifers                      ,C              ,M                 ,R                             ,R                        ,R                   ,R                        ,R                       ,R                         ,R                    ,R                       ,R                       ,                            ,                        ,                     ,                   ,                       ,                            ,                        ,                          ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
